,All_values,Return_to_pred
0,0010110101001,2.0
1,0101001101010,2.0
2,0110110011010,2.0
3,1001001100110,1.0
4,0011010011001,2.0
5,0101010100110,4.0
6,0111010101001,2.0
7,1000110101010,2.0
8,0001001101010,3.0
9,0011010011010,3.0
10,0101010100110,2.0
11,0111010101001,3.0
12,1001010101010,2.0
13,0000110101010,3.0
14,0011001101010,2.0
15,0100110011010,2.0
16,0111001100110,2.0
17,1001010011001,1.0
18,0001010100110,2.0
19,0011010101001,2.0
20,0101010101010,4.0
21,0111010101010,3.0
22,1000110101010,4.0
23,0000101101010,1.0
24,0010101011010,3.0
25,0101001010110,3.0
26,0110110010101,2.0
27,1001001100101,2.0
28,0011010011001,2.0
29,0101010100110,4.0
30,0111010101001,2.0
31,1000110101010,2.0
32,0000101101010,2.0
33,0011001011010,1.0
34,0101010010110,1.0
35,0111010100101,2.0
36,1001010101001,1.0
37,0001010101010,2.0
38,0011010101010,3.0
39,0101010101010,1.0
40,0111010101010,4.0
41,1001010101010,2.0
42,0000110101010,3.0
43,0011001101010,1.0
44,0100110011010,2.0
45,0111001100110,3.0
46,1001010011001,3.0
47,0000110100110,2.0
48,0011001101001,2.0
49,0101010011010,2.0
50,0111010100110,3.0
51,1001010101001,2.0
52,0001010101010,1.0
53,0011010101010,2.0
54,0101010101010,2.0
55,0111010101010,2.0
56,1001010101010,2.0
57,0001010101010,1.0
58,0011010101010,2.0
59,0101010101010,2.0
60,0111010101010,2.0
61,1001010101010,2.0
62,0001010101010,2.0
63,0011010101010,2.0
64,0101010101010,2.0
65,0111010101010,1.0
66,0001010101010,3.0
67,0011010101010,2.0
68,0100110101010,2.0
69,0111001101010,2.0
70,1001010011010,2.0
71,0001010100110,3.0
72,0011010101001,3.0
73,0101010101010,0.0
74,0111010101010,2.0
75,1001010101010,1.0
76,0001010101010,2.0
77,0011010101010,2.0
78,0101010101010,2.0
79,0111010101010,3.0
80,1001010101010,2.0
81,0001010101010,2.0
82,0010110101010,1.0
83,0101001101010,2.0
84,0111010011010,0.0
85,1001010100110,3.0
86,0001010101001,1.0
87,0011010101010,3.0
88,0101010101010,2.0
89,0111010101010,4.0
90,1001010101010,1.0
91,0000110101010,2.0
92,0011001101010,2.0
93,0101010011010,1.0
94,0111010100110,2.0
95,1001010101001,1.0
96,0011010101010,2.0
97,0101010101010,3.0
98,0111010101010,3.0
99,1000110101010,1.0
100,0001001101010,1.0
101,0011010011010,1.0
102,0101010100110,1.0
103,0111010101001,2.0
104,1001010101010,1.0
105,0001010101010,3.0
106,0011010101010,1.0
107,0101010101010,3.0
108,0111010101010,2.0
109,1001010101010,1.0
110,0001010101010,1.0
111,0011010101010,2.0
112,0101010101010,2.0
113,0111010101010,3.0
114,1001010101010,2.0
115,0001010101010,3.0
116,0011010101010,2.0
117,0101010101010,3.0
118,0111010101010,2.0
119,1001010101010,2.0
120,0001010101010,0.0
121,0101010101010,3.0
122,0111010101010,2.0
123,1001010101010,3.0
124,0001010101010,1.0
125,0010110101010,1.0
126,0101001101010,2.0
