,All_values,Return_binary
0,0111001101010,1.0
1,1001010011010,0.0
2,0000110100110,0.0
3,0011001101001,1.0
4,0101010011010,1.0
5,0110110100110,0.0
6,1001001101001,0.0
7,0001010011010,1.0
8,0010110100110,1.0
9,0100101101001,1.0
10,0111001011010,1.0
11,1000110010110,1.0
12,0000101100101,1.0
13,0011001011001,0.0
14,0100110010110,0.0
15,0110101100101,0.0
16,1001001011001,0.0
17,0001010010110,1.0
18,0011010100101,0.0
19,0100110101001,1.0
20,0111001101010,1.0
21,1000110011010,1.0
22,0001001100110,0.0
23,0010110011001,1.0
24,0100101100110,0.0
25,0110101011001,0.0
26,1000101010110,1.0
27,0001001010101,1.0
28,0010110010101,0.0
29,0100101100101,0.0
30,0111001011001,1.0
31,1001010010110,0.0
32,0000110100101,1.0
33,0011001101001,1.0
34,0100110011010,1.0
35,0110101100110,1.0
36,1000101011001,0.0
37,0000101010110,1.0
38,0010101010101,1.0
39,0100101010101,1.0
40,1000101010101,0.0
41,0000101010101,0.0
42,0011001010101,1.0
43,0101010010101,1.0
44,0110110100101,1.0
45,1000101101001,1.0
46,0000101011010,1.0
47,0010101010110,1.0
48,0100101010101,0.0
49,0110101010101,0.0
50,1001001010101,1.0
51,0001010010101,0.0
52,0010110100101,1.0
53,0101001101001,1.0
54,0110110011010,0.0
55,1000101100110,1.0
56,0001001011001,1.0
57,0010110010110,0.0
58,0110101100101,0.0
59,1000101011001,1.0
60,0001001010110,1.0
61,0010110010101,0.0
62,0110101100101,0.0
63,1001001011001,0.0
64,0001010010110,1.0
65,0010110100101,0.0
66,0101001101001,0.0
67,0111010011010,0.0
68,1001010100110,0.0
69,0001010101001,1.0
70,0011010101010,1.0
71,0100110101010,1.0
72,0110101101010,1.0
73,1000101011010,0.0
74,0010101010110,0.0
75,0101001010101,0.0
76,0110110010101,0.0
77,1001001100101,1.0
78,0001010011001,1.0
79,0010110100110,0.0
80,0100101101001,1.0
81,0110101011010,0.0
82,1000101010110,0.0
83,0001001010101,1.0
84,0011010010101,0.0
85,0100110100101,1.0
86,0111001101001,0.0
87,1001010011010,1.0
88,0000110100110,0.0
89,0010101101001,0.0
90,0101001011010,1.0
91,0111010010110,1.0
92,1000110100101,0.0
93,0010101101001,1.0
94,0101001011010,1.0
95,0110110010110,1.0
96,1000101100101,0.0
97,0000101011001,0.0
98,0011001010110,0.0
99,0101010010101,0.0
100,0111010100101,1.0
101,1001010101001,1.0
102,0000110101010,0.0
103,0010101101010,1.0
104,0101001011010,1.0
105,0110110010110,0.0
106,1000101100101,1.0
107,0001001011001,0.0
108,0010110010110,1.0
109,0101001100101,0.0
110,0110110011001,0.0
111,1001001100110,1.0
112,0001010011001,0.0
113,0010110100110,1.0
114,0100101101001,0.0
115,0110101011010,0.0
116,1000101010110,1.0
117,0000101010101,0.0
118,0010101010101,0.0
119,0101001010101,1.0
120,0111010010101,1.0
121,1000110100101,0.0
122,0000101101001,0.0
123,0010101011010,0.0
124,0100101010110,0.0
125,0110101010101,0.0
126,1001001010101,0.0
127,0001010010101,1.0
128,0011010100101,1.0
129,0100110101001,0.0
130,0110101101010,0.0
131,1001001011010,1.0
132,0001010010110,0.0
133,0010110100101,1.0
134,0100101101001,1.0
135,0110101011010,0.0
136,0000101010110,1.0
137,0011001010101,0.0
138,0100110010101,0.0
139,0110101100101,1.0
140,1001001011001,0.0
141,0000110010110,1.0
142,0011001100101,0.0
143,0100110011001,0.0
144,0111001100110,0.0
145,1001010011001,0.0
146,0000110100110,0.0
147,0011001101001,0.0
148,0101010011010,0.0
149,0111010100110,0.0
150,1001010101001,0.0
151,0001010101010,0.0
152,0011010101010,0.0
153,0101010101010,1.0
154,0110110101010,0.0
155,1000101101010,1.0
156,0000101011010,0.0
157,0010101010110,1.0
158,0101001010101,1.0
159,0110110010101,1.0
160,1000101100101,1.0
161,0010101011001,1.0
162,0100101010110,1.0
163,0110101010101,0.0
164,1000101010101,0.0
165,0000101010101,0.0
166,0011001010101,1.0
167,0101010010101,1.0
168,0110110100101,1.0
169,1000101101001,1.0
170,0000101011010,1.0
171,0010101010110,1.0
172,0100101010101,0.0
173,0110101010101,0.0
174,1000101010101,1.0
175,0000101010101,0.0
176,0010101010101,1.0
177,0101001010101,1.0
178,0110110010101,1.0
179,1000101100101,0.0
180,0000101011001,1.0
181,0011001010110,0.0
182,0100110010101,0.0
183,0110101100101,1.0
184,1001001011001,1.0
185,0000110010110,1.0
186,0010101100101,0.0
187,0100101011001,1.0
188,0110101010110,0.0
189,0000101010101,1.0
190,0011001010101,1.0
191,0100110010101,0.0
192,0110101100101,1.0
193,1000101011001,0.0
194,0000101010110,1.0
195,0011001010101,0.0
196,0100110010101,0.0
197,0111001100101,1.0
198,1001010011001,1.0
199,0000110100110,1.0
200,0010101101001,0.0
201,0100101011010,0.0
202,0111001010110,0.0
203,1001010010101,0.0
204,0001010100101,0.0
205,0011010101001,0.0
206,0101010101010,0.0
207,0111010101010,1.0
208,1001010101010,1.0
209,0000110101010,0.0
210,0010101101010,1.0
211,0100101011010,0.0
212,0110101010110,0.0
213,1001001010101,1.0
214,0001010010101,0.0
215,0011010100101,1.0
216,0101010101001,1.0
217,0111010101010,1.0
218,1000110101010,1.0
219,0000101101010,1.0
220,0010101011010,1.0
221,0100101010110,1.0
222,0110101010101,0.0
223,1000101010101,1.0
224,0001001010101,1.0
225,0010110010101,1.0
226,0100101100101,1.0
227,0110101011001,0.0
228,1000101010110,0.0
229,0011001010101,0.0
230,0101010010101,1.0
231,0111010100101,0.0
232,1000110101001,0.0
233,0000101101010,0.0
234,0011001011010,1.0
235,0101010010110,0.0
236,0110110100101,0.0
237,1001001101001,0.0
238,0000110011010,0.0
239,0011001100110,1.0
240,0100110011001,1.0
241,0110101100110,0.0
242,1000101011001,0.0
243,0001001010110,0.0
244,0011010010101,1.0
245,0100110100101,0.0
246,0110101101001,0.0
247,1001001011010,0.0
248,0001010010110,0.0
249,0010110100101,0.0
250,0101001101001,0.0
251,0111010011010,1.0
252,1000110100110,0.0
253,0000101101001,0.0
254,0011001011010,1.0
255,0101010010110,0.0
256,0110110100101,0.0
257,1001001101001,0.0
258,0001010011010,1.0
259,0011010100110,1.0
260,0100110101001,1.0
261,0110101101010,0.0
262,1000101011010,1.0
263,0001001010110,1.0
264,0010110010101,0.0
265,0101001100101,1.0
266,0111010011001,1.0
267,1001010100110,0.0
268,0000110101001,1.0
269,0011001101010,1.0
270,0100110011010,0.0
271,0111001100110,1.0
272,1001010011001,1.0
273,0000110100110,0.0
274,0010101101001,0.0
275,0101001011010,1.0
276,0110110010110,0.0
277,1000101100101,0.0
278,0001001011001,0.0
279,0011010010110,1.0
280,0101010100101,0.0
281,0110110101001,1.0
282,1001001101010,0.0
283,0000110011010,1.0
284,0011001100110,0.0
285,0100110011001,1.0
286,0111001100110,0.0
287,1000110011001,0.0
288,0001001100110,0.0
289,0011010011001,0.0
290,0101010100110,0.0
291,1001010101001,0.0
292,0001010101010,0.0
293,0011010101010,1.0
294,0101010101010,0.0
295,0110110101010,1.0
296,1001001101010,0.0
297,0000110011010,1.0
298,0011001100110,0.0
299,0100110011001,1.0
300,0111001100110,0.0
301,1000110011001,0.0
