Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,43.470001,43.849998,43.299999,43.52,1613400,41.602331
2006-01-04,43.900002,44.709999,43.650002,43.830002,896800,41.898672
2006-01-05,43.84,44.189999,43.75,44.040001,944600,42.099418
2006-01-06,44.049999,44.139999,43.759998,43.990002,1078200,42.051622
2006-01-09,43.900002,44.740002,43.900002,44.560001,609700,42.596505
2006-01-10,44.509998,44.790001,44.369999,44.610001,394800,42.644301
2006-01-11,44.299999,44.59,43.849998,44.23,707100,42.281044
2006-01-12,44.310001,44.59,44.23,44.360001,914500,42.405317
2006-01-13,44.299999,44.779999,44.290001,44.369999,826600,42.414875
2006-01-17,44.369999,44.470001,43.139999,43.509998,1120900,41.592769
2006-01-18,43.200001,43.560001,42.900002,43.150002,1337500,41.248635
2006-01-19,43.220001,43.34,41.869999,42.18,1583100,40.321376
2006-01-20,42.18,42.779999,41.75,41.919998,732000,40.072831
2006-01-23,41.799999,42.450001,41.57,41.619999,797900,39.786051
2006-01-24,41.779999,42.849998,41.779999,42.810001,678700,40.923617
2006-01-25,42.959999,43.5,42.73,42.82,599600,40.933175
2006-01-26,42.919998,43.529999,42.75,43.52,495700,41.602331
2006-01-27,43.57,43.970001,42.939999,43.009998,501200,41.114801
2006-01-30,42.990002,43.34,42.810001,42.91,842500,41.019209
2006-01-31,42.799999,43.700001,42.790001,43.57,782000,41.650127
2006-02-01,43.5,43.599998,43.279999,43.400002,641600,41.487619
2006-02-02,43.200001,43.400002,42.279999,42.360001,630200,40.493445
2006-02-03,42.400002,43.549999,42.310001,43.380001,622700,41.4685
2006-02-06,43.439999,43.459999,42.799999,43.080002,400400,41.18172
2006-02-07,43.84,43.84,42.740002,42.950001,560500,41.057447
2006-02-08,43.25,43.650002,42.98,43.139999,509500,41.239074
2006-02-09,43.18,43.849998,43.07,43.509998,656900,41.592769
2006-02-10,43.529999,43.959999,43.41,43.73,1026500,41.803076
2006-02-13,43.860001,44.5,43.810001,44.330002,808400,42.37664
2006-02-14,44.330002,44.560001,44.18,44.5,1157700,42.539147
2006-02-15,44.450001,44.459999,43.59,43.91,1572300,41.975145
2006-02-16,43.0,43.220001,41.619999,41.740002,3142700,39.900766
2006-02-17,45.5,45.5,41.529999,41.700001,1354200,39.862528
2006-02-21,41.75,41.849998,40.419998,40.450001,1595400,38.667608
2006-02-22,40.400002,41.48,40.25,41.23,1787800,39.413237
2006-02-23,41.099998,41.959999,40.810001,41.330002,1182900,39.508832
2006-02-24,41.119999,41.540001,40.84,41.540001,795800,39.709578
2006-02-27,41.5,41.939999,41.41,41.639999,830900,39.80517
2006-02-28,41.560001,41.650002,40.93,41.349998,1270800,39.527948
2006-03-01,41.349998,42.580002,41.16,42.52,1063500,40.646395
2006-03-02,43.52,44.060001,42.599998,42.619999,1711700,40.741987
2006-03-03,42.419998,42.889999,42.34,42.41,1153900,40.541241
2006-03-06,42.459999,42.48,41.799999,42.41,1065300,40.541241
2006-03-07,42.41,42.700001,42.099998,42.439999,978600,40.569918
2006-03-08,42.439999,42.700001,42.099998,42.450001,742900,40.579479
2006-03-09,42.450001,42.450001,41.599998,41.869999,2104600,40.025035
2006-03-10,41.900002,41.93,41.09,41.150002,1573600,39.336764
2006-03-13,41.110001,41.810001,40.860001,41.189999,1416000,39.374998
2006-03-14,41.130001,41.439999,40.849998,41.209999,926400,39.394117
2006-03-15,41.360001,41.990002,41.220001,41.900002,1016400,40.053715
2006-03-16,41.939999,42.48,41.549999,41.68,522900,39.843408
2006-03-17,41.400002,41.860001,40.950001,41.540001,866100,39.709578
2006-03-20,41.369999,41.509998,40.900002,41.279999,690100,39.461033
2006-03-21,41.189999,41.630001,41.040001,41.200001,537800,39.38456
2006-03-22,41.049999,41.669998,41.02,41.540001,602000,39.767491
2006-03-23,41.540001,41.98,41.529999,41.84,503700,40.054689
2006-03-24,41.84,42.150002,41.799999,42.0,630900,40.207862
2006-03-27,41.950001,41.970001,41.470001,41.73,553200,39.949382
2006-03-28,41.799999,41.799999,41.209999,41.279999,548600,39.518583
2006-03-29,41.389999,41.57,41.299999,41.369999,553600,39.604743
2006-03-30,41.48,41.720001,41.27,41.540001,932600,39.767491
2006-03-31,41.540001,41.919998,41.509998,41.639999,453200,39.863223
2006-04-03,41.5,41.779999,41.34,41.57,954100,39.79621
2006-04-04,41.470001,41.5,40.939999,40.950001,1068000,39.202666
2006-04-05,40.959999,41.48,40.880001,41.240002,1392500,39.480293
2006-04-06,41.139999,41.23,40.889999,41.09,720800,39.336692
2006-04-07,41.169998,41.66,40.830002,41.02,575600,39.269679
2006-04-10,40.950001,41.310001,40.580002,40.59,546600,38.858027
2006-04-11,40.450001,40.459999,38.610001,39.41,3111500,37.728377
2006-04-12,39.41,39.900002,39.360001,39.82,1073600,38.120882
2006-04-13,39.700001,40.040001,39.700001,39.830002,476900,38.130458
2006-04-17,39.77,39.84,39.0,39.380001,559400,37.699658
2006-04-18,39.330002,39.43,38.349998,38.93,1993200,37.268859
2006-04-19,38.880001,39.049999,38.669998,38.93,1213900,37.268859
2006-04-20,38.77,39.880001,38.75,39.5,2196400,37.814537
2006-04-21,39.549999,39.630001,38.720001,38.919998,978100,37.259284
2006-04-24,38.849998,38.849998,37.810001,38.25,1553500,36.617874
2006-04-25,38.360001,39.279999,38.34,39.029999,1817200,37.364591
2006-04-26,38.900002,38.900002,38.41,38.639999,1337500,36.991232
2006-04-27,38.650002,39.950001,38.43,39.880001,2231400,38.178323
2006-04-28,39.669998,40.400002,39.599998,40.220001,1368400,38.503816
2006-05-01,40.110001,40.259998,39.290001,39.439999,1340700,37.757096
