Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,47.52,48.110001,45.34,47.869999,494000,23.934999
2006-01-04,48.150002,48.959999,47.5,48.720001,299000,24.360001
2006-01-05,48.689999,49.119999,47.400002,47.549999,259600,23.775
2006-01-06,47.490002,47.5,46.849998,47.02,273600,23.51
2006-01-09,46.650002,47.169998,46.459999,47.150002,240600,23.575001
2006-01-10,46.650002,48.139999,46.650002,47.849998,175000,23.924999
2006-01-11,47.560001,47.700001,46.32,46.639999,521800,23.32
2006-01-12,46.599998,46.860001,45.32,45.459999,612200,22.73
2006-01-13,45.150002,46.0,44.5,45.75,1313400,22.875
2006-01-17,46.299999,46.5,46.130001,46.349998,440800,23.174999
2006-01-18,46.299999,46.400002,46.009998,46.060001,279000,23.030001
2006-01-19,46.099998,46.290001,45.849998,45.990002,227600,22.995001
2006-01-20,46.130001,46.25,45.779999,45.950001,144400,22.975
2006-01-23,45.919998,46.349998,45.5,46.049999,187800,23.025
2006-01-24,46.25,47.959999,46.119999,47.700001,792800,23.85
2006-01-25,47.66,47.790001,47.080002,47.619999,239800,23.809999
2006-01-26,47.799999,48.09,47.610001,47.860001,180800,23.93
2006-01-27,47.73,48.099998,47.73,48.0,109000,24.0
2006-01-30,48.189999,49.27,48.099998,49.220001,303400,24.610001
2006-01-31,48.709999,50.009998,48.709999,49.98,698800,24.99
2006-02-01,49.630001,50.939999,49.630001,50.830002,140800,25.415001
2006-02-02,50.93,50.990002,49.299999,50.5,256000,25.25
2006-02-03,50.5,51.09,50.259998,50.27,206600,25.135
2006-02-06,50.59,51.029999,49.91,50.860001,87800,25.43
2006-02-07,50.669998,50.759998,50.0,50.040001,202600,25.02
2006-02-08,50.720001,56.349998,50.720001,54.27,1125400,27.135
2006-02-09,54.09,54.700001,53.369999,53.779999,418000,26.889999
2006-02-10,54.0,54.0,53.150002,53.790001,323000,26.895
2006-02-13,53.59,53.700001,52.75,53.25,339000,26.625
2006-02-14,53.560001,54.439999,53.380001,53.709999,219400,26.855
2006-02-15,53.799999,54.310001,52.84,54.209999,178600,27.105
2006-02-16,54.419998,54.799999,53.560001,54.450001,256400,27.225
2006-02-17,54.759998,54.759998,53.34,53.470001,213000,26.735001
2006-02-21,53.470001,53.830002,52.709999,53.779999,397600,26.889999
2006-02-22,53.889999,54.290001,53.529999,53.93,276000,26.965
2006-02-23,53.98,53.990002,53.439999,53.91,172400,26.955
2006-02-24,53.810001,54.68,53.48,54.099998,151800,27.049999
2006-02-27,54.049999,55.310001,53.650002,55.09,151400,27.545
2006-02-28,54.84,55.169998,53.23,53.970001,271600,26.985001
2006-03-01,54.400002,55.900002,53.77,55.290001,187800,27.645
2006-03-02,55.200001,55.200001,54.07,54.529999,130200,27.264999
2006-03-03,54.130001,55.639999,53.950001,55.41,228200,27.705
2006-03-06,55.5,55.5,53.959999,54.209999,163600,27.105
2006-03-07,53.959999,54.209999,52.959999,54.110001,97200,27.055
2006-03-08,53.900002,54.959999,52.66,53.950001,128800,26.975
2006-03-09,53.91,54.34,53.310001,53.720001,220800,26.860001
2006-03-10,53.549999,53.950001,53.110001,53.41,177000,26.705
2006-03-13,53.669998,54.0,53.360001,53.439999,180400,26.719999
2006-03-14,52.919998,53.380001,52.349998,52.849998,209400,26.424999
2006-03-15,52.849998,54.060001,52.849998,53.889999,136200,26.945
2006-03-16,54.169998,54.869999,53.75,54.84,121000,27.42
2006-03-17,55.169998,55.189999,53.610001,54.709999,368200,27.355
2006-03-20,54.57,56.389999,54.110001,56.34,293600,28.17
2006-03-21,56.150002,56.59,55.209999,56.360001,275800,28.18
2006-03-22,56.200001,57.259998,55.07,57.220001,258400,28.610001
2006-03-23,57.040001,57.27,55.59,56.25,155000,28.125
2006-03-24,56.549999,56.549999,55.599998,56.080002,142400,28.040001
2006-03-27,55.93,55.93,54.59,55.0,315400,27.5
2006-03-28,54.790001,55.0,54.209999,54.369999,229600,27.184999
2006-03-29,54.639999,54.98,53.98,54.450001,191400,27.225
2006-03-30,54.630001,56.02,53.84,55.639999,309000,27.82
2006-03-31,55.93,56.59,55.240002,55.77,215000,27.885
2006-04-03,55.75,55.98,54.700001,55.029999,255200,27.514999
2006-04-04,55.0,55.68,54.459999,55.34,172800,27.67
2006-04-05,55.32,55.939999,54.52,55.709999,133400,27.855
2006-04-06,55.970001,55.970001,54.98,55.549999,82600,27.775
2006-04-07,55.919998,56.720001,54.650002,54.860001,153200,27.43
2006-04-10,54.73,55.740002,54.549999,55.330002,105400,27.665001
2006-04-11,55.360001,55.360001,53.68,53.919998,116400,26.959999
2006-04-12,53.759998,54.080002,53.130001,53.700001,118000,26.85
2006-04-13,53.790001,54.700001,53.18,54.240002,42000,27.120001
2006-04-17,54.119999,54.41,53.580002,54.41,95800,27.205
2006-04-18,54.439999,55.810001,54.0,55.700001,245600,27.85
2006-04-19,55.919998,56.41,55.299999,56.279999,131800,28.139999
2006-04-20,56.389999,56.810001,54.759998,55.799999,59000,27.9
2006-04-21,56.200001,56.200001,54.669998,55.09,90200,27.545
2006-04-24,54.720001,55.259998,54.48,54.919998,241400,27.459999
2006-04-25,54.880001,55.18,53.959999,55.150002,183600,27.575001
2006-04-26,55.330002,55.360001,54.889999,55.099998,67400,27.549999
2006-04-27,54.82,55.48,53.68,55.32,85400,27.66
2006-04-28,55.279999,56.200001,54.759998,56.119999,165000,28.059999
2006-05-01,56.25,56.950001,53.389999,54.150002,221200,27.075001
2006-05-02,53.93,55.32,53.310001,55.02,114200,27.51
2006-05-03,55.450001,56.240002,54.580002,55.639999,225600,27.82
2006-05-04,55.919998,57.07,55.919998,56.450001,245800,28.225
2006-05-05,57.009998,57.07,52.18,52.950001,866800,26.475
2006-05-08,52.540001,53.759998,52.080002,53.509998,202200,26.754999
2006-05-09,53.330002,54.990002,53.330002,54.919998,237000,27.459999
2006-05-10,54.439999,54.98,53.880001,54.119999,180200,27.059999
2006-05-11,53.990002,54.119999,52.759998,53.009998,124800,26.504999
2006-05-12,52.740002,52.919998,51.380001,51.919998,202200,25.959999
2006-05-15,51.540001,51.669998,48.610001,49.25,776600,24.625
2006-05-16,49.150002,51.200001,49.150002,50.630001,349400,25.315001
2006-05-17,50.360001,51.220001,48.57,50.639999,277200,25.32
2006-05-18,50.939999,51.299999,50.07,50.560001,155800,25.280001
2006-05-19,50.419998,51.189999,49.150002,50.32,262400,25.16
2006-05-22,49.889999,50.130001,48.900002,49.040001,516200,24.52
2006-05-23,49.349998,50.57,49.060001,50.209999,356000,25.105
2006-05-24,50.290001,51.419998,49.529999,50.349998,361200,25.174999
2006-05-25,50.860001,51.130001,50.209999,51.029999,377600,25.514999
2006-05-26,51.16,51.48,50.700001,51.130001,126000,25.565001
2006-05-30,51.0,51.060001,50.240002,50.619999,154800,25.309999
2006-05-31,51.0,51.720001,50.950001,51.700001,260200,25.85
2006-06-01,52.0,54.029999,51.720001,53.889999,479200,26.945
2006-06-02,54.09,54.599998,52.360001,52.490002,206200,26.245001
2006-06-05,52.209999,52.509998,50.099998,50.119999,272000,25.059999
2006-06-06,50.34,50.669998,48.720001,49.029999,289000,24.514999
2006-06-07,49.119999,50.0,48.560001,48.66,360200,24.33
2006-06-08,48.57,49.5,47.150002,49.150002,389000,24.575001
2006-06-09,49.25,50.25,48.669998,49.509998,210000,24.754999
2006-06-12,49.5,49.549999,48.599998,48.599998,102400,24.299999
2006-06-13,48.400002,49.099998,47.509998,47.540001,103400,23.77
2006-06-14,47.439999,48.099998,47.18,47.700001,111600,23.85
2006-06-15,48.040001,50.040001,48.029999,48.869999,206000,24.434999
2006-06-16,48.799999,48.799999,47.139999,47.91,598000,23.955
2006-06-19,47.900002,47.959999,46.950001,47.150002,141000,23.575001
2006-06-20,47.0,47.540001,46.34,46.470001,112200,23.235001
2006-06-21,46.549999,48.77,46.549999,47.560001,198600,23.780001
2006-06-22,47.290001,48.240002,47.290001,47.400002,210200,23.700001
2006-06-23,47.279999,48.709999,47.150002,47.389999,196800,23.695
2006-06-26,47.5,48.080002,47.279999,48.0,184400,24.0
2006-06-27,47.880001,48.450001,46.849998,47.0,132400,23.5
2006-06-28,47.02,47.02,45.799999,46.52,150600,23.26
2006-06-29,46.869999,48.400002,46.610001,48.310001,247200,24.155001
2006-06-30,48.48,49.259998,47.619999,48.09,378200,24.045
2006-07-03,48.459999,48.459999,47.110001,47.849998,103800,23.924999
2006-07-05,47.169998,47.75,46.540001,47.5,176600,23.75
2006-07-06,47.310001,47.84,47.099998,47.509998,98800,23.754999
2006-07-07,47.299999,47.889999,46.59,46.869999,104600,23.434999
2006-07-10,46.849998,47.349998,46.619999,47.040001,99800,23.52
2006-07-11,46.849998,48.18,46.380001,47.869999,171000,23.934999
2006-07-12,47.98,48.41,47.98,48.130001,208000,24.065001
2006-07-13,47.950001,47.950001,47.119999,47.259998,208200,23.629999
2006-07-14,47.799999,47.869999,46.599998,47.66,166800,23.83
2006-07-17,47.470001,48.490002,47.389999,48.299999,157400,24.15
2006-07-18,48.700001,49.360001,47.610001,48.02,359400,24.01
2006-07-19,47.900002,48.630001,47.029999,48.220001,188000,24.110001
2006-07-20,48.189999,48.959999,47.560001,47.580002,148800,23.790001
2006-07-21,47.580002,47.580002,46.169998,46.779999,251600,23.389999
2006-07-24,46.889999,47.77,46.889999,47.77,158800,23.885
2006-07-25,47.57,48.66,47.43,48.459999,143800,24.23
2006-07-26,48.18,48.740002,46.77,47.240002,170800,23.620001
2006-07-27,47.450001,47.779999,46.23,46.34,171400,23.17
2006-07-28,46.630001,47.330002,46.080002,47.0,261000,23.5
2006-07-31,46.529999,47.25,45.98,46.330002,221200,23.165001
2006-08-01,46.029999,47.5,45.150002,45.549999,299400,22.775
2006-08-02,46.169998,52.560001,46.169998,51.049999,772000,25.525
2006-08-03,50.889999,51.48,50.369999,51.279999,189600,25.639999
2006-08-04,51.98,52.32,50.099998,50.560001,125400,25.280001
2006-08-07,50.240002,50.330002,49.919998,50.139999,125200,25.07
2006-08-08,50.209999,50.5,49.200001,49.509998,203600,24.754999
2006-08-09,49.970001,50.040001,48.310001,48.349998,290000,24.174999
2006-08-10,47.860001,48.889999,47.240002,48.59,425600,24.295
2006-08-11,48.189999,48.59,47.59,47.91,229600,23.955
2006-08-14,47.34,49.779999,47.34,49.43,328200,24.715
2006-08-15,49.860001,50.700001,49.279999,50.639999,320200,25.32
2006-08-16,50.380001,51.450001,50.380001,51.41,134800,25.705
2006-08-17,51.060001,51.860001,50.810001,51.139999,143400,25.57
2006-08-18,51.400002,51.419998,49.82,50.52,136400,25.26
2006-08-21,49.689999,49.93,49.150002,49.720001,168200,24.860001
2006-08-22,49.389999,49.650002,48.759998,49.099998,105600,24.549999
2006-08-23,48.98,49.52,48.259998,48.580002,133200,24.290001
2006-08-24,48.599998,49.099998,47.950001,48.779999,164400,24.389999
2006-08-25,48.580002,49.310001,48.290001,49.099998,98400,24.549999
2006-08-28,49.029999,50.400002,48.549999,50.200001,158600,25.1
2006-08-29,49.950001,51.889999,48.959999,51.450001,257600,25.725
2006-08-30,50.040001,52.639999,50.040001,52.25,217200,26.125
2006-08-31,52.52,52.619999,50.759998,50.82,109200,25.41
2006-09-01,50.689999,52.029999,49.849998,50.099998,103800,25.049999
2006-09-05,49.950001,50.419998,48.830002,50.419998,148000,25.209999
2006-09-06,49.93,49.93,49.150002,49.34,171600,24.67
2006-09-07,49.25,50.369999,49.029999,49.720001,152800,24.860001
2006-09-08,49.540001,49.959999,48.439999,48.919998,151800,24.459999
2006-09-11,48.459999,50.150002,48.279999,50.040001,141400,25.02
