Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,24.85,24.92,24.370001,24.690001,161800,15.320106
2006-01-04,24.6,24.870001,24.57,24.73,86800,15.344926
2006-01-05,24.700001,24.83,24.299999,24.83,124700,15.406976
2006-01-06,24.83,25.5,24.75,25.42,69500,15.77307
2006-01-09,25.35,25.549999,25.1,25.219999,82700,15.64897
2006-01-10,25.17,25.6,25.17,25.469999,29500,15.804094
2006-01-11,25.469999,25.469999,25.16,25.25,35000,15.667585
2006-01-12,25.24,25.27,25.059999,25.200001,29700,15.636561
2006-01-13,25.209999,25.360001,24.959999,25.129999,16000,15.593125
2006-01-17,24.9,25.02,24.610001,24.790001,68200,15.382156
2006-01-18,24.6,24.870001,24.58,24.58,58800,15.251851
2006-01-19,24.629999,25.120001,24.59,24.85,420900,15.419386
2006-01-20,24.9,25.0,24.75,24.879999,55500,15.438
2006-01-23,24.860001,24.940001,24.84,24.9,66500,15.45041
2006-01-24,24.9,24.9,24.459999,24.620001,122200,15.276672
2006-01-25,24.74,24.870001,24.4,24.719999,205300,15.33872
2006-01-26,24.719999,25.0,24.67,24.99,82100,15.506255
2006-01-27,25.01,25.15,24.809999,24.879999,31000,15.438
2006-01-30,24.879999,24.879999,24.610001,24.76,92800,15.363541
2006-01-31,24.75,24.870001,24.709999,24.799999,68800,15.38836
2006-02-01,24.790001,25.43,24.74,25.35,107400,15.729635
2006-02-02,25.35,25.35,24.9,24.940001,68300,15.475231
2006-02-03,24.85,24.85,24.51,24.59,64100,15.258056
2006-02-06,24.6,24.950001,24.6,24.950001,90100,15.481436
2006-02-07,24.98,25.059999,24.5,24.75,56700,15.357336
2006-02-08,24.85,24.870001,24.4,24.68,40300,15.313901
2006-02-09,24.719999,24.870001,24.42,24.48,20400,15.189801
2006-02-10,24.41,24.549999,24.25,24.549999,44200,15.233236
2006-02-13,24.540001,24.58,24.450001,24.49,30700,15.196006
2006-02-14,24.549999,25.1,24.35,25.030001,44200,15.531076
2006-02-15,25.02,25.299999,24.879999,25.299999,21800,15.69861
2006-02-16,25.33,25.389999,25.15,25.389999,33800,15.754454
2006-02-17,25.450001,25.5,24.93,24.93,45500,15.469026
2006-02-21,24.940001,24.99,24.24,24.690001,91700,15.320106
2006-02-22,24.719999,24.969999,24.620001,24.719999,20900,15.33872
2006-02-23,24.76,25.209999,24.549999,25.209999,66100,15.642765
2006-02-24,25.16,25.6,24.860001,25.58,43000,15.87235
2006-02-27,25.58,25.67,25.379999,25.639999,37700,15.909579
2006-02-28,25.6,25.6,25.07,25.200001,30400,15.636561
2006-03-01,25.200001,25.5,25.01,25.5,36100,15.82271
2006-03-02,25.6,25.65,24.35,24.6,130200,15.264261
2006-03-03,24.66,25.41,24.620001,25.280001,137100,15.6862
2006-03-06,25.280001,25.85,25.17,25.809999,63700,16.015064
2006-03-07,25.82,26.040001,25.76,26.02,51100,16.145369
2006-03-08,26.049999,27.48,26.049999,27.26,118800,16.914787
2006-03-09,27.27,27.370001,26.33,26.51,51200,16.449413
2006-03-10,26.42,26.879999,26.25,26.42,28600,16.393568
2006-03-13,26.379999,26.6,25.6,25.950001,44500,16.101934
2006-03-14,26.01,26.629999,25.91,26.549999,47100,16.474233
2006-03-15,26.5,27.190001,26.25,27.110001,49600,16.821713
2006-03-16,27.0,28.35,26.889999,27.809999,164400,17.47392
2006-03-17,27.889999,28.58,27.35,27.75,207400,17.43622
2006-03-20,27.6,27.6,26.51,26.690001,217100,16.770188
2006-03-21,26.75,26.75,26.129999,26.5,154600,16.650805
2006-03-22,26.4,26.450001,25.860001,26.35,58700,16.556555
2006-03-23,26.25,26.85,26.0,26.85,78200,16.870721
2006-03-24,26.85,26.870001,26.360001,26.57,33100,16.694788
2006-03-27,26.57,26.57,25.280001,25.74,79300,16.173272
2006-03-28,25.700001,25.82,25.059999,25.309999,80100,15.903089
2006-03-29,25.0,25.83,25.0,25.65,62600,16.116722
