Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,36.130001,36.779999,35.34,36.700001,3575900,26.944648
2006-01-04,36.549999,37.119999,36.549999,37.040001,3351800,27.194272
2006-01-05,37.16,38.459999,37.16,38.220001,4014300,28.060612
2006-01-06,38.619999,38.959999,37.919998,38.369999,3247000,28.170739
2006-01-09,38.389999,39.029999,38.310001,38.91,3102200,28.5672
2006-01-10,38.799999,38.990002,38.490002,38.91,2252200,28.5672
2006-01-11,39.09,39.389999,38.720001,39.099998,2309300,28.706695
2006-01-12,39.16,39.27,38.689999,38.77,3137600,28.464414
2006-01-13,38.77,39.16,38.529999,39.02,2006900,28.647961
2006-01-17,39.0,39.009998,37.560001,37.82,3658400,27.766937
2006-01-18,37.490002,37.84,36.990002,37.650002,4967100,27.642126
2006-01-19,38.049999,38.939999,38.0,38.720001,4092000,28.427706
2006-01-20,38.720001,38.720001,37.48,37.77,4207800,27.730228
2006-01-23,37.860001,38.119999,37.349998,37.869999,3198600,27.803645
2006-01-24,38.110001,39.049999,38.02,38.59,4849100,28.332261
2006-01-25,38.939999,39.049999,38.139999,38.93,3458400,28.581884
2006-01-26,39.080002,39.790001,38.630001,39.759998,3617700,29.191258
2006-01-27,39.900002,40.23,39.450001,39.669998,3545500,29.125181
2006-01-30,39.669998,40.200001,39.599998,40.0,4436900,29.367464
2006-01-31,40.240002,40.27,39.68,39.77,3482800,29.198601
2006-02-01,39.599998,40.41,39.450001,40.330002,3585000,29.609747
2006-02-02,40.389999,40.73,39.639999,40.0,2647900,29.367464
2006-02-03,40.009998,40.279999,39.66,39.77,3527900,29.198601
2006-02-06,39.650002,40.700001,39.549999,40.18,3080100,29.499617
2006-02-07,40.16,40.439999,39.830002,40.380001,2405700,29.646455
2006-02-08,40.380001,41.0,40.119999,40.900002,3385600,30.028233
2006-02-09,41.0,41.48,40.439999,40.91,5570500,30.035573
2006-02-10,40.0,40.0,38.900002,39.259998,8114700,28.824164
2006-02-13,39.110001,39.419998,38.830002,39.349998,2595100,28.890241
2006-02-14,39.360001,39.849998,38.810001,39.82,2611200,29.23531
2006-02-15,39.689999,39.759998,38.700001,38.830002,4290300,28.508467
2006-02-16,39.130001,39.599998,38.709999,39.580002,2497200,29.059107
2006-02-17,39.470001,39.549999,38.779999,38.790001,2350900,28.479098
2006-02-21,38.790001,39.0,37.599998,37.880001,3446300,27.810989
2006-02-22,37.790001,38.459999,37.48,38.080002,3270400,28.046674
2006-02-23,38.119999,38.880001,37.790001,38.209999,2754300,28.142419
2006-02-24,38.110001,38.799999,37.919998,38.360001,2148400,28.252898
2006-02-27,38.330002,38.700001,38.150002,38.470001,2441700,28.333916
2006-02-28,38.419998,38.720001,37.709999,38.139999,3430400,28.090863
2006-03-01,38.389999,39.41,38.34,39.200001,3353400,28.871575
2006-03-02,39.09,39.529999,38.459999,38.91,3661400,28.657984
2006-03-03,38.84,38.950001,38.400002,38.52,3060800,28.370741
2006-03-06,38.720001,38.950001,38.349998,38.709999,2872200,28.510679
2006-03-07,38.060001,38.459999,37.389999,37.759998,2937300,27.810985
2006-03-08,37.599998,38.240002,37.5,37.880001,3073500,27.899369
2006-03-09,37.880001,38.290001,37.119999,37.18,3207600,27.383805
2006-03-10,37.0,37.27,36.610001,36.849998,3894000,27.140752
2006-03-13,37.110001,37.389999,36.880001,36.939999,2284400,27.207039
2006-03-14,36.849998,37.799999,36.830002,37.610001,3419200,27.700508
2006-03-15,37.799999,38.380001,37.669998,37.990002,3117400,27.980387
2006-03-16,38.02,38.029999,37.23,37.23,3665700,27.42063
2006-03-17,37.290001,37.450001,36.619999,37.23,3149600,27.42063
2006-03-20,37.380001,37.759998,37.32,37.509998,2409000,27.626855
2006-03-21,37.560001,38.279999,37.07,37.099998,3009800,27.324882
2006-03-22,37.099998,37.700001,36.810001,37.66,2880000,27.737334
2006-03-23,37.549999,38.18,37.490002,37.830002,2678800,27.862544
2006-03-24,37.759998,38.25,37.470001,38.080002,2693500,28.046674
2006-03-27,37.830002,38.25,37.75,37.77,2441800,27.818351
2006-03-28,37.59,37.950001,36.98,37.060001,2381800,27.295423
2006-03-29,37.25,38.040001,37.040001,37.689999,3004200,27.759429
2006-03-30,37.950001,38.849998,37.900002,38.299999,3805000,28.208706
2006-03-31,38.490002,38.799999,37.98,38.290001,2370700,28.201342
2006-04-03,38.639999,38.849998,38.18,38.360001,2078200,28.252898
2006-04-04,38.259998,38.59,37.93,38.200001,2468800,28.135055
2006-04-05,38.150002,39.110001,38.139999,38.91,2290600,28.657984
2006-04-06,38.779999,39.490002,38.759998,39.23,2047700,28.89367
2006-04-07,39.34,39.619999,38.25,38.470001,2155100,28.333916
