Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,13.09,13.17,12.76,13.14,379300,11.861531
2006-01-04,13.12,13.2,12.97,13.1,793300,11.825423
2006-01-05,13.12,13.2,12.99,13.19,415000,11.906665
2006-01-06,13.32,13.47,13.18,13.41,1462300,12.105261
2006-01-09,13.38,13.53,13.32,13.45,918500,12.141369
2006-01-10,13.37,13.5,13.23,13.23,442000,11.942774
2006-01-11,13.24,13.98,13.24,13.98,1256300,12.619802
2006-01-12,13.99,14.0,13.46,13.62,812400,12.294828
2006-01-13,13.58,13.67,13.26,13.59,481300,12.267748
2006-01-17,13.52,13.63,13.34,13.62,327000,12.294828
2006-01-18,13.61,13.71,13.49,13.59,343300,12.267748
2006-01-19,13.68,13.91,13.51,13.8,369900,12.457315
2006-01-20,13.87,13.87,13.62,13.8,550400,12.457315
2006-01-23,13.83,13.97,13.8,13.84,272700,12.493424
2006-01-24,13.88,13.91,13.62,13.74,574500,12.403153
2006-01-25,13.78,13.9,13.72,13.9,980800,12.547585
2006-01-26,13.9,14.14,13.88,14.09,596800,12.7191
2006-01-27,14.09,14.14,14.0,14.09,203100,12.7191
2006-01-30,14.05,14.06,13.67,13.9,377200,12.547585
2006-01-31,13.88,14.05,13.74,14.05,430000,12.682991
2006-02-01,14.02,14.05,13.9,13.92,442500,12.56564
2006-02-02,13.93,14.0,13.67,13.85,327800,12.502451
2006-02-03,13.85,13.87,13.61,13.63,722800,12.303856
2006-02-06,13.62,13.72,13.55,13.72,507600,12.385099
2006-02-07,13.73,13.79,13.52,13.59,568600,12.267748
2006-02-08,13.59,13.66,13.19,13.4,694600,12.096233
2006-02-09,13.3,13.58,13.09,13.46,1204800,12.150396
2006-02-10,13.5,13.6,13.44,13.55,264200,12.231639
2006-02-13,13.6,13.75,13.55,13.68,232100,12.348991
2006-02-14,13.7,14.01,13.6,13.9,756100,12.547585
2006-02-15,13.91,14.1,13.88,14.05,392800,12.682991
2006-02-16,14.07,14.09,13.84,13.92,577000,12.56564
2006-02-17,13.95,14.0,13.82,13.91,351100,12.556613
2006-02-21,14.0,14.0,13.69,13.7,542400,12.367045
