Date,Open,High,Low,Close,Volume,Adj Close
2006-11-28,7.71,7.8,7.7,7.7,35400,2.653513
2006-11-29,7.75,7.75,7.7,7.7,219400,2.653513
2006-11-30,7.85,7.85,7.7,7.8,724000,2.687974
2006-12-01,7.85,8.0,7.85,8.0,5800,2.756896
2006-12-04,7.76,7.77,7.76,7.77,400,2.677636
2006-12-05,7.85,8.35,7.85,8.2,141200,2.825818
2006-12-06,8.0,8.0,8.0,8.0,1000,2.756896
2006-12-07,8.35,8.35,8.25,8.25,762200,2.843049
2006-12-08,8.25,8.4,8.25,8.4,6200,2.894741
2006-12-11,8.4,8.4,8.38,8.4,48800,2.894741
2006-12-12,8.4,8.4,8.4,8.4,1000,2.894741
2006-12-13,8.4,8.6,8.32,8.4,557400,2.894741
2006-12-14,8.7,9.0,8.7,8.81,3205800,3.036032
2006-12-15,8.81,8.83,8.500001,8.65,3930200,2.980894
2006-12-18,8.65,8.65,8.19,8.21,560000,2.829265
2006-12-19,8.21,8.57,8.05,8.48,127800,2.92231
2006-12-20,8.15,8.65,8.15,8.51,288800,2.932648
2006-12-21,8.27,8.59,8.27,8.53,126400,2.939541
2006-12-22,8.55,8.61,8.26,8.43,69000,2.905079
2006-12-26,8.45,8.65,8.28,8.39,73400,2.891295
2006-12-27,8.47,8.65,8.47,8.65,84600,2.980894
2006-12-28,8.65,8.65,8.51,8.54,122200,2.949803
2006-12-29,8.6,8.66,8.36,8.55,238600,2.953258
2007-01-03,8.65,8.7,8.51,8.51,1312400,2.939441
2007-01-04,8.55,8.75,8.31,8.73,318600,3.015431
2007-01-05,8.66,8.75,8.500001,8.500001,167400,2.935987
2007-01-08,8.55,8.6,8.4,8.44,217800,2.915262
2007-01-09,8.44,8.55,8.44,8.500001,2368000,2.935987
2007-01-10,8.49,8.61,8.45,8.61,45400,2.973982
2007-01-11,8.65,8.66,8.6,8.620001,221800,2.977436
2007-01-12,8.54,8.65,8.500001,8.57,102200,2.960166
2007-01-16,8.65,8.65,8.45,8.55,100800,2.953258
2007-01-17,8.51,8.58,8.45,8.500001,92000,2.935987
2007-01-18,8.47,8.73,8.45,8.59,145200,2.967074
2007-01-19,8.6,8.7,8.4,8.65,345000,2.987799
2007-01-22,8.58,8.65,8.500001,8.500001,102800,2.935987
2007-01-23,8.64,8.65,8.45,8.6,160800,2.970528
2007-01-24,8.63,8.65,8.46,8.58,95200,2.96362
2007-01-25,8.6,8.65,8.500001,8.58,67000,2.96362
2007-01-26,8.620001,8.79,8.45,8.51,174600,2.939441
2007-01-29,8.500001,9.400001,8.500001,8.82,487800,3.046518
2007-01-30,8.9,9.25,8.83,9.21,171200,3.181228
2007-01-31,9.0,9.41,9.0,9.32,77800,3.219223
2007-02-01,9.37,9.61,9.21,9.55,336200,3.298668
2007-02-02,9.6,9.81,9.56,9.76,232400,3.371204
2007-02-05,9.9,9.970001,9.69,9.730001,540800,3.360842
2007-02-06,9.830001,9.830001,9.49,9.51,238400,3.284851
2007-02-07,9.59,9.8,9.48,9.730001,668200,3.360842
2007-02-08,9.730001,9.81,9.62,9.720001,294800,3.357388
2007-02-09,9.78,10.29,9.730001,10.0,783200,3.454102
2007-02-12,10.0,10.13,9.53,9.56,180800,3.302122
2007-02-13,9.56,10.11,9.520001,9.8,115600,3.38502
2007-02-14,9.79,10.15,9.79,10.01,1353800,3.457556
2007-02-15,10.070001,10.3,10.02,10.190001,1102800,3.51973
2007-02-16,10.190001,10.5,10.0,10.38,936800,3.585358
2007-02-20,11.11,11.11,10.38,10.6,1523400,3.661348
2007-02-21,10.61,10.680001,10.430001,10.580001,261400,3.65444
2007-02-22,10.65,10.65,10.5,10.65,208600,3.678619
2007-02-23,11.13,11.910001,10.800001,10.98,4183200,3.792604
2007-02-26,11.09,11.09,10.73,11.0,506600,3.799513
2007-02-27,10.75,11.0,10.27,10.310001,656000,3.56118
2007-02-28,10.25,11.0,10.200001,10.800001,1445800,3.730431
2007-03-01,10.77,11.030001,10.450001,10.97,591000,3.78915
2007-03-02,11.09,11.35,10.59,10.59,612800,3.657894
2007-03-05,10.39,10.99,10.38,10.4,274000,3.592266
2007-03-06,10.53,10.790001,10.11,10.59,409600,3.657894
2007-03-07,10.810001,10.810001,10.220001,10.320001,256800,3.564634
2007-03-08,10.450001,10.700001,10.4,10.560001,255400,3.647532
2007-03-09,10.73,10.73,10.25,10.37,220800,3.581904
2007-03-12,10.330001,10.450001,10.18,10.210001,168400,3.526639
2007-03-13,10.11,10.39,9.7,9.720001,543800,3.357388
