Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,32.599998,32.98,32.400002,32.939999,1062700,32.846658
2006-01-04,33.009998,33.299999,32.84,32.91,845600,32.816744
2006-01-05,32.75,33.139999,32.599998,33.02,848700,32.926433
2006-01-06,33.07,33.5,32.950001,33.419998,509700,33.325297
2006-01-09,33.360001,33.68,33.330002,33.549999,750900,33.45493
2006-01-10,33.66,35.27,33.599998,34.759998,1725500,34.6615
2006-01-11,34.5,34.549999,34.049999,34.209999,1084900,34.113059
2006-01-12,34.25,34.279999,33.84,34.0,590700,33.903655
2006-01-13,33.939999,34.16,33.720001,33.880001,389400,33.783997
2006-01-17,33.610001,33.720001,33.380001,33.560001,797600,33.464904
2006-01-18,33.5,33.599998,33.349998,33.48,410100,33.385128
2006-01-19,33.32,33.549999,33.099998,33.369999,592500,33.27544
2006-01-20,33.470001,33.689999,33.290001,33.5,1001300,33.405072
2006-01-23,33.470001,33.68,33.299999,33.380001,728800,33.285413
2006-01-24,33.369999,33.450001,32.98,33.279999,994400,33.185694
2006-01-25,33.240002,33.529999,33.009998,33.509998,774000,33.415042
2006-01-26,33.59,33.889999,33.240002,33.549999,744300,33.45493
2006-01-27,33.450001,33.75,33.360001,33.549999,758300,33.45493
2006-01-30,33.470001,33.529999,33.27,33.470001,343000,33.375158
2006-01-31,33.369999,33.450001,32.810001,33.09,1053000,32.996234
2006-02-01,33.029999,33.25,32.619999,33.220001,879000,33.125867
2006-02-02,32.849998,32.900002,32.139999,32.330002,1261500,32.238389
2006-02-03,32.259998,32.610001,31.93,32.060001,958500,31.969154
2006-02-06,32.060001,32.09,31.629999,31.75,987000,31.660031
2006-02-07,31.67,32.220001,31.65,31.950001,593300,31.859465
2006-02-08,32.029999,32.540001,31.959999,32.389999,1067100,32.298217
2006-02-09,32.34,32.580002,32.049999,32.189999,768000,32.098783
2006-02-10,32.189999,32.200001,31.73,32.130001,582600,32.038955
2006-02-13,32.049999,32.290001,31.92,32.119999,737900,32.028982
2006-02-14,32.189999,32.549999,32.150002,32.400002,1178100,32.308191
2006-02-15,32.389999,32.59,32.099998,32.59,797800,32.497651
2006-02-16,32.5,32.669998,32.169998,32.5,727800,32.407906
2006-02-17,31.9,31.950001,30.370001,30.76,3981600,30.672837
2006-02-21,29.42,30.6,29.42,29.83,1860000,29.745472
2006-02-22,29.91,30.610001,29.91,30.41,1514900,30.323828
2006-02-23,30.309999,30.5,29.92,30.0,1757200,29.91499
2006-02-24,30.17,30.33,30.08,30.1,997900,30.014707
2006-02-27,30.25,30.65,30.24,30.360001,848900,30.273971
2006-02-28,30.25,30.290001,29.85,29.98,1127300,29.895046
2006-03-01,30.01,30.08,29.75,30.08,989300,29.994763
2006-03-02,30.08,30.33,29.950001,30.02,564900,29.934934
2006-03-03,29.959999,30.450001,29.83,30.1,549100,30.014707
2006-03-06,30.139999,30.389999,30.07,30.110001,709400,30.024679
2006-03-07,30.17,30.459999,29.879999,29.969999,560200,29.885074
2006-03-08,30.0,30.49,29.969999,30.440001,525500,30.353744
2006-03-09,30.41,30.450001,29.4,29.549999,1360900,29.466264
2006-03-10,29.559999,29.940001,29.530001,29.549999,695200,29.466264
2006-03-13,29.25,29.25,27.9,29.0,4503900,28.917824
2006-03-14,28.799999,29.280001,28.690001,29.040001,1314500,28.957711
2006-03-15,29.18,29.389999,29.1,29.32,726500,29.236917
2006-03-16,29.309999,29.93,29.17,29.5,1538300,29.416407
2006-03-17,29.4,29.459999,28.940001,29.08,1116900,28.997597
2006-03-20,29.049999,29.66,29.030001,29.35,1251600,29.266832
2006-03-21,29.42,29.48,28.9,29.0,663900,28.917824
2006-03-22,28.93,29.02,28.77,28.959999,753700,28.877936
2006-03-23,28.870001,29.0,28.719999,28.77,517000,28.688476
2006-03-24,28.76,28.9,28.67,28.85,800600,28.768249
2006-03-27,28.65,28.700001,28.23,28.620001,1206000,28.538901
