Date,Open,High,Low,Close,Volume,Adj Close
2008-05-15,19.5,19.65,19.17,19.35,4197900,4.447256
2008-05-16,19.25,20.01,19.25,19.99,1109600,4.594348
2008-05-19,19.889999,19.99,19.25,19.51,329700,4.484029
2008-05-20,19.49,19.809999,19.27,19.35,110100,4.447256
2008-05-21,19.280001,19.440001,19.24,19.25,300300,4.424272
2008-05-22,19.07,19.389999,19.0,19.0,209900,4.366814
2008-05-23,19.059999,19.15,19.0,19.049999,118800,4.378306
2008-05-27,19.049999,19.459999,19.0,19.1,61500,4.389797
2008-05-28,19.110001,19.379999,18.6,19.25,152900,4.424272
2008-05-29,19.040001,19.9,19.0,19.700001,235100,4.527697
2008-05-30,19.82,19.85,19.299999,19.700001,156700,4.527697
2008-06-02,19.690001,19.76,19.48,19.6,206100,4.504714
2008-06-03,19.66,19.85,19.049999,19.07,120000,4.382902
2008-06-04,19.02,19.32,19.02,19.1,153400,4.389797
2008-06-05,19.120001,19.5,19.030001,19.33,81900,4.442659
2008-06-06,19.26,19.26,19.02,19.02,24200,4.371411
2008-06-09,19.15,19.25,19.0,19.0,102100,4.366814
2008-06-10,19.0,19.059999,16.809999,18.200001,426400,4.182948
2008-06-11,18.200001,18.200001,15.3,17.15,303100,3.941624
2008-06-12,17.26,17.299999,16.6,17.23,180800,3.960011
2008-06-13,17.24,17.24,16.75,17.059999,86000,3.920939
2008-06-16,16.719999,17.959999,16.549999,17.799999,62100,4.091015
2008-06-17,17.9,18.01,17.129999,17.870001,76800,4.107104
2008-06-18,17.700001,17.92,16.610001,17.040001,173000,3.916343
2008-06-19,17.059999,17.18,16.6,16.879999,84900,3.879569
2008-06-20,16.719999,16.98,16.26,16.629999,96500,3.822111
2008-06-23,16.65,18.09,16.629999,17.9,171700,4.113998
2008-06-24,17.75,17.9,17.129999,17.76,138700,4.081822
2008-06-25,17.92,18.02,17.65,17.799999,145100,4.091015
2008-06-26,17.860001,18.02,17.200001,17.209999,102900,3.955414
2008-06-27,17.299999,17.67,16.809999,17.110001,1230600,3.932431
2008-06-30,16.98,17.98,16.5,16.639999,195200,3.894979
2008-07-01,16.110001,16.74,15.65,16.4,258500,3.838801
2008-07-02,16.52,16.889999,16.299999,16.65,114900,3.89732
2008-07-03,16.76,16.99,16.450001,16.48,66700,3.857527
2008-07-07,16.5,16.5,14.95,14.98,391400,3.506417
2008-07-08,15.03,15.89,14.9,15.5,278100,3.628136
2008-07-09,15.18,15.78,14.87,14.87,195600,3.480669
2008-07-10,14.81,14.9,13.04,13.97,551100,3.270004
2008-07-11,13.69,15.07,13.25,14.86,496400,3.478329
2008-07-14,15.1,15.97,15.02,15.73,247700,3.681972
2008-07-15,15.7,15.7,14.46,14.73,314400,3.447899
2008-07-16,14.67,15.53,14.5,15.11,202100,3.536847
2008-07-17,15.38,15.9,15.28,15.65,197500,3.663247
2008-07-18,15.78,16.110001,15.5,15.53,227200,3.635158
2008-07-21,15.76,16.08,15.28,15.46,316900,3.618773
2008-07-22,15.27,15.91,15.0,15.77,412900,3.691336
2008-07-23,15.87,16.0,15.77,15.92,99900,3.726446
2008-07-24,15.9,15.96,15.3,15.43,248600,3.611751
2008-07-25,15.5,15.6,15.2,15.4,144300,3.604728
2008-07-28,15.5,15.84,14.89,15.01,193200,3.51344
2008-07-29,15.3,16.17,15.15,15.71,239200,3.677291
2008-07-30,16.25,16.43,15.0,15.66,286100,3.665587
2008-07-31,15.45,15.98,15.25,15.64,172700,3.660906
2008-08-01,15.61,16.57,15.61,15.92,163000,3.726446
2008-08-04,16.25,16.35,15.55,15.7,174200,3.67495
2008-08-05,15.8,15.99,15.5,15.79,155500,3.696017
2008-08-06,15.92,15.92,15.5,15.64,151500,3.660906
2008-08-07,15.57,15.73,15.25,15.35,143700,3.593025
2008-08-08,15.39,16.59,15.39,16.49,111700,3.859868
2008-08-11,16.41,16.959999,16.27,16.74,82500,3.918386
2008-08-12,16.629999,17.450001,16.549999,16.68,86500,3.904342
2008-08-13,16.559999,16.99,16.309999,16.65,78000,3.89732
