Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,8.09,8.17,7.82,8.11,2327300,7.586994
2006-01-04,8.11,8.31,8.03,8.25,1763700,7.717966
2006-01-05,8.21,8.54,8.2,8.51,2565100,7.961199
2006-01-06,8.55,8.58,8.35,8.39,1516600,7.848938
2006-01-09,8.36,8.74,8.29,8.56,1834900,8.007974
2006-01-10,8.43,8.53,8.26,8.51,2076600,7.961199
2006-01-11,8.52,8.55,8.35,8.45,1567900,7.905068
2006-01-12,8.41,8.41,8.09,8.09,1886400,7.568284
2006-01-13,8.09,8.15,7.72,7.85,3262400,7.343761
2006-01-17,7.97,8.1,7.8,7.87,3042800,7.362471
2006-01-18,7.8,7.83,7.58,7.74,2018600,7.240855
2006-01-19,7.81,8.02,7.75,7.91,3445700,7.399892
2006-01-20,7.96,7.98,7.68,7.74,1836400,7.240855
2006-01-23,7.8,8.04,7.71,7.95,3793800,7.437312
2006-01-24,8.38,10.45,8.38,10.16,21170400,9.504792
2006-01-25,10.25,10.56,9.67,9.97,8104700,9.327045
2006-01-26,10.07,10.49,9.97,10.36,4796300,9.691894
2006-01-27,10.93,11.29,10.88,11.16,8603600,10.440303
2006-01-30,11.25,11.78,10.99,11.0,6627000,10.290621
2006-01-31,10.94,11.57,10.73,11.51,5071300,10.767732
2006-02-01,11.48,11.74,11.2,11.35,2818900,10.61805
2006-02-02,11.45,11.6,10.85,10.99,2955600,10.281266
2006-02-03,11.04,11.2,10.82,10.89,2770800,10.187715
2006-02-06,10.9,11.53,10.78,11.43,5330100,10.692891
2006-02-07,11.31,11.31,10.85,11.05,5590000,10.337397
2006-02-08,10.85,11.25,10.55,11.25,5122900,10.524499
2006-02-09,11.3,11.59,10.81,10.92,3299700,10.21578
2006-02-10,10.92,11.04,10.55,10.93,2122600,10.225135
2006-02-13,10.93,10.96,10.66,10.71,2595200,10.019323
2006-02-14,10.68,11.14,10.6,11.1,2874900,10.384172
2006-02-15,11.12,11.24,10.8,10.98,2052600,10.27191
2006-02-16,11.05,11.24,10.98,11.22,1527700,10.496434
2006-02-17,11.26,11.38,11.15,11.19,1288000,10.468368
2006-02-21,11.26,11.44,11.07,11.36,1762300,10.627405
2006-02-22,11.36,11.55,11.2,11.37,1368200,10.63676
2006-02-23,11.53,11.94,11.38,11.7,2532900,10.945478
2006-02-24,11.7,11.77,11.47,11.56,2214400,10.814507
2006-02-27,11.5,11.79,11.47,11.51,1719100,10.767732
2006-02-28,11.41,11.5,11.08,11.1,2295800,10.384172
2006-03-01,11.11,11.5,11.11,11.39,3112300,10.655471
2006-03-02,11.1,11.37,10.91,11.34,4232700,10.608695
2006-03-03,13.26,14.0,13.0,13.99,19345600,13.087799
2006-03-06,13.81,13.97,13.04,13.38,5624700,12.517137
2006-03-07,13.0,13.2,12.95,13.11,4772300,12.264549
2006-03-08,12.9,13.11,12.58,13.02,2735500,12.180354
2006-03-09,13.1,13.37,12.76,12.98,2300200,12.142932
2006-03-10,13.25,13.43,12.9,13.41,2377100,12.545202
2006-03-13,13.2,13.26,12.95,13.02,1478800,12.180354
2006-03-14,13.3,13.33,13.04,13.18,1852500,12.330035
2006-03-15,13.24,13.28,12.96,13.21,2287300,12.3581
2006-03-16,13.21,13.64,13.01,13.43,3039400,12.563913
2006-03-17,13.58,14.25,13.44,14.08,5780800,13.171995
2006-03-20,13.87,13.95,13.55,13.69,2537800,12.807145
2006-03-21,13.61,13.99,13.31,13.44,2343700,12.573267
2006-03-22,13.44,13.82,13.42,13.8,1897700,12.910052
2006-03-23,13.81,14.17,13.62,14.0,1507100,13.097154
2006-03-24,14.0,14.15,13.84,14.05,1352500,13.14393
2006-03-27,14.28,14.28,13.9,13.96,1109300,13.059733
2006-03-28,14.2,14.2,13.71,13.74,1125600,12.853921
2006-03-29,13.84,14.39,13.84,14.38,2632500,13.452648
2006-03-30,14.62,15.29,14.55,15.24,5891100,14.257187
2006-03-31,15.36,15.45,14.82,15.0,4613800,14.032665
2006-04-03,15.04,15.55,14.9,15.07,3152400,14.09815
2006-04-04,15.1,15.74,14.85,15.46,2827700,14.463
2006-04-05,15.26,15.55,15.22,15.5,1382500,14.50042
2006-04-06,15.53,15.94,15.46,15.85,3136900,14.82785
2006-04-07,15.85,15.86,15.24,15.41,2932800,14.416224
2006-04-10,15.7,15.7,14.95,15.02,3741800,14.051376
2006-04-11,15.08,15.31,15.01,15.29,2720800,14.303963
2006-04-12,15.26,15.27,14.79,15.01,1746300,14.04202
2006-04-13,15.01,15.46,14.86,15.42,1399800,14.42558
2006-04-17,15.64,15.66,15.06,15.34,1373700,14.350739
2006-04-18,15.57,15.89,15.44,15.82,2342000,14.799784
2006-04-19,15.84,15.95,15.44,15.92,1233200,14.893335
2006-04-20,15.8,15.81,15.0,15.4,2300000,14.406869
2006-04-21,15.53,15.64,15.16,15.24,2210900,14.257187
2006-04-24,15.2,15.49,14.95,15.49,2654500,14.491065
