Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,6.35,6.39,5.96,6.28,1399000,6.28
2006-01-04,6.3,6.3,6.06,6.08,741500,6.08
2006-01-05,6.12,6.28,6.08,6.21,364700,6.21
2006-01-06,6.25,6.35,6.12,6.19,593200,6.19
2006-01-09,6.15,6.36,6.15,6.34,261700,6.34
2006-01-10,6.34,6.35,6.18,6.33,375400,6.33
2006-01-11,6.32,6.33,6.13,6.25,350900,6.25
2006-01-12,6.59,6.9,6.43,6.85,1346700,6.85
2006-01-13,6.83,7.56,6.83,7.46,1963600,7.46
2006-01-17,7.38,8.48,7.36,8.37,2043300,8.37
2006-01-18,8.26,8.29,7.72,7.81,1712100,7.81
2006-01-19,7.8,7.93,7.58,7.61,1054500,7.61
2006-01-20,7.64,7.75,7.58,7.59,399300,7.59
2006-01-23,7.48,7.65,7.26,7.48,557800,7.48
2006-01-24,7.44,7.63,7.39,7.53,901900,7.53
2006-01-25,7.63,8.69,7.55,8.05,4254200,8.05
2006-01-26,8.14,8.61,8.14,8.54,1514700,8.54
2006-01-27,8.44,8.53,8.29,8.4,747800,8.4
2006-01-30,8.42,8.44,8.17,8.21,979400,8.21
2006-01-31,8.04,8.25,7.97,8.18,838600,8.18
2006-02-01,8.06,8.19,7.81,7.88,1931900,7.88
2006-02-02,7.81,7.99,7.78,7.87,577900,7.87
2006-02-03,7.95,8.15,7.83,7.91,1066800,7.91
2006-02-06,7.9,8.13,7.88,8.08,776400,8.08
2006-02-07,8.01,8.08,7.75,7.9,644900,7.9
2006-02-08,7.96,8.06,7.9,8.01,296700,8.01
2006-02-09,7.99,8.56,7.89,8.41,957400,8.41
2006-02-10,8.36,8.48,8.1,8.25,635500,8.25
2006-02-13,8.19,8.24,7.96,8.12,496400,8.12
2006-02-14,8.18,8.37,8.1,8.17,457500,8.17
2006-02-15,8.13,8.4,8.1,8.33,369300,8.33
2006-02-16,8.34,8.5,8.2,8.31,419600,8.31
2006-02-17,8.35,8.5,8.27,8.41,395900,8.41
2006-02-21,8.45,8.48,7.93,8.0,802800,8.0
2006-02-22,8.05,8.24,7.99,8.21,456400,8.21
2006-02-23,8.17,8.45,8.08,8.34,469500,8.34
2006-02-24,8.3,8.4,8.17,8.38,291500,8.38
2006-02-27,8.26,8.35,7.9,8.25,952000,8.25
2006-02-28,8.2,8.28,8.1,8.16,357300,8.16
2006-03-01,8.11,8.52,8.11,8.46,699400,8.46
2006-03-02,8.5,8.7,8.34,8.58,587200,8.58
2006-03-03,8.51,8.62,8.29,8.43,545100,8.43
2006-03-06,8.39,8.44,8.13,8.3,341600,8.3
2006-03-07,8.2,8.3,8.1,8.13,329800,8.13
2006-03-08,8.1,8.17,8.01,8.07,189000,8.07
2006-03-09,8.04,8.1,7.97,8.01,262700,8.01
2006-03-10,7.99,8.25,7.99,8.21,181300,8.21
2006-03-13,8.18,8.49,8.18,8.4,466300,8.4
2006-03-14,8.36,8.36,8.16,8.26,254500,8.26
2006-03-15,8.29,8.43,8.12,8.42,303000,8.42
2006-03-16,8.41,8.46,8.32,8.45,239200,8.45
2006-03-17,8.49,9.16,8.22,9.05,1383000,9.05
2006-03-20,9.05,9.45,8.77,9.23,1228900,9.23
2006-03-21,9.24,9.24,8.75,8.77,523300,8.77
2006-03-22,8.79,8.94,8.61,8.76,681200,8.76
2006-03-23,8.72,8.87,8.62,8.67,456200,8.67
2006-03-24,8.7,8.99,8.69,8.97,440200,8.97
2006-03-27,8.96,9.07,8.93,9.0,518300,9.0
2006-03-28,9.05,9.16,8.89,9.02,447900,9.02
2006-03-29,9.0,9.25,9.0,9.21,353600,9.21
2006-03-30,9.21,9.43,9.05,9.33,669500,9.33
2006-03-31,9.32,9.39,9.05,9.17,706800,9.17
2006-04-03,9.15,9.32,8.97,9.03,570300,9.03
2006-04-04,8.99,9.17,8.76,9.04,652700,9.04
2006-04-05,9.02,9.07,8.88,8.98,407900,8.98
2006-04-06,8.93,8.99,8.83,8.91,289300,8.91
2006-04-07,8.88,9.1,8.81,8.91,306900,8.91
2006-04-10,8.87,8.94,8.72,8.92,371800,8.92
2006-04-11,8.94,8.95,8.72,8.74,433200,8.74
2006-04-12,8.7,9.01,8.68,9.01,535300,9.01
