Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,23.809999,24.25,23.629999,24.0,70500,24.0
2006-01-04,24.0,24.68,23.639999,23.74,89300,23.74
2006-01-05,23.700001,24.35,23.700001,24.190001,301800,24.190001
2006-01-06,24.25,25.34,24.030001,25.139999,187400,25.139999
2006-01-09,26.639999,26.99,25.860001,26.4,222900,26.4
2006-01-10,26.25,26.5,25.889999,26.49,93300,26.49
2006-01-11,26.49,26.5,26.059999,26.35,78300,26.35
2006-01-12,26.25,26.629999,25.969999,26.610001,137500,26.610001
2006-01-13,26.709999,26.860001,26.360001,26.620001,75000,26.620001
2006-01-17,26.620001,27.27,26.610001,27.16,111600,27.16
2006-01-18,27.16,27.16,26.860001,27.08,119500,27.08
2006-01-19,26.6,27.620001,26.6,27.200001,92300,27.200001
2006-01-20,27.4,27.4,26.870001,27.049999,54900,27.049999
2006-01-23,27.030001,27.030001,26.799999,27.0,72800,27.0
2006-01-24,27.02,27.459999,27.0,27.190001,66800,27.190001
2006-01-25,27.190001,27.25,26.75,26.889999,54000,26.889999
2006-01-26,26.99,27.15,26.809999,26.889999,102000,26.889999
2006-01-27,26.9,27.25,26.9,27.040001,56500,27.040001
2006-01-30,27.0,27.23,26.620001,26.799999,72000,26.799999
2006-01-31,26.549999,27.059999,26.549999,26.85,83600,26.85
2006-02-01,26.799999,26.860001,26.450001,26.700001,50200,26.700001
2006-02-02,26.65,26.65,25.799999,26.25,53300,26.25
2006-02-03,26.15,26.299999,25.879999,26.01,43500,26.01
2006-02-06,25.950001,26.139999,25.85,26.1,45100,26.1
2006-02-07,26.15,26.98,26.139999,26.43,65200,26.43
2006-02-08,26.43,26.950001,25.709999,26.73,141200,26.73
2006-02-09,26.799999,26.799999,26.549999,26.629999,124000,26.629999
2006-02-10,26.549999,26.950001,26.4,26.719999,93900,26.719999
2006-02-13,26.65,26.66,26.1,26.18,38100,26.18
2006-02-14,26.1,26.58,26.030001,26.58,56500,26.58
2006-02-15,26.58,26.58,26.35,26.549999,46400,26.549999
2006-02-16,26.549999,26.629999,26.35,26.629999,49400,26.629999
2006-02-17,26.65,26.65,26.440001,26.450001,49500,26.450001
2006-02-21,26.379999,26.639999,26.280001,26.42,63500,26.42
2006-02-22,26.5,26.68,26.42,26.49,56000,26.49
2006-02-23,26.450001,26.58,26.32,26.52,49000,26.52
2006-02-24,26.52,26.709999,26.360001,26.389999,71900,26.389999
2006-02-27,26.549999,26.719999,26.43,26.57,102800,26.57
2006-02-28,26.57,26.620001,26.35,26.49,74000,26.49
2006-03-01,26.49,26.85,26.299999,26.58,80300,26.58
2006-03-02,26.58,27.18,25.959999,27.18,255600,27.18
2006-03-03,27.15,27.16,26.540001,26.690001,116200,26.690001
2006-03-06,25.74,26.700001,25.74,26.370001,125100,26.370001
2006-03-07,26.35,26.35,25.190001,25.219999,87200,25.219999
2006-03-08,25.25,25.450001,25.1,25.15,78600,25.15
2006-03-09,25.200001,25.309999,24.85,24.940001,124500,24.940001
2006-03-10,24.799999,25.700001,24.76,25.049999,66000,25.049999
2006-03-13,25.15,25.25,24.92,25.0,214900,25.0
2006-03-14,25.0,25.23,24.799999,25.07,206800,25.07
2006-03-15,25.15,25.15,24.940001,25.09,271500,25.09
2006-03-16,25.09,25.200001,24.799999,25.139999,121900,25.139999
2006-03-17,25.25,25.85,25.1,25.85,329700,25.85
2006-03-20,25.75,25.879999,25.51,25.879999,77000,25.879999
2006-03-21,25.879999,25.889999,25.18,25.24,120100,25.24
2006-03-22,25.24,25.43,25.120001,25.190001,155500,25.190001
2006-03-23,25.35,25.610001,25.219999,25.5,60400,25.5
2006-03-24,25.75,25.77,25.209999,25.389999,42500,25.389999
2006-03-27,25.290001,25.77,25.290001,25.639999,126100,25.639999
2006-03-28,25.639999,26.969999,25.57,26.959999,100000,26.959999
2006-03-29,27.91,28.549999,27.219999,28.42,173300,28.42
2006-03-30,28.4,29.0,28.4,28.66,217200,28.66
2006-03-31,28.860001,28.860001,28.450001,28.73,210500,28.73
2006-04-03,28.75,28.950001,28.1,28.459999,222000,28.459999
2006-04-04,28.6,28.75,27.950001,28.74,119300,28.74
2006-04-05,28.639999,28.809999,27.299999,27.93,332000,27.93
2006-04-06,27.879999,27.99,27.549999,27.629999,99500,27.629999
2006-04-07,27.75,27.940001,26.75,27.110001,81100,27.110001
2006-04-10,27.049999,27.190001,26.25,27.120001,110300,27.120001
2006-04-11,27.0,27.0,25.690001,25.73,147400,25.73
2006-04-12,25.780001,25.780001,25.26,25.5,307300,25.5
2006-04-13,25.450001,25.65,25.4,25.51,133800,25.51
2006-04-17,25.5,25.6,24.6,24.870001,157800,24.870001
2006-04-18,25.0,25.870001,25.0,25.870001,113200,25.870001
2006-04-19,25.620001,25.98,25.530001,25.91,106500,25.91
2006-04-20,26.1,26.1,25.459999,25.610001,65700,25.610001
2006-04-21,26.5,26.549999,25.73,25.93,51300,25.93
2006-04-24,26.049999,26.469999,25.799999,25.860001,86600,25.860001
2006-04-25,25.959999,26.1,25.299999,25.389999,58200,25.389999
2006-04-26,25.49,25.92,25.24,25.26,54800,25.26
2006-04-27,25.200001,26.049999,25.1,25.559999,72100,25.559999
2006-04-28,25.5,26.01,25.35,26.0,103600,26.0
2006-05-01,26.0,26.450001,25.6,25.719999,108100,25.719999
2006-05-02,25.700001,26.040001,25.23,26.0,105000,26.0
2006-05-03,26.75,28.879999,26.0,28.799999,747700,28.799999
2006-05-04,28.75,30.99,28.51,30.299999,582800,30.299999
2006-05-05,30.4,30.82,30.25,30.5,359700,30.5
2006-05-08,30.5,30.700001,29.799999,30.25,132600,30.25
2006-05-09,30.25,30.35,29.139999,29.389999,93900,29.389999
2006-05-10,29.25,29.799999,28.75,28.950001,113100,28.950001
2006-05-11,29.0,29.1,28.42,28.75,99400,28.75
2006-05-12,28.700001,28.98,27.9,28.0,119300,28.0
2006-05-15,27.799999,28.950001,27.49,28.719999,157600,28.719999
2006-05-16,28.73,28.790001,28.25,28.51,84300,28.51
2006-05-17,28.299999,28.48,27.98,28.219999,85800,28.219999
2006-05-18,28.1,29.0,28.1,28.879999,136600,28.879999
2006-05-19,28.780001,28.780001,28.25,28.700001,181700,28.700001
2006-05-22,28.700001,28.77,27.51,28.15,128900,28.15
2006-05-23,28.4,28.780001,27.5,27.84,166800,27.84
2006-05-24,27.83,27.83,27.25,27.690001,102400,27.690001
2006-05-25,27.85,28.0,27.4,27.790001,82900,27.790001
2006-05-26,28.0,29.440001,27.969999,29.379999,120000,29.379999
2006-05-30,29.299999,29.309999,28.51,28.65,81900,28.65
2006-05-31,28.25,28.85,28.110001,28.85,107000,28.85
2006-06-01,28.950001,30.5,28.9,30.43,266400,30.43
2006-06-02,30.35,32.0,30.35,30.4,257200,30.4
2006-06-05,30.35,30.35,29.309999,29.540001,162600,29.540001
2006-06-06,29.34,29.34,28.15,28.91,228800,28.91
2006-06-07,29.0,29.73,28.700001,29.280001,157000,29.280001
2006-06-08,29.379999,30.57,29.0,30.040001,330900,30.040001
2006-06-09,30.0,30.1,29.77,29.9,130400,29.9
2006-06-12,29.799999,30.1,29.59,30.0,153700,30.0
2006-06-13,29.65,30.1,29.25,29.43,227500,29.43
2006-06-14,29.43,29.530001,28.299999,28.65,119200,28.65
2006-06-15,28.65,29.0,28.49,28.85,108100,28.85
2006-06-16,29.0,29.02,28.41,28.639999,383800,28.639999
2006-06-19,28.51,28.629999,27.6,27.889999,82300,27.889999
2006-06-20,28.0,28.4,27.700001,27.82,68500,27.82
2006-06-21,27.67,28.25,27.41,27.6,144800,27.6
2006-06-22,27.75,28.209999,27.549999,27.9,132300,27.9
2006-06-23,28.1,28.1,27.540001,27.85,72500,27.85
2006-06-26,28.35,28.5,27.85,28.0,135300,28.0
2006-06-27,28.1,28.15,27.709999,27.719999,112600,27.719999
2006-06-28,27.82,27.860001,27.190001,27.33,87700,27.33
2006-06-29,27.75,27.75,27.370001,27.700001,186000,27.700001
2006-06-30,27.719999,28.23,27.719999,28.23,380700,28.23
2006-07-03,28.25,28.35,27.83,27.9,56400,27.9
2006-07-05,27.74,28.83,27.629999,28.83,164800,28.83
2006-07-06,28.75,28.99,28.450001,28.67,74900,28.67
2006-07-07,28.42,28.719999,27.940001,27.950001,81000,27.950001
2006-07-10,28.0,28.290001,27.700001,28.24,86300,28.24
2006-07-11,28.139999,28.26,27.450001,28.25,68000,28.25
2006-07-12,28.25,28.26,26.75,26.799999,96000,26.799999
2006-07-13,26.9,26.9,25.99,26.26,149300,26.26
2006-07-14,26.26,27.0,26.26,26.700001,88500,26.700001
2006-07-17,26.690001,26.879999,26.200001,26.5,81000,26.5
2006-07-18,27.299999,28.0,27.0,27.6,268200,27.6
2006-07-19,27.73,30.219999,27.73,29.879999,510200,29.879999
2006-07-20,29.98,30.1,29.5,29.99,128200,29.99
2006-07-21,29.99,29.99,29.15,29.32,101500,29.32
2006-07-24,29.41,30.450001,29.41,30.299999,122000,30.299999
