Date,Open,High,Low,Close,Volume,Adj Close
2013-01-02,11.98,11.99,11.26,11.95,264200,11.95
2013-01-03,12.0,12.05,11.65,11.73,220300,11.73
2013-01-04,11.73,11.93,11.72,11.88,99500,11.88
2013-01-07,12.1,12.1,11.83,11.93,146400,11.93
2013-01-08,11.9,12.06,11.81,12.06,130200,12.06
2013-01-09,12.17,12.98,12.05,12.94,282700,12.94
2013-01-10,13.14,13.42,12.5,13.05,251500,13.05
2013-01-11,13.13,13.25,12.75,12.78,125300,12.78
2013-01-14,12.79,13.0,12.25,12.81,118500,12.81
2013-01-15,12.71,12.83,12.56,12.75,89500,12.75
2013-01-16,12.76,12.8,12.5,12.6,62200,12.6
2013-01-17,12.64,12.75,11.25,11.45,461300,11.45
2013-01-18,11.48,11.85,11.37,11.67,157800,11.67
2013-01-22,11.75,12.38,11.72,12.19,254500,12.19
2013-01-23,12.15,12.29,11.82,11.99,115700,11.99
2013-01-24,11.97,12.03,11.5,11.63,130000,11.63
2013-01-25,11.71,11.9,11.52,11.84,76800,11.84
2013-01-28,11.79,11.84,11.5,11.57,78300,11.57
2013-01-29,11.52,11.72,11.44,11.52,49700,11.52
2013-01-30,11.6,11.83,10.07,10.16,510500,10.16
2013-01-31,10.24,10.33,9.55,9.96,324100,9.96
2013-02-01,10.02,10.56,10.02,10.48,184700,10.48
2013-02-04,10.52,10.52,10.1,10.24,75200,10.24
2013-02-05,10.22,10.29,9.9,9.98,119000,9.98
2013-02-06,9.95,10.1,9.9,9.99,84700,9.99
2013-02-07,9.75,10.12,9.65,9.98,253400,9.98
2013-02-08,9.93,10.0,9.52,9.73,92000,9.73
2013-02-11,9.73,9.73,9.04,9.42,182300,9.42
2013-02-12,9.45,9.71,9.39,9.7,86200,9.7
2013-02-13,9.73,9.84,9.59,9.68,62400,9.68
2013-02-14,9.78,9.91,9.5,9.51,112600,9.51
2013-02-15,9.57,9.82,9.12,9.8,191400,9.8
2013-02-19,9.85,10.18,9.71,9.87,46300,9.87
2013-02-20,9.91,10.01,9.32,9.49,166600,9.49
2013-02-21,9.44,9.46,9.15,9.31,126700,9.31
2013-02-22,9.3,9.7,9.29,9.49,141600,9.49
2013-02-25,9.59,9.96,9.59,9.59,67200,9.59
2013-02-26,9.68,9.84,9.62,9.74,45600,9.74
2013-02-27,9.78,9.98,9.63,9.75,64400,9.75
2013-02-28,9.72,10.09,9.66,9.96,77800,9.96
2013-03-01,9.86,10.64,9.83,10.58,104100,10.58
2013-03-04,10.59,10.59,9.98,10.15,129000,10.15
2013-03-05,10.3,10.65,10.2,10.58,86200,10.58
2013-03-06,10.66,11.67,10.62,11.54,192800,11.54
2013-03-07,11.82,12.18,11.25,11.97,266400,11.97
2013-03-08,13.45,14.73,13.0,13.58,1745600,13.58
2013-03-11,14.0,14.38,13.31,13.74,523400,13.74
2013-03-12,13.85,13.9,12.42,12.79,547700,12.79
2013-03-13,12.85,13.65,12.61,13.31,231200,13.31
2013-03-14,13.28,14.0,12.95,13.9,222200,13.9
2013-03-15,13.96,13.99,13.34,13.49,171300,13.49
2013-03-18,13.42,13.71,12.03,12.35,597000,12.35
2013-03-19,12.46,12.85,12.26,12.62,296000,12.62
2013-03-20,12.77,13.35,12.61,12.94,261900,12.94
2013-03-21,12.86,13.04,12.61,12.95,110900,12.95
2013-03-22,12.99,13.25,12.78,12.9,196400,12.9
2013-03-25,13.4,14.63,13.2,14.13,887500,14.13
2013-03-26,14.37,15.47,14.25,15.04,1171700,15.04
2013-03-27,15.19,15.26,14.51,14.79,601000,14.79
2013-03-28,14.76,15.91,14.72,15.66,853800,15.66
2013-04-01,15.91,16.0,14.56,14.87,795000,14.87
2013-04-02,15.14,15.54,14.82,14.94,276600,14.94
2013-04-03,14.96,15.04,13.2,13.7,1008700,13.7
2013-04-04,13.85,14.92,13.8,14.55,607600,14.55
2013-04-05,14.24,14.55,13.76,14.0,383900,14.0
2013-04-08,13.81,14.45,13.75,14.36,533200,14.36
2013-04-09,14.31,14.36,14.0,14.17,375500,14.17
2013-04-10,14.18,14.3,13.73,13.98,619800,13.98
2013-04-11,13.98,13.98,13.03,13.3,741200,13.3
2013-04-12,13.3,14.08,13.1,13.99,451800,13.99
2013-04-15,13.99,13.99,12.8,12.91,520400,12.91
2013-04-16,13.09,13.8,13.01,13.74,332700,13.74
2013-04-17,13.69,13.7,12.81,13.0,517100,13.0
2013-04-18,13.1,13.15,12.11,12.42,476000,12.42
2013-04-19,12.6,13.39,12.6,13.31,390100,13.31
2013-04-22,13.41,13.68,12.67,12.96,237300,12.96
2013-04-23,13.01,13.19,12.83,12.99,359900,12.99
2013-04-24,12.99,13.1,12.5,12.99,254000,12.99
2013-04-25,12.8,14.1,12.8,13.91,1149700,13.91
2013-04-26,13.9,14.08,13.49,13.74,422200,13.74
2013-04-29,13.76,14.47,13.75,14.19,727300,14.19
2013-04-30,14.27,14.5,13.59,13.7,474400,13.7
2013-05-01,13.65,13.74,12.94,13.44,602400,13.44
2013-05-02,13.59,13.96,13.41,13.9,304300,13.9
2013-05-03,14.0,14.37,13.67,13.96,390600,13.96
2013-05-06,14.06,15.09,13.99,14.7,1445200,14.7
2013-05-07,14.65,14.7,13.2,13.77,1193400,13.77
2013-05-08,13.73,13.92,13.5,13.79,281100,13.79
2013-05-09,13.7,14.05,13.52,13.81,252300,13.81
2013-05-10,13.88,14.47,13.75,14.33,475900,14.33
2013-05-13,14.7,15.89,14.64,15.12,2126800,15.12
2013-05-14,15.12,15.5,14.09,14.15,1688600,14.15
2013-05-15,14.11,15.25,14.11,15.21,952900,15.21
2013-05-16,15.11,15.4,14.75,15.19,579500,15.19
2013-05-17,15.37,15.5,15.06,15.24,533700,15.24
2013-05-20,16.01,17.389999,15.76,16.790001,3108100,16.790001
2013-05-21,17.5,17.9,16.32,16.9,2062900,16.9
