Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,80.75,82.43,79.580002,82.43,704300,82.325428
2006-01-04,82.43,83.260002,82.290001,83.0,455300,82.894704
2006-01-05,83.110001,83.110001,81.620003,82.379997,287800,82.275488
2006-01-06,82.779999,83.910004,82.779999,83.620003,414200,83.51392
2006-01-09,83.5,85.459999,83.5,85.150002,379800,85.041978
2006-01-10,85.129997,85.349998,84.580002,85.199997,198300,85.09191
2006-01-11,85.209999,86.870003,85.120003,86.599998,435300,86.490136
2006-01-12,86.629997,87.199997,86.169998,87.120003,302200,87.00948
2006-01-13,87.120003,87.699997,86.910004,87.239998,252300,87.129323
2006-01-17,87.040001,87.120003,85.589996,86.120003,379000,86.010749
2006-01-18,86.129997,86.400002,85.639999,86.129997,380300,86.020731
2006-01-19,86.300003,86.800003,86.089996,86.5,351700,86.390264
2006-01-20,86.360001,87.25,85.360001,85.849998,449800,85.741087
2006-01-23,85.300003,86.709999,85.160004,85.970001,237600,85.860938
2006-01-24,86.349998,87.5,86.300003,86.699997,1448900,86.590007
2006-01-25,89.349998,93.089996,89.150002,93.019997,1980300,92.901989
2006-01-26,93.019997,94.980003,93.019997,94.459999,817800,94.340165
2006-01-27,94.400002,94.400002,91.739998,91.910004,857700,91.793404
2006-01-30,91.879997,92.900002,91.769997,92.019997,689100,91.903258
2006-01-31,92.150002,93.610001,91.809998,92.800003,509600,92.682275
2006-02-01,92.75,93.540001,91.800003,92.07,550800,91.953197
2006-02-02,92.300003,92.75,91.449997,91.919998,496000,91.803386
2006-02-03,91.919998,92.769997,91.059998,91.160004,384100,91.044356
2006-02-06,91.400002,92.379997,91.160004,92.32,286800,92.20288
2006-02-07,92.629997,93.5,90.830002,91.150002,300700,91.034366
2006-02-08,91.269997,91.449997,90.099998,91.199997,275900,91.084298
2006-02-09,91.419998,92.589996,90.910004,91.169998,255800,91.054338
2006-02-10,91.169998,91.169998,89.400002,89.940002,260600,89.825902
2006-02-13,90.18,90.68,89.309998,89.82,285000,89.706052
2006-02-14,90.25,91.599998,89.699997,91.050003,307700,90.934495
2006-02-15,91.199997,92.309998,90.959999,92.300003,246700,92.182909
2006-02-16,92.489998,94.650002,92.489998,94.190002,565200,94.070511
2006-02-17,94.209999,94.739998,93.949997,94.419998,459500,94.300215
2006-02-21,94.639999,95.379997,94.25,94.699997,586400,94.579858
2006-02-22,95.349998,98.260002,95.349998,97.400002,868100,97.276437
2006-02-23,97.5,98.959999,97.330002,98.510002,728400,98.38503
2006-02-24,98.599998,99.889999,98.599998,99.669998,858400,99.543554
2006-02-27,99.470001,101.400002,99.419998,100.760002,627300,100.632175
2006-02-28,100.68,101.199997,97.519997,98.43,1378900,98.30513
2006-03-01,98.43,100.139999,98.43,99.32,534100,99.194
2006-03-02,99.32,100.650002,98.989998,100.5,581400,100.372503
2006-03-03,100.25,101.790001,100.099998,101.129997,620800,101.001701
2006-03-06,100.879997,101.0,98.169998,98.400002,447700,98.275169
2006-03-07,98.400002,98.400002,96.040001,96.519997,589500,96.397549
2006-03-08,96.449997,97.279999,95.510002,96.029999,565000,95.908173
2006-03-09,96.25,97.099998,94.849998,94.980003,373000,94.859509
2006-03-10,95.18,95.830002,94.919998,95.199997,506700,95.079224
2006-03-13,97.150002,98.760002,95.900002,97.970001,743500,97.845714
2006-03-14,98.849998,101.459999,98.660004,101.029999,1036000,100.90183
2006-03-15,101.199997,102.949997,101.150002,102.050003,1893700,101.92054
2006-03-16,102.099998,104.349998,101.389999,101.809998,1043600,101.680839
2006-03-17,101.599998,103.900002,101.550003,103.120003,769400,102.989182
2006-03-20,104.129997,105.0,102.269997,103.860001,857700,103.728241
2006-03-21,103.699997,104.050003,102.529999,102.760002,436200,102.629638
2006-03-22,102.529999,103.68,102.0,103.620003,321800,103.488548
2006-03-23,103.620003,103.660004,101.68,102.050003,219900,101.92054
2006-03-24,102.0,104.0,101.830002,103.940002,309900,103.808142
2006-03-27,103.940002,103.940002,102.769997,103.300003,283900,103.168954
2006-03-28,103.800003,103.980003,101.330002,101.449997,870900,101.321295
2006-03-29,101.449997,105.949997,101.449997,105.389999,2565300,105.256299
2006-03-30,105.709999,108.580002,105.57,106.18,889300,106.045298
2006-03-31,106.199997,107.029999,105.5,106.610001,620000,106.474752
2006-04-03,107.309998,107.459999,103.290001,103.650002,1238000,103.518509
2006-04-04,103.349998,105.459999,103.0,105.050003,564400,104.916734
2006-04-05,107.0,107.300003,105.339996,106.709999,1453800,106.574624
2006-04-06,106.5,106.690002,104.440002,105.0,501400,104.866794
2006-04-07,105.25,105.269997,102.949997,103.0,663300,102.869332
2006-04-10,103.07,103.800003,101.290001,102.830002,595600,102.699549
2006-04-11,102.830002,102.830002,100.550003,101.099998,1137000,100.97174
2006-04-12,99.25,100.809998,98.800003,100.5,849300,100.372503
2006-04-13,100.300003,102.150002,100.300003,101.830002,467000,101.700818
2006-04-17,101.75,102.449997,101.190002,102.139999,420800,102.010422
2006-04-18,102.400002,104.300003,102.339996,103.800003,464700,103.66832
2006-04-19,103.959999,104.120003,102.75,103.589996,525400,103.458579
2006-04-20,103.690002,103.790001,102.75,103.510002,277200,103.378687
