Date,Open,High,Low,Close,Volume,Adj Close
2013-08-01,15.59,16.74,15.5,15.6,21094700,14.990194
2013-08-02,15.58,15.88,15.55,15.83,2114600,15.211203
2013-08-05,15.72,15.9,15.66,15.66,736400,15.047848
2013-08-06,15.66,15.99,15.66,15.78,414100,15.163157
2013-08-07,15.68,15.77,15.6,15.65,400600,15.038239
2013-08-08,15.75,16.15,15.75,16.120001,1216600,15.489867
2013-08-09,16.049999,16.16,16.0,16.1,608400,15.470649
2013-08-12,16.049999,16.27,16.049999,16.15,868200,15.518694
2013-08-13,16.15,16.200001,16.0,16.049999,364300,15.422602
2013-08-14,15.98,16.09,15.8,16.040001,371700,15.412995
2013-08-15,16.0,16.1,15.87,16.0,772400,15.374557
2013-08-16,16.07,16.23,16.0,16.059999,1368000,15.432212
2013-08-19,16.02,16.110001,16.0,16.01,256000,15.384167
2013-08-20,16.01,16.1,15.93,16.01,656500,15.384167
2013-08-21,16.01,16.059999,16.0,16.049999,199700,15.422602
2013-08-22,16.030001,16.120001,16.01,16.07,211000,15.441821
2013-08-23,16.049999,16.1,15.65,16.02,845600,15.393776
2013-08-26,15.95,16.02,15.78,15.85,358800,15.230421
2013-08-27,15.62,16.040001,15.55,15.93,1135000,15.307294
2013-08-28,16.0,16.059999,15.85,15.91,552400,15.288075
2013-08-29,15.9,16.01,15.83,15.9,636100,15.278466
2013-08-30,15.85,15.99,15.85,15.88,121300,15.259248
2013-09-03,15.86,16.0,15.85,16.0,724000,15.374557
2013-09-04,15.94,16.1,15.91,16.049999,630300,15.422602
2013-09-05,15.72,16.02,15.72,15.84,352100,15.220812
2013-09-06,15.95,16.059999,15.81,15.92,328600,15.297685
2013-09-09,15.92,16.1,15.92,16.059999,578000,15.432212
2013-09-10,16.0,16.049999,15.55,15.62,598400,15.009412
2013-09-11,15.55,15.74,15.46,15.53,429000,14.92293
2013-09-12,15.49,15.55,15.29,15.35,446900,14.749966
2013-09-13,15.3,15.86,15.3,15.85,904800,15.230421
2013-09-16,15.8,15.95,15.41,15.91,874600,15.288075
2013-09-17,15.89,15.97,15.88,15.93,531300,15.307294
2013-09-18,15.97,16.049999,15.74,15.95,843600,15.326512
2013-09-19,15.91,16.049999,15.91,16.040001,658800,15.412995
2013-09-20,15.97,16.379999,15.97,16.299999,4163300,15.66283
2013-09-23,16.23,16.99,16.23,16.799999,1170800,16.143285
2013-09-24,16.75,16.91,16.68,16.9,705900,16.239376
2013-09-25,16.889999,16.9,16.540001,16.610001,415900,15.960713
2013-09-26,16.280001,16.889999,16.280001,16.719999,539200,16.066412
2013-09-27,16.68,16.799999,16.17,16.4,428100,15.758921
2013-09-30,16.299999,16.639999,16.1,16.15,2734600,15.518694
2013-10-01,16.15,16.299999,15.93,16.02,949100,15.393776
2013-10-02,15.94,15.94,15.61,15.82,1810200,15.201593
2013-10-03,15.73,15.8,15.45,15.6,1101900,14.990194
2013-10-04,15.64,16.02,15.5,15.8,1156400,15.182376
2013-10-07,15.67,15.79,15.57,15.6,1349500,14.990194
2013-10-08,15.61,15.73,15.39,15.45,1528000,14.846057
2013-10-09,15.47,15.55,15.1,15.22,1511800,14.625048
2013-10-10,15.31,15.4,15.24,15.32,851900,14.721139
