Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,59.399997,59.729999,58.81,59.61,1222700,41.76976
2006-01-04,59.47,59.47,58.8,58.929999,1531900,41.293272
2006-01-05,58.999999,59.219998,58.319999,58.419998,1284800,40.935905
2006-01-06,58.669997,59.819998,58.669997,59.779999,816000,41.888881
2006-01-09,59.6,59.659999,58.79,59.019999,654400,41.356336
2006-01-10,58.919999,58.929999,58.009996,58.339999,769000,40.879848
2006-01-11,58.339999,59.48,58.1,59.48,1591700,41.678667
2006-01-12,59.379997,60.079997,59.009999,59.019999,1554000,41.356336
2006-01-13,59.179998,59.349997,58.539997,58.78,636800,41.188165
2006-01-17,58.78,59.919998,58.549997,59.759999,1688700,41.874867
2006-01-18,59.659999,59.659999,59.139998,59.349997,1206600,41.587571
2006-01-19,59.749999,61.01,59.52,60.689997,1213900,42.526533
2006-01-20,60.749997,60.749997,59.53,59.55,1232100,41.727717
2006-01-23,59.48,60.33,59.48,59.769999,878600,41.881874
2006-01-24,59.999997,61.299998,59.919998,61.059999,1789300,42.7858
2006-01-25,62.049998,62.499999,61.499997,61.499997,2402000,43.094114
2006-01-26,61.65,61.789999,60.98,60.98,1762500,42.729743
2006-01-27,61.249998,62.189997,60.99,62.119997,1188300,43.528559
2006-01-30,62.099998,62.45,61.67,62.039998,924400,43.472502
2006-01-31,61.999998,62.059998,61.599996,61.69,981200,43.227252
2006-02-01,61.7,62.069998,61.389998,61.799999,1312800,43.304331
2006-02-02,61.859999,61.859999,60.499999,60.889996,1381400,42.666676
2006-02-03,60.889996,61.359998,60.609998,60.819997,1205900,42.617626
2006-02-06,62.049998,62.999997,62.019998,62.889997,2266200,44.068111
2006-02-07,62.959997,63.249999,61.789999,61.939999,1198300,43.40243
2006-02-08,62.599999,62.649999,61.989998,62.249997,1543800,43.619652
2006-02-09,62.259997,62.879997,61.939999,62.099998,1184100,43.514545
2006-02-10,62.309996,62.749998,61.599996,62.35,1126000,43.689726
2006-02-13,62.149997,62.48,61.779999,62.169997,865400,43.563595
2006-02-14,62.179997,63.319999,62.179997,63.13,973900,44.236285
2006-02-15,62.899997,63.529998,62.729998,63.229999,697600,44.306356
2006-02-16,63.449998,63.749996,63.299999,63.749996,720500,44.670727
2006-02-17,63.729996,64.089999,63.229999,63.969999,1096000,44.824887
2006-02-21,63.969999,64.349997,63.269999,63.379998,1417700,44.411463
2006-02-22,63.629997,64.239998,63.569997,64.039999,1361600,44.873937
2006-02-23,64.139998,64.51,63.669997,64.409997,1108700,45.133201
2006-02-24,64.409997,64.63,64.219998,64.5,943000,45.196268
2006-02-27,64.51,64.899998,64.449996,64.54,899700,45.224297
2006-02-28,64.299997,64.419997,63.699997,64.159998,847800,44.958023
2006-03-01,64.159998,64.649999,63.979999,64.319997,831000,45.070137
2006-03-02,64.069999,64.689999,63.88,64.409997,934500,45.133201
2006-03-03,63.84,64.249998,63.549998,63.87,978600,44.754816
2006-03-06,64.099998,64.349997,63.459998,63.81,1894300,44.712773
2006-03-07,63.81,64.63,63.8,64.54,1500800,45.224297
2006-03-08,64.049999,64.54,62.559999,62.799998,2323500,44.005047
2006-03-09,62.999997,63.83,62.629999,62.669998,978000,43.913954
2006-03-10,63.349999,64.349997,63.1,64.019999,1698800,44.859923
2006-03-13,64.019999,64.289997,63.649997,63.91,1305900,44.782844
2006-03-14,63.91,64.959998,63.91,64.909998,844100,45.483561
2006-03-15,64.999997,65.829997,64.999997,65.419999,1922800,45.840927
2006-03-16,65.599998,66.02,65.32,65.799997,1101400,46.107198
2006-03-17,66.0,66.0,65.389999,65.739997,1439600,46.065155
2006-03-20,65.399999,65.809997,65.129997,65.579998,875600,45.953041
2006-03-21,65.479999,67.42,65.35,66.849999,2555900,46.842953
2006-03-22,67.839998,68.099996,67.139997,67.619999,2515200,47.382505
2006-03-23,66.999998,67.589999,66.309998,66.839999,1275600,46.835946
