Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,44.709999,44.779999,43.880001,44.470001,1759200,10.520881
2006-01-04,44.639999,45.93,44.639999,45.919998,2134400,10.863927
2006-01-05,45.779999,46.060001,45.380001,45.610001,1514800,10.790587
2006-01-06,45.799999,46.549999,45.450001,46.450001,1321200,10.989317
2006-01-09,46.349998,47.470001,46.349998,47.41,3166400,11.216437
2006-01-10,47.16,47.220001,46.560001,46.799999,1814800,11.072121
2006-01-11,46.0,46.490002,45.799999,46.380001,2514400,10.972756
2006-01-12,46.169998,46.889999,45.939999,46.16,1726400,10.920707
2006-01-13,46.23,46.400002,45.700001,46.130001,1329600,10.91361
2006-01-17,46.099998,46.439999,45.799999,46.16,2150000,10.920707
2006-01-18,45.5,45.849998,45.259998,45.490002,1742400,10.762197
2006-01-19,46.0,51.080002,45.830002,50.299999,12795600,11.900164
2006-01-20,49.599998,50.0,49.169998,49.290001,3175200,11.661215
2006-01-23,49.610001,49.610001,48.880001,49.09,2512800,11.613898
2006-01-24,49.119999,49.919998,49.02,49.830002,2926400,11.78897
2006-01-25,49.970001,50.209999,49.029999,49.299999,1413200,11.66358
2006-01-26,49.439999,50.060001,49.220001,49.900002,1233200,11.805531
2006-01-27,49.900002,50.59,49.470001,50.110001,1231200,11.855214
2006-01-30,49.970001,50.73,49.91,50.580002,1176800,11.966408
2006-01-31,50.599998,51.119999,50.150002,50.830002,2013600,12.025554
2006-02-01,50.91,51.619999,50.650002,51.509998,1980400,12.18643
2006-02-02,51.599998,51.740002,49.880001,50.759998,2261600,12.008992
2006-02-03,50.509998,50.759998,49.860001,50.02,1670800,11.833921
2006-02-06,50.099998,50.099998,48.5,49.860001,2714000,11.796068
2006-02-07,49.799999,50.490002,49.060001,49.27,1333600,11.656483
2006-02-08,49.400002,50.049999,49.32,49.599998,1064000,11.734555
2006-02-09,49.93,50.029999,48.950001,49.139999,1166400,11.625727
2006-02-10,48.939999,49.119999,48.310001,49.040001,823200,11.602069
2006-02-13,48.849998,49.380001,48.43,48.459999,820800,11.46485
2006-02-14,48.470001,48.759998,47.720001,47.900002,2135600,11.332364
2006-02-15,47.720001,49.049999,47.43,49.009998,1342000,11.594971
2006-02-16,49.5,50.25,49.25,50.16,2016800,11.867043
2006-02-17,50.259998,50.41,49.849998,49.900002,773200,11.805531
2006-02-21,50.139999,50.139999,49.529999,49.700001,1103600,11.758214
2006-02-22,50.59,50.59,49.16,49.459999,1946800,11.701434
2006-02-23,49.299999,49.779999,48.959999,49.48,1258000,11.706166
2006-02-24,49.560001,50.740002,49.209999,50.599998,2659600,11.971139
2006-02-27,50.950001,51.41,50.59,50.68,1326800,11.990066
2006-02-28,50.689999,50.75,49.650002,50.23,1562000,11.883603
2006-03-01,50.349998,51.889999,50.139999,51.82,1654800,12.259772
2006-03-02,51.419998,51.950001,50.610001,51.049999,1475200,12.077602
2006-03-03,50.799999,51.220001,50.330002,50.34,1562800,11.909628
2006-03-06,50.400002,50.48,49.43,49.810001,998000,11.784239
2006-03-07,49.560001,49.93,49.040001,49.5,1688400,11.710897
2006-03-08,49.400002,49.98,49.16,49.619999,1460800,11.739287
2006-03-09,49.619999,49.849998,48.799999,48.919998,1272000,11.573678
2006-03-10,49.02,50.57,49.02,50.25,1766400,11.888335
2006-03-13,50.25,50.509998,50.049999,50.119999,1544800,11.864662
2006-03-14,50.169998,50.610001,49.970001,50.349998,1520000,11.919109
2006-03-15,50.259998,50.900002,49.849998,50.75,1330000,12.013799
2006-03-16,50.990002,51.759998,50.799999,51.41,1904400,12.170038
2006-03-17,51.669998,51.720001,50.68,50.709999,2176800,12.00433
2006-03-20,50.610001,50.849998,50.349998,50.490002,2265200,11.952251
2006-03-21,50.299999,50.849998,49.77,50.060001,1610000,11.850459
2006-03-22,49.959999,50.200001,49.700001,49.990002,2130000,11.833888
2006-03-23,50.02,50.310001,49.57,49.77,1208800,11.781809
2006-03-24,50.639999,50.639999,49.68,50.23,780000,11.890702
2006-03-27,50.349998,50.830002,50.23,50.360001,1688800,11.921477
2006-03-28,50.599998,50.959999,50.169998,50.240002,2484000,11.89307
2006-03-29,50.240002,52.299999,50.240002,52.16,1643600,12.347582
2006-03-30,52.16,52.200001,51.509998,52.049999,2804800,12.321542
2006-03-31,52.299999,52.5,51.790001,52.18,2308000,12.352316
2006-04-03,52.150002,52.619999,51.59,51.84,2551600,12.27183
2006-04-04,52.099998,52.389999,51.700001,52.0,1724400,12.309706
2006-04-05,51.970001,52.400002,51.93,52.27,1389600,12.373621
2006-04-06,52.43,53.0,52.07,52.73,2048400,12.482515
2006-04-07,52.98,53.0,51.77,52.0,1834000,12.309706
2006-04-10,51.990002,52.150002,51.349998,51.400002,863200,12.167671
2006-04-11,51.43,51.549999,50.25,50.669998,2041600,11.994861
2006-04-12,50.689999,51.110001,50.540001,50.630001,929600,11.985392
2006-04-13,51.540001,52.470001,51.18,52.139999,4169600,12.342847
2006-04-17,51.799999,51.93,51.139999,51.740002,1186000,12.248157
2006-04-18,51.830002,52.34,51.669998,52.18,2446400,12.352316
2006-04-19,55.220001,60.209999,55.220001,58.540001,9665200,13.857888
2006-04-20,58.540001,60.869999,58.540001,60.18,6227600,14.246117
2006-04-21,60.25,60.25,58.470001,58.849998,2913600,13.931272
2006-04-24,58.599998,58.849998,57.630001,57.939999,2349200,13.715852
2006-04-25,57.869999,58.009998,57.240002,57.689999,2127200,13.656671
2006-04-26,57.93,57.970001,56.970001,57.18,2195600,13.535942
2006-04-27,57.32,57.799999,56.950001,57.32,2324000,13.569083
2006-04-28,57.07,58.200001,57.02,57.799999,2424400,13.682711
2006-05-01,58.349998,59.23,58.150002,58.220001,2690800,13.782136
2006-05-02,58.150002,58.959999,58.099998,58.720001,1723600,13.900499
2006-05-03,58.990002,59.970001,58.990002,59.32,2395600,14.042533
2006-05-04,60.0,61.619999,59.91,61.0,4067200,14.440232
2006-05-05,61.0,61.369999,60.34,61.259998,1738000,14.50178
2006-05-08,60.900002,60.990002,60.200001,60.290001,2107200,14.272157
2006-05-09,60.700001,60.759998,59.810001,59.970001,1586400,14.196405
2006-05-10,59.599998,59.759998,58.82,59.060001,1800800,13.980985
2006-05-11,59.150002,59.150002,58.049999,58.07,1711200,13.746627
2006-05-12,57.610001,57.610001,55.669998,56.080002,3102800,13.275544
2006-05-15,55.580002,56.25,55.259998,56.029999,2626000,13.263707
2006-05-16,56.259998,56.75,55.650002,55.880001,1477600,13.228199
2006-05-17,55.630001,55.93,53.91,54.439999,2099600,12.887314
2006-05-18,55.0,55.400002,53.790001,53.810001,1985200,12.738178
