Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,16.370001,16.370001,15.79,16.280001,272800,13.322787
2006-01-04,16.32,16.66,16.059999,16.15,192600,13.216401
2006-01-05,16.08,16.309999,16.049999,16.190001,206900,13.249135
2006-01-06,16.25,16.459999,16.059999,16.24,185100,13.290052
2006-01-09,16.24,16.74,16.120001,16.379999,146800,13.404621
2006-01-10,16.299999,16.799999,16.299999,16.76,129900,13.715596
2006-01-11,16.700001,16.77,16.0,16.32,335300,13.355521
2006-01-12,16.299999,16.299999,16.049999,16.23,207900,13.281869
2006-01-13,16.120001,16.34,16.120001,16.200001,162600,13.257319
2006-01-17,16.08,16.459999,16.0,16.219999,99400,13.273685
2006-01-18,16.08,16.360001,16.08,16.139999,100200,13.208217
2006-01-19,16.27,16.870001,16.17,16.549999,188300,13.543741
2006-01-20,16.74,16.85,16.469999,16.5,139900,13.502824
2006-01-23,16.65,16.84,16.48,16.84,112500,13.781065
2006-01-24,16.82,17.290001,16.68,17.030001,133200,13.936552
2006-01-25,16.950001,17.209999,16.9,17.190001,91800,14.067488
2006-01-26,17.219999,17.75,17.01,17.639999,111100,14.435746
2006-01-27,17.690001,18.110001,17.59,18.059999,205600,14.779455
2006-01-30,17.98,18.4,17.950001,18.290001,100800,14.967677
2006-01-31,18.190001,18.639999,18.17,18.459999,183700,15.106796
2006-02-01,17.4,18.25,16.98,17.719999,400100,14.501215
2006-02-02,17.700001,18.26,16.9,17.309999,188700,14.16569
2006-02-03,17.290001,17.790001,17.120001,17.719999,62800,14.501215
2006-02-06,17.629999,17.73,17.059999,17.629999,176400,14.427563
2006-02-07,17.52,18.309999,16.809999,17.139999,271500,14.02657
2006-02-08,17.1,17.18,16.459999,16.530001,192600,13.527376
2006-02-09,16.450001,17.25,16.450001,16.9,116600,13.884764
2006-02-10,16.889999,17.15,16.5,17.15,63500,14.09016
2006-02-13,17.0,17.049999,16.73,16.959999,92800,13.934059
2006-02-14,17.049999,17.389999,16.709999,17.309999,138000,14.221613
2006-02-15,17.299999,17.82,17.200001,17.700001,170700,14.542032
2006-02-16,17.709999,18.16,17.67,18.02,205300,14.804938
2006-02-17,18.16,18.16,17.52,17.889999,149700,14.698132
2006-02-21,17.85,17.860001,17.209999,17.370001,109100,14.270909
2006-02-22,17.33,18.200001,17.25,18.110001,206400,14.878881
2006-02-23,18.030001,18.25,17.440001,17.48,73500,14.361282
2006-02-24,17.559999,17.709999,17.1,17.299999,88500,14.213397
2006-02-27,17.290001,17.65,17.190001,17.559999,54700,14.427009
2006-02-28,17.469999,17.620001,17.030001,17.290001,91300,14.205183
2006-03-01,17.379999,17.5,17.139999,17.309999,98200,14.221613
2006-03-02,17.290001,17.52,17.110001,17.450001,49500,14.336636
2006-03-03,17.280001,17.5,17.120001,17.190001,95600,14.123024
2006-03-06,17.129999,17.200001,16.809999,16.93,55400,13.909412
2006-03-07,16.809999,16.959999,16.450001,16.5,59100,13.556131
2006-03-08,16.459999,16.870001,16.4,16.84,53700,13.835469
2006-03-09,16.84,17.17,16.719999,17.0,70500,13.966923
2006-03-10,16.940001,17.25,16.940001,17.18,52000,14.114808
2006-03-13,17.200001,17.5,17.02,17.450001,71500,14.336636
2006-03-14,17.4,17.65,17.120001,17.6,199900,14.459873
2006-03-15,17.6,17.799999,17.48,17.75,68800,14.58311
2006-03-16,17.870001,18.040001,17.549999,17.549999,261300,14.418793
2006-03-17,17.639999,17.959999,17.26,17.67,256200,14.517384
2006-03-20,17.629999,17.969999,17.33,17.73,73100,14.566678
2006-03-21,17.25,17.75,17.24,17.25,133600,14.172319
2006-03-22,17.24,17.58,17.049999,17.57,93600,14.435225
2006-03-23,17.51,17.83,17.41,17.75,43400,14.58311
2006-03-24,17.799999,17.799999,17.33,17.559999,38600,14.427009
2006-03-27,17.6,17.74,17.120001,17.6,88800,14.459873
2006-03-28,17.530001,17.530001,16.82,16.99,181800,13.958707
2006-03-29,17.0,17.23,16.799999,17.190001,137400,14.123024
2006-03-30,17.17,17.379999,16.440001,16.620001,146900,13.654722
2006-03-31,16.639999,16.969999,16.5,16.879999,188300,13.868332
2006-04-03,16.959999,17.540001,16.85,17.459999,108300,14.34485
2006-04-04,17.34,17.700001,17.15,17.49,108900,14.369499
2006-04-05,17.58,17.690001,17.08,17.65,101000,14.500952
2006-04-06,17.5,17.5,16.07,16.25,526600,13.350735
2006-04-07,16.309999,16.4,15.66,16.01,444200,13.153555
2006-04-10,16.049999,16.1,15.62,15.87,222400,13.038533
2006-04-11,15.89,16.209999,15.66,15.84,153200,13.013886
2006-04-12,15.8,15.94,15.66,15.66,166600,12.866
2006-04-13,15.75,15.79,15.53,15.59,221900,12.80849
2006-04-17,15.63,15.68,15.26,15.39,181200,12.644173
2006-04-18,15.42,15.68,15.35,15.64,450100,12.849569
2006-04-19,15.73,15.74,15.34,15.49,130100,12.726331
2006-04-20,15.5,15.5,14.95,14.98,375800,12.307323
2006-04-21,15.15,15.49,15.06,15.28,472700,12.553799
2006-04-24,15.31,15.77,15.31,15.59,213700,12.80849
2006-04-25,15.62,15.91,15.47,15.77,167600,12.956375
2006-04-26,15.85,16.24,15.8,16.059999,634000,13.194634
2006-04-27,15.99,16.139999,15.75,16.1,569900,13.227498
2006-04-28,16.01,16.43,16.01,16.23,365400,13.334303
2006-05-01,16.25,16.25,15.41,15.46,278700,12.701684
2006-05-02,15.45,15.78,15.2,15.72,562200,12.915296
2006-05-03,15.71,15.96,15.23,15.46,410000,12.701684
2006-05-04,15.5,15.96,15.46,15.85,204500,13.022102
2006-05-05,15.95,16.25,15.83,16.190001,518200,13.30144
2006-05-08,16.18,16.389999,16.030001,16.08,83300,13.211066
2006-05-09,16.110001,16.370001,15.96,16.1,174400,13.227498
2006-05-10,16.09,16.370001,16.049999,16.209999,107200,13.317871
2006-05-11,16.25,16.370001,15.62,15.84,224500,13.013886
2006-05-12,15.69,15.88,15.38,15.79,176900,13.026259
2006-05-15,15.63,15.76,15.23,15.44,240200,12.73752
2006-05-16,15.46,15.53,15.0,15.35,168500,12.663273
2006-05-17,15.17,15.32,15.02,15.04,261900,12.407533
2006-05-18,15.15,15.21,14.84,14.96,225500,12.341535
2006-05-19,14.88,15.06,14.55,14.94,104200,12.325036
2006-05-22,14.93,15.08,14.56,14.91,138000,12.300287
2006-05-23,15.02,15.16,14.53,14.82,291300,12.226039
2006-05-24,14.74,14.92,14.15,14.63,980600,12.069296
2006-05-25,14.78,14.8,14.44,14.65,156800,12.085795
2006-05-26,14.76,15.03,14.65,14.88,214900,12.275538
2006-05-30,14.85,14.99,14.55,14.75,164800,12.168292
2006-05-31,14.82,15.05,14.51,15.0,260400,12.374534
2006-06-01,15.04,15.04,14.49,14.71,272800,12.135293
2006-06-02,14.76,14.86,14.4,14.64,94100,12.077545
2006-06-05,14.54,14.6,13.9,14.05,287600,11.590814
2006-06-06,14.1,14.2,13.82,14.08,153200,11.615563
2006-06-07,14.07,14.25,13.69,13.86,114900,11.434069
2006-06-08,13.76,14.1,13.12,14.07,265400,11.607313
2006-06-09,14.07,14.16,13.52,13.82,248800,11.40107
2006-06-12,13.83,13.83,13.13,13.23,429000,10.914339
2006-06-13,13.23,13.77,13.09,13.37,111400,11.029835
2006-06-14,13.36,13.47,12.97,13.22,263700,10.90609
2006-06-15,13.33,13.73,13.29,13.67,222900,11.277325
2006-06-16,13.64,14.21,13.64,14.1,505500,11.632062
2006-06-19,14.21,14.21,13.68,13.77,138700,11.359823
2006-06-20,13.78,14.31,13.75,14.13,310400,11.656811
2006-06-21,14.11,14.45,14.05,14.36,118200,11.846554
2006-06-22,14.3,14.43,14.02,14.25,106200,11.755807
2006-06-23,14.14,14.4,14.0,14.22,103800,11.731058
2006-06-26,14.29,15.11,14.18,15.05,167400,12.415783
2006-06-27,15.17,15.33,14.76,14.91,241700,12.300287
2006-06-28,15.55,15.85,14.69,15.05,277300,12.415783
2006-06-29,15.15,15.31,14.58,14.89,254900,12.283788
2006-06-30,14.88,14.92,14.52,14.7,406400,12.127043
2006-07-03,14.62,14.75,14.45,14.7,38000,12.127043
2006-07-05,14.57,14.63,14.33,14.34,182900,11.830055
2006-07-06,14.34,14.49,14.2,14.34,99100,11.830055
2006-07-07,14.26,14.51,14.1,14.35,265300,11.838305
2006-07-10,14.46,14.46,14.26,14.32,69500,11.813555
2006-07-11,14.34,14.35,14.05,14.3,155300,11.797056
2006-07-12,14.36,14.5,14.18,14.24,135000,11.747557
2006-07-13,14.18,14.21,13.75,13.93,161000,11.491818
2006-07-14,13.94,14.1,13.87,14.0,127900,11.60371
2006-07-17,14.0,14.13,13.86,13.87,67000,11.495961
2006-07-18,13.79,14.03,13.42,13.92,176800,11.537403
2006-07-19,13.96,14.31,13.93,14.3,120400,11.852361
2006-07-20,14.28,14.46,14.27,14.33,112100,11.877226
2006-07-21,14.34,14.36,13.64,13.81,485400,11.446232
2006-07-24,13.88,14.41,13.88,14.35,109800,11.893803
2006-07-25,14.36,14.9,14.21,14.47,130400,11.993264
2006-07-26,14.38,14.61,13.93,14.35,98300,11.893803
2006-07-27,14.48,14.6,13.75,13.77,60300,11.413078
2006-07-28,13.9,14.7,13.84,14.62,132500,12.117589
2006-07-31,14.55,14.7,14.21,14.37,74300,11.91038
2006-08-01,14.26,14.99,14.26,14.85,142900,12.308221
2006-08-02,14.99,15.16,14.85,15.02,111600,12.449124
2006-08-03,14.9,15.43,14.81,15.28,80100,12.664621
2006-08-04,15.45,15.71,15.06,15.52,99000,12.863542
2006-08-07,15.49,15.49,14.99,15.17,108100,12.573449
2006-08-08,15.06,15.2,14.39,14.49,129500,12.00984
2006-08-09,14.68,14.68,14.05,14.28,128500,11.835784
2006-08-10,14.18,14.29,13.8,14.15,85500,11.728035
