Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,15.99,16.25,15.74,16.25,302100,4.518538
2006-01-04,16.35,16.4,16.02,16.23,222800,4.512977
2006-01-05,16.299999,16.450001,16.17,16.4,174000,4.560248
2006-01-06,16.450001,16.5,16.200001,16.32,241700,4.538003
2006-01-09,16.32,16.49,16.25,16.43,141100,4.56859
2006-01-10,16.32,16.5,16.09,16.469999,147900,4.579712
2006-01-11,16.35,16.5,16.209999,16.440001,144200,4.571371
2006-01-12,16.5,16.75,16.360001,16.66,207900,4.632544
2006-01-13,16.719999,16.75,16.52,16.74,101300,4.65479
2006-01-17,16.66,16.74,16.360001,16.58,184100,4.610299
2006-01-18,16.540001,16.700001,16.35,16.67,94000,4.635325
2006-01-19,16.65,16.790001,16.459999,16.790001,119200,4.668693
2006-01-20,16.799999,16.799999,16.27,16.370001,157400,4.551906
2006-01-23,16.459999,16.74,16.459999,16.709999,124000,4.646447
2006-01-24,16.73,16.73,16.41,16.549999,217600,4.601957
2006-01-25,16.68,16.75,16.32,16.540001,525200,4.599177
2006-01-26,16.459999,16.639999,16.450001,16.559999,273200,4.604738
2006-01-27,16.51,16.639999,16.450001,16.57,138500,4.607519
2006-01-30,16.51,16.700001,16.5,16.6,103700,4.615861
2006-01-31,16.66,16.68,16.5,16.6,132400,4.615861
2006-02-01,16.5,16.700001,16.5,16.639999,118200,4.626983
2006-02-02,16.57,16.629999,16.41,16.5,163200,4.588054
2006-02-03,16.49,16.65,16.43,16.530001,140100,4.596396
2006-02-06,16.57,16.66,16.450001,16.6,79300,4.615861
2006-02-07,16.52,16.58,16.280001,16.41,334500,4.563028
2006-02-08,16.370001,16.690001,16.360001,16.690001,198900,4.640887
2006-02-09,16.65,16.709999,16.32,16.43,120000,4.56859
2006-02-10,16.5,16.65,16.32,16.41,122800,4.563028
2006-02-13,16.35,16.610001,16.25,16.4,122500,4.560248
2006-02-14,16.32,16.48,16.0,16.450001,178100,4.574151
2006-02-15,16.52,16.52,16.219999,16.389999,130200,4.557467
2006-02-16,16.43,16.48,16.25,16.450001,116700,4.574151
2006-02-17,16.48,16.51,16.360001,16.41,118500,4.563028
2006-02-21,16.52,16.59,16.290001,16.549999,105300,4.601957
2006-02-22,16.629999,16.709999,16.469999,16.700001,145500,4.643667
2006-02-23,16.75,16.889999,16.34,16.799999,205300,4.671473
2006-02-24,16.889999,16.889999,16.49,16.889999,87000,4.696499
2006-02-27,17.0,17.129999,16.9,17.1,288900,4.754893
2006-02-28,17.15,17.459999,17.1,17.34,443000,4.821628
2006-03-01,17.35,17.540001,17.25,17.450001,259000,4.852215
2006-03-02,17.48,17.540001,17.27,17.389999,198400,4.835531
2006-03-03,17.299999,17.549999,17.200001,17.309999,275400,4.813286
2006-03-06,17.379999,17.43,17.16,17.26,331700,4.799383
2006-03-07,17.43,17.780001,17.4,17.74,536300,4.932853
2006-03-08,17.700001,17.790001,17.200001,17.620001,319000,4.899486
2006-03-09,17.620001,17.91,17.530001,17.860001,333200,4.966221
2006-03-10,17.809999,17.969999,17.719999,17.969999,302500,4.996808
2006-03-13,17.950001,17.99,17.33,17.51,228000,4.868899
2006-03-14,17.379999,17.85,17.25,17.75,318100,4.935634
2006-03-15,17.9,17.99,17.799999,17.9,204400,4.977344
2006-03-16,17.99,17.99,17.6,17.73,167300,4.930073
2006-03-17,17.860001,17.92,17.68,17.74,431200,4.932853
2006-03-20,17.870001,17.940001,17.75,17.799999,377300,4.949537
2006-03-21,17.74,17.85,17.370001,17.51,352800,4.868899
2006-03-22,17.51,17.58,17.209999,17.309999,287100,4.914323
2006-03-23,17.42,17.5,17.07,17.15,185400,4.868899
2006-03-24,17.15,17.25,17.07,17.18,187500,4.877416
2006-03-27,17.26,17.450001,17.200001,17.389999,153200,4.937035
2006-03-28,17.41,17.440001,17.09,17.16,141100,4.871738
2006-03-29,17.27,17.299999,17.110001,17.200001,157200,4.883094
2006-03-30,17.190001,17.290001,17.09,17.15,123800,4.868899
2006-03-31,17.219999,17.219999,17.02,17.18,325000,4.877416
2006-04-03,17.190001,17.4,17.07,17.16,243800,4.871738
2006-04-04,17.200001,17.459999,17.200001,17.200001,237200,4.883094
2006-04-05,17.299999,17.389999,17.1,17.17,169400,4.874577
2006-04-06,17.190001,17.389999,17.1,17.219999,182000,4.888772
2006-04-07,17.299999,17.35,17.059999,17.120001,148200,4.860382
2006-04-10,17.18,17.280001,16.98,17.049999,188400,4.840508
2006-04-11,17.17,17.24,16.809999,17.049999,266400,4.840508
2006-04-12,17.17,17.389999,16.959999,17.07,226300,4.846187
2006-04-13,17.17,17.17,16.889999,16.92,141300,4.803602
2006-04-17,16.969999,17.1,16.66,16.799999,154900,4.769533
2006-04-18,16.879999,17.24,16.700001,17.219999,221100,4.888772
2006-04-19,17.139999,17.23,16.99,17.209999,172900,4.885932
2006-04-20,17.18,17.25,16.959999,17.129999,136400,4.86322
2006-04-21,17.219999,17.23,16.99,17.08,127800,4.849026
2006-04-24,17.200001,17.200001,16.91,16.93,185100,4.806441
2006-04-25,16.99,17.030001,16.700001,16.940001,135100,4.80928
2006-04-26,16.860001,17.040001,16.76,16.959999,169800,4.814957
2006-04-27,16.99,17.1,16.75,16.91,124300,4.800762
2006-04-28,16.98,17.049999,16.85,16.959999,147500,4.814957
2006-05-01,16.9,17.09,16.84,16.879999,273600,4.792245
2006-05-02,16.940001,17.1,16.82,16.99,191600,4.823474
2006-05-03,17.02,17.25,16.969999,17.120001,232200,4.860382
2006-05-04,17.0,17.139999,16.85,17.08,162300,4.849026
2006-05-05,17.15,17.389999,17.110001,17.299999,116900,4.911484
2006-05-08,17.379999,17.379999,17.02,17.309999,249100,4.914323
2006-05-09,17.469999,17.469999,17.049999,17.219999,221700,4.888772
2006-05-10,17.24,17.24,16.9,17.0,223500,4.826314
2006-05-11,17.09,17.23,16.9,16.9,237900,4.797923
2006-05-12,16.9,17.049999,16.799999,16.969999,309600,4.817796
2006-05-15,16.91,17.120001,16.799999,17.030001,156900,4.834831
2006-05-16,17.190001,17.190001,16.91,16.959999,119600,4.814957
2006-05-17,16.9,16.969999,16.780001,16.85,222900,4.783729
2006-05-18,16.860001,17.030001,16.629999,16.65,177600,4.726948
2006-05-19,16.65,16.91,16.440001,16.559999,306200,4.701397
2006-05-22,16.5,16.790001,16.41,16.59,317600,4.709914
2006-05-23,16.610001,17.0,16.450001,16.49,185000,4.681524
2006-05-24,16.52,16.870001,16.379999,16.52,571100,4.690041
2006-05-25,16.68,17.1,16.48,17.1,256700,4.854704
2006-05-26,17.110001,17.23,16.93,17.18,116800,4.877416
2006-05-30,16.950001,17.190001,16.799999,17.01,147700,4.829153
2006-05-31,17.02,17.549999,16.91,17.370001,778000,4.931357
2006-06-01,17.370001,17.549999,17.25,17.5,248300,4.968264
2006-06-02,17.51,17.6,17.27,17.5,178400,4.968264
2006-06-05,17.4,17.459999,16.99,17.0,213200,4.826314
2006-06-06,16.969999,17.049999,16.799999,17.049999,169200,4.840508
2006-06-07,17.0,17.209999,16.780001,16.809999,152500,4.772372
2006-06-08,16.809999,17.190001,16.309999,17.1,272000,4.854704
2006-06-09,17.200001,17.23,16.82,16.879999,152400,4.792245
2006-06-12,16.93,17.049999,16.82,16.85,188000,4.783729
2006-06-13,16.9,16.9,16.18,16.360001,354000,4.751779
2006-06-14,16.33,16.67,16.17,16.360001,198900,4.751779
2006-06-15,16.459999,16.799999,16.379999,16.77,229200,4.870864
2006-06-16,16.74,16.879999,16.59,16.76,663300,4.867959
2006-06-19,16.82,16.83,16.459999,16.59,393000,4.818582
2006-06-20,16.57,16.799999,16.379999,16.639999,310800,4.833105
2006-06-21,16.65,16.82,16.52,16.690001,131600,4.847628
2006-06-22,16.709999,16.85,16.41,16.809999,182000,4.882481
2006-06-23,16.84,17.049999,16.75,16.98,275000,4.931858
2006-06-26,17.02,17.1,16.879999,16.9,140700,4.908622
2006-06-27,16.940001,16.940001,16.440001,16.469999,104000,4.783728
2006-06-28,16.559999,16.59,16.379999,16.4,126800,4.763397
2006-06-29,16.530001,17.08,16.469999,17.07,221600,4.957999
2006-06-30,17.139999,17.139999,16.610001,16.93,395800,4.917336
2006-07-03,16.809999,16.91,16.690001,16.91,68000,4.911527
2006-07-05,17.0,17.15,16.719999,17.129999,181900,4.975426
2006-07-06,17.1,17.15,16.940001,17.1,143700,4.966713
2006-07-07,16.540001,16.540001,16.190001,16.219999,381600,4.711115
2006-07-10,16.209999,16.25,16.08,16.17,298800,4.696593
2006-07-11,16.17,16.17,15.92,16.01,375100,4.650121
2006-07-12,15.95,15.97,15.6,15.67,1689000,4.551368
2006-07-13,15.8,16.469999,15.8,16.209999,6463500,4.708211
