Date,Open,High,Low,Close,Volume,Adj Close
2009-09-24,19.049999,19.200001,18.5,18.5,0,8.934302
2009-09-25,18.66,18.83,18.26,18.83,1012100,9.09367
2009-09-28,18.84,18.84,18.370001,18.5,339100,8.934302
2009-09-29,18.66,18.709999,18.15,18.48,500000,8.924643
2009-09-30,18.360001,18.450001,18.25,18.299999,428500,8.837714
2009-10-01,18.200001,18.290001,18.120001,18.15,726800,8.765274
2009-10-02,18.23,18.41,18.15,18.299999,238900,8.837714
2009-10-05,18.4,18.440001,18.34,18.41,131500,8.890837
2009-10-06,18.440001,18.530001,18.299999,18.450001,135900,8.910155
2009-10-07,18.35,18.35,18.200001,18.25,153900,8.813568
2009-10-08,18.25,18.4,18.110001,18.379999,215500,8.876349
2009-10-09,18.360001,18.360001,18.209999,18.219999,97200,8.799079
2009-10-12,18.280001,18.280001,17.559999,18.110001,310400,8.745957
2009-10-13,18.1,18.5,18.09,18.450001,422100,8.910155
2009-10-14,18.57,18.57,18.219999,18.35,109500,8.861861
2009-10-15,18.34,18.549999,18.309999,18.5,212700,8.934302
2009-10-16,18.34,18.799999,18.33,18.57,233900,8.968107
2009-10-19,18.5,18.5,18.34,18.440001,85400,8.905326
2009-10-20,18.32,18.440001,18.25,18.4,121400,8.886008
2009-10-21,18.32,18.559999,18.25,18.32,78900,8.847373
2009-10-22,18.280001,18.49,18.129999,18.450001,82200,8.910155
2009-10-23,18.4,18.450001,18.219999,18.34,67100,8.857032
2009-10-26,18.200001,18.299999,18.16,18.23,113100,8.803909
2009-10-27,18.15,18.309999,18.120001,18.16,127500,8.770104
2009-10-28,18.15,18.16,18.01,18.030001,113400,8.707322
2009-10-29,18.07,18.120001,17.75,18.08,175200,8.731469
2009-10-30,17.91,18.02,17.9,17.91,79300,8.64937
2009-11-02,17.92,17.959999,17.66,17.780001,126400,8.586589
2009-11-03,17.51,18.07,17.51,18.049999,176900,8.71698
2009-11-04,18.4,18.42,17.99,18.25,176300,8.813568
2009-11-05,18.24,18.309999,18.200001,18.209999,89600,8.79425
2009-11-06,18.01,18.1,17.01,18.1,82500,8.741128
2009-11-09,17.950001,18.200001,17.950001,18.09,60600,8.736298
2009-11-10,18.02,18.02,17.620001,17.860001,81200,8.625223
2009-11-11,17.860001,18.01,17.709999,17.98,78900,8.683175
2009-11-12,17.870001,17.889999,17.700001,17.74,59700,8.567271
2009-11-13,17.76,17.84,17.75,17.77,42000,8.581759
2009-11-16,17.77,17.82,17.719999,17.75,70300,8.5721
2009-11-17,17.75,17.84,17.629999,17.700001,66300,8.547954
2009-11-18,17.799999,17.82,17.549999,17.620001,73900,8.509319
2009-11-19,17.700001,17.75,17.309999,17.620001,84500,8.509319
2009-11-20,17.67,17.67,17.42,17.459999,98300,8.432048
2009-11-23,17.530001,17.719999,17.379999,17.42,116300,8.412732
2009-11-24,17.440001,17.709999,17.440001,17.52,137900,8.461025
2009-11-25,17.6,17.6,17.35,17.4,107300,8.403073
2009-11-27,17.049999,17.35,17.049999,17.280001,33400,8.345121
2009-11-30,17.290001,17.34,17.120001,17.280001,82700,8.345121
2009-12-01,17.23,17.49,17.200001,17.4,178000,8.403073
2009-12-02,17.299999,17.49,17.25,17.43,47200,8.417561
2009-12-03,17.450001,17.52,17.360001,17.469999,65400,8.436878
