Date,Open,High,Low,Close,Volume,Adj Close
2013-12-12,20.25,23.42,20.1,22.700001,6560000,21.884044
2013-12-13,23.0,24.58,22.940001,23.83,322400,22.973425
2013-12-16,24.0,24.0,22.77,23.700001,91400,22.848099
2013-12-17,23.290001,23.719999,23.059999,23.459999,218200,22.616724
2013-12-18,23.440001,24.02,23.110001,24.0,831900,23.137314
2013-12-19,23.809999,24.0,23.51,23.700001,382900,22.848099
2013-12-20,23.549999,23.940001,23.5,23.92,913000,23.06019
2013-12-23,24.0,24.65,23.98,24.17,525300,23.301204
2013-12-24,24.08,24.9,24.08,24.389999,81900,23.513295
2013-12-26,24.66,25.620001,24.49,25.5,433500,24.583396
2013-12-27,25.75,26.469999,25.540001,25.98,338900,25.046142
2013-12-30,26.719999,26.719999,25.610001,25.809999,601900,24.882253
2013-12-31,26.08,26.24,25.639999,26.219999,416800,25.277515
2014-01-02,25.99,26.0,25.1,25.370001,213000,24.45807
2014-01-03,25.809999,25.9,25.35,25.549999,231200,24.631598
2014-01-06,25.35,25.59,24.35,24.389999,569100,23.513295
2014-01-07,24.5,24.790001,24.26,24.35,530700,23.474734
2014-01-08,24.35,24.58,24.110001,24.35,419700,23.474734
2014-01-09,24.389999,24.85,24.33,24.66,338700,23.77359
2014-01-10,24.84,25.25,24.67,24.780001,298600,23.889278
2014-01-13,24.65,25.33,24.58,24.98,233700,24.082088
2014-01-14,24.98,24.98,24.700001,24.889999,64400,23.995322
2014-01-15,24.82,25.1,24.700001,24.83,176200,23.93748
2014-01-16,24.98,25.0,24.530001,24.82,270600,23.927839
2014-01-17,24.879999,24.950001,24.4,24.51,207800,23.628982
2014-01-21,25.120001,26.32,24.74,24.879999,626600,23.985682
2014-01-22,24.6,25.280001,24.5,24.91,548200,24.014604
2014-01-23,25.25,25.25,24.549999,24.98,159100,24.082088
2014-01-24,24.65,25.24,23.709999,23.940001,379800,23.079472
2014-01-27,23.879999,23.92,23.4,23.639999,245700,22.790254
2014-01-28,24.02,24.48,23.540001,24.450001,335300,23.57114
2014-01-29,23.709999,24.42,23.5,24.200001,363500,23.330126
2014-01-30,24.120001,24.889999,23.91,24.709999,361400,23.821792
2014-01-31,24.6,24.780001,24.17,24.709999,257900,23.821792
2014-02-03,24.84,24.950001,23.610001,24.809999,241000,23.918198
2014-02-04,24.809999,25.290001,24.57,24.99,446400,24.091728
2014-02-05,23.040001,29.709999,23.040001,26.1,2551600,25.16183
2014-02-06,27.0,27.0,25.629999,25.85,560800,24.920816
2014-02-07,26.02,26.02,25.280001,25.610001,247400,24.689443
2014-02-10,25.74,26.559999,25.0,26.450001,269500,25.499249
2014-02-11,26.290001,26.790001,26.040001,26.719999,249900,25.759543
2014-02-12,26.889999,28.0,26.66,27.639999,794300,26.646473
2014-02-13,27.58,28.09,27.040001,28.0,464300,27.06698
2014-02-14,28.18,28.440001,27.9,28.049999,624700,27.115313
2014-02-18,28.469999,28.780001,28.110001,28.370001,349200,27.424651
2014-02-19,28.23,28.450001,28.219999,28.379999,233300,27.434316
2014-02-20,28.5,28.58,28.209999,28.299999,473300,27.356982
2014-02-21,28.299999,28.309999,28.200001,28.25,365900,27.308649
2014-02-24,28.200001,28.34,28.15,28.26,915900,27.318316
2014-02-25,28.299999,28.690001,28.129999,28.459999,492800,27.511651
2014-02-26,28.530001,28.68,28.34,28.52,409200,27.569653
2014-02-27,28.469999,28.75,28.15,28.209999,367200,27.269981
2014-02-28,28.24,28.5,28.09,28.16,716800,27.221648
2014-03-03,28.16,28.450001,27.290001,27.76,462500,26.834977
2014-03-04,27.969999,28.74,27.85,28.459999,1531000,27.511651
2014-03-05,28.49,28.74,28.219999,28.5,932600,27.550319
2014-03-06,28.559999,28.74,28.48,28.540001,325500,27.588987
2014-03-07,28.700001,29.32,28.450001,29.190001,317500,28.217327
2014-03-10,29.280001,29.889999,29.030001,29.559999,258800,28.574997
2014-03-11,29.66,29.84,28.860001,28.91,399800,27.946656
2014-03-12,28.68,29.07,28.41,28.629999,820400,27.675986
2014-03-13,28.59,28.83,28.200001,28.24,431500,27.298982
2014-03-14,28.24,28.459999,27.360001,27.379999,398500,26.467639
2014-03-17,27.450001,27.66,27.219999,27.450001,168400,26.535308
2014-03-18,27.469999,28.08,27.26,27.950001,208300,27.018646
2014-03-19,28.33,28.6,27.74,28.02,387900,27.086314
2014-03-20,27.969999,29.16,27.52,28.870001,367200,27.90799
2014-03-21,29.030001,29.98,28.73,29.889999,1746300,28.894
2014-03-24,29.66,29.690001,28.530001,29.110001,613300,28.139993
2014-03-25,29.27,29.27,28.33,28.33,245200,27.385983
2014-03-26,28.450001,28.450001,27.73,27.870001,284200,26.941312
2014-03-27,27.879999,28.75,27.610001,28.59,358400,27.63732
2014-03-28,28.6,28.75,28.27,28.48,233500,27.530985
2014-03-31,28.59,28.98,28.290001,28.92,2756500,27.956323
2014-04-01,28.93,28.93,28.57,28.690001,244700,27.733988
2014-04-02,28.76,29.040001,28.68,28.879999,732000,27.917655
2014-04-03,28.9,28.969999,28.4,28.68,572200,27.724321
2014-04-04,28.73,28.790001,27.780001,27.860001,233900,26.931645
2014-04-07,27.74,27.92,27.129999,27.540001,153900,26.622309
2014-04-08,27.49,27.540001,27.07,27.219999,443300,26.31297
2014-04-09,27.27,28.0,27.16,27.950001,86100,27.018646
2014-04-10,27.93,28.07,27.219999,27.370001,119500,26.457973
2014-04-11,27.23,27.549999,26.91,27.219999,188800,26.31297
2014-04-14,27.459999,27.84,27.219999,27.690001,438800,26.76731
2014-04-15,27.85,28.18,27.559999,27.9,385800,26.970311
2014-04-16,28.120001,28.139999,27.68,27.889999,127800,26.960644
2014-04-17,27.9,28.360001,27.74,28.040001,146900,27.105648
2014-04-21,28.049999,28.290001,27.969999,28.190001,167400,27.250649
2014-04-22,28.280001,28.629999,27.99,28.48,320200,27.530985
2014-04-23,28.469999,28.799999,28.209999,28.389999,238600,27.443983
2014-04-24,28.549999,28.76,27.959999,28.23,401000,27.289315
2014-04-25,28.200001,28.219999,27.59,27.98,159200,27.047646
2014-04-28,28.01,28.469999,27.360001,27.77,219700,26.844644
2014-04-29,27.93,28.23,27.57,27.959999,213300,27.028312
2014-04-30,27.85,28.190001,27.620001,28.190001,204600,27.250649
2014-05-01,28.219999,28.219999,27.75,28.059999,101600,27.12498
2014-05-02,28.030001,28.469999,27.950001,28.120001,83700,27.182982
2014-05-05,28.07,28.309999,27.83,28.17,145000,27.231315
2014-05-06,28.17,28.27,27.76,28.040001,94700,27.105648
2014-05-07,28.15,28.15,27.200001,27.52,252800,26.602975
2014-05-08,28.42,28.42,26.709999,26.77,431000,25.877966
2014-05-09,26.959999,27.15,26.68,26.969999,358100,26.071301
2014-05-12,27.049999,27.450001,26.83,27.049999,475700,26.148635
2014-05-13,27.120001,27.709999,26.82,27.27,420700,26.361305
2014-05-14,27.209999,27.379999,27.0,27.200001,111400,26.293638
2014-05-15,26.92,27.209999,26.459999,26.969999,147800,26.143388
2014-05-16,27.01,27.16,26.75,26.93,179400,26.104615
2014-05-19,26.110001,26.469999,25.790001,26.389999,145300,25.581164
2014-05-20,26.49,26.629999,26.030001,26.32,178600,25.51331
2014-05-21,26.43,26.6,26.200001,26.4,343400,25.590858
2014-05-22,26.48,26.58,26.280001,26.370001,117200,25.561779
2014-05-23,26.48,26.950001,26.25,26.59,260100,25.775035
2014-05-27,26.700001,26.82,26.02,26.110001,232300,25.309747
2014-05-28,25.93,27.549999,25.709999,26.83,1141500,26.007679
2014-05-29,26.790001,27.0,25.08,25.83,1880500,25.038328
2014-05-30,25.969999,26.43,25.9,26.379999,7617800,25.571471
2014-06-02,26.41,27.0,26.129999,26.84,809600,26.017373
2014-06-03,26.73,26.879999,26.620001,26.629999,371200,25.813808
2014-06-04,26.639999,26.85,26.33,26.620001,414800,25.804116
2014-06-05,26.74,26.9,26.639999,26.719999,566900,25.90105
2014-06-06,26.700001,26.969999,26.59,26.76,784400,25.939825
2014-06-09,26.719999,26.91,26.25,26.799999,616300,25.978598
2014-06-10,26.719999,26.799999,26.23,26.370001,454000,25.561779
2014-06-11,26.379999,26.41,25.77,26.110001,576500,25.309747
2014-06-12,26.0,26.450001,25.870001,26.18,880000,25.377602
2014-06-13,26.24,26.24,25.92,26.02,531000,25.222506
2014-06-16,26.040001,26.07,25.73,26.030001,276500,25.232199
2014-06-17,26.09,26.370001,25.959999,26.09,314300,25.29036
2014-06-18,25.469999,25.780001,25.040001,25.76,1765700,24.970474
2014-06-19,25.76,25.9,25.5,25.799999,484600,25.009247
2014-06-20,25.799999,25.889999,25.440001,25.459999,633300,24.679668
2014-06-23,25.51,25.68,25.33,25.530001,466900,24.747524
2014-06-24,25.469999,25.52,25.299999,25.379999,300200,24.60212
2014-06-25,25.440001,25.49,25.219999,25.4,398500,24.621507
2014-06-26,25.450001,25.540001,25.309999,25.5,361100,24.718443
2014-06-27,25.5,25.91,25.43,25.91,955700,25.115876
2014-06-30,25.9,25.940001,25.67,25.879999,445000,25.086795
2014-07-01,25.9,26.129999,25.85,26.049999,832500,25.251585
2014-07-02,26.15,27.0,26.0,26.799999,1417700,25.978598
2014-07-03,26.5,26.84,26.290001,26.41,568900,25.600552
2014-07-07,26.32,26.559999,26.190001,26.26,295300,25.455149
2014-07-08,26.32,26.98,26.32,26.950001,856100,26.124002
2014-07-09,26.9,27.110001,26.799999,27.040001,745800,26.211244
2014-07-10,26.799999,27.0,26.51,26.84,608100,26.017373
2014-07-11,26.74,27.1,26.58,26.690001,774600,25.871971
2014-07-14,26.84,27.360001,26.77,27.32,518000,26.482661
2014-07-15,27.299999,27.299999,26.879999,27.209999,526100,26.376032
2014-07-16,27.32,27.41,27.1,27.209999,300700,26.376032
2014-07-17,27.0,27.15,26.860001,27.1,731300,26.269404
2014-07-18,27.110001,27.299999,26.940001,27.01,1240500,26.182163
2014-07-21,27.01,27.299999,26.959999,27.23,812300,26.395419
2014-07-22,27.209999,27.48,27.209999,27.35,411300,26.511742
2014-07-23,27.41,27.469999,27.280001,27.290001,320800,26.453581
2014-07-24,27.299999,27.43,27.290001,27.370001,237700,26.531129
2014-07-25,27.32,27.43,27.280001,27.299999,197100,26.463273
2014-07-28,27.25,27.4,27.219999,27.32,490900,26.482661
2014-07-29,27.299999,27.469999,27.27,27.360001,154000,26.521436
2014-07-30,27.360001,27.440001,27.190001,27.34,375800,26.502048
2014-07-31,27.15,27.42,26.93,26.959999,502000,26.133694
2014-08-01,26.99,27.35,26.870001,27.02,459700,26.191856
2014-08-04,27.08,27.35,27.08,27.18,912300,26.346952
2014-08-05,27.040001,27.370001,25.73,26.5,970700,25.687793
2014-08-06,26.459999,26.700001,26.32,26.34,362100,25.532697
2014-08-07,26.43,26.73,26.09,26.450001,450300,25.639327
2014-08-08,26.51,26.639999,26.24,26.549999,456400,25.73626
2014-08-11,27.959999,27.959999,26.540001,26.57,1054600,25.755648
2014-08-12,26.58,26.77,26.1,26.49,804600,25.6781
2014-08-13,26.59,26.67,26.190001,26.379999,561400,25.571471
2014-08-14,26.450001,26.75,26.450001,26.709999,501900,25.891356
2014-08-15,26.620001,26.76,26.459999,26.5,396700,25.760126
2014-08-18,26.43,26.77,26.389999,26.459999,365400,25.721242
2014-08-19,26.549999,26.610001,26.43,26.5,374600,25.760126
2014-08-20,26.139999,26.639999,25.98,26.540001,470200,25.79901
2014-08-21,26.6,26.76,26.35,26.35,459900,25.614314
2014-08-22,26.35,26.5,26.049999,26.07,348000,25.342131
2014-08-25,26.190001,26.41,26.16,26.190001,340700,25.458782
2014-08-26,26.190001,26.26,26.040001,26.110001,231900,25.381015
2014-08-27,26.129999,26.190001,25.85,25.879999,141600,25.157436
2014-08-28,25.790001,26.16,25.790001,26.1,616600,25.371294
2014-08-29,26.02,26.209999,25.620001,25.9,870400,25.176878
2014-09-02,25.790001,26.309999,25.790001,26.0,416100,25.274086
2014-09-03,26.0,26.200001,25.9,26.0,636400,25.274086
2014-09-04,26.0,26.18,25.959999,26.15,710700,25.419898
2014-09-05,26.139999,26.360001,26.049999,26.34,500300,25.604593
2014-09-08,26.34,26.92,26.290001,26.889999,1211500,26.139237
2014-09-09,26.889999,26.969999,26.809999,26.860001,749800,26.110076
2014-09-10,26.9,27.209999,26.75,26.99,1035800,26.236445
2014-09-11,26.91,27.24,26.860001,27.139999,503800,26.382257
2014-09-12,27.15,27.299999,27.1,27.15,569000,26.391978
2014-09-15,27.07,27.15,26.98,27.120001,485700,26.362817
2014-09-16,27.139999,27.139999,26.9,26.93,219300,26.178121
2014-09-17,26.92,27.129999,26.92,26.99,631900,26.236445
2014-09-18,27.0,27.139999,26.91,27.040001,310200,26.28505
2014-09-19,27.139999,27.639999,27.01,27.4,2950500,26.634998
2014-09-22,27.4,27.4,27.18,27.35,467100,26.586395
2014-09-23,27.299999,27.450001,27.23,27.290001,629200,26.52807
2014-09-24,27.190001,27.24,26.68,26.809999,498000,26.06147
2014-09-25,26.84,26.92,26.549999,26.6,259200,25.857335
2014-09-26,26.690001,26.790001,26.58,26.780001,449100,26.032309
2014-09-29,26.639999,26.73,26.26,26.42,654800,25.68236
2014-09-30,26.469999,26.6,26.209999,26.299999,303700,25.565709
2014-10-01,26.440001,26.459999,25.950001,26.0,511000,25.274086
2014-10-02,25.780001,25.98,25.5,25.940001,449400,25.215762
2014-10-03,26.0,26.48,25.9,26.440001,1174600,25.701802
2014-10-06,26.43,26.860001,26.43,26.84,486000,26.090634
2014-10-07,26.77,26.959999,26.68,26.75,582700,26.003146
2014-10-08,26.74,26.85,26.059999,26.52,484900,25.779568
2014-10-09,26.549999,26.73,26.35,26.51,326700,25.769847
2014-10-10,26.5,26.790001,26.360001,26.469999,514000,25.730963
2014-10-13,26.52,26.58,25.59,25.610001,326100,24.894975
2014-10-14,25.75,25.92,25.49,25.84,495000,25.118553
2014-10-15,25.690001,25.879999,25.030001,25.879999,374400,25.157436
2014-10-16,25.67,25.67,25.129999,25.35,374900,24.642234
2014-10-17,25.49,25.85,25.469999,25.549999,266400,24.836649
2014-10-20,25.5,26.190001,25.370001,26.17,210100,25.43934
2014-10-21,26.17,26.709999,26.07,26.389999,321900,25.653197
2014-10-22,26.360001,26.389999,25.68,25.889999,323100,25.167157
2014-10-23,26.0,26.379999,25.889999,26.26,443000,25.526827
2014-10-24,26.219999,26.540001,26.08,26.530001,235600,25.789289
2014-10-27,26.879999,27.24,26.6,26.84,416600,26.090634
2014-10-28,26.950001,27.16,26.549999,26.790001,332900,26.04203
2014-10-29,26.799999,27.360001,26.66,27.27,346200,26.508628
2014-10-30,27.190001,27.91,27.1,27.780001,381700,27.004389
2014-10-31,27.82,28.059999,27.799999,27.91,582500,27.130759
2014-11-03,27.870001,28.209999,27.719999,27.959999,353500,27.179362
2014-11-04,27.99,28.440001,27.790001,28.23,409800,27.441824
2014-11-05,28.290001,28.440001,28.120001,28.4,304700,27.607078
2014-11-06,28.360001,28.690001,28.26,28.66,308600,27.859819
2014-11-07,28.610001,28.639999,28.200001,28.26,540200,27.470988
2014-11-10,28.26,28.450001,28.09,28.360001,281000,27.568196
2014-11-11,28.280001,28.280001,27.91,28.17,322800,27.3835
2014-11-12,28.200001,28.780001,28.200001,28.549999,563400,27.75289
2014-11-13,28.639999,29.5,28.5,29.4,1019200,28.579158
2014-11-14,29.5,29.5,28.65,28.780001,308000,27.97647
2014-11-17,28.75,28.889999,28.370001,28.459999,319800,27.665402
2014-11-18,28.5,28.73,28.26,28.34,293300,27.548754
2014-11-19,28.190001,28.84,28.190001,28.66,680700,27.859819
2014-11-20,28.57,29.200001,28.57,29.190001,395400,28.375022
2014-11-21,29.110001,29.620001,29.08,29.41,629400,28.673357
2014-11-24,29.48,29.66,29.469999,29.5,373200,28.761103
2014-11-25,29.5,29.799999,29.16,29.24,450800,28.507615
2014-11-26,29.209999,29.48,29.040001,29.450001,325800,28.712356
2014-11-28,29.51,30.959999,29.51,30.4,716000,29.63856
2014-12-01,30.370001,30.379999,29.450001,29.629999,765500,28.887846
2014-12-02,29.719999,30.049999,29.43,29.91,571800,29.160833
2014-12-03,29.34,30.059999,28.99,29.780001,486800,29.03409
2014-12-04,29.780001,29.91,29.309999,29.459999,259800,28.722104
2014-12-05,29.549999,30.129999,29.4,30.129999,336100,29.375322
2014-12-08,30.129999,30.360001,29.76,30.17,416700,29.414321
2014-12-09,29.82,30.120001,29.43,29.82,210000,29.073087
2014-12-10,29.65,29.799999,29.129999,29.549999,573200,28.80985
2014-12-11,28.940001,28.98,28.379999,28.559999,1968600,27.844647
2014-12-12,27.889999,28.940001,27.75,28.290001,12430600,27.581411
2014-12-15,28.610001,28.99,28.469999,28.860001,2416700,28.137134
2014-12-16,28.65,29.24,28.43,29.01,1892700,28.283376
2014-12-17,29.049999,29.379999,28.790001,29.25,1328200,28.517365
2014-12-18,29.01,29.700001,29.0,29.5,1907300,28.761103
2014-12-19,29.620001,29.790001,29.41,29.780001,1281700,29.03409
2014-12-22,29.799999,30.389999,29.790001,30.33,2374500,29.570313
2014-12-23,30.33,30.940001,30.290001,30.5,2747000,29.736055
2014-12-24,30.52,31.059999,30.290001,30.57,401900,29.804302
2014-12-26,30.67,31.120001,30.67,30.93,946300,30.155285
2014-12-29,30.99,30.99,30.48,30.73,794000,29.960294
2014-12-30,30.51,31.16,30.450001,30.860001,1774500,30.087039
2014-12-31,30.969999,31.43,30.940001,31.15,1059900,30.369774
