Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,23.950001,24.23,23.5,23.99,1051300,22.670372
2006-01-04,24.0,24.76,24.0,24.68,580300,23.322418
2006-01-05,24.639999,25.299999,24.639999,25.110001,701000,23.728765
2006-01-06,25.1,25.74,24.98,25.549999,1294400,24.14456
2006-01-09,25.65,26.01,25.5,25.969999,998800,24.541457
2006-01-10,25.85,26.040001,25.690001,26.01,590500,24.579258
2006-01-11,25.959999,26.49,25.879999,26.09,542100,24.654857
2006-01-12,26.299999,26.370001,25.84,25.950001,480300,24.522559
2006-01-13,25.9,25.98,25.68,25.950001,656300,24.522559
2006-01-17,25.5,25.709999,25.450001,25.58,1127000,24.172911
2006-01-18,25.17,25.709999,25.17,25.59,654800,24.182361
2006-01-19,25.75,26.450001,25.73,26.209999,844200,24.768255
2006-01-20,26.049999,26.049999,25.190001,25.23,667600,23.842163
2006-01-23,25.35,25.450001,25.129999,25.23,1000100,23.842163
2006-01-24,25.299999,25.639999,25.23,25.25,746700,23.861063
2006-01-25,26.5,26.51,25.200001,25.24,2053400,23.851613
2006-01-26,25.1,25.24,24.09,24.09,2821200,22.764872
2006-01-27,24.549999,24.719999,24.110001,24.190001,1037600,22.859372
2006-01-30,24.190001,24.620001,24.049999,24.6,1137600,23.246818
2006-01-31,24.6,24.690001,24.4,24.450001,972500,23.10507
2006-02-01,24.450001,24.58,24.209999,24.440001,876800,23.09562
2006-02-02,24.440001,24.57,24.190001,24.4,911800,23.057819
2006-02-03,24.4,24.85,24.219999,24.59,988800,23.237368
2006-02-06,24.700001,24.99,24.5,24.969999,793100,23.596465
2006-02-07,25.6,26.5,25.25,25.4,2174600,24.002812
2006-02-08,25.4,25.5,24.6,24.65,2661200,23.294067
2006-02-09,24.25,24.75,24.200001,24.209999,7013900,22.87827
2006-02-10,24.25,24.440001,23.75,24.299999,2061300,22.96332
2006-02-13,24.299999,24.42,24.049999,24.200001,1853300,22.868822
2006-02-14,24.209999,24.77,24.139999,24.74,1289500,23.379117
2006-02-15,24.84,25.049999,24.709999,24.969999,1424700,23.596465
2006-02-16,25.219999,25.65,25.139999,25.610001,1468000,24.201261
2006-02-17,25.780001,25.98,25.639999,25.9,1173800,24.475308
2006-02-21,25.950001,25.959999,25.51,25.6,1321500,24.191811
2006-02-22,25.65,26.049999,25.559999,26.030001,1286000,24.598158
2006-02-23,25.93,25.93,25.129999,25.34,1581600,23.946113
2006-02-24,25.32,25.51,25.1,25.49,1314400,24.087861
2006-02-27,25.540001,25.58,25.309999,25.48,902300,24.078411
2006-02-28,25.35,25.35,24.860001,25.129999,1220900,23.747663
2006-03-01,25.15,26.219999,25.15,26.200001,1588800,24.758807
2006-03-02,25.700001,25.98,25.540001,25.77,1050400,24.35246
2006-03-03,25.75,25.83,25.389999,25.620001,708200,24.210711
2006-03-06,25.5,25.59,25.1,25.360001,784600,23.965013
2006-03-07,25.200001,25.450001,24.42,24.59,962600,23.237368
2006-03-08,24.59,24.65,23.870001,24.360001,1569000,23.02002
2006-03-09,24.32,24.610001,24.120001,24.200001,969900,22.868822
2006-03-10,24.25,24.799999,24.08,24.76,2216900,23.398017
2006-03-13,24.6,25.0,24.49,24.870001,1212700,23.501967
2006-03-14,24.73,25.17,24.58,25.08,1589800,23.700414
2006-03-15,25.08,25.290001,24.92,25.219999,1381400,23.832713
2006-03-16,25.219999,25.33,24.32,24.34,1408000,23.00112
2006-03-17,24.459999,24.51,24.02,24.18,1339300,22.849921
2006-03-20,24.18,24.23,23.790001,23.870001,1417700,22.556974
2006-03-21,23.200001,24.08,22.940001,23.709999,1841400,22.405774
2006-03-22,22.959999,23.74,22.959999,23.58,1466000,22.282925
2006-03-23,23.4,23.82,23.4,23.57,694000,22.273475
2006-03-24,23.67,24.139999,23.639999,24.0,1102800,22.679822
2006-03-27,23.879999,23.98,23.719999,23.84,855200,22.528624
2006-03-28,23.940001,24.110001,23.51,23.66,924500,22.358525
2006-03-29,23.65,24.469999,23.629999,24.219999,882300,22.88772
2006-03-30,25.4,25.690001,25.0,25.280001,2271200,23.889414
2006-03-31,25.35,25.450001,25.09,25.379999,1649600,23.983911
2006-04-03,25.59,25.620001,25.24,25.43,1400700,24.031162
2006-04-04,25.440001,25.6,25.34,25.6,1358600,24.191811
2006-04-05,25.700001,25.99,25.41,25.950001,1772800,24.522559
2006-04-06,25.969999,26.120001,25.84,26.049999,728800,24.617057
2006-04-07,26.120001,26.200001,25.469999,25.58,1059900,24.172911
2006-04-10,25.5,25.5,24.879999,25.049999,1434200,23.672064
2006-04-11,25.17,25.17,24.52,24.65,873100,23.294067
2006-04-12,24.719999,25.200001,24.700001,24.950001,810100,23.577566
