Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,31.9,32.41,31.049999,31.889999,250800,23.911907
2006-01-04,31.25,32.77,31.0,32.490002,431500,24.361804
2006-01-05,34.490002,35.389999,33.939999,34.919998,850100,26.183875
2006-01-06,34.700001,35.5,34.700001,35.220001,654600,26.408825
2006-01-09,34.950001,36.419998,34.919998,36.240002,454100,27.173646
2006-01-10,35.700001,36.93,35.610001,36.450001,381700,27.331109
2006-01-11,35.900002,36.529999,35.759998,36.419998,445400,27.308612
2006-01-12,36.349998,36.450001,35.98,36.040001,315500,27.023681
2006-01-13,36.09,36.310001,36.02,36.150002,258100,27.106162
2006-01-17,36.029999,36.439999,35.669998,36.18,627000,27.128656
2006-01-18,35.650002,36.75,35.650002,36.27,373400,27.309363
2006-01-19,36.099998,36.650002,36.0,36.380001,310800,27.392188
2006-01-20,36.619999,36.799999,36.009998,36.049999,302800,27.143714
2006-01-23,36.25,36.790001,36.16,36.790001,291600,27.700896
2006-01-24,36.700001,37.830002,36.639999,37.830002,647700,28.483961
2006-01-25,37.830002,38.07,37.639999,37.799999,446500,28.46137
2006-01-26,38.0,38.299999,37.950001,38.200001,564100,28.76255
2006-01-27,38.349998,39.029999,38.25,38.799999,439600,29.214317
2006-01-30,37.900002,38.470001,37.82,37.939999,403200,28.566782
2006-01-31,37.799999,38.029999,37.48,37.889999,363200,28.529135
2006-02-01,37.599998,38.32,37.599998,37.950001,406900,28.574313
2006-02-02,37.950001,38.18,37.419998,37.720001,331600,28.401136
2006-02-03,37.470001,38.07,37.23,37.84,348500,28.491489
2006-02-06,38.220001,39.049999,38.18,38.700001,610700,29.139023
2006-02-07,38.700001,39.389999,38.169998,38.200001,439200,28.76255
2006-02-08,38.450001,38.880001,38.220001,38.740002,313900,29.169142
2006-02-09,38.779999,39.990002,38.630001,38.82,526300,29.229376
2006-02-10,38.57,38.93,38.450001,38.900002,231500,29.289613
2006-02-13,38.549999,38.869999,38.549999,38.669998,296100,29.116433
2006-02-14,38.669998,39.75,38.59,39.490002,551200,29.733851
2006-02-15,39.610001,39.990002,39.139999,39.740002,417600,29.922088
2006-02-16,39.810001,40.169998,39.759998,40.150002,267600,30.230796
2006-02-17,40.25,40.279999,40.02,40.130001,290200,30.215737
2006-02-21,40.049999,40.419998,39.389999,39.700001,238000,29.891969
2006-02-22,39.650002,40.049999,39.59,39.900002,292000,30.042559
2006-02-23,39.799999,40.0,39.259998,39.880001,357900,30.0275
2006-02-24,39.759998,39.990002,39.580002,39.919998,178400,30.057616
2006-02-27,39.950001,40.349998,39.889999,39.950001,251800,30.080206
2006-02-28,40.0,40.09,39.16,39.490002,247700,29.733851
2006-03-01,39.75,40.689999,39.689999,40.5,209400,30.494326
2006-03-02,40.599998,40.919998,39.849998,40.48,255500,30.479267
2006-03-03,40.25,41.099998,40.209999,40.369999,266400,30.396442
2006-03-06,39.419998,40.450001,39.349998,39.880001,224500,30.0275
2006-03-07,39.650002,39.779999,38.759998,39.740002,303000,29.922088
2006-03-08,39.48,39.529999,37.91,38.939999,352000,29.319729
2006-03-09,38.799999,39.560001,38.549999,38.790001,241200,29.206788
2006-03-10,38.790001,39.509998,38.709999,39.27,209600,29.568202
2006-03-13,39.27,39.990002,39.130001,39.209999,267900,29.523024
2006-03-14,39.110001,40.099998,39.009998,40.0,393800,30.117853
2006-03-15,40.0,40.880001,39.669998,40.810001,226200,30.72774
2006-03-16,40.77,41.259998,40.459999,40.529999,250600,30.516913
2006-03-17,40.299999,40.849998,39.830002,40.849998,662200,30.757856
2006-03-20,40.900002,41.360001,40.490002,41.029999,235200,30.893386
2006-03-21,40.93,41.32,40.029999,40.5,215000,30.494326
2006-03-22,40.400002,40.560001,40.060001,40.5,210900,30.494326
2006-03-23,40.279999,40.709999,40.0,40.560001,139000,30.539504
2006-03-24,40.25,41.0,40.040001,40.709999,267900,30.652444
2006-03-27,39.099998,39.889999,38.75,39.740002,305400,29.922088
2006-03-28,39.779999,40.029999,39.200001,39.330002,321800,29.61338
2006-03-29,39.5,39.900002,39.220001,39.900002,416600,30.042559
2006-03-30,39.91,40.25,39.200001,39.59,191000,29.809145
2006-03-31,39.709999,40.349998,39.599998,40.0,406400,30.117853
2006-04-03,40.200001,41.240002,40.0,40.799999,329100,30.720209
2006-04-04,40.73,41.200001,40.439999,40.77,256100,30.697622
2006-04-05,40.740002,42.25,38.650002,42.169998,527300,31.751745
2006-04-06,42.0,42.0,41.23,41.5,516800,31.247272
2006-04-07,41.900002,42.220001,40.900002,41.200001,342900,31.021389
2006-04-10,40.900002,40.900002,40.169998,40.450001,443200,30.456679
2006-04-11,40.279999,40.700001,39.619999,39.66,364100,29.973
2006-04-12,39.66,40.259998,39.349998,40.09,309000,30.297972
2006-04-13,39.849998,40.09,39.400002,39.700001,320400,30.003231
2006-04-17,39.599998,40.09,39.48,40.080002,226700,30.290416
2006-04-18,40.16,41.599998,40.16,41.419998,344300,31.303117
2006-04-19,41.400002,41.59,40.919998,41.07,453200,31.038606
2006-04-20,41.049999,42.52,40.939999,42.48,718300,32.104212
2006-04-21,42.849998,42.849998,41.41,41.419998,449800,31.303117
2006-04-24,41.349998,41.82,41.259998,41.57,226900,31.41648
2006-04-25,41.549999,41.709999,41.040001,41.290001,319100,31.204871
2006-04-26,41.330002,42.0,41.279999,41.540001,289700,31.393809
2006-04-27,41.290001,41.82,40.380001,41.080002,220000,31.046165
2006-04-28,40.580002,41.950001,40.130001,41.279999,247200,31.197312
2006-05-01,41.41,42.25,41.41,41.84,280700,31.620533
2006-05-02,41.880001,42.41,41.25,42.41,206200,32.051309
2006-05-03,42.41,42.830002,42.099998,42.630001,243000,32.217575
2006-05-04,42.599998,43.360001,42.439999,43.290001,239000,32.716369
2006-05-05,43.349998,43.860001,43.16,43.560001,288000,32.920422
2006-05-08,43.400002,44.34,43.330002,44.16,426100,33.37387
2006-05-09,43.849998,44.139999,43.59,43.779999,271700,33.086685
2006-05-10,43.68,44.349998,43.549999,44.290001,500600,33.472118
2006-05-11,44.150002,44.330002,43.16,43.18,433500,32.633236
2006-05-12,43.0,43.0,42.209999,42.34,263600,31.998407
2006-05-15,42.09,42.369999,41.25,41.779999,224500,31.575187
2006-05-16,41.720001,42.150002,41.48,41.709999,158300,31.522285
2006-05-17,41.200001,41.43,40.099998,40.119999,319200,30.320644
2006-05-18,40.220001,40.650002,39.669998,39.82,226100,30.09392
2006-05-19,39.669998,40.25,38.950001,39.82,223800,30.09392
2006-05-22,39.400002,40.57,38.880001,40.029999,379900,30.252626
2006-05-23,40.279999,40.759998,39.060001,39.279999,287500,29.685815
2006-05-24,39.279999,40.080002,38.41,39.5,335200,29.85208
2006-05-25,39.75,40.200001,39.599998,39.93,314800,30.177053
2006-05-26,40.080002,40.75,39.91,40.509998,224000,30.615385
2006-05-30,40.049999,40.330002,39.439999,39.439999,243500,29.806734
2006-05-31,39.689999,40.490002,39.610001,39.900002,361100,30.154381
2006-06-01,40.0,40.990002,39.900002,40.93,259700,30.932801
2006-06-02,41.0,41.599998,40.790001,41.23,199500,31.159525
2006-06-05,41.0,41.16,39.25,39.279999,258700,29.685815
2006-06-06,39.470001,39.709999,38.799999,39.580002,348800,29.912542
2006-06-07,39.580002,40.0,38.889999,38.889999,382900,29.391073
2006-06-08,38.5,38.900002,36.0,37.990002,519800,28.710901
2006-06-09,38.139999,38.459999,37.349998,37.59,298400,28.4086
2006-06-12,37.619999,37.68,36.25,36.330002,269300,27.456358
2006-06-13,36.25,37.0,35.369999,35.48,384400,26.813969
2006-06-14,35.330002,36.16,35.310001,35.950001,304600,27.169172
2006-06-15,36.299999,37.43,36.119999,37.200001,252400,28.113858
2006-06-16,37.119999,37.299999,36.450001,36.860001,727900,27.856904
2006-06-19,36.959999,37.060001,36.139999,36.380001,314600,27.494145
2006-06-20,36.380001,36.75,36.02,36.049999,261400,27.244746
2006-06-21,35.970001,36.759998,35.849998,36.049999,634600,27.244746
2006-06-22,35.950001,36.330002,35.889999,36.330002,652500,27.456358
2006-06-23,36.16,37.389999,35.860001,36.990002,291800,27.955152
2006-06-26,37.189999,37.860001,37.189999,37.669998,171300,28.469058
2006-06-27,37.639999,38.349998,36.84,36.959999,281200,27.932477
2006-06-28,37.009998,37.490002,36.689999,37.290001,270800,28.181876
2006-06-29,37.5,39.400002,37.450001,39.27,428100,29.678258
2006-06-30,39.349998,39.709999,38.75,38.91,1240500,29.406188
2006-07-03,39.049999,39.400002,38.759998,39.400002,204200,29.776507
2006-07-05,39.200001,40.0,38.610001,39.509998,490000,29.859637
2006-07-06,41.5,43.450001,41.5,43.0,1452500,32.497201
2006-07-07,43.049999,43.759998,42.73,42.93,644400,32.444299
2006-07-10,42.700001,43.66,42.619999,43.09,550800,32.565219
2006-07-11,42.93,44.0,42.77,43.970001,419600,33.230279
2006-07-12,43.75,43.790001,41.610001,41.68,687400,31.607438
2006-07-13,41.689999,42.27,41.209999,41.380001,794300,31.379937
2006-07-14,41.25,41.349998,40.029999,40.52,486600,30.727768
2006-07-17,40.599998,40.900002,40.049999,40.57,551400,30.765684
2006-07-18,40.75,41.150002,40.349998,41.049999,407600,31.129685
2006-07-19,41.150002,42.700001,41.150002,42.5,381600,32.229273
2006-07-20,42.75,42.82,40.709999,40.860001,433000,30.985602
2006-07-21,40.700001,40.869999,40.040001,40.639999,599500,30.818768
2006-07-24,40.889999,42.27,40.889999,42.099998,359300,31.925937
2006-07-25,42.119999,42.790001,41.759998,42.5,481300,32.229273
2006-07-26,42.5,43.130001,41.599998,42.830002,404600,32.479525
2006-07-27,43.0,43.5,41.689999,42.110001,412900,31.933522
2006-07-28,42.599998,43.52,42.599998,43.240002,446300,32.790443
2006-07-31,43.16,43.990002,43.029999,43.73,461600,33.162025
2006-08-01,43.48,44.259998,42.98,44.0,616200,33.366776
2006-08-02,44.299999,44.450001,43.400002,43.650002,539200,33.10136
2006-08-03,43.349998,44.599998,43.310001,44.509998,515400,33.753526
2006-08-04,44.759998,45.18,43.799999,44.5,419100,33.745944
2006-08-07,44.299999,45.02,44.09,44.389999,338200,33.662527
2006-08-08,44.599998,44.740002,43.549999,43.830002,361700,33.237861
2006-08-09,44.080002,44.369999,42.880001,42.93,366000,32.555357
2006-08-10,42.529999,43.279999,42.400002,42.990002,322000,32.600859
2006-08-11,42.540001,42.75,42.349998,42.57,158300,32.282356
2006-08-14,42.369999,43.040001,42.290001,42.540001,355000,32.259607
2006-08-15,43.07,43.610001,42.939999,43.580002,234900,33.048277
2006-08-16,43.619999,44.720001,43.419998,44.5,418100,33.745944
2006-08-17,44.299999,44.900002,44.009998,44.389999,245500,33.662527
2006-08-18,44.599998,44.740002,43.700001,44.529999,306000,33.768694
2006-08-21,44.450001,44.450001,43.41,43.630001,219200,33.086193
2006-08-22,43.450001,44.27,43.150002,44.200001,316400,33.518444
2006-08-23,44.049999,44.25,42.599998,42.869999,179200,32.509856
2006-08-24,43.0,43.360001,42.360001,42.549999,221000,32.267189
2006-08-25,42.450001,42.599998,41.830002,42.099998,385800,31.925937
2006-08-28,41.889999,42.549999,41.889999,42.240002,283600,32.032107
2006-08-29,42.75,42.880001,41.75,42.279999,540600,32.062438
2006-08-30,42.400002,43.139999,42.029999,42.98,359400,32.593274
2006-08-31,43.080002,43.400002,42.73,42.73,203100,32.40369
2006-09-01,42.900002,43.52,42.849998,43.25,254700,32.798025
2006-09-05,43.470001,44.919998,43.349998,44.650002,434800,33.859696
2006-09-06,44.23,44.290001,43.169998,43.18,267800,32.744941
2006-09-07,42.900002,43.98,42.310001,43.09,300100,32.676691
2006-09-08,43.09,43.990002,43.09,43.740002,349600,33.16961
2006-09-11,43.5,44.040001,43.09,43.580002,239600,33.048277
2006-09-12,43.580002,45.080002,43.41,44.84,370500,34.003779
2006-09-13,44.889999,45.509998,44.599998,45.240002,262700,34.307114
2006-09-14,45.150002,45.369999,44.560001,45.169998,290100,34.254028
2006-09-15,45.549999,45.810001,44.700001,44.700001,455100,33.897612
2006-09-18,44.599998,45.209999,44.18,44.849998,201200,34.011361
2006-09-19,44.75,44.860001,43.66,44.689999,211200,33.890027
2006-09-20,44.790001,45.77,44.68,45.400002,138600,34.428448
2006-09-21,45.400002,45.650002,44.509998,44.77,204500,33.950695
2006-09-22,44.57,44.700001,43.77,44.400002,239000,33.670112
2006-09-25,44.459999,45.599998,44.349998,45.18,259200,34.261613
2006-09-26,45.07,46.16,44.82,46.049999,289100,34.921364
2006-09-27,45.720001,46.07,45.400002,45.830002,334000,34.754532
2006-09-28,45.950001,46.209999,44.990002,45.720001,196300,34.671115
2006-09-29,45.889999,46.169998,45.32,45.400002,308700,34.428448
2006-10-02,45.32,46.209999,45.130001,45.669998,339700,34.633196
2006-10-03,45.509998,46.5,45.009998,46.02,285000,34.898615
2006-10-04,46.5,47.349998,46.27,47.060001,372800,35.687285
2006-10-05,48.59,48.599998,46.790001,46.91,1386300,35.573534
2006-10-06,46.98,47.5,46.84,47.0,885100,35.641784
2006-10-09,47.389999,48.450001,47.220001,47.900002,627100,36.324287
2006-10-10,47.98,48.200001,47.700001,48.040001,673900,36.430454
2006-10-11,48.18,48.400002,47.380001,47.990002,499700,36.392538
2006-10-12,48.380001,48.939999,48.259998,48.450001,570700,36.856573
2006-10-13,48.0,48.759998,47.990002,48.759998,584900,37.092393
2006-10-16,49.009998,50.389999,49.009998,50.040001,694500,38.066108
