Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,22.630002,24.570002,22.630002,24.250001,285300,18.707472
2006-01-04,24.500005,24.619999,24.140001,24.350006,184900,18.784619
2006-01-05,24.36,24.47,24.189998,24.330004,105000,18.769189
2006-01-06,24.429998,24.480004,24.200004,24.239996,85500,18.699753
2006-01-09,24.1,25.040004,24.050005,24.969997,218500,19.262907
2006-01-10,24.92,24.930006,24.449998,24.619999,225200,18.992904
2006-01-11,24.630005,24.749999,24.189998,24.47,239500,18.877188
2006-01-12,24.409997,24.640001,24.23,24.299999,185900,18.746042
2006-01-13,24.350006,24.400001,23.860002,23.889997,76700,18.42975
2006-01-17,23.889997,24.6,23.889997,24.500005,284000,18.900335
2006-01-18,24.400001,24.899999,24.299999,24.899999,86800,19.208907
2006-01-19,25.009999,26.700005,25.009999,26.100003,493900,20.134641
2006-01-20,26.250004,26.250004,25.540002,25.600005,180300,19.748921
2006-01-23,25.600005,25.999998,25.600005,25.919996,128100,19.995776
2006-01-24,26.100003,27.25,26.100003,27.099998,217400,20.906079
2006-01-25,27.099998,27.410005,27.050003,27.350002,192900,21.098943
2006-01-26,27.599996,28.809996,27.599996,28.8,305300,22.217532
2006-01-27,30.000004,30.000004,29.230001,29.259997,284600,22.572393
2006-01-30,29.380001,29.77,29.270002,29.620001,158700,22.850115
2006-01-31,29.810001,29.88,29.400002,29.799996,132300,22.988971
2006-02-01,29.649996,30.209997,29.480005,29.760004,170800,22.95812
2006-02-02,29.530002,29.850003,29.129997,29.200006,79200,22.526113
2006-02-03,29.149998,29.200006,28.09,28.499999,182700,21.986099
2006-02-06,28.499999,29.689998,28.289997,29.449999,143400,22.718969
2006-02-07,29.500007,29.500007,28.479999,28.629999,36300,22.086386
2006-02-08,28.730003,28.790004,28.11,28.450002,55500,21.947529
2006-02-09,28.390001,29.169998,28.139997,29.010003,198200,22.379537
2006-02-10,29.100001,29.100001,28.600003,28.8,134100,22.217532
2006-02-13,28.790004,28.900005,28.280001,28.8,117600,22.217532
2006-02-14,28.8,29.75,28.8,29.649996,323500,22.873255
2006-02-15,29.700003,29.960003,29.599999,29.790002,73000,22.981261
2006-02-16,29.790002,29.989999,29.409998,29.550002,423300,22.796115
2006-02-17,29.599999,29.689998,29.200006,29.310004,52000,22.610971
2006-02-21,29.629995,29.9,29.51,29.75,119400,22.950403
2006-02-22,29.9,30.000004,29.420002,29.649996,73400,22.873255
2006-02-23,29.799996,29.910006,29.669996,29.700003,55600,22.911833
2006-02-24,29.9,29.9,29.500007,29.75,30700,22.950403
2006-02-27,29.850003,30.840004,29.850003,30.200001,260300,23.297552
2006-02-28,30.000004,30.009998,29.400002,29.930005,123000,23.089266
2006-03-01,30.000004,30.200001,29.88,29.969997,120400,23.120117
2006-03-02,30.000004,30.000004,29.310004,29.380001,72700,22.664969
2006-03-03,29.330005,29.400002,28.609999,28.699996,161800,22.140385
2006-03-06,28.549996,29.050004,28.450002,28.450002,188200,21.947529
2006-03-07,28.499999,28.499999,27.030001,27.059997,175400,20.875221
2006-03-08,26.750002,27.099998,26.580001,26.810003,294800,20.682365
2006-03-09,26.770002,27.749998,26.770002,27.480002,244300,21.19923
2006-03-10,27.489998,27.690006,27.370004,27.500004,154500,21.21466
2006-03-13,27.449997,27.449997,26.120004,26.570005,403400,20.49722
2006-03-14,26.550003,26.940003,26.499996,26.649998,53200,20.55893
2006-03-15,26.719995,26.900002,26.389998,26.499996,216500,20.443213
2006-03-16,26.649998,27.039997,26.41,26.590007,196700,20.51265
2006-03-17,26.550003,26.559999,26.089997,26.380002,420000,20.350644
2006-03-20,26.380002,26.380002,25.89,26.04,470400,20.088352
2006-03-21,26.04,26.719995,25.699997,25.699997,92300,19.82606
2006-03-22,25.899996,25.999998,25.350001,25.899996,153900,19.980347
2006-03-23,25.89,26.600001,25.710003,25.76,203000,19.872349
2006-03-24,25.770006,26.049996,25.770006,25.849999,47800,19.941777
2006-03-27,25.950003,26.200007,25.800002,26.049996,101800,20.096063
2006-03-28,26.100003,26.15,25.959997,26.030006,126300,20.080642
2006-03-29,26.100003,26.600001,26.069997,26.519998,61400,20.458643
2006-03-30,26.570005,26.759996,26.459995,26.499996,205900,20.443213
2006-03-31,26.600001,26.600001,26.309995,26.479997,115400,20.427784
2006-04-03,26.479997,26.649998,26.400004,26.510002,222200,20.450931
2006-04-04,26.610006,27.570001,26.610006,27.149995,144200,20.944649
2006-04-05,27.14,27.220004,26.940003,26.99,302600,20.821222
2006-04-06,27.01,27.749998,27.01,27.489998,326700,21.206941
2006-04-07,27.610002,27.800005,27.000006,27.51,261700,21.222372
2006-04-10,26.86,29.330005,26.750002,27.610002,430100,22.186662
2006-04-11,27.610002,27.610002,26.109999,26.440005,669700,21.246484
2006-04-12,26.610006,27.500004,26.550003,27.260006,893200,21.905414
2006-04-13,27.350002,28.770005,27.350002,28.309998,210800,22.74916
2006-04-17,28.410001,28.470004,28.100006,28.35,75600,22.781304
2006-04-18,28.499999,28.790004,28.100006,28.759999,109700,23.110769
2006-04-19,28.750003,28.990003,28.410001,28.490005,80900,22.893809
2006-04-20,28.390001,28.479999,27.800005,27.989996,280600,22.492015
2006-04-21,27.969996,28.09,27.740002,27.939998,45200,22.451838
2006-04-24,27.939998,27.950004,27.310001,27.709996,65000,22.267015
2006-04-25,27.709996,27.789999,26.929997,27.460002,137600,22.066126
2006-04-26,27.680001,27.950004,27.410005,27.599996,105600,22.178621
2006-04-27,27.449997,27.449997,26.909997,26.980004,129900,21.680413
2006-04-28,26.99,27.12,26.850004,27.099998,305400,21.776837
2006-05-01,27.25,27.729996,27.099998,27.449997,55300,22.058086
2006-05-02,27.399999,27.810001,27.299997,27.690006,85400,22.250951
2006-05-03,27.449997,27.559995,26.969998,27.12,85200,21.792909
2006-05-04,27.200003,27.680001,26.900002,27.599996,85000,22.178621
2006-05-05,27.7,27.870002,27.639999,27.639999,45100,22.210767
2006-05-08,27.550001,28.699996,27.550001,28.399995,171900,22.821479
2006-05-09,28.450002,30.000004,28.250005,29.629995,209300,23.809874
2006-05-10,29.700003,29.960003,29.050004,29.449999,68600,23.665235
2006-05-11,29.469999,29.469999,28.510005,28.549996,73100,22.942016
2006-05-12,28.699996,29.760004,28.629999,28.699996,108400,23.062552
2006-05-15,28.549996,28.650001,27.870002,27.919999,87200,22.435767
2006-05-16,27.919999,28.410001,27.879997,28.009997,50000,22.508088
2006-05-17,27.899997,28.22,27.7,27.7,73700,22.258982
2006-05-18,27.680001,27.690006,27.280005,27.339998,52200,21.969694
2006-05-19,27.229998,27.269999,26.739996,27.050003,181200,21.736662
2006-05-22,27.090004,27.160001,26.470001,26.700005,145600,21.455413
2006-05-23,26.799997,27.7,26.700005,26.799997,189000,21.535764
2006-05-24,26.3,26.700005,26.180005,26.450001,95200,21.254516
2006-05-25,26.450001,27.14,26.450001,26.980004,47300,21.680413
2006-05-26,26.900002,27.339998,26.770002,26.850004,68000,21.575948
2006-05-30,26.600001,27.039997,25.829997,25.849999,128800,20.77237
2006-05-31,25.849999,26.649998,25.57,26.200007,1257500,21.053628
2006-06-01,26.3,27.540005,26.200007,27.500004,113300,22.09827
2006-06-02,27.599996,30.119998,27.599996,29.590003,624200,23.777738
2006-06-05,29.590003,30.280004,28.900005,29.160004,189600,23.432202
2006-06-06,29.160004,29.160004,27.910003,28.170003,136700,22.636664
