Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,65.919998,65.919998,64.25,65.510002,1282300,60.506788
2006-01-04,65.580002,67.0,65.480003,66.93,696100,61.818337
2006-01-05,66.860001,67.07,66.339996,66.5,797000,61.421177
2006-01-06,66.699997,67.650002,66.629997,67.599998,615700,62.437165
2006-01-09,67.099998,68.300003,67.07,67.800003,1153000,62.621894
2006-01-10,67.449997,67.940002,66.629997,67.940002,609300,62.751202
2006-01-11,67.910004,68.25,66.870003,67.110001,536700,61.98459
2006-01-12,66.709999,67.040001,66.269997,66.800003,357300,61.698268
2006-01-13,66.980003,67.190002,66.449997,66.709999,356300,61.615138
2006-01-17,65.25,66.080002,64.660004,65.5,1001000,60.49755
2006-01-18,65.0,65.419998,64.790001,65.099998,885900,60.128098
2006-01-19,65.199997,65.25,64.900002,65.010002,553000,60.16512
2006-01-20,65.0,65.18,63.84,64.019997,823800,59.248895
2006-01-23,64.099998,64.5,63.75,64.279999,438600,59.48952
2006-01-24,64.5,65.650002,64.480003,64.809998,922100,59.980021
2006-01-25,65.400002,65.400002,63.450001,64.410004,706600,59.609837
2006-01-26,63.950001,64.379997,62.080002,63.59,1799800,58.850944
2006-01-27,63.639999,64.709999,63.400002,63.5,1031000,58.767651
2006-01-30,63.400002,64.599998,63.400002,64.449997,1132700,59.646849
2006-01-31,64.449997,64.599998,63.419998,63.419998,1496300,58.693612
2006-02-01,63.169998,63.900002,62.330002,62.619999,1089900,57.953232
2006-02-02,62.84,62.889999,62.25,62.540001,930500,57.879196
2006-02-03,62.150002,62.52,61.779999,61.919998,713300,57.305399
2006-02-06,61.75,61.759998,60.959999,61.0,1002500,56.453964
2006-02-07,60.5,60.82,59.889999,60.25,1908600,55.759858
2006-02-08,60.259998,61.419998,60.200001,61.360001,1487100,56.787136
2006-02-09,61.360001,62.700001,61.25,62.310001,1325200,57.666337
2006-02-10,62.419998,63.200001,62.18,63.049999,1079100,58.351187
2006-02-13,62.950001,63.459999,62.700001,63.400002,743200,58.675105
2006-02-14,63.459999,64.279999,63.25,64.150002,962900,59.369211
2006-02-15,64.169998,64.970001,63.959999,64.809998,810300,59.980021
2006-02-16,64.650002,64.980003,64.510002,64.849998,673200,60.017041
2006-02-17,64.900002,65.080002,64.620003,64.809998,515500,59.980021
2006-02-21,64.900002,64.940002,63.860001,64.400002,639500,59.60058
2006-02-22,64.540001,64.860001,63.860001,63.860001,716300,59.100823
2006-02-23,65.019997,67.190002,64.459999,66.739998,1992200,61.766188
2006-02-24,66.339996,66.529999,65.769997,66.099998,679800,61.173884
2006-02-27,66.050003,67.519997,66.050003,66.75,616100,61.775444
2006-02-28,66.599998,66.699997,65.339996,65.489998,790900,60.609344
2006-03-01,65.489998,66.099998,65.099998,66.0,801800,61.081338
2006-03-02,68.5,71.0,68.25,70.059998,1910300,64.838764
2006-03-03,69.809998,69.830002,69.190002,69.669998,1068800,64.477829
2006-03-06,69.019997,69.269997,68.269997,68.620003,958700,63.506085
2006-03-07,68.620003,69.07,68.339996,68.419998,492800,63.320986
2006-03-08,68.449997,68.730003,68.0,68.519997,625700,63.413532
2006-03-09,68.32,68.779999,67.879997,68.199997,794700,63.11738
2006-03-10,68.209999,69.220001,68.209999,69.010002,696300,63.867019
2006-03-13,68.889999,69.739998,68.889999,69.5,687800,64.3205
2006-03-14,69.400002,69.75,68.769997,69.050003,581400,63.904039
2006-03-15,68.980003,69.199997,68.529999,68.879997,460700,63.746703
2006-03-16,69.129997,69.449997,68.5,68.790001,450100,63.663414
2006-03-17,69.5,69.980003,69.279999,69.5,580200,64.3205
2006-03-20,69.550003,69.550003,68.419998,68.699997,505000,63.580117
2006-03-21,68.940002,69.080002,67.959999,68.269997,892000,63.182163
2006-03-22,68.290001,69.190002,68.199997,69.0,470600,63.857763
2006-03-23,68.900002,69.190002,67.82,69.160004,628700,64.005842
2006-03-24,69.150002,69.459999,68.43,68.610001,522000,63.496828
2006-03-27,68.550003,68.82,68.220001,68.239998,343600,63.1544
2006-03-28,68.129997,68.889999,67.639999,68.089996,459400,63.015577
2006-03-29,68.050003,68.900002,68.010002,68.269997,466700,63.182163
2006-03-30,68.279999,68.290001,67.57,68.110001,534100,63.034091
2006-03-31,68.260002,68.620003,67.529999,67.809998,529100,62.756445
2006-04-03,67.709999,68.07,67.050003,67.080002,547500,62.080853
2006-04-04,67.089996,67.800003,66.870003,66.949997,545000,61.960537
2006-04-05,67.949997,69.269997,67.449997,69.010002,1060800,63.867019
2006-04-06,69.0,69.099998,68.019997,68.120003,734200,63.043347
2006-04-07,68.239998,68.629997,67.769997,68.050003,834300,62.978564
2006-04-10,68.050003,68.529999,67.690002,68.260002,592400,63.172913
2006-04-11,68.25,68.580002,68.07,68.580002,691400,63.469065
2006-04-12,69.0,69.300003,68.790001,69.18,667100,64.024349
2006-04-13,69.190002,69.849998,68.400002,69.769997,802200,64.570375
2006-04-17,69.669998,70.239998,69.18,69.220001,1010700,64.061368
2006-04-18,69.470001,69.57,68.57,69.349998,836700,64.181678
2006-04-19,74.900002,75.5,72.800003,74.0,3367500,68.485137
2006-04-20,73.480003,74.290001,73.389999,73.849998,1310100,68.346314
2006-04-21,74.0,74.019997,72.900002,73.300003,950100,67.837307
2006-04-24,73.300003,74.0,73.080002,73.870003,745900,68.364828
2006-04-25,73.800003,73.989998,73.360001,73.610001,742900,68.124202
2006-04-26,73.650002,74.199997,73.470001,73.970001,409700,68.457374
2006-04-27,73.900002,75.349998,73.809998,74.769997,995000,69.319576
2006-04-28,74.779999,75.300003,74.360001,74.459999,944500,69.032176
2006-05-01,74.459999,74.599998,73.800003,73.970001,830900,68.577897
2006-05-02,74.019997,74.339996,73.779999,74.010002,464300,68.614982
2006-05-03,74.089996,74.400002,73.400002,73.519997,562400,68.160696
2006-05-04,73.669998,74.449997,73.650002,73.940002,336600,68.550085
2006-05-05,74.129997,74.830002,74.07,74.730003,419900,69.282498
2006-05-08,74.980003,74.980003,74.440002,74.919998,527400,69.458643
2006-05-09,74.800003,75.5,74.769997,75.389999,793600,69.894383
2006-05-10,75.339996,75.75,75.150002,75.389999,442000,69.894383
2006-05-11,75.519997,75.889999,75.410004,75.800003,806800,70.274499
2006-05-12,75.860001,76.75,75.800003,75.980003,1186600,70.441378
2006-05-15,75.919998,76.739998,75.190002,75.449997,902700,69.950007
2006-05-16,75.449997,75.699997,74.25,74.690002,1085600,69.245413
2006-05-17,74.629997,75.25,73.660004,73.830002,650700,68.448103
2006-05-18,73.800003,74.32,73.540001,73.629997,490300,68.262678
2006-05-19,73.550003,73.629997,72.480003,72.760002,674200,67.456102
2006-05-22,72.699997,73.099998,72.550003,72.620003,490000,67.326308
2006-05-23,72.669998,73.389999,72.199997,72.43,615400,67.150156
2006-05-24,72.309998,73.199997,71.879997,72.860001,554200,67.548811
2006-05-25,72.959999,73.620003,72.800003,73.519997,365500,68.160696
2006-05-26,73.849998,74.480003,73.339996,73.690002,370600,68.318309
2006-05-30,73.489998,73.610001,72.620003,72.620003,631200,67.326308
2006-05-31,72.82,74.129997,72.75,74.010002,533300,68.614982
2006-06-01,74.010002,74.919998,73.959999,74.330002,658500,68.911655
2006-06-02,73.709999,74.300003,73.370003,73.989998,519900,68.596436
2006-06-05,73.599998,73.599998,72.089996,72.089996,926200,66.834937
2006-06-06,72.209999,72.889999,71.589996,72.059998,666600,66.807125
2006-06-07,72.169998,72.949997,71.970001,72.120003,463500,66.862756
2006-06-08,72.260002,73.220001,72.010002,73.150002,811600,67.817672
2006-06-09,73.25,74.300003,72.800003,73.68,762800,68.309036
2006-06-12,73.690002,73.730003,72.860001,73.010002,401200,67.687878
2006-06-13,73.010002,73.029999,71.040001,71.040001,976400,65.861481
2006-06-14,70.940002,73.610001,70.150002,71.160004,1036300,65.972736
2006-06-15,71.160004,72.0,71.0,71.849998,935300,66.612434
2006-06-16,71.489998,71.949997,71.239998,71.470001,512000,66.260137
2006-06-19,71.260002,71.57,70.739998,71.0,461900,65.824396
2006-06-20,70.800003,71.150002,70.139999,70.360001,507300,65.23105
2006-06-21,70.260002,70.980003,69.959999,70.599998,633500,65.453553
2006-06-22,70.199997,71.400002,69.849998,71.309998,755000,66.111796
2006-06-23,71.059998,72.599998,70.800003,72.040001,727000,66.788586
2006-06-26,72.050003,72.940002,71.809998,72.940002,592500,67.622981
2006-06-27,72.989998,72.989998,71.860001,72.080002,839200,66.825671
2006-06-28,72.169998,72.400002,71.489998,72.010002,436100,66.760774
2006-06-29,72.260002,73.379997,72.099998,73.260002,449700,67.919654
2006-06-30,73.400002,73.650002,73.160004,73.260002,435600,67.919654
2006-07-03,72.559998,73.089996,72.32,73.010002,226600,67.687878
2006-07-05,72.800003,73.230003,72.389999,72.940002,295200,67.622981
2006-07-06,73.040001,74.099998,73.040001,73.860001,396000,68.475915
2006-07-07,73.709999,74.629997,73.519997,74.169998,458000,68.763315
2006-07-10,74.199997,74.690002,73.900002,74.199997,442600,68.791127
2006-07-11,74.199997,74.43,73.870003,74.25,497700,68.837485
2006-07-12,74.099998,74.290001,73.690002,73.690002,615400,68.318309
2006-07-13,73.699997,73.800003,72.360001,72.410004,747500,67.131617
2006-07-14,72.309998,73.139999,71.830002,72.980003,789300,67.660066
2006-07-17,72.800003,74.400002,72.800003,74.07,652700,68.670606
2006-07-18,74.269997,75.160004,74.010002,74.82,973900,69.365934
2006-07-19,74.940002,75.690002,74.699997,75.110001,702300,69.634795
2006-07-20,73.25,73.25,68.529999,68.790001,3984200,63.894592
2006-07-21,68.940002,69.0,67.360001,68.690002,1921900,63.801709
2006-07-24,68.690002,70.110001,68.43,69.900002,1446300,64.925599
2006-07-25,69.900002,71.099998,69.599998,70.830002,982400,65.789417
2006-07-26,70.480003,70.790001,70.019997,70.57,555400,65.547918
2006-07-27,70.669998,71.190002,70.309998,70.980003,1167700,65.928743
2006-07-28,71.07,71.669998,70.830002,71.550003,1168100,66.458179
2006-07-31,71.5,71.690002,70.75,70.970001,711900,65.919453
2006-08-01,70.720001,71.150002,69.830002,70.860001,508600,65.817281
2006-08-02,71.110001,71.620003,70.910004,71.080002,448900,66.021626
2006-08-03,70.290001,71.879997,70.040001,71.660004,498600,66.560352
2006-08-04,71.989998,72.32,70.669998,71.129997,559300,66.068063
2006-08-07,71.129997,71.5,70.699997,71.290001,290900,66.21668
2006-08-08,71.410004,71.940002,71.0,71.18,345700,66.114508
2006-08-09,71.629997,71.730003,70.860001,70.889999,636600,65.845145
2006-08-10,70.900002,71.849998,70.900002,71.349998,396100,66.272408
2006-08-11,71.389999,71.43,70.709999,70.980003,406500,65.928743
2006-08-14,71.470001,72.82,71.410004,72.0,361400,66.876153
2006-08-15,72.300003,72.959999,72.209999,72.849998,369400,67.665661
2006-08-16,73.269997,73.410004,72.449997,73.360001,458900,68.139369
2006-08-17,73.360001,73.669998,73.150002,73.230003,491800,68.018623
2006-08-18,73.32,73.599998,72.989998,73.309998,411300,68.092925
2006-08-21,73.209999,73.309998,72.870003,73.199997,233500,67.990752
2006-08-22,73.300003,73.400002,72.75,73.0,299000,67.804988
2006-08-23,73.050003,73.290001,72.309998,72.57,162600,67.405588
2006-08-24,69.809998,73.199997,69.809998,73.040001,265600,67.842142
2006-08-25,72.82,73.220001,72.550003,73.040001,231500,67.842142
2006-08-28,73.150002,73.989998,73.040001,73.489998,355200,68.260115
2006-08-29,73.599998,74.43,73.540001,74.349998,279800,69.058914
2006-08-30,74.489998,74.760002,74.199997,74.690002,251400,69.374722
2006-08-31,74.690002,75.279999,74.599998,75.18,320600,69.82985
2006-09-01,75.169998,75.800003,75.0,75.690002,260100,70.303558
2006-09-05,75.639999,75.699997,74.839996,75.349998,753700,69.98775
2006-09-06,75.349998,75.400002,74.620003,74.75,554600,69.43045
2006-09-07,74.849998,74.849998,74.300003,74.5,354400,69.198241
2006-09-08,74.75,75.760002,74.650002,75.440002,646900,70.071349
2006-09-11,75.339996,75.400002,74.050003,74.919998,413900,69.58835
2006-09-12,75.169998,75.650002,74.900002,75.470001,331300,70.099213
2006-09-13,75.370003,75.559998,74.879997,75.440002,251700,70.071349
2006-09-14,75.449997,75.669998,74.919998,75.669998,239500,70.284977
2006-09-15,76.010002,76.470001,75.809998,76.199997,350700,70.777259
2006-09-18,75.949997,76.089996,75.220001,75.919998,319900,70.517186
2006-09-19,75.559998,75.940002,75.25,75.809998,477500,70.415013
2006-09-20,75.589996,75.889999,74.519997,75.760002,539800,70.368576
2006-09-21,75.75,76.300003,75.75,76.120003,551600,70.702957
2006-09-22,75.650002,75.669998,74.620003,75.199997,322800,69.848423
2006-09-25,75.300003,75.339996,74.730003,75.220001,306800,69.867004
2006-09-26,75.25,75.260002,74.720001,75.190002,352800,69.83914
2006-09-27,75.199997,76.279999,74.949997,75.949997,428700,70.54505
2006-09-28,75.550003,75.790001,74.809998,75.120003,332400,69.774122
2006-09-29,75.209999,75.32,74.709999,75.0,410100,69.662659
2006-10-02,74.949997,75.110001,74.75,74.860001,619900,69.532622
2006-10-03,74.849998,75.230003,74.650002,75.089996,506700,69.746251
2006-10-04,75.0,75.860001,74.900002,75.629997,247500,70.247823
2006-10-05,75.43,76.029999,75.400002,75.870003,353300,70.470748
2006-10-06,75.800003,76.25,75.0,75.82,489500,70.424304
2006-10-09,75.669998,76.300003,75.529999,75.849998,231000,70.452168
2006-10-10,76.099998,76.330002,75.349998,76.209999,364900,70.786549
2006-10-11,75.610001,76.809998,75.57,76.379997,294700,70.944449
2006-10-12,76.389999,76.889999,76.199997,76.809998,276500,71.343849
2006-10-13,76.910004,77.199997,76.279999,76.389999,475600,70.95374
2006-10-16,76.32,76.550003,75.400002,76.199997,674700,70.777259
2006-10-17,76.050003,76.059998,75.07,75.760002,947000,70.368576
2006-10-18,76.0,76.760002,75.629997,76.5,675800,71.055912
2006-10-19,78.139999,83.5,78.139999,82.68,3188600,76.936917
2006-10-20,82.68,83.190002,82.18,83.059998,694400,77.290519
2006-10-23,82.099998,84.959999,82.07,84.440002,1154400,78.574666
2006-10-24,83.949997,84.400002,83.099998,83.209999,582900,77.430101
2006-10-25,83.459999,83.540001,82.360001,82.93,587400,77.169551
2006-10-26,82.919998,83.230003,81.910004,82.720001,376600,76.974139
2006-10-27,82.699997,82.699997,81.599998,81.809998,398200,76.127346
2006-10-30,81.809998,81.849998,81.260002,81.57,292600,75.904018
2006-10-31,81.720001,82.120003,81.550003,81.959999,507200,76.266928
2006-11-01,82.059998,82.470001,81.290001,81.400002,423700,75.745828
2006-11-02,81.400002,81.769997,81.129997,81.419998,440600,75.764436
2006-11-03,81.919998,82.199997,81.150002,81.209999,304900,75.569024
2006-11-06,81.459999,82.239998,81.410004,82.099998,283400,76.397203
2006-11-07,82.099998,82.769997,81.900002,82.629997,487700,76.890387
2006-11-08,82.620003,82.629997,81.290001,81.419998,399600,75.764436
2006-11-09,81.43,81.629997,80.739998,80.760002,419200,75.150284
2006-11-10,80.510002,81.199997,80.019997,81.050003,377700,75.420141
2006-11-13,80.559998,80.68,79.790001,79.949997,376700,74.396544
2006-11-14,79.980003,81.900002,79.529999,81.550003,551600,75.885411
2006-11-15,81.349998,82.650002,81.349998,82.110001,447700,76.40651
2006-11-16,82.080002,84.120003,81.519997,83.949997,908600,78.118697
2006-11-17,83.800003,84.050003,82.32,82.75,692700,77.002054
2006-11-20,82.599998,83.279999,82.370003,82.760002,328200,77.011361
2006-11-21,82.510002,82.849998,82.360001,82.610001,366300,76.871779
2006-11-22,82.620003,83.239998,82.519997,83.059998,194200,77.290519
2006-11-24,82.809998,82.980003,82.339996,82.339996,86500,76.62053
2006-11-27,82.459999,82.559998,81.349998,81.419998,511700,75.764436
2006-11-28,81.43,82.580002,80.93,82.480003,425600,76.750812
2006-11-29,82.379997,83.110001,82.050003,83.050003,324600,77.281218
2006-11-30,82.599998,82.82,81.620003,82.290001,607400,76.574007
2006-12-01,82.089996,82.580002,81.739998,82.489998,486800,76.760112
2006-12-04,82.949997,83.75,82.949997,83.580002,447500,77.774403
2006-12-05,83.480003,84.080002,83.230003,84.029999,299300,78.193142
2006-12-06,84.050003,84.18,83.239998,84.040001,333900,78.202449
2006-12-07,84.139999,85.660004,84.139999,85.0,649200,79.095765
2006-12-08,85.199997,85.199997,84.230003,84.739998,317000,78.853823
2006-12-11,84.760002,85.580002,83.93,84.900002,472600,79.002713
2006-12-12,84.900002,84.900002,84.010002,84.199997,449400,78.351332
2006-12-13,84.089996,84.510002,84.050003,84.330002,307700,78.472306
2006-12-14,84.300003,84.800003,83.809998,84.339996,416200,78.481607
2006-12-15,84.470001,84.470001,83.57,83.809998,521700,77.988422
2006-12-18,83.82,85.050003,83.699997,84.760002,527600,78.872438
2006-12-19,84.849998,85.720001,84.809998,85.43,595100,79.495897
2006-12-20,85.400002,85.410004,82.190002,83.169998,1279300,77.392878
2006-12-21,83.690002,83.860001,83.230003,83.360001,560900,77.569683
2006-12-22,83.360001,83.82,83.019997,83.550003,301300,77.746487
2006-12-26,83.349998,83.860001,83.220001,83.620003,521900,77.811625
2006-12-27,84.019997,84.080002,83.589996,83.730003,376600,77.913985
2006-12-28,83.739998,83.860001,83.07,83.43,278400,77.63482
2006-12-29,83.330002,83.629997,82.830002,82.970001,300700,77.206774
2007-01-03,82.989998,83.849998,82.339996,82.900002,624900,77.141636
2007-01-04,82.900002,83.419998,82.389999,82.959999,423100,77.197466
2007-01-05,82.760002,82.760002,81.93,82.349998,563600,76.629837
2007-01-08,82.360001,82.559998,81.709999,82.480003,672400,76.750812
2007-01-09,82.480003,82.989998,82.0,82.43,388900,76.704282
2007-01-10,82.43,82.43,81.910004,82.339996,633800,76.62053
2007-01-11,82.5,83.400002,82.43,83.029999,523300,77.262604
2007-01-12,82.900002,83.150002,82.470001,82.610001,407700,76.871779
2007-01-16,82.650002,82.75,81.419998,81.510002,1112000,75.848188
2007-01-17,81.510002,83.099998,81.510002,82.93,530800,77.169551
2007-01-18,86.169998,86.169998,79.849998,83.769997,703100,78.083017
2007-01-19,83.860001,83.940002,82.980003,83.449997,402200,77.784742
2007-01-22,83.449997,83.809998,82.900002,83.279999,324800,77.626284
2007-01-23,83.239998,83.379997,82.779999,83.089996,505700,77.449181
2007-01-24,82.919998,83.900002,82.870003,83.870003,309700,78.176234
2007-01-25,83.519997,83.669998,78.970001,82.360001,476600,76.768743
2007-01-26,82.0,82.349998,80.650002,81.099998,1562300,75.59428
2007-01-29,81.0,81.419998,80.660004,80.989998,1002700,75.491747
2007-01-30,80.900002,82.010002,80.620003,81.970001,1167400,76.40522
2007-01-31,82.349998,82.769997,81.790001,82.519997,487800,76.917877
2007-02-01,82.529999,82.529999,81.379997,81.709999,719000,76.162869
2007-02-02,81.709999,81.93,81.230003,81.5,538500,75.967126
2007-02-05,81.589996,81.910004,81.199997,81.660004,512000,76.116268
2007-02-06,81.910004,82.400002,81.849998,82.07,457600,76.49843
2007-02-07,82.07,82.68,81.989998,82.25,451400,76.66621
2007-02-08,82.199997,82.389999,81.410004,81.650002,520100,76.106944
2007-02-09,81.660004,81.860001,81.32,81.510002,317600,75.976449
2007-02-12,81.580002,81.760002,81.089996,81.139999,348000,75.631565
2007-02-13,81.0,81.260002,80.669998,81.080002,684000,75.575641
2007-02-14,81.07,81.349998,80.580002,80.800003,677700,75.314651
2007-02-15,83.660004,83.660004,80.769997,81.779999,584000,76.228116
2007-02-16,81.419998,81.959999,81.25,81.949997,393600,76.386574
2007-02-20,81.949997,82.830002,81.849998,82.830002,653800,77.206837
2007-02-21,82.809998,82.849998,82.360001,82.760002,484600,77.141589
2007-02-22,82.650002,83.089996,82.510002,82.739998,583100,77.122943
2007-02-23,82.589996,83.150002,81.989998,82.410004,386800,76.815352
2007-02-26,82.489998,82.529999,81.410004,81.739998,391700,76.190831
2007-02-27,81.760002,82.599998,79.010002,79.949997,734400,74.52235
2007-02-28,79.870003,80.139999,79.459999,79.779999,771300,74.363893
2007-03-01,78.699997,79.279999,77.830002,78.849998,645900,73.497028
2007-03-02,78.709999,79.190002,78.330002,78.440002,415400,73.114866
2007-03-05,78.209999,78.849998,77.580002,78.139999,529500,72.835229
2007-03-06,78.540001,79.089996,77.959999,78.900002,683800,73.543637
