Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,7.7,8.02,7.51,7.98,215400,3.82678
2006-01-04,8.0,8.22,7.94,8.11,130300,3.88912
2006-01-05,8.09,8.17,8.09,8.15,66600,3.908302
2006-01-06,8.15,8.23,8.12,8.2,178000,3.93228
2006-01-09,8.08,8.25,8.06,8.24,103100,3.951461
2006-01-10,8.2,8.24,7.95,8.1,149900,3.884325
2006-01-11,8.17,8.2,8.05,8.16,56800,3.913098
2006-01-12,8.11,8.17,8.09,8.1,60600,3.884325
2006-01-13,8.04,8.29,8.04,8.27,62200,3.965848
2006-01-17,8.19,8.19,7.91,7.94,105600,3.807598
2006-01-18,7.88,8.15,7.85,7.92,92000,3.798007
2006-01-19,7.98,8.06,7.87,8.01,62000,3.841166
2006-01-20,8.06,8.06,7.85,7.88,92800,3.778825
2006-01-23,7.94,8.05,7.86,7.96,57800,3.817189
2006-01-24,7.94,8.75,7.94,8.67,308500,4.157667
2006-01-25,8.7,8.88,8.5,8.88,206300,4.258371
2006-01-26,8.89,9.41,8.81,9.41,327700,4.512531
2006-01-27,9.41,9.44,9.32,9.37,324700,4.493349
2006-01-30,9.32,9.44,8.97,9.24,180600,4.431008
2006-01-31,9.22,9.3,9.05,9.18,178100,4.402235
2006-02-01,9.13,9.39,9.05,9.27,190900,4.445394
2006-02-02,9.25,9.25,9.02,9.12,148800,4.373462
2006-02-03,9.1,9.25,9.05,9.05,107700,4.339894
2006-02-06,9.04,9.23,9.02,9.23,108800,4.426212
2006-02-07,9.21,9.32,9.1,9.2,135500,4.411826
2006-02-08,9.18,9.56,9.18,9.49,146700,4.550894
2006-02-09,9.55,9.57,9.29,9.4,211100,4.507735
2006-02-10,9.44,9.44,9.17,9.36,54100,4.488553
2006-02-13,9.29,9.35,9.07,9.27,68500,4.445394
2006-02-14,9.21,9.45,9.04,9.43,86100,4.522122
2006-02-15,9.38,9.44,9.15,9.3,136800,4.459781
2006-02-16,8.85,8.89,8.12,8.37,575900,4.013803
2006-02-17,8.41,8.44,7.91,7.98,341800,3.82678
2006-02-21,8.0,8.2,7.92,7.99,146900,3.831575
2006-02-22,8.02,8.37,8.01,8.14,219000,3.903507
2006-02-23,8.0,8.1,7.83,7.99,246900,3.831575
2006-02-24,7.95,8.0,7.85,7.99,125300,3.831575
2006-02-27,7.97,8.43,7.96,8.4,236700,4.028189
2006-02-28,8.38,8.4,8.14,8.31,173500,3.98503
2006-03-01,8.3,8.33,8.06,8.31,90200,3.98503
2006-03-02,8.28,8.33,8.13,8.27,158000,3.965848
2006-03-03,8.25,8.4,8.13,8.24,114600,3.951461
2006-03-06,8.27,8.27,7.89,7.99,120500,3.831575
2006-03-07,7.95,8.03,7.84,7.88,140500,3.778825
2006-03-08,7.84,8.13,7.7,7.72,91100,3.702097
2006-03-09,7.71,7.81,7.57,7.57,116100,3.630166
2006-03-10,7.56,7.92,7.56,7.87,126900,3.774029
2006-03-13,7.87,7.94,7.58,7.59,103800,3.639757
2006-03-14,7.55,7.92,7.55,7.86,218900,3.769234
2006-03-15,7.88,7.95,7.77,7.9,71200,3.788416
2006-03-16,7.9,7.92,7.81,7.83,44100,3.754848
2006-03-17,7.87,7.89,7.76,7.88,169200,3.778825
2006-03-20,7.85,7.9,7.7,7.81,55900,3.745257
2006-03-21,7.61,7.8,7.55,7.61,75200,3.649347
2006-03-22,7.63,7.84,7.54,7.8,80700,3.740461
2006-03-23,7.78,7.82,7.58,7.69,52200,3.687711
2006-03-24,7.69,7.76,7.59,7.76,47500,3.721279
2006-03-27,7.73,7.79,7.51,7.79,126200,3.735666
2006-03-28,7.77,7.82,7.47,7.7,122100,3.692506
2006-03-29,7.7,7.8,7.63,7.77,78000,3.726075
2006-03-30,7.75,7.75,7.6,7.75,108200,3.716484
2006-03-31,7.74,7.99,7.63,7.97,163500,3.821984
2006-04-03,7.97,7.99,7.57,7.68,133800,3.682916
2006-04-04,7.63,7.92,7.63,7.74,82100,3.711688
2006-04-05,7.89,7.91,7.62,7.75,92100,3.716484
2006-04-06,7.71,7.82,7.61,7.8,106800,3.740461
2006-04-07,7.82,7.82,7.59,7.65,65000,3.668529
2006-04-10,7.62,7.8,7.62,7.75,142200,3.716484
2006-04-11,7.73,7.84,7.59,7.81,196400,3.745257
2006-04-12,7.78,7.82,7.72,7.81,81300,3.745257
2006-04-13,7.79,7.84,7.72,7.78,41500,3.73087
2006-04-17,7.75,7.86,7.63,7.71,153200,3.697302
2006-04-18,7.75,7.82,7.59,7.81,170500,3.745257
2006-04-19,7.81,8.1,7.75,8.1,153800,3.884325
2006-04-20,8.09,8.11,7.96,8.11,57200,3.88912
