Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,32.240071,32.740067,31.900058,32.700066,139100,6.734057
2006-01-04,32.700066,32.760066,32.300073,32.600061,152100,6.713462
2006-01-05,32.600061,32.620062,32.000064,32.030064,137000,6.59608
2006-01-06,32.20007,32.880071,31.820079,32.800069,115600,6.754651
2006-01-09,32.820068,33.230062,32.380077,32.45008,124800,6.682576
2006-01-10,32.300073,32.630063,32.110068,32.350075,63000,6.661982
2006-01-11,32.190069,33.500071,32.150068,33.170082,121700,6.866936
2006-01-12,33.250061,33.420067,33.190083,33.410067,365600,6.916618
2006-01-13,33.500071,34.470083,33.410067,34.190073,292100,7.078097
2006-01-17,34.300077,34.350078,33.950063,34.000065,435100,7.038761
2006-01-18,33.890085,34.15007,33.540072,33.870084,88100,7.011852
2006-01-19,33.970065,34.600064,33.810081,34.270074,72500,7.094659
2006-01-20,34.40008,34.650066,34.110069,34.330077,138800,7.107081
2006-01-23,34.330077,35.000079,34.330077,34.550085,167400,7.152627
2006-01-24,34.690067,35.160084,34.390079,34.43008,226200,7.127784
2006-01-25,34.440081,34.700067,34.110069,34.700067,111900,7.183677
2006-01-26,34.700067,35.390069,34.40008,35.390069,72300,7.326522
2006-01-27,35.260088,35.400069,34.09007,34.470083,132800,7.136065
2006-01-30,34.500083,35.420071,34.500083,35.080081,109600,7.262348
2006-01-31,35.140083,35.400069,34.570086,35.250087,162200,7.297543
2006-02-01,35.230087,35.950089,35.220087,35.800084,90700,7.411405
2006-02-02,35.990068,36.60009,34.530085,34.80007,181000,7.20438
2006-02-03,34.600064,34.840073,34.470083,34.720069,112800,7.187818
2006-02-06,35.000079,35.800084,34.600064,35.310067,158200,7.30996
2006-02-07,35.510073,36.280079,35.470073,36.040069,119500,7.461087
2006-02-08,36.230077,36.800074,35.810085,36.400081,285400,7.535617
2006-02-09,36.650067,38.750076,36.650067,37.92009,270100,7.850292
2006-02-10,37.770086,37.900089,37.050084,37.510075,117900,7.76541
2006-02-13,37.550078,38.200076,37.160086,37.680081,96400,7.800605
2006-02-14,37.750084,38.750076,37.570079,38.400083,144700,7.949661
