Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,21.01,22.08,21.01,21.92,142300,21.92
2006-01-04,22.09,22.57,21.9,21.93,182500,21.93
2006-01-05,22.0,22.0,21.73,21.73,45500,21.73
2006-01-06,21.610001,21.950001,21.5,21.860001,43200,21.860001
2006-01-09,21.700001,22.01,21.690001,21.98,96400,21.98
2006-01-10,21.85,22.35,21.52,22.299999,127900,22.299999
2006-01-11,22.42,23.459999,22.4,23.370001,282200,23.370001
2006-01-12,23.01,23.85,23.0,23.120001,155200,23.120001
2006-01-13,23.209999,23.530001,23.17,23.450001,75000,23.450001
2006-01-17,23.9,23.9,23.4,23.58,92800,23.58
2006-01-18,23.58,23.58,23.24,23.41,118000,23.41
2006-01-19,23.639999,23.76,23.25,23.35,137400,23.35
2006-01-20,23.709999,23.709999,22.799999,22.950001,154900,22.950001
2006-01-23,23.41,23.57,23.0,23.120001,137500,23.120001
2006-01-24,23.049999,23.5,23.01,23.4,241800,23.4
2006-01-25,24.0,24.790001,23.43,23.889999,210600,23.889999
2006-01-26,24.209999,25.219999,23.91,24.799999,216700,24.799999
2006-01-27,24.799999,25.200001,24.27,24.4,91000,24.4
2006-01-30,24.75,25.200001,24.59,24.99,232900,24.99
2006-01-31,25.08,25.5,24.790001,25.040001,146100,25.040001
2006-02-01,25.0,25.879999,24.959999,25.559999,225600,25.559999
2006-02-02,25.629999,26.0,25.200001,25.709999,126300,25.709999
2006-02-03,25.6,25.99,24.889999,25.290001,121300,25.290001
2006-02-06,26.0,26.209999,25.549999,25.799999,212300,25.799999
2006-02-07,25.75,25.75,23.25,23.84,164600,23.84
2006-02-08,23.9,25.15,23.860001,24.889999,157600,24.889999
2006-02-09,25.110001,26.18,24.700001,25.379999,124100,25.379999
2006-02-10,25.42,25.799999,24.15,24.780001,58300,24.780001
2006-02-13,24.709999,24.709999,23.200001,23.870001,64800,23.870001
2006-02-14,23.76,24.43,23.76,24.1,117100,24.1
2006-02-15,24.1,24.459999,23.450001,24.4,21400,24.4
2006-02-16,24.5,25.049999,23.82,24.549999,73900,24.549999
2006-02-17,23.969999,24.309999,23.049999,24.1,174600,24.1
2006-02-21,23.959999,24.91,23.57,23.959999,119500,23.959999
2006-02-22,24.08,24.74,23.84,24.25,77800,24.25
2006-02-23,25.200001,25.299999,23.5,23.549999,79400,23.549999
2006-02-24,23.459999,24.08,22.629999,24.08,260100,24.08
2006-02-27,24.24,25.76,24.0,24.68,248200,24.68
2006-02-28,24.620001,25.280001,23.299999,23.709999,163200,23.709999
2006-03-01,23.700001,24.91,23.700001,24.34,144400,24.34
2006-03-02,24.290001,24.76,24.290001,24.6,170700,24.6
2006-03-03,24.51,24.950001,24.15,24.24,98500,24.24
2006-03-06,24.309999,24.889999,23.98,24.4,93900,24.4
2006-03-07,24.299999,24.389999,24.02,24.030001,162500,24.030001
2006-03-08,23.93,24.0,22.700001,23.959999,113000,23.959999
2006-03-09,23.969999,24.02,23.030001,23.209999,85700,23.209999
2006-03-10,23.139999,23.75,22.620001,23.0,159900,23.0
2006-03-13,23.040001,23.08,22.25,22.43,141700,22.43
2006-03-14,22.309999,23.379999,22.17,23.200001,92300,23.200001
2006-03-15,23.18,23.690001,23.110001,23.67,84600,23.67
2006-03-16,23.75,23.75,22.559999,22.99,99800,22.99
2006-03-17,23.16,23.25,22.59,22.85,135500,22.85
2006-03-20,22.690001,22.98,22.5,22.84,35500,22.84
2006-03-21,22.74,23.299999,22.450001,22.77,50700,22.77
2006-03-22,22.67,23.43,22.4,23.26,69400,23.26
2006-03-23,23.17,23.5,23.0,23.33,40300,23.33
2006-03-24,23.4,23.4,22.620001,22.629999,24700,22.629999
2006-03-27,22.700001,22.98,22.49,22.77,49100,22.77
2006-03-28,22.66,23.200001,22.5,22.75,54300,22.75
2006-03-29,22.889999,23.049999,22.51,22.65,49300,22.65
2006-03-30,22.74,23.0,22.5,22.799999,107800,22.799999
2006-03-31,22.83,22.950001,22.16,22.709999,109700,22.709999
2006-04-03,22.6,22.860001,22.200001,22.530001,102700,22.530001
