Date,Open,High,Low,Close,Volume,Adj Close
2010-06-16,8.25,8.49,7.83,8.3,4016800,8.3
2010-06-17,8.3,8.42,8.1,8.36,244100,8.36
2010-06-18,8.36,8.41,8.25,8.41,74900,8.41
2010-06-21,8.5,8.5,8.4,8.47,68100,8.47
2010-06-22,8.45,8.76,8.45,8.6,118000,8.6
2010-06-23,8.6,8.7,8.6,8.65,74500,8.65
2010-06-24,8.65,8.7,8.54,8.59,47700,8.59
2010-06-25,8.65,8.65,8.55,8.65,16500,8.65
2010-06-28,8.65,8.68,8.6,8.6,25800,8.6
2010-06-29,8.56,8.56,8.42,8.46,24200,8.46
2010-06-30,8.41,9.0,8.4,8.55,69500,8.55
2010-07-01,8.46,8.46,8.15,8.22,153300,8.22
2010-07-02,8.22,8.5,8.22,8.31,5800,8.31
2010-07-06,8.31,8.34,8.3,8.3,8100,8.3
2010-07-07,8.48,8.76,8.11,8.76,109700,8.76
2010-07-08,8.77,8.85,8.5,8.76,28300,8.76
2010-07-09,8.69,8.75,8.65,8.65,23800,8.65
2010-07-12,8.63,8.81,8.45,8.45,29400,8.45
2010-07-13,8.5,8.98,8.29,8.75,71800,8.75
2010-07-14,8.75,8.84,8.32,8.35,41900,8.35
2010-07-15,8.35,8.8,8.35,8.67,21700,8.67
2010-07-16,8.55,8.7,8.5,8.58,16000,8.58
2010-07-19,8.6,8.84,8.5,8.84,83900,8.84
2010-07-20,8.68,8.86,8.52,8.6,26500,8.6
2010-07-21,8.76,8.76,8.5,8.55,18000,8.55
2010-07-22,8.7,8.75,8.65,8.68,25200,8.68
2010-07-23,8.73,8.73,8.48,8.62,7200,8.62
2010-07-26,8.75,8.75,8.55,8.58,21500,8.58
2010-07-27,8.57,8.6,8.55,8.55,20800,8.55
2010-07-28,8.52,8.64,8.4,8.4,39700,8.4
2010-07-29,8.88,8.96,8.35,8.4,28000,8.4
2010-07-30,8.87,8.87,8.6,8.65,44000,8.65
2010-08-02,8.66,8.83,8.66,8.78,43400,8.78
2010-08-03,8.78,8.85,8.65,8.65,34500,8.65
2010-08-04,8.65,8.76,8.48,8.65,54400,8.65
2010-08-05,8.8,8.81,8.55,8.56,13900,8.56
2010-08-06,8.73,8.73,8.33,8.5,16400,8.5
2010-08-09,8.5,9.05,7.54,8.46,65100,8.46
2010-08-10,8.43,9.0,8.43,8.57,6500,8.57
2010-08-11,8.25,8.79,8.25,8.27,32000,8.27
2010-08-12,8.26,8.4,8.04,8.19,20700,8.19
2010-08-13,8.2,8.37,8.18,8.18,33400,8.18
2010-08-16,8.29,8.29,8.03,8.23,33500,8.23
2010-08-17,8.19,8.3,8.09,8.25,14400,8.25
2010-08-18,8.22,8.25,8.01,8.2,32500,8.2
2010-08-19,8.05,8.08,7.91,7.99,9000,7.99
2010-08-20,8.24,8.49,8.17,8.24,13800,8.24
2010-08-23,8.21,8.21,7.85,7.93,4600,7.93
2010-08-24,8.66,8.66,8.01,8.01,3800,8.01
2010-08-25,8.06,8.29,8.0,8.18,4300,8.18
2010-08-26,7.85,8.2,7.85,7.96,22900,7.96
2010-08-27,8.0,8.25,8.0,8.01,5700,8.01
2010-08-30,7.96,8.25,7.93,8.1,46900,8.1
2010-08-31,8.1,8.25,8.01,8.05,7700,8.05
2010-09-01,8.13,8.13,8.05,8.1,6900,8.1
2010-09-02,8.06,8.21,8.02,8.1,5100,8.1
2010-09-03,8.09,8.21,7.96,8.21,112100,8.21
2010-09-07,8.29,8.29,7.88,8.23,25300,8.23
2010-09-08,8.25,8.25,7.86,8.08,11900,8.08
2010-09-09,8.11,8.32,7.9,8.05,72000,8.05
2010-09-10,8.1,8.1,7.34,7.93,72300,7.93
2010-09-13,8.0,8.45,8.0,8.16,96100,8.16
2010-09-14,8.25,8.4,8.0,8.34,127600,8.34
2010-09-15,8.23,8.48,8.08,8.44,33500,8.44
2010-09-16,8.23,9.3,8.05,9.1,122000,9.1
2010-09-17,9.37,9.4,9.0,9.0,56800,9.0
2010-09-20,9.09,9.67,8.99,9.2,184900,9.2
2010-09-21,9.01,9.33,9.01,9.21,151600,9.21
2010-09-22,9.08,9.54,8.81,9.0,46900,9.0
2010-09-23,8.65,9.39,8.62,8.99,56200,8.99
2010-09-24,9.15,10.42,9.1,10.0,29500,10.0
2010-09-27,10.37,10.37,8.88,9.33,133600,9.33
2010-09-28,9.74,9.74,8.54,9.17,62900,9.17
2010-09-29,9.01,9.77,8.74,9.02,40200,9.02
2010-09-30,9.42,9.55,8.62,8.66,625200,8.66
2010-10-01,8.76,9.25,8.7,9.02,78300,9.02
2010-10-04,9.02,9.35,8.91,9.19,21200,9.19
2010-10-05,9.33,9.33,8.99,9.17,31300,9.17
2010-10-06,9.18,9.22,8.75,9.16,74000,9.16
2010-10-07,9.24,9.76,8.8,9.55,30400,9.55
2010-10-08,9.61,10.71,9.61,10.43,153300,10.43
2010-10-11,10.5,10.5,10.0,10.1,137400,10.1
2010-10-12,10.04,10.19,9.97,10.04,182700,10.04
2010-10-13,10.06,10.15,9.91,9.96,128900,9.96
2010-10-14,10.0,10.0,9.06,9.5,38600,9.5
2010-10-15,9.63,9.63,9.07,9.18,52000,9.18
2010-10-18,9.16,9.57,9.1,9.54,36000,9.54
2010-10-19,9.43,9.76,9.16,9.59,225200,9.59
2010-10-20,9.6,9.6,9.17,9.26,28400,9.26
2010-10-21,9.31,9.31,9.17,9.27,27100,9.27
2010-10-22,9.3,9.4,9.21,9.25,35400,9.25
2010-10-25,9.34,9.38,9.17,9.29,23500,9.29
