Date,Open,High,Low,Close,Volume,Adj Close
2013-10-02,23.049999,25.65,22.610001,25.01,15051500,25.01
2013-10-03,25.1,26.440001,24.559999,24.860001,1125900,24.860001
2013-10-04,24.9,26.459999,24.51,25.889999,808600,25.889999
2013-10-07,26.16,27.9,25.91,26.77,575900,26.77
2013-10-08,26.9,27.0,25.379999,25.9,363500,25.9
2013-10-09,25.639999,26.1,25.139999,25.52,410100,25.52
2013-10-10,26.040001,26.629999,24.52,25.98,394300,25.98
2013-10-11,25.98,26.77,25.51,26.68,159700,26.68
2013-10-14,26.4,27.719999,26.0,27.530001,241100,27.530001
2013-10-15,27.4,27.82,26.780001,27.709999,158900,27.709999
2013-10-16,28.0,28.0,27.08,27.26,169700,27.26
2013-10-17,27.370001,27.67,26.690001,26.82,143000,26.82
2013-10-18,26.85,27.0,26.24,26.43,362900,26.43
2013-10-21,26.0,27.25,26.0,26.41,85200,26.41
2013-10-22,26.0,26.85,25.68,26.25,215800,26.25
2013-10-23,25.98,26.84,25.549999,25.75,182400,25.75
2013-10-24,25.75,26.01,25.52,26.01,86200,26.01
2013-10-25,25.860001,26.52,25.860001,26.43,116700,26.43
2013-10-28,26.27,26.84,25.870001,26.75,121100,26.75
2013-10-29,26.65,27.18,26.1,26.860001,94500,26.860001
2013-10-30,26.5,27.1,26.16,26.870001,63000,26.870001
2013-10-31,27.059999,27.059999,26.469999,26.790001,79900,26.790001
2013-11-01,26.93,27.26,26.540001,27.16,82600,27.16
2013-11-04,27.18,27.99,27.0,27.16,135700,27.16
2013-11-05,27.530001,27.530001,26.870001,27.07,175300,27.07
2013-11-06,27.18,27.719999,26.91,26.950001,262400,26.950001
2013-11-07,27.030001,27.6,26.780001,26.92,241600,26.92
2013-11-08,27.040001,27.42,26.15,27.17,84700,27.17
2013-11-11,27.41,27.950001,26.610001,27.049999,434900,27.049999
2013-11-12,26.959999,29.190001,26.959999,27.75,294000,27.75
2013-11-13,27.780001,29.389999,27.07,28.940001,576800,28.940001
2013-11-14,29.52,30.219999,29.0,29.84,429600,29.84
2013-11-15,30.32,30.360001,29.5,30.18,147600,30.18
2013-11-18,30.370001,30.530001,29.24,29.450001,247000,29.450001
2013-11-19,29.27,29.99,29.040001,29.790001,46000,29.790001
2013-11-20,29.77,30.59,29.25,29.9,420900,29.9
2013-11-21,30.139999,30.77,29.370001,29.370001,148500,29.370001
2013-11-22,29.049999,29.09,27.6,28.82,1450300,28.82
2013-11-25,28.799999,28.799999,28.049999,28.48,396700,28.48
2013-11-26,28.450001,28.790001,28.24,28.440001,81800,28.440001
2013-11-27,28.049999,28.620001,28.049999,28.42,170600,28.42
2013-11-29,28.299999,28.65,28.299999,28.440001,34600,28.440001
2013-12-02,28.25,29.41,28.25,29.059999,420300,29.059999
2013-12-03,29.040001,29.51,28.41,28.780001,403800,28.780001
2013-12-04,29.15,29.15,27.809999,28.190001,447400,28.190001
2013-12-05,28.1,28.74,27.99,28.059999,226000,28.059999
2013-12-06,28.32,28.950001,27.85,28.02,344500,28.02
2013-12-09,28.200001,28.379999,27.93,28.1,518900,28.1
2013-12-10,24.219999,26.190001,21.540001,25.92,3095800,25.92
2013-12-11,26.18,28.200001,25.969999,28.07,904100,28.07
2013-12-12,28.16,28.620001,27.18,27.290001,416400,27.290001
2013-12-13,27.35,27.690001,26.469999,27.34,424800,27.34
2013-12-16,27.200001,29.0,26.799999,28.93,359900,28.93
2013-12-17,28.76,28.969999,27.879999,28.09,629900,28.09
2013-12-18,27.82,29.120001,27.76,28.559999,449200,28.559999
2013-12-19,28.32,29.780001,28.32,29.719999,360000,29.719999
2013-12-20,29.459999,30.48,29.219999,30.370001,1990700,30.370001
2013-12-23,30.299999,31.27,30.0,30.93,390800,30.93
2013-12-24,30.799999,31.389999,30.07,31.32,171000,31.32
2013-12-26,31.299999,32.029999,30.82,30.969999,168900,30.969999
2013-12-27,30.889999,31.629999,30.0,31.4,277100,31.4
2013-12-30,31.290001,31.889999,31.040001,31.34,350600,31.34
2013-12-31,31.51,32.439999,31.33,32.0,147500,32.0
2014-01-02,32.0,32.75,31.5,32.5,220000,32.5
2014-01-03,32.610001,32.98,31.66,32.060001,251600,32.060001
2014-01-06,32.130001,32.25,31.440001,31.559999,418300,31.559999
2014-01-07,31.58,32.049999,30.549999,30.629999,396000,30.629999
2014-01-08,30.66,30.85,30.02,30.379999,248800,30.379999
2014-01-09,30.51,30.68,29.870001,29.9,348000,29.9
2014-01-10,29.98,30.24,29.25,29.35,215100,29.35
2014-01-13,29.24,30.450001,29.200001,29.549999,413600,29.549999
2014-01-14,29.74,30.0,29.620001,29.790001,328800,29.790001
2014-01-15,29.940001,30.15,29.51,29.809999,576000,29.809999
2014-01-16,29.809999,29.93,29.41,29.450001,185000,29.450001
2014-01-17,29.360001,29.41,28.700001,28.780001,254700,28.780001
2014-01-21,28.77,29.950001,28.17,28.440001,352800,28.440001
2014-01-22,28.450001,28.68,27.25,27.889999,508300,27.889999
2014-01-23,27.549999,27.950001,27.26,27.620001,425200,27.620001
2014-01-24,27.360001,27.629999,26.459999,26.959999,773800,26.959999
2014-01-27,26.91,27.5,26.540001,27.299999,360200,27.299999
2014-01-28,27.43,27.59,26.200001,26.360001,410400,26.360001
2014-01-29,26.25,26.790001,25.93,26.18,217700,26.18
2014-01-30,26.25,26.25,25.67,25.690001,170400,25.690001
2014-01-31,25.43,25.889999,25.02,25.58,217600,25.58
2014-02-03,25.58,25.74,24.09,24.440001,581100,24.440001
2014-02-04,24.49,25.209999,24.49,24.629999,234400,24.629999
2014-02-05,24.57,24.690001,23.879999,24.26,239500,24.26
2014-02-06,24.299999,25.18,24.280001,24.52,227400,24.52
2014-02-07,24.6,25.030001,24.129999,24.469999,177900,24.469999
2014-02-10,24.370001,25.27,24.370001,25.129999,308600,25.129999
2014-02-11,26.959999,27.15,26.09,26.68,729200,26.68
2014-02-12,26.709999,27.120001,26.450001,26.950001,386700,26.950001
2014-02-13,26.860001,27.610001,26.77,27.059999,270900,27.059999
2014-02-14,26.879999,27.34,26.129999,26.360001,419000,26.360001
2014-02-18,26.25,26.25,25.73,25.77,274400,25.77
2014-02-19,25.65,26.01,25.559999,25.9,320100,25.9
2014-02-20,25.879999,26.09,25.049999,25.049999,513100,25.049999
2014-02-21,25.08,25.559999,24.870001,25.16,668700,25.16
2014-02-24,25.280001,26.440001,25.0,26.07,670000,26.07
2014-02-25,26.040001,26.110001,25.309999,25.459999,317500,25.459999
2014-02-26,25.540001,26.66,25.540001,26.389999,296700,26.389999
2014-02-27,26.379999,27.620001,25.85,27.549999,550500,27.549999
2014-02-28,27.639999,28.200001,26.77,27.25,245600,27.25
2014-03-03,27.17,27.75,26.950001,27.280001,206300,27.280001
2014-03-04,27.42,27.93,26.690001,26.690001,366400,26.690001
2014-03-05,26.67,27.120001,26.469999,26.860001,160600,26.860001
2014-03-06,26.879999,26.969999,26.200001,26.26,178400,26.26
2014-03-07,26.450001,27.139999,26.200001,26.57,307100,26.57
2014-03-10,26.940001,27.5,26.66,27.01,306500,27.01
2014-03-11,27.110001,27.34,26.6,26.99,134600,26.99
2014-03-12,26.719999,27.049999,26.280001,26.530001,203100,26.530001
2014-03-13,26.57,26.98,25.629999,26.07,300600,26.07
2014-03-14,26.07,26.879999,25.450001,25.98,261600,25.98
2014-03-17,26.02,26.940001,25.91,26.309999,134100,26.309999
2014-03-18,26.200001,26.700001,25.08,25.68,435400,25.68
2014-03-19,25.709999,26.870001,25.469999,25.9,542100,25.9
2014-03-20,29.219999,30.200001,28.030001,29.99,1809400,29.99
2014-03-21,30.200001,32.549999,29.99,31.5,956700,31.5
2014-03-24,31.440001,31.639999,30.4,31.17,398900,31.17
2014-03-25,31.41,31.629999,30.43,30.450001,427500,30.450001
2014-03-26,30.4,30.559999,29.139999,29.530001,477000,29.530001
2014-03-27,29.559999,30.07,29.309999,29.860001,246700,29.860001
2014-03-28,29.93,30.540001,29.02,29.18,497500,29.18
2014-03-31,29.190001,29.91,29.139999,29.52,250700,29.52
2014-04-01,29.48,30.139999,29.48,30.0,180400,30.0
2014-04-02,29.98,30.83,29.860001,30.42,147000,30.42
2014-04-03,30.559999,30.790001,30.17,30.280001,140900,30.280001
2014-04-04,30.5,30.799999,29.370001,29.82,270600,29.82
2014-04-07,29.77,30.07,28.82,29.040001,239300,29.040001
2014-04-08,29.139999,29.719999,28.98,29.299999,281500,29.299999
2014-04-09,29.4,29.66,29.08,29.440001,187200,29.440001
2014-04-10,29.309999,29.41,28.16,28.42,200200,28.42
2014-04-11,28.0,28.59,26.950001,27.620001,246200,27.620001
2014-04-14,27.83,28.15,26.860001,27.34,192800,27.34
2014-04-15,27.41,27.52,26.41,27.0,237800,27.0
2014-04-16,27.16,27.16,26.59,27.07,113200,27.07
2014-04-17,27.040001,27.309999,26.43,27.0,234400,27.0
2014-04-21,26.940001,27.360001,26.52,27.299999,166500,27.299999
2014-04-22,27.299999,27.879999,27.15,27.66,164100,27.66
2014-04-23,27.690001,27.879999,27.200001,27.450001,178800,27.450001
2014-04-24,27.540001,28.0,26.92,27.940001,201100,27.940001
2014-04-25,27.82,27.91,27.389999,27.6,168900,27.6
2014-04-28,27.82,28.82,27.280001,28.74,400600,28.74
2014-04-29,28.299999,28.299999,26.93,27.17,493700,27.17
2014-04-30,26.700001,26.73,25.469999,25.99,1470500,25.99
2014-05-01,26.6,27.629999,26.58,27.4,6725700,27.4
2014-05-02,27.450001,28.42,27.27,28.200001,1373600,28.200001
2014-05-05,27.99,28.15,27.6,27.84,527400,27.84
2014-05-06,27.700001,27.940001,26.85,27.74,482200,27.74
2014-05-07,27.790001,27.790001,26.969999,27.440001,429100,27.440001
2014-05-08,27.34,28.139999,26.77,27.59,309200,27.59
2014-05-09,27.610001,28.4,27.440001,28.209999,608400,28.209999
2014-05-12,28.4,29.200001,28.4,28.969999,326100,28.969999
2014-05-13,28.91,29.49,28.85,29.16,375600,29.16
2014-05-14,29.040001,29.450001,28.83,28.98,244000,28.98
2014-05-15,28.73,28.73,27.77,28.24,503800,28.24
2014-05-16,28.290001,28.950001,27.9,28.879999,187900,28.879999
2014-05-19,28.73,29.15,28.58,28.93,359900,28.93
