Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,22.280001,22.74,21.780001,22.65,238200,17.387483
2006-01-04,22.65,22.93,22.59,22.83,189200,17.525662
2006-01-05,22.77,22.98,22.709999,22.709999,109900,17.433542
2006-01-06,23.360001,23.360001,22.459999,22.74,145100,17.456572
2006-01-09,22.780001,23.15,22.629999,23.120001,183600,17.748284
2006-01-10,22.950001,23.389999,22.9,23.32,282300,17.901815
2006-01-11,23.25,23.25,22.639999,22.92,115100,17.594751
2006-01-12,22.75,22.860001,22.639999,22.67,99400,17.402837
2006-01-13,22.700001,22.98,22.700001,22.809999,88000,17.510308
2006-01-17,22.559999,22.68,22.379999,22.57,112500,17.32607
2006-01-18,22.469999,22.59,22.309999,22.559999,113900,17.318394
2006-01-19,22.59,22.790001,22.4,22.75,124900,17.464249
2006-01-20,22.959999,22.959999,21.870001,22.08,209100,16.949917
2006-01-23,22.6,23.18,22.34,23.02,332700,17.671518
2006-01-24,23.139999,23.35,22.92,22.92,270100,17.594751
2006-01-25,23.07,23.42,22.889999,23.299999,250500,17.886461
2006-01-26,23.299999,23.82,23.299999,23.790001,209200,18.262616
2006-01-27,23.879999,24.08,23.65,23.959999,272000,18.393116
2006-01-30,23.93,23.93,23.4,23.49,193700,18.032317
2006-01-31,23.35,23.52,23.040001,23.040001,365800,17.686871
2006-02-01,22.940001,23.58,22.84,23.52,212800,18.055347
2006-02-02,23.5,23.540001,22.950001,23.02,173500,17.671518
2006-02-03,23.0,23.49,22.99,23.370001,178800,17.940199
2006-02-06,23.309999,23.67,23.15,23.59,202000,18.109083
2006-02-07,23.690001,23.85,23.42,23.52,203700,18.055347
2006-02-08,23.5,23.76,23.32,23.66,131700,18.162819
2006-02-09,23.5,23.700001,23.25,23.26,259900,17.855756
2006-02-10,23.18,23.85,23.01,23.709999,205300,18.201201
2006-02-13,23.68,23.940001,23.5,23.66,179600,18.162819
2006-02-14,23.77,24.129999,23.459999,24.01,184800,18.4315
2006-02-15,23.93,24.190001,23.809999,24.190001,167500,18.569679
2006-02-16,24.24,24.360001,23.99,24.290001,146600,18.646445
2006-02-17,24.34,24.49,24.1,24.120001,154100,18.515943
2006-02-21,24.1,24.32,23.75,24.049999,284500,18.462206
2006-02-22,24.110001,24.5,24.1,24.35,155900,18.692504
2006-02-23,24.219999,24.379999,24.059999,24.23,145100,18.600385
2006-02-24,24.110001,24.459999,23.950001,24.440001,121600,18.761594
2006-02-27,24.440001,24.629999,24.35,24.57,133700,18.861389
2006-02-28,24.4,24.49,23.879999,24.02,134900,18.439177
2006-03-01,24.01,24.450001,23.91,24.440001,165300,18.761594
2006-03-02,24.360001,24.379999,24.059999,24.15,172300,18.538972
2006-03-03,24.030001,24.360001,23.9,24.1,189400,18.50059
2006-03-06,24.07,24.17,23.870001,24.0,296700,18.423823
2006-03-07,23.92,24.07,23.85,23.969999,146600,18.400793
2006-03-08,23.91,24.25,23.85,24.09,155800,18.492913
2006-03-09,24.1,24.27,23.85,23.85,111000,18.308675
2006-03-10,23.85,24.299999,23.83,24.299999,111800,18.654121
2006-03-13,24.1,24.48,24.0,24.1,114700,18.646384
2006-03-14,24.01,24.58,23.870001,24.540001,128600,18.986817
2006-03-15,24.51,24.530001,24.219999,24.52,111100,18.971342
2006-03-16,24.530001,24.690001,24.23,24.25,185300,18.76244
2006-03-17,24.299999,24.52,24.139999,24.32,742900,18.8166
2006-03-20,24.280001,24.6,24.200001,24.57,248000,19.010027
