Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,47.959999,48.830002,47.200001,48.400002,877700,46.466686
2006-01-04,46.900002,47.349998,45.880001,46.09,2030800,44.248957
2006-01-05,46.75,47.900002,46.689999,47.330002,1209200,45.439427
2006-01-06,47.93,48.709999,47.549999,47.900002,793100,45.986659
2006-01-09,46.5,47.5,46.279999,46.279999,1445000,44.431366
2006-01-10,45.98,46.189999,45.5,46.0,779000,44.162552
2006-01-11,45.900002,46.32,45.740002,46.009998,699300,44.172151
2006-01-12,45.709999,45.709999,44.419998,44.75,1076900,42.962482
2006-01-13,44.669998,45.389999,44.509998,44.860001,462000,43.068089
2006-01-17,44.509998,44.75,43.75,43.950001,543300,42.194439
2006-01-18,43.75,44.540001,43.25,44.220001,476800,42.453654
2006-01-19,44.290001,44.880001,44.060001,44.27,417000,42.501656
2006-01-20,44.07,44.720001,43.57,43.669998,436700,41.925621
2006-01-23,43.669998,43.720001,43.389999,43.560001,556100,41.820018
2006-01-24,43.66,45.48,43.529999,45.150002,789200,43.346506
2006-01-25,45.240002,45.5,44.93,45.07,325400,43.2697
2006-01-26,45.310001,45.709999,45.009998,45.580002,355600,43.75933
2006-01-27,45.830002,46.299999,45.450001,46.139999,725400,44.296959
2006-01-30,46.0,46.389999,45.18,45.849998,517900,44.018542
2006-01-31,45.849998,45.849998,44.799999,45.200001,603700,43.394508
2006-02-01,45.240002,45.919998,45.09,45.689999,417900,43.864933
2006-02-02,45.5,46.0,45.049999,45.91,431200,44.076147
2006-02-03,45.810001,45.959999,44.970001,45.150002,439100,43.346506
2006-02-06,45.0,45.25,44.080002,44.130001,636600,42.367249
2006-02-07,44.02,44.540001,43.900002,44.25,591300,42.482455
2006-02-08,43.970001,45.099998,43.73,44.700001,714200,43.036051
2006-02-09,44.950001,46.200001,44.950001,45.389999,1076200,43.700364
2006-02-10,47.5,47.5,44.450001,44.720001,2127900,43.055307
2006-02-13,44.970001,45.0,43.630001,44.049999,1140900,42.410246
2006-02-14,43.900002,43.98,43.490002,43.75,725300,42.121414
2006-02-15,43.549999,44.0,42.970001,43.98,927300,42.342852
2006-02-16,44.049999,44.049999,43.169998,43.400002,792000,41.784444
2006-02-17,43.400002,43.400002,42.330002,42.619999,1171000,41.033477
2006-02-21,42.41,42.419998,41.5,41.650002,1206000,40.099587
2006-02-22,41.66,42.5,41.66,42.139999,1311400,40.571345
2006-02-23,42.110001,42.740002,41.860001,42.66,551200,41.071989
2006-02-24,42.549999,42.939999,42.470001,42.939999,926900,41.341565
2006-02-27,43.189999,43.619999,42.830002,43.310001,1003000,41.697794
2006-02-28,43.360001,43.830002,43.25,43.73,925200,42.102158
2006-03-01,43.950001,44.130001,43.650002,43.950001,766300,42.313969
2006-03-02,43.75,43.799999,42.5,42.759998,892400,41.168265
2006-03-03,42.740002,43.259998,42.5,42.549999,320600,40.966083
2006-03-06,42.549999,43.290001,42.529999,42.939999,737700,41.341565
2006-03-07,42.799999,43.220001,42.799999,43.0,518900,41.399332
2006-03-08,42.93,43.360001,42.830002,43.240002,647300,41.6304
2006-03-09,43.549999,44.93,43.470001,44.52,1413600,42.862751
2006-03-10,44.450001,45.259998,44.349998,45.080002,1041300,43.401906
2006-03-13,45.200001,46.130001,45.200001,45.799999,1202300,44.095102
2006-03-14,45.82,46.459999,45.669998,46.25,945800,44.528352
2006-03-15,46.18,46.889999,46.169998,46.799999,796600,45.057877
2006-03-16,46.889999,46.939999,46.490002,46.68,820000,44.942345
2006-03-17,46.5,46.889999,46.23,46.75,825200,45.009739
2006-03-20,46.700001,47.200001,46.439999,46.5,1039000,44.769045
2006-03-21,46.450001,47.18,46.09,46.32,573600,44.595746
2006-03-22,46.099998,46.990002,45.93,46.880001,556700,45.134901
2006-03-23,46.75,46.77,45.91,46.509998,431800,44.778672
2006-03-24,46.43,46.779999,46.09,46.27,501400,44.547608
2006-03-27,46.169998,46.709999,45.709999,46.650002,382100,44.913463
2006-03-28,46.650002,48.919998,46.450001,48.389999,1800400,46.58869
2006-03-29,48.450001,49.470001,48.450001,49.200001,838000,47.368539
2006-03-30,49.400002,50.200001,49.110001,50.169998,1192900,48.302429
2006-03-31,50.0,50.720001,49.799999,49.939999,1103100,48.080991
2006-04-03,50.200001,51.990002,49.970001,50.599998,1683400,48.716422
2006-04-04,50.849998,50.98,49.740002,50.189999,917300,48.321685
2006-04-05,50.0,51.150002,49.900002,50.27,879100,48.398708
2006-04-06,50.599998,52.23,50.599998,52.189999,1040400,50.247235
2006-04-07,52.360001,52.5,50.549999,50.830002,698300,48.937864
2006-04-10,50.630001,50.880001,49.619999,49.880001,796300,48.023227
2006-04-11,49.790001,50.77,49.279999,49.740002,598000,47.888439
2006-04-12,49.68,50.290001,49.650002,50.080002,399000,48.215782
2006-04-13,49.849998,50.549999,49.509998,50.189999,263400,48.321685
2006-04-17,50.299999,51.099998,49.990002,50.52,521100,48.639402
2006-04-18,50.599998,51.830002,50.5,51.5,907600,49.582921
2006-04-19,51.5,52.490002,51.5,52.200001,1269700,50.256865
2006-04-20,52.200001,53.439999,52.060001,53.299999,1121100,51.315916
2006-04-21,53.25,53.759998,52.900002,53.529999,1088900,51.537354
2006-04-24,53.529999,54.09,52.610001,54.009998,1291600,51.999485
2006-04-25,54.700001,54.720001,52.799999,52.810001,1750600,50.844158
2006-04-26,51.0,51.400002,50.02,50.349998,3748600,48.475728
2006-04-27,50.049999,50.73,49.82,50.32,1147400,48.446846
2006-04-28,50.48,50.599998,49.59,49.82,921000,47.965459
2006-05-01,49.900002,50.419998,49.0,49.18,1125400,47.349283
2006-05-02,49.75,49.900002,49.200001,49.439999,787100,47.599603
2006-05-03,49.299999,49.389999,48.779999,49.169998,723200,47.339653
2006-05-04,48.990002,49.540001,48.52,49.470001,882800,47.628489
2006-05-05,49.75,49.84,48.900002,49.419998,618900,47.580347
2006-05-08,49.400002,50.349998,49.400002,49.98,670700,48.119503
2006-05-09,49.799999,50.299999,49.650002,49.830002,538100,47.975089
2006-05-10,49.5,51.68,49.110001,50.650002,1872100,48.897037
2006-05-11,50.459999,50.599998,49.5,50.139999,895600,48.404685
2006-05-12,49.900002,49.900002,48.540001,49.299999,1131700,47.593757
2006-05-15,49.07,49.5,47.939999,48.360001,860200,46.686291
2006-05-16,48.540001,48.720001,47.59,47.91,882600,46.251865
2006-05-17,47.349998,47.5,46.529999,46.950001,772900,45.32509
2006-05-18,47.110001,47.509998,45.68,45.950001,600000,44.3597
2006-05-19,46.330002,47.34,45.82,46.950001,993600,45.32509
2006-05-22,46.650002,46.650002,45.060001,46.220001,647400,44.620356
2006-05-23,46.57,47.09,44.869999,44.869999,890700,43.317076
2006-05-24,44.93,45.16,44.150002,44.630001,1198400,43.085385
2006-05-25,44.93,45.490002,44.450001,45.459999,732200,43.886657
2006-05-26,45.549999,46.18,44.950001,45.650002,976200,44.070083
2006-05-30,45.450001,45.5,43.75,44.259998,1083500,42.728187
2006-05-31,44.599998,45.709999,44.5,45.0,986900,43.442578
2006-06-01,44.93,45.029999,44.150002,44.549999,961500,43.008152
2006-06-02,44.66,44.849998,43.709999,44.32,721700,42.786112
2006-06-05,44.0,44.34,42.689999,42.900002,1149900,41.415259
2006-06-06,43.200001,43.369999,42.25,42.59,1025100,41.115987
2006-06-07,42.669998,43.380001,42.27,42.299999,537700,40.836023
2006-06-08,41.830002,42.0,40.919998,41.73,1040600,40.28575
2006-06-09,41.900002,42.75,41.66,41.77,839000,40.324367
2006-06-12,41.77,41.900002,40.869999,40.939999,595500,39.523091
2006-06-13,40.700001,41.259998,39.959999,40.16,1024900,38.770087
2006-06-14,40.16,40.560001,39.669998,40.25,1085200,38.856973
2006-06-15,40.400002,41.650002,40.299999,41.189999,975600,39.764438
2006-06-16,41.139999,41.240002,40.150002,40.240002,586500,38.84732
2006-06-19,40.419998,40.650002,39.099998,39.41,891200,38.046044
2006-06-20,39.509998,40.610001,39.200001,39.880001,677800,38.499779
2006-06-21,39.77,40.450001,39.470001,40.09,988900,38.70251
2006-06-22,39.950001,40.599998,39.5,40.18,853300,38.789396
2006-06-23,40.200001,40.790001,40.09,40.349998,429300,38.95351
2006-06-26,40.049999,40.389999,39.400002,39.639999,766300,38.268084
2006-06-27,39.450001,39.450001,37.75,37.970001,1515800,36.655883
2006-06-28,38.0,38.950001,37.630001,38.849998,1351000,37.505424
2006-06-29,38.900002,40.27,38.849998,40.27,958000,38.876281
2006-06-30,40.400002,40.75,39.549999,40.360001,859900,38.963166
2006-07-03,40.150002,40.169998,39.5,39.889999,685000,38.509431
2006-07-05,39.52,39.599998,38.950001,39.349998,700700,37.98812
2006-07-06,39.360001,40.290001,39.060001,39.709999,1285600,38.335661
2006-07-07,39.599998,39.630001,38.220001,38.52,1267800,37.186847
2006-07-10,38.810001,39.75,38.18,38.360001,1008600,37.032385
2006-07-11,38.25,39.099998,37.75,38.990002,1515500,37.640582
2006-07-12,38.880001,39.34,37.93,38.099998,1328500,36.781381
2006-07-13,37.880001,37.939999,36.57,36.75,1139500,35.478105
2006-07-14,36.610001,36.75,35.799999,36.0,1099900,34.754062
