Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,28.120001,28.200001,27.67,27.879999,2445500,22.157207
2006-01-04,27.860001,28.42,27.85,28.32,2027000,22.50689
2006-01-05,28.26,28.42,28.139999,28.370001,1799600,22.546628
2006-01-06,28.459999,28.67,28.4,28.639999,1197300,22.761205
2006-01-09,28.709999,29.09,28.700001,29.040001,1899000,23.0791
2006-01-10,28.809999,28.889999,28.59,28.75,12755300,22.848627
2006-01-11,28.75,29.1,28.610001,29.07,1913000,23.102941
2006-01-12,29.08,29.5,29.0,29.360001,3548700,23.333415
2006-01-13,29.219999,29.389999,29.120001,29.360001,1598700,23.333415
2006-01-17,29.01,29.08,28.84,29.059999,2077200,23.094994
2006-01-18,29.0,29.02,28.75,28.950001,1344400,23.007574
2006-01-19,28.959999,29.290001,28.889999,29.24,1534000,23.238046
2006-01-20,29.15,29.23,28.690001,29.01,3931300,23.055258
2006-01-23,29.01,29.26,28.92,28.959999,1912300,23.01552
2006-01-24,28.950001,29.07,28.540001,28.879999,2987700,22.951941
2006-01-25,28.5,28.51,27.66,27.73,6150800,22.037997
2006-01-26,27.85,28.299999,27.85,27.99,5172800,22.244628
2006-01-27,27.889999,27.91,27.379999,27.450001,3057400,21.815472
2006-01-30,27.440001,27.780001,27.43,27.73,2340700,22.037997
2006-01-31,27.6,27.809999,27.290001,27.299999,2608300,21.69626
2006-02-01,27.299999,27.549999,27.1,27.459999,2215000,21.823418
2006-02-02,29.5,29.5,27.24,27.41,1866500,21.783682
2006-02-03,27.24,27.440001,27.15,27.280001,1886800,21.680367
2006-02-06,27.24,27.280001,27.0,27.1,1769800,21.537314
2006-02-07,27.0,27.190001,26.83,26.950001,2260700,21.418104
2006-02-08,27.1,27.190001,26.99,27.16,1604100,21.584998
2006-02-09,27.1,27.139999,26.92,27.08,1723200,21.521419
2006-02-10,27.030001,27.110001,26.76,27.07,1933300,21.513472
2006-02-13,27.02,27.09,26.68,26.99,1005900,21.449893
2006-02-14,26.99,27.200001,26.969999,27.030001,3122200,21.481683
2006-02-15,27.0,27.35,26.959999,27.299999,2234500,21.69626
2006-02-16,27.25,27.33,26.959999,27.25,1008000,21.656524
2006-02-17,27.190001,27.190001,27.049999,27.08,1072200,21.521419
2006-02-21,27.02,27.1,26.85,27.0,1362500,21.457841
2006-02-22,27.09,27.389999,27.02,27.34,1035100,21.728051
2006-02-23,27.120001,27.450001,26.969999,27.32,1289700,21.712155
2006-02-24,27.299999,27.35,27.0,27.040001,1028200,21.489631
2006-02-27,27.01,27.34,27.01,27.209999,1210800,21.624734
2006-02-28,27.030001,27.35,26.959999,27.16,1598800,21.584998
2006-03-01,27.15,27.33,27.040001,27.1,1469400,21.537314
2006-03-02,26.91,27.040001,26.860001,26.98,1395800,21.441946
2006-03-03,26.85,27.23,26.85,27.0,1354400,21.457841
2006-03-06,26.99,27.1,26.799999,26.889999,1312000,21.370419
2006-03-07,26.799999,27.0,26.700001,26.799999,1236400,21.298893
2006-03-08,26.690001,26.85,26.58,26.75,1351400,21.259157
2006-03-09,26.780001,27.48,26.780001,27.110001,1769200,21.545262
2006-03-10,27.1,27.620001,27.059999,27.51,1884200,21.863156
2006-03-13,27.42,27.549999,27.26,27.290001,1145800,21.688314
2006-03-14,27.200001,27.26,27.08,27.17,1269600,21.592946
2006-03-15,27.15,27.290001,27.08,27.209999,1517200,21.656618
2006-03-16,27.209999,27.59,27.059999,27.5,2659700,21.887432
2006-03-17,27.6,27.68,27.190001,27.66,2736200,22.014777
2006-03-20,27.549999,27.83,27.540001,27.74,1208300,22.078449
2006-03-21,27.84,27.879999,27.530001,27.559999,1688300,21.935186
2006-03-22,27.5,27.809999,27.379999,27.77,1582600,22.102327
2006-03-23,27.65,27.68,27.110001,27.25,2122000,21.688455
2006-03-24,27.09,27.32,27.030001,27.209999,2314700,21.656618
2006-03-27,27.299999,27.35,26.99,27.129999,2178500,21.592945
2006-03-28,27.049999,27.26,26.950001,27.120001,2292800,21.584988
2006-03-29,27.049999,27.25,26.950001,27.17,1022400,21.624782
2006-03-30,27.08,27.290001,27.01,27.18,2883800,21.632742
2006-03-31,27.190001,27.32,27.0,27.209999,2101400,21.656618
2006-04-03,27.23,27.299999,26.879999,26.889999,2124200,21.401928
2006-04-04,26.85,27.34,26.780001,27.190001,4654200,21.640701
2006-04-05,27.16,27.33,27.09,27.15,1063500,21.608864
2006-04-06,27.1,27.15,26.98,27.040001,1576100,21.521315
2006-04-07,27.049999,27.219999,26.75,26.799999,1293800,21.330296
2006-04-10,26.780001,26.940001,26.66,26.73,763600,21.274583
2006-04-11,26.700001,26.75,26.41,26.43,1650000,21.035812
2006-04-12,26.41,26.639999,26.27,26.459999,1183800,21.059688
2006-04-13,26.4,26.59,26.4,26.5,1895300,21.091525
2006-04-17,26.459999,26.57,26.209999,26.42,811200,21.027853
2006-04-18,26.0,26.07,25.280001,25.969999,4950900,20.669694
2006-04-19,25.959999,26.01,25.549999,25.719999,3263900,20.470717
2006-04-20,25.9,26.049999,25.700001,25.98,2572700,20.677653
2006-04-21,26.1,26.200001,25.74,25.76,3204200,20.502554
