Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,24.91,25.82,24.629999,25.559999,473300,22.718193
2006-01-04,25.76,25.84,25.200001,25.200001,397300,22.398219
2006-01-05,25.18,26.120001,25.1,25.92,501100,23.038168
2006-01-06,26.200001,26.440001,25.67,26.08,204700,23.180379
2006-01-09,26.18,26.33,25.59,25.74,273000,22.87818
2006-01-10,25.52,26.15,25.43,26.09,256100,23.189267
2006-01-11,26.09,26.41,25.219999,25.790001,339500,22.922622
2006-01-12,25.85,26.02,25.43,25.700001,258200,22.842629
2006-01-13,25.84,25.879999,25.290001,25.290001,201100,22.478213
2006-01-17,25.120001,25.48,24.799999,25.34,392700,22.522653
2006-01-18,25.110001,25.99,25.110001,25.99,330900,23.100385
2006-01-19,26.0,26.74,25.799999,26.57,469300,23.615899
2006-01-20,26.77,26.85,25.940001,26.32,389200,23.393695
2006-01-23,26.459999,26.700001,26.120001,26.35,263600,23.42036
2006-01-24,25.52,25.85,24.610001,24.809999,573700,22.051579
2006-01-25,24.790001,24.99,24.549999,24.85,330500,22.087133
2006-01-26,25.0,25.41,24.82,25.09,368400,22.300449
2006-01-27,25.26,25.74,24.82,25.59,408100,22.744858
2006-01-30,26.01,26.01,25.040001,25.110001,268100,22.357542
2006-01-31,25.040001,25.459999,24.629999,25.450001,383200,22.660272
2006-02-01,24.700001,25.01,24.309999,25.01,549000,22.268503
2006-02-02,24.82,25.129999,24.35,24.719999,215900,22.010291
2006-02-03,24.6,24.709999,24.459999,24.549999,285400,21.858926
2006-02-06,24.549999,24.969999,24.27,24.690001,357200,21.98358
2006-02-07,24.780001,24.780001,24.0,24.190001,287100,21.538388
2006-02-08,24.4,24.4,23.370001,24.26,377200,21.600715
2006-02-09,24.34,24.76,24.0,24.360001,316800,21.689754
2006-02-10,24.41,24.59,23.58,24.57,259500,21.876734
2006-02-13,24.440001,24.51,23.950001,24.469999,273200,21.787695
2006-02-14,24.6,25.35,24.549999,25.16,267700,22.40206
2006-02-15,25.16,25.59,24.93,25.59,259300,22.784926
2006-02-16,25.700001,26.43,25.559999,26.129999,288000,23.265732
2006-02-17,26.25,26.25,26.0,26.059999,171000,23.203405
2006-02-21,26.0,26.440001,26.0,26.030001,202900,23.176695
2006-02-22,26.030001,26.23,25.799999,26.200001,235800,23.32806
2006-02-23,26.1,26.41,25.91,26.1,195800,23.239022
2006-02-24,26.049999,26.27,25.790001,26.209999,142100,23.336963
2006-02-27,26.34,26.969999,26.120001,26.4,211600,23.506136
2006-02-28,26.4,26.530001,25.780001,26.23,190700,23.354771
2006-03-01,26.389999,27.190001,26.23,27.01,467300,24.049271
2006-03-02,27.0,27.110001,26.5,27.02,299500,24.058175
2006-03-03,27.01,27.200001,26.67,26.700001,192400,23.773252
2006-03-06,26.860001,27.02,26.17,26.389999,158700,23.497232
2006-03-07,26.120001,26.6,25.700001,26.200001,163000,23.32806
2006-03-08,26.25,26.43,25.73,26.27,212600,23.390387
2006-03-09,25.389999,25.4,22.440001,23.219999,1360000,20.674715
2006-03-10,22.809999,23.34,22.459999,23.059999,949900,20.532254
2006-03-13,23.059999,24.32,23.01,23.83,761800,21.21785
2006-03-14,23.77,23.77,23.09,23.32,634400,20.763754
2006-03-15,23.379999,23.469999,23.059999,23.1,324900,20.56787
2006-03-16,23.200001,23.799999,22.57,23.799999,391100,21.191138
2006-03-17,23.92,23.93,23.32,23.389999,536000,20.82608
2006-03-20,23.26,23.5,22.959999,23.09,307100,20.558966
2006-03-21,22.82,23.450001,22.799999,22.82,356400,20.318562
2006-03-22,22.85,23.17,22.559999,23.01,289700,20.487735
2006-03-23,23.17,23.23,22.620001,23.030001,268400,20.505543
2006-03-24,23.01,23.16,22.68,22.959999,252300,20.443215
2006-03-27,22.809999,23.08,22.809999,23.040001,153000,20.514447
2006-03-28,22.959999,23.219999,22.309999,22.370001,493200,19.91789
2006-03-29,22.35,22.709999,22.02,22.379999,418200,19.926792
2006-03-30,22.42,22.6,22.32,22.530001,331200,20.060351
2006-03-31,22.639999,22.889999,22.57,22.870001,451800,20.363082
