Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,25.5,25.9,24.82,25.459999,745500,24.192937
2006-01-04,25.469999,25.57,24.85,24.950001,562100,23.70832
2006-01-05,25.0,25.0,23.85,23.940001,630700,22.748584
2006-01-06,23.85,24.299999,23.690001,24.049999,767700,22.853108
2006-01-09,24.049999,24.049999,22.549999,22.93,1401600,21.788848
2006-01-10,22.879999,25.93,22.879999,25.469999,1841800,24.202439
2006-01-11,25.52,26.65,25.469999,26.440001,1061000,25.124167
2006-01-12,26.99,27.0,25.459999,25.57,704000,24.297463
2006-01-13,25.799999,25.85,25.0,25.25,389700,23.993389
2006-01-17,25.92,25.92,24.73,25.030001,662400,23.784338
2006-01-18,24.5,25.450001,24.4,25.18,416900,23.926873
2006-01-19,25.299999,26.389999,25.15,25.969999,771000,24.677556
2006-01-20,26.219999,27.84,26.139999,27.790001,1054400,26.406982
2006-01-23,27.98,28.0,26.200001,26.92,1125600,25.580278
2006-01-24,27.120001,28.5,27.07,28.24,839600,26.834586
2006-01-25,28.99,29.299999,27.92,28.1,884200,26.701554
2006-01-26,28.75,28.799999,27.91,28.35,509700,26.939112
2006-01-27,28.5,29.110001,28.110001,28.92,392700,27.480745
2006-01-30,28.879999,31.77,28.700001,31.200001,1534400,29.647277
2006-01-31,31.1,31.1,30.32,30.85,848700,29.314695
2006-02-01,30.93,31.85,30.549999,30.559999,771500,29.039127
2006-02-02,30.59,30.59,29.82,30.16,790700,28.659034
2006-02-03,28.5,29.709999,28.5,29.0,966200,27.556763
2006-02-06,20.0,22.879999,19.6,22.33,17402100,21.218708
2006-02-07,22.950001,24.1,22.879999,23.610001,3945100,22.435007
2006-02-08,23.93,24.129999,23.25,23.82,1573200,22.634555
2006-02-09,23.9,23.9,22.110001,22.469999,1483200,21.35174
2006-02-10,22.24,22.4,21.379999,21.6,1677600,20.525038
2006-02-13,21.85,22.379999,21.559999,22.299999,909900,21.1902
2006-02-14,25.0,25.0,21.700001,22.950001,1359800,21.807853
2006-02-15,22.0,25.6,21.65,22.18,5277100,21.076173
2006-02-16,22.74,23.99,22.74,23.530001,2752900,22.358988
2006-02-17,23.73,23.959999,23.530001,23.889999,676300,22.701071
2006-02-21,23.99,24.74,23.700001,23.799999,1317100,22.61555
2006-02-22,23.799999,24.82,23.799999,24.6,675100,23.375738
2006-02-23,24.65,24.9,24.120001,24.27,583700,23.062161
2006-02-24,24.4,24.9,24.17,24.83,478900,23.594291
2006-02-27,24.5,24.75,24.389999,24.5,255700,23.280714
2006-02-28,24.299999,24.469999,23.969999,24.469999,417300,23.252206
2006-03-01,24.040001,24.49,23.16,24.01,1351000,22.8151
2006-03-02,24.02,24.35,23.4,24.16,314200,22.957634
2006-03-03,24.16,24.389999,23.91,24.34,208400,23.128677
2006-03-06,24.5,24.73,23.809999,23.950001,453400,22.758086
2006-03-07,23.799999,24.389999,23.129999,24.26,922000,23.052658
2006-03-08,24.25,24.25,23.200001,23.440001,556100,22.273467
2006-03-09,23.65,24.24,23.57,24.15,1605500,22.948132
2006-03-10,24.25,24.889999,23.799999,24.440001,1128400,23.2237
2006-03-13,24.15,25.52,24.15,25.209999,597800,23.955379
2006-03-14,25.219999,26.200001,25.1,25.99,1023200,24.696561
2006-03-15,26.08,26.1,25.530001,25.67,628800,24.392487
2006-03-16,25.549999,25.700001,25.25,25.34,386800,24.107083
2006-03-17,25.379999,25.59,25.049999,25.09,304200,23.869247
2006-03-20,25.09,25.15,23.66,23.780001,1704900,22.622985
2006-03-21,23.42,24.549999,23.42,24.530001,1258500,23.336494
2006-03-22,24.540001,25.09,24.52,25.0,1059300,23.783626
2006-03-23,25.1,25.1,24.860001,24.950001,617300,23.736059
2006-03-24,25.0,25.07,24.92,25.0,234000,23.783626
2006-03-27,25.049999,25.4,24.870001,25.02,812000,23.802653
2006-03-28,25.08,25.26,24.9,25.01,668400,23.793139
2006-03-29,25.0,25.1,24.940001,25.0,613400,23.783626
2006-03-30,25.07,25.23,24.799999,24.860001,622200,23.650438
2006-03-31,24.76,24.84,23.950001,24.0,444900,22.832281
2006-04-03,24.129999,24.18,23.42,23.58,1120600,22.432716
2006-04-04,23.549999,24.4,23.389999,24.24,750900,23.060603
2006-04-05,24.4,24.9,24.34,24.790001,316100,23.583844
2006-04-06,24.73,24.790001,24.26,24.629999,244400,23.431627
2006-04-07,24.5,24.59,24.290001,24.360001,304300,23.174765
2006-04-10,24.15,24.33,23.889999,23.99,408300,22.822767
2006-04-11,23.959999,24.25,23.67,23.700001,275500,22.546878
2006-04-12,23.629999,24.389999,23.5,24.139999,417200,22.965468
2006-04-13,24.0,24.889999,23.950001,24.530001,404700,23.336494
2006-04-17,24.450001,24.799999,24.110001,24.68,306300,23.479196
