Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,19.35,19.84,18.9,19.77,651700,17.560657
2006-01-04,19.77,19.950001,19.450001,19.799999,216800,17.587303
2006-01-05,19.799999,19.959999,19.450001,19.77,611800,17.560657
2006-01-06,19.83,19.889999,19.629999,19.73,218700,17.525126
2006-01-09,19.74,19.74,19.219999,19.379999,560500,17.214239
2006-01-10,19.280001,19.639999,19.27,19.5,303800,17.32083
2006-01-11,19.41,19.51,19.25,19.27,170200,17.151715
2006-01-12,19.27,19.290001,18.9,19.02,227800,16.929197
2006-01-13,19.09,19.4,19.040001,19.139999,211300,17.036005
2006-01-17,19.25,20.120001,19.120001,20.049999,1104200,17.845971
2006-01-18,20.0,20.23,19.58,19.809999,1366400,17.632354
2006-01-19,19.9,20.1,19.83,20.0,471000,17.801468
2006-01-20,20.0,20.0,19.540001,19.620001,210000,17.463241
2006-01-23,19.6,19.860001,19.469999,19.73,585000,17.561148
2006-01-24,19.799999,20.309999,19.75,20.290001,355600,18.05959
2006-01-25,20.290001,20.52,20.15,20.34,662900,18.104093
2006-01-26,20.35,20.51,20.219999,20.35,358400,18.112994
2006-01-27,20.59,20.6,20.17,20.280001,191900,18.05069
2006-01-30,20.379999,20.49,19.85,20.16,392500,17.94388
2006-01-31,20.15,20.48,20.120001,20.469999,242900,18.219802
2006-02-01,20.35,20.49,20.16,20.18,419100,17.961682
2006-02-02,20.209999,20.5,19.9,20.02,470800,17.81927
2006-02-03,19.93,20.26,19.5,20.219999,533000,17.997284
2006-02-06,20.25,20.74,20.16,20.620001,650400,18.353315
2006-02-07,20.620001,20.620001,20.120001,20.32,515900,18.086292
2006-02-08,20.33,20.33,20.15,20.24,304800,18.015086
2006-02-09,20.200001,20.65,20.200001,20.32,331400,18.086292
2006-02-10,20.35,20.65,20.049999,20.629999,206600,18.362214
2006-02-13,20.58,20.58,20.129999,20.190001,224800,17.970583
2006-02-14,20.18,20.219999,19.549999,20.219999,686600,17.997284
2006-02-15,20.26,21.629999,20.26,21.15,1193900,18.825052
2006-02-16,22.0,22.0,20.25,20.68,1232100,18.406719
2006-02-17,20.620001,21.309999,20.299999,21.219999,721400,18.887357
2006-02-21,21.450001,21.559999,21.1,21.379999,299100,19.029769
2006-02-22,21.379999,21.57,21.219999,21.57,400400,19.198883
2006-02-23,21.700001,21.719999,21.34,21.59,414200,19.216685
2006-02-24,21.57,21.719999,21.379999,21.51,505000,19.145479
2006-02-27,21.6,21.959999,21.57,21.860001,488100,19.457005
2006-02-28,21.84,21.85,21.35,21.4,330600,19.047571
2006-03-01,21.450001,21.469999,21.09,21.389999,307900,19.03867
2006-03-02,21.35,21.969999,21.01,21.9,271700,19.492608
2006-03-03,21.75,21.91,21.59,21.73,366500,19.341295
2006-03-06,21.700001,21.700001,20.870001,20.98,288700,18.67374
2006-03-07,21.35,21.360001,20.370001,20.49,586800,18.237604
2006-03-08,20.379999,20.58,20.08,20.35,676700,18.112994
2006-03-09,20.450001,20.549999,20.23,20.299999,256400,18.06849
2006-03-10,20.299999,20.67,20.200001,20.620001,98600,18.353315
2006-03-13,20.65,21.0,20.309999,20.870001,315600,18.575833
2006-03-14,20.780001,20.84,20.58,20.73,111600,18.451222
2006-03-15,20.799999,21.559999,20.799999,21.5,391500,19.136579
2006-03-16,21.5,21.75,21.139999,21.690001,406600,19.305693
2006-03-17,21.700001,21.700001,20.860001,21.02,248900,18.709344
2006-03-20,21.15,21.68,20.92,21.040001,436900,18.727146
2006-03-21,21.120001,21.459999,21.0,21.02,269300,18.709344
2006-03-22,21.09,21.389999,20.99,21.370001,289800,19.02087
2006-03-23,21.25,21.309999,20.860001,20.860001,453700,18.566932
2006-03-24,20.9,21.07,20.540001,20.59,128200,18.326612
2006-03-27,20.58,20.889999,20.51,20.799999,383200,18.513526
2006-03-28,20.719999,20.959999,19.9,20.16,635400,17.94388
2006-03-29,20.299999,20.530001,20.190001,20.43,176400,18.1842
2006-03-30,20.43,20.85,20.26,20.84,245000,18.54913
2006-03-31,20.84,21.120001,20.57,20.969999,363400,18.664839
2006-04-03,20.98,21.200001,20.5,20.58,351200,18.317711
2006-04-04,20.58,21.059999,20.459999,21.01,338400,18.700443
2006-04-05,21.01,21.1,20.440001,20.540001,736400,18.282109
2006-04-06,20.540001,20.6,20.16,20.190001,484100,17.970583
2006-04-07,20.18,20.290001,20.0,20.030001,354400,17.828171
2006-04-10,20.110001,20.25,19.99,20.040001,190700,17.837072
2006-04-11,20.370001,20.469999,19.85,19.940001,324200,17.783561
2006-04-12,20.0,20.35,19.99,20.24,239500,18.051116
2006-04-13,20.15,20.27,20.030001,20.24,163900,18.051116
2006-04-17,20.24,20.610001,20.15,20.440001,601700,18.229487
2006-04-18,20.549999,20.98,20.549999,20.879999,479400,18.621902
2006-04-19,20.950001,21.5,20.950001,21.49,602000,19.165933
2006-04-20,21.49,21.59,21.110001,21.5,213300,19.174852
2006-04-21,21.5,21.92,21.35,21.790001,263700,19.43349
2006-04-24,21.790001,21.98,21.610001,21.98,202200,19.602941
2006-04-25,21.98,21.98,21.58,21.700001,363600,19.353223
2006-04-26,21.690001,21.860001,21.620001,21.809999,179700,19.451326
2006-04-27,21.780001,22.33,21.57,22.110001,547200,19.718883
2006-04-28,22.0,22.219999,21.77,21.950001,374400,19.576187
2006-05-01,22.049999,22.15,21.74,22.01,392600,19.629697
2006-05-02,22.01,22.26,22.01,22.08,450300,19.692127
2006-05-03,22.139999,22.73,22.139999,22.51,747500,20.075624
2006-05-04,22.51,22.690001,22.33,22.440001,651700,20.013195
2006-05-05,22.5,22.709999,22.459999,22.5,501600,20.066705
2006-05-08,22.530001,22.75,22.360001,22.73,441600,20.271831
2006-05-09,22.65,22.709999,22.15,22.42,421700,19.995357
2006-05-10,21.200001,21.719999,21.15,21.27,6175500,18.969726
2006-05-11,21.290001,21.67,21.290001,21.540001,3782400,19.210527
2006-05-12,21.540001,21.549999,20.530001,20.82,2374500,18.568391
2006-05-15,21.0,21.0,20.34,20.73,1587900,18.488124
2006-05-16,20.85,21.23,20.799999,21.059999,1404400,18.782436
2006-05-17,21.0,21.08,20.370001,20.4,1446900,18.193813
2006-05-18,20.4,20.790001,20.15,20.27,1784400,18.077872
2006-05-19,20.5,20.719999,20.209999,20.6,1897900,18.372184
2006-05-22,20.6,20.6,19.370001,19.809999,1806500,17.667619
2006-05-23,19.9,20.16,19.75,19.809999,1221900,17.667619
2006-05-24,19.82,19.91,18.92,19.16,2008800,17.087914
2006-05-25,19.25,19.67,19.25,19.58,1493700,17.462493
2006-05-26,19.639999,19.870001,19.43,19.610001,1038600,17.489249
2006-05-30,19.549999,19.549999,19.0,19.030001,898800,16.971974
2006-05-31,19.9,19.9,19.6,19.709999,1789200,17.578433
2006-06-01,19.969999,20.35,19.75,20.209999,1401100,18.02436
2006-06-02,20.25,20.51,20.15,20.459999,963200,18.247323
2006-06-05,20.459999,20.459999,19.870001,19.99,552200,17.828153
2006-06-06,20.09,20.23,19.540001,19.879999,1017500,17.730048
2006-06-07,19.9,19.959999,19.110001,19.129999,768300,17.061158
2006-06-08,19.700001,19.700001,18.5,19.139999,1930200,17.070077
2006-06-09,19.120001,19.32,18.860001,18.91,974200,16.864951
2006-06-12,18.950001,19.1,18.59,18.66,501200,16.641987
2006-06-13,18.639999,18.99,18.610001,18.84,829000,16.802521
2006-06-14,18.85,19.07,18.82,18.98,688800,16.92738
2006-06-15,19.09,19.870001,19.0,19.700001,1118100,17.569516
2006-06-16,19.690001,19.799999,19.309999,19.700001,904800,17.569516
2006-06-19,19.74,19.799999,19.15,19.25,383400,17.168181
2006-06-20,19.290001,19.620001,19.200001,19.200001,931600,17.123589
2006-06-21,19.17,19.77,19.15,19.57,597100,17.453574
2006-06-22,19.58,19.92,19.459999,19.870001,960000,17.721131
2006-06-23,19.879999,20.120001,19.6,19.99,859600,17.828153
2006-06-26,20.09,20.200001,19.889999,19.98,441600,17.819234
2006-06-27,20.1,20.290001,19.75,20.0,536300,17.837071
