Date,Open,High,Low,Close,Volume,Adj Close
2014-09-24,21.5,23.219999,21.35,23.08,60450900,22.085813
2014-09-25,22.559999,23.41,22.450001,23.049999,8430000,22.057105
2014-09-26,23.18,23.370001,22.91,23.25,2504400,22.24849
2014-09-29,23.139999,23.450001,22.91,23.23,4832600,22.229351
2014-09-30,23.110001,23.57,23.049999,23.42,4103100,22.411168
2014-10-01,23.219999,23.610001,23.110001,23.440001,3915500,22.430307
2014-10-02,23.34,23.59,23.302999,23.34,3121400,22.334614
2014-10-03,23.379999,23.469999,23.01,23.23,1585900,22.229351
2014-10-06,23.280001,23.370001,22.610001,22.639999,1208400,21.664766
2014-10-07,22.559999,22.74,22.26,22.52,1508400,21.549936
2014-10-08,22.110001,23.15,22.110001,22.75,1649200,21.770028
2014-10-09,23.0,23.0,22.24,22.48,1229100,21.511658
2014-10-10,22.389999,22.559999,22.135,22.280001,924000,21.320274
2014-10-13,22.129999,22.66,22.120001,22.450001,1382800,21.482952
2014-10-14,22.5,22.790001,22.299999,22.450001,1605800,21.482952
2014-10-15,22.129999,22.200001,21.5,21.85,3405400,20.908797
2014-10-16,21.51,21.950001,21.469999,21.799999,3105800,20.860949
2014-10-17,21.889999,22.07,21.73,21.92,2750600,20.975781
2014-10-20,21.82,22.379999,21.82,22.379999,1870600,21.415965
2014-10-21,22.110001,22.93,22.110001,22.82,1165500,21.837013
2014-10-22,22.780001,23.0,22.403,22.6,884700,21.62649
2014-10-23,22.969999,23.08,22.59,23.030001,1154200,22.037968
2014-10-24,23.32,23.49,22.77,23.18,1357800,22.181506
2014-10-27,23.15,23.190001,22.725,22.85,2898800,21.865721
2014-10-28,23.16,23.59,22.93,23.280001,1500600,22.277199
2014-10-29,23.35,23.530001,23.200001,23.48,1302300,22.468583
2014-10-30,23.459999,23.690001,23.297001,23.440001,1153600,22.430307
2014-10-31,23.59,23.92,23.370001,23.620001,1238600,22.602553
2014-11-03,23.49,24.0,23.16,24.0,1826900,22.966184
2014-11-04,23.74,23.91,23.43,23.6,1474500,22.677905
2014-11-05,23.799999,23.950001,23.549999,23.9,1097600,22.966182
2014-11-06,23.790001,24.459999,23.75,24.299999,1010700,23.350553
2014-11-07,24.48,24.48,23.959999,23.969999,600700,23.033447
2014-11-10,24.040001,24.25,23.75,23.950001,1531300,23.01423
2014-11-11,23.969999,24.219999,23.75,23.940001,658300,23.00462
2014-11-12,23.75,23.98,23.51,23.860001,940800,22.927746
2014-11-13,23.620001,23.959999,23.58,23.82,1149700,22.889308
2014-11-14,23.74,24.0,23.74,23.959999,1111500,23.023837
2014-11-17,24.110001,24.110001,23.559999,24.0,992400,23.062275
2014-11-18,24.040001,24.040001,23.709999,23.73,586000,22.802824
2014-11-19,23.799999,24.0,23.51,23.719999,812800,22.793215
2014-11-20,23.57,23.870001,23.5,23.709999,745800,22.783605
2014-11-21,23.950001,24.209999,23.695,23.77,725200,22.841262
2014-11-24,23.799999,24.360001,23.68,24.25,836800,23.302507
2014-11-25,24.24,24.299999,24.02,24.030001,701600,23.091104
2014-11-26,24.110001,24.27,23.92,24.23,703700,23.283288
2014-11-28,24.219999,25.09,24.049999,24.629999,713400,23.667659
2014-12-01,24.620001,24.895,23.49,23.98,2282600,23.043056
2014-12-02,24.02,24.43,23.799999,24.200001,1369300,23.254462
2014-12-03,24.33,24.59,24.190001,24.23,1854500,23.283288
2014-12-04,24.32,24.559999,24.09,24.4,1433700,23.446646
2014-12-05,24.450001,25.219999,24.450001,25.15,1008400,24.167342
2014-12-08,25.08,25.139999,24.68,25.040001,2244900,24.061642
2014-12-09,24.709999,25.33,24.5,25.16,1141800,24.176952
2014-12-10,25.15,25.41,24.620001,24.65,631000,23.686878
2014-12-11,24.85,25.280001,24.51,24.690001,1709100,23.725316
2014-12-12,24.52,24.83,24.4,24.459999,950800,23.504301
2014-12-15,24.68,24.805,24.27,24.49,1175100,23.53313
2014-12-16,24.530001,24.875,24.219999,24.25,1313900,23.302507
2014-12-17,24.219999,24.799999,24.219999,24.559999,2160100,23.600395
2014-12-18,24.75,25.139999,24.68,25.08,1768500,24.100078
2014-12-19,25.040001,25.6,24.84,25.0,7523100,24.023204
2014-12-22,25.16,25.278999,24.66,25.1,1689600,24.119297
2014-12-23,25.309999,25.5,25.120001,25.440001,1174600,24.446012
2014-12-24,25.450001,25.59,25.18,25.51,547200,24.513277
2014-12-26,25.51,25.51,25.25,25.309999,304000,24.321091
2014-12-29,25.200001,25.51,25.18,25.370001,1071000,24.378748
2014-12-30,25.459999,25.5,25.16,25.190001,511800,24.20578
2014-12-31,25.25,25.285,24.83,24.860001,621600,23.888674
