Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,26.360001,26.82,26.16,26.450001,967000,13.225
2006-01-04,26.459999,26.799999,26.26,26.389999,769800,13.195
2006-01-05,26.34,26.74,26.139999,26.450001,573600,13.225
2006-01-06,26.459999,26.58,25.940001,26.440001,834400,13.22
2006-01-09,26.200001,26.26,25.299999,25.41,1475200,12.705
2006-01-10,25.0,25.0,24.469999,24.76,2792000,12.38
2006-01-11,24.75,24.75,23.91,23.99,2277200,11.995
2006-01-12,23.85,24.389999,23.549999,24.200001,1510800,12.1
2006-01-13,24.200001,24.200001,23.18,23.459999,2283400,11.73
2006-01-17,23.23,23.4,22.719999,22.85,3199400,11.425
2006-01-18,22.700001,24.1,22.700001,23.93,1326400,11.965
2006-01-19,24.0,24.389999,23.459999,24.01,1714200,12.005
2006-01-20,23.799999,24.26,23.51,23.92,1295200,11.96
2006-01-23,24.01,24.27,23.950001,24.190001,1292200,12.095
2006-01-24,24.299999,25.17,24.299999,25.07,1792800,12.535
2006-01-25,25.139999,25.25,24.92,25.190001,2040200,12.595
2006-01-26,25.4,25.68,24.92,25.440001,1266200,12.72
2006-01-27,25.49,26.02,25.27,25.969999,1439400,12.985
2006-01-30,26.040001,26.07,25.51,25.780001,1155200,12.89
2006-01-31,25.780001,26.32,25.43,26.290001,963400,13.145
2006-02-01,26.450001,27.9,26.32,27.440001,1654200,13.72
2006-02-02,27.25,27.25,25.940001,26.110001,1158000,13.055
2006-02-03,25.93,26.32,25.549999,26.23,1202200,13.115
2006-02-06,26.23,26.27,25.4,25.540001,1300200,12.77
2006-02-07,28.1,28.1,24.950001,26.389999,2307000,13.195
2006-02-08,26.879999,27.049999,26.25,26.799999,1564800,13.4
2006-02-09,26.92,27.09,26.41,26.540001,711600,13.27
2006-02-10,26.35,26.35,25.73,26.139999,898800,13.07
2006-02-13,26.209999,26.209999,25.6,25.74,792200,12.87
2006-02-14,25.809999,26.25,25.780001,26.17,982000,13.085
2006-02-15,25.91,26.6,25.809999,26.52,580800,13.26
2006-02-16,26.0,26.01,24.959999,26.0,3292200,13.0
2006-02-17,25.190001,26.700001,25.190001,26.49,682800,13.245
2006-02-21,27.5,27.559999,26.9,27.110001,1067400,13.555
2006-02-22,27.24,27.58,27.0,27.58,701000,13.79
2006-02-23,27.57,27.99,27.059999,27.639999,824600,13.82
2006-02-24,27.700001,27.98,27.190001,27.879999,1236600,13.94
2006-02-27,28.0,28.190001,27.610001,27.799999,711200,13.9
2006-02-28,27.75,27.83,27.110001,27.35,1172800,13.675
2006-03-01,27.4,28.24,27.110001,28.129999,1015800,14.065
2006-03-02,28.129999,28.879999,28.059999,28.620001,1915000,14.31
2006-03-03,28.629999,29.43,28.41,28.540001,1121400,14.27
2006-03-06,28.5,28.51,27.799999,27.83,601400,13.915
2006-03-07,27.559999,28.190001,27.5,27.809999,879200,13.905
2006-03-08,27.75,28.4,27.639999,28.280001,855000,14.14
2006-03-09,28.25,28.530001,27.83,28.27,1141800,14.135
2006-03-10,28.15,29.200001,28.15,28.809999,1131000,14.405
2006-03-13,28.99,29.23,28.299999,28.549999,1637200,14.275
2006-03-14,28.5,29.26,28.459999,29.0,1074400,14.5
2006-03-15,29.0,29.450001,28.860001,29.309999,653600,14.655
2006-03-16,29.33,29.780001,29.15,29.25,1109000,14.625
2006-03-17,29.389999,30.26,27.6,28.459999,3859200,14.23
2006-03-20,28.75,29.09,28.23,28.66,2039800,14.33
2006-03-21,28.66,28.950001,27.85,28.120001,1024000,14.06
2006-03-22,28.15,28.77,27.969999,28.629999,715400,14.315
2006-03-23,28.77,28.889999,28.27,28.610001,368400,14.305
2006-03-24,28.33,29.389999,28.33,29.120001,854200,14.56
2006-03-27,29.049999,29.17,28.66,29.1,634400,14.55
2006-03-28,28.92,29.290001,28.4,28.74,677000,14.37
2006-03-29,29.24,29.24,28.219999,28.77,493800,14.385
2006-03-30,28.719999,29.26,28.290001,28.66,417200,14.33
2006-03-31,28.76,29.190001,28.370001,29.17,776600,14.585
2006-04-03,29.0,29.02,28.41,28.799999,1061000,14.4
2006-04-04,28.870001,29.23,28.48,29.07,678200,14.535
2006-04-05,29.219999,29.33,28.799999,29.01,723000,14.505
2006-04-06,29.01,29.040001,28.5,28.700001,1133400,14.35
2006-04-07,28.65,29.0,28.290001,28.459999,1060600,14.23
2006-04-10,28.459999,28.780001,28.15,28.549999,866600,14.275
2006-04-11,28.549999,28.65,27.99,28.26,653600,14.13
2006-04-12,28.26,29.299999,28.26,28.879999,1493800,14.44
2006-04-13,28.879999,29.0,28.58,28.85,366800,14.425
2006-04-17,28.85,28.879999,28.01,28.48,655000,14.24
2006-04-18,28.66,29.18,28.18,29.0,1416000,14.5
2006-04-19,28.950001,29.59,28.73,29.049999,650600,14.525
2006-04-20,29.049999,29.049999,28.440001,28.85,553000,14.425
2006-04-21,29.200001,29.200001,27.75,28.26,919400,14.13
2006-04-24,28.27,28.370001,27.67,28.139999,1229200,14.07
2006-04-25,27.0,27.629999,25.25,26.74,4521600,13.37
2006-04-26,26.59,26.66,25.07,25.299999,2977200,12.65
2006-04-27,25.049999,25.49,24.1,24.610001,3147200,12.305
2006-04-28,24.959999,26.040001,24.959999,25.690001,1529800,12.845
2006-05-01,25.700001,25.709999,24.950001,25.0,1993000,12.5
