Date,Open,High,Low,Close,Volume,Adj Close
2007-04-24,19.0,19.299999,17.74,18.91,18903300,12.61832
2007-04-25,18.91,19.290001,18.91,19.08,3461900,12.731758
2007-04-26,19.299999,20.690001,19.200001,19.51,1153800,13.01869
2007-04-27,19.5,19.6,18.959999,19.0,829200,12.678376
2007-04-30,19.040001,19.23,18.9,18.9,1411200,12.611647
2007-05-01,18.9,18.99,18.6,18.85,1096400,12.578284
2007-05-02,18.85,18.879999,18.1,18.43,1659500,12.298025
2007-05-03,18.35,18.75,18.049999,18.1,778500,12.077821
2007-05-04,18.200001,18.799999,18.18,18.6,717300,12.411463
2007-05-07,18.85,19.450001,18.700001,19.120001,761000,12.75845
2007-05-08,19.049999,19.15,18.9,19.02,130600,12.691722
2007-05-09,18.950001,19.23,18.809999,19.0,181400,12.678376
2007-05-10,19.0,19.049999,18.9,19.0,506000,12.678376
2007-05-11,19.0,19.16,18.92,19.110001,156400,12.751777
2007-05-14,19.110001,19.309999,18.85,19.23,388300,12.831851
2007-05-15,19.25,19.85,19.23,19.48,342200,12.998671
2007-05-16,19.4,19.5,19.059999,19.25,129700,12.845197
2007-05-17,19.1,19.15,18.620001,19.0,307500,12.678376
2007-05-18,18.959999,19.48,18.950001,19.33,544000,12.898579
2007-05-21,19.15,19.799999,19.1,19.700001,435800,13.145474
2007-05-22,19.6,19.950001,19.450001,19.540001,165700,13.038709
2007-05-23,19.450001,19.6,19.200001,19.309999,150300,12.885233
2007-05-24,19.299999,19.35,19.01,19.23,147800,12.831851
2007-05-25,19.190001,19.25,19.08,19.18,74400,12.798487
2007-05-29,19.049999,19.120001,18.91,18.950001,107500,12.645012
2007-05-30,18.92,19.709999,18.92,19.17,251700,12.791814
2007-05-31,19.040001,19.370001,19.0,19.35,397500,12.911925
2007-06-01,19.299999,19.5,19.1,19.459999,209400,12.985325
2007-06-04,19.6,19.799999,19.290001,19.32,272700,12.891906
2007-06-05,19.35,19.690001,19.0,19.129999,126400,12.765122
2007-06-06,19.049999,19.200001,18.889999,19.030001,172400,12.698395
2007-06-07,19.0,19.0,18.52,18.799999,101900,12.544919
2007-06-08,19.0,19.0,18.52,18.700001,388900,12.478191
2007-06-11,18.6,18.6,18.25,18.530001,115600,12.364753
2007-06-12,18.549999,18.99,18.379999,18.59,411700,12.40479
2007-06-13,18.59,18.59,18.370001,18.5,348300,12.344734
2007-06-14,18.469999,18.6,18.35,18.57,137000,12.391444
2007-06-15,18.59,18.700001,18.35,18.700001,81600,12.478191
2007-06-18,18.700001,18.85,18.559999,18.700001,211500,12.478191
2007-06-19,18.75,18.889999,18.440001,18.459999,173800,12.318042
2007-06-20,18.5,18.74,18.33,18.51,328000,12.351407
2007-06-21,18.459999,18.639999,18.33,18.549999,146900,12.378098
2007-06-22,18.0,18.209999,17.35,17.42,1855100,11.624069
2007-06-25,17.360001,17.360001,16.15,17.040001,1790300,11.370502
2007-06-26,17.200001,17.6,17.200001,17.370001,327500,11.590705
2007-06-27,17.190001,17.620001,17.1,17.58,131900,11.730834
2007-06-28,17.6,18.209999,17.57,17.93,237300,11.964383
2007-06-29,18.040001,18.15,17.75,17.889999,199800,11.937691
2007-07-02,17.950001,18.0,17.5,17.530001,416700,11.69747
2007-07-03,17.549999,17.559999,16.9,16.940001,82100,11.303773
2007-07-05,16.93,17.02,16.67,16.790001,354200,11.203681
2007-07-06,16.790001,16.9,16.700001,16.860001,286600,11.250391
2007-07-09,16.9,17.41,16.9,17.01,487700,11.350483
2007-07-10,16.940001,17.1,16.700001,16.76,212400,11.183662
2007-07-11,16.75,16.959999,16.65,16.790001,341400,11.203681
2007-07-12,16.85,17.5,16.809999,17.08,414100,11.397193
2007-07-13,17.059999,17.299999,16.940001,17.25,434000,11.510631
2007-07-16,17.200001,18.02,17.01,17.99,183000,12.00442
2007-07-17,18.0,18.15,17.73,17.75,67100,11.844272
2007-07-18,17.629999,18.0,17.58,17.9,167500,11.944364
2007-07-19,17.9,18.0,17.73,17.809999,165700,11.884309
2007-07-20,17.77,17.879999,17.219999,17.389999,371500,11.60405
2007-07-23,17.4,17.440001,17.209999,17.299999,179200,11.543994
