Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,66.169998,68.0,65.860001,67.739998,2262400,30.794278
2006-01-04,67.199997,69.260002,66.720001,69.18,2012000,31.448897
2006-01-05,68.900002,69.099998,66.330002,68.019997,3260600,30.921565
2006-01-06,69.019997,69.849998,68.550003,69.019997,1840200,31.37616
2006-01-09,69.019997,69.029999,67.019997,67.400002,2298000,30.639718
2006-01-10,67.25,69.220001,66.779999,68.970001,3631600,31.353432
2006-01-11,69.099998,70.870003,68.349998,70.599998,3078000,32.094421
2006-01-12,71.150002,73.419998,70.900002,71.400002,3833400,32.458099
2006-01-13,71.050003,73.190002,70.900002,72.809998,2329200,33.099076
2006-01-17,74.25,74.449997,72.32,72.949997,2851000,33.162719
2006-01-18,72.300003,72.730003,70.18,71.839996,2122400,32.658118
2006-01-19,71.75,73.769997,71.669998,72.980003,2313000,33.17636
2006-01-20,73.300003,73.800003,70.860001,71.839996,2722600,32.658118
2006-01-23,71.839996,72.029999,70.800003,70.980003,1802600,32.267169
2006-01-24,71.260002,74.919998,71.260002,73.449997,4353600,33.390017
2006-01-25,74.25,74.400002,71.400002,72.150002,2979600,32.799045
2006-01-26,71.5,73.129997,69.75,71.720001,4996800,32.603569
2006-01-27,71.519997,72.910004,71.050003,72.139999,2865200,32.794498
2006-01-30,72.650002,74.07,72.199997,72.699997,2747800,33.04907
2006-01-31,72.449997,73.370003,72.040001,72.900002,3379400,33.139991
2006-02-01,73.099998,73.989998,71.699997,71.959999,2877800,32.712671
2006-02-02,71.959999,73.589996,70.190002,70.480003,3593200,32.039872
2006-02-03,71.400002,71.400002,69.050003,69.059998,5548400,31.394344
2006-02-06,69.769997,71.379997,69.709999,70.830002,3562800,32.198979
2006-02-07,70.440002,70.440002,65.650002,65.900002,4946400,30.017157
2006-02-08,65.949997,66.199997,63.400002,65.779999,5985800,29.962496
2006-02-09,66.25,67.239998,64.07,64.360001,4605000,29.315693
2006-02-10,64.0,64.900002,62.599998,64.379997,4266200,29.324801
2006-02-13,64.0,64.589996,61.169998,61.5,3280600,28.012975
2006-02-14,60.82,61.669998,60.349998,61.150002,4132000,27.853553
2006-02-15,62.0,62.57,60.0,60.470001,3156200,27.543816
2006-02-16,60.799999,62.75,60.549999,62.450001,2833400,28.445697
2006-02-17,63.0,63.900002,62.799999,63.130001,2313400,28.755434
2006-02-21,64.25,65.099998,63.860001,64.900002,2895000,29.561661
2006-02-22,63.849998,64.370003,63.290001,63.75,1613800,29.03784
2006-02-23,63.75,65.639999,63.740002,64.32,2591800,29.297473
2006-02-24,65.32,65.870003,64.620003,65.57,2386600,29.866842
2006-02-27,65.309998,65.330002,63.779999,64.040001,2831800,29.169935
2006-02-28,63.900002,64.650002,63.389999,64.019997,2612200,29.160823
2006-03-01,63.939999,65.489998,63.849998,65.199997,1863600,29.698308
2006-03-02,65.199997,66.470001,64.610001,66.099998,1899600,30.108254
2006-03-03,65.849998,67.0,65.709999,66.830002,2128000,30.440768
2006-03-06,66.360001,66.360001,64.900002,65.620003,2536000,29.889618
2006-03-07,65.620003,65.620003,62.91,63.950001,3761800,29.12894
2006-03-08,63.5,64.190002,61.59,63.799999,4583200,29.060615
2006-03-09,64.599998,64.989998,63.5,63.970001,2609600,29.13805
2006-03-10,63.849998,64.339996,62.73,63.349998,2930000,28.855642
2006-03-13,63.360001,64.5,62.77,64.190002,2193200,29.23826
2006-03-14,64.190002,65.410004,64.190002,65.059998,1900400,29.634538
2006-03-15,64.980003,65.160004,64.199997,64.5,2051800,29.379462
2006-03-16,64.559998,66.379997,64.260002,65.809998,1636000,29.97616
2006-03-17,65.809998,66.0,65.199997,65.370003,1156400,29.775744
2006-03-20,65.25,65.480003,64.120003,64.580002,2191800,29.415903
2006-03-21,64.580002,66.690002,64.550003,65.400002,3992600,29.789409
2006-03-22,65.400002,69.150002,65.389999,69.150002,5988000,31.497517
2006-03-23,70.0,72.470001,69.599998,72.300003,5201600,32.932329
2006-03-24,72.300003,72.529999,71.220001,71.5,2201000,32.567931
2006-03-27,70.900002,72.32,70.0,71.760002,1447800,32.686361
2006-03-28,72.120003,72.629997,71.209999,71.860001,1674200,32.73191
2006-03-29,71.699997,73.220001,71.410004,72.18,1914600,32.877668
2006-03-30,72.18,73.599998,71.940002,73.349998,1470400,33.410597
2006-03-31,74.699997,75.410004,73.120003,74.160004,4232000,33.779551
2006-04-03,75.099998,77.550003,75.010002,77.080002,5231000,35.109597
2006-04-04,77.0,78.779999,76.360001,78.5,3920600,35.7564
2006-04-05,78.5,79.82,78.029999,79.459999,2601200,36.193675
2006-04-06,79.900002,80.529999,78.419998,79.550003,2946400,36.234671
2006-04-07,79.550003,79.550003,77.370003,79.0,2100600,35.984147
2006-04-10,79.0,80.120003,78.489998,79.540001,2077400,36.230115
2006-04-11,79.650002,80.0,78.080002,78.400002,2204600,35.710851
2006-04-12,78.150002,78.830002,77.190002,78.050003,1620000,35.551428
2006-04-13,76.300003,78.599998,75.889999,78.400002,2819800,35.710851
2006-04-17,79.0,79.800003,78.660004,79.209999,1522800,36.079801
2006-04-18,80.0,81.900002,79.410004,81.5,3431800,37.122886
2006-04-19,81.25,84.870003,81.0,84.660004,3598200,38.562254
2006-04-20,84.660004,84.68,82.419998,83.309998,2769600,37.947332
2006-04-21,84.900002,87.279999,84.099998,85.010002,4589000,38.721677
2006-04-24,86.0,87.940002,85.690002,86.449997,5763800,39.377588
2006-04-25,88.25,88.580002,84.279999,85.849998,4187000,39.104291
2006-04-26,85.699997,86.75,85.5,85.870003,3328800,39.113403
2006-04-27,84.989998,85.339996,82.129997,83.110001,5228000,37.856234
2006-04-28,84.099998,85.440002,84.0,85.160004,3545800,38.790002
2006-05-01,86.0,87.279999,85.769997,86.989998,5030600,39.623556
2006-05-02,88.0,88.440002,86.730003,88.199997,2585800,40.174705
2006-05-03,88.300003,89.870003,87.040001,89.610001,3285200,40.816955
2006-05-04,89.400002,90.5,88.150002,89.139999,3929800,40.602872
2006-05-05,91.5,91.940002,90.389999,91.150002,3448800,41.583728
2006-05-08,91.160004,91.610001,90.040001,91.300003,2073400,41.652161
2006-05-09,91.349998,91.739998,90.849998,91.209999,3411200,41.6111
2006-05-10,91.209999,94.220001,90.790001,94.209999,3589800,42.979736
2006-05-11,95.0,98.18,95.0,96.269997,6771400,43.919532
2006-05-12,96.0,96.0,91.389999,91.949997,5254200,41.948696
2006-05-15,89.989998,89.989998,86.099998,88.779999,4690000,40.502505
2006-05-16,89.5,90.300003,86.93,88.980003,3544000,40.593749
2006-05-17,88.599998,89.900002,85.110001,85.75,4186800,39.120183
2006-05-18,86.0,87.419998,84.0,84.660004,3992600,38.622913
2006-05-19,83.050003,84.690002,80.0,83.110001,6106600,37.915783
2006-05-22,81.0,81.949997,76.760002,81.510002,7683200,37.185845
2006-05-23,83.900002,86.989998,83.599998,83.800003,4874200,38.230571
2006-05-24,83.0,85.940002,79.599998,82.540001,4486600,37.655743
2006-05-25,83.800003,85.629997,83.519997,85.470001,3042000,38.992444
2006-05-26,86.25,88.160004,85.870003,87.800003,2807400,40.055419
2006-05-30,89.5,89.849998,85.669998,85.879997,3112400,39.179489
2006-05-31,86.129997,88.25,86.099998,88.25,2917400,40.260713
2006-06-01,44.919998,44.919998,43.200001,43.77,2669000,39.936803
2006-06-02,44.5,45.669998,43.810001,45.299999,2617900,41.33281
2006-06-05,45.549999,45.700001,43.389999,43.740002,2797200,39.909431
2006-06-06,43.450001,43.450001,41.900002,42.619999,2906500,38.887514
2006-06-07,42.099998,42.389999,40.07,40.099998,3941300,36.588205
2006-06-08,39.25,40.0,37.009998,39.82,4290800,36.332727
2006-06-09,40.150002,40.5,38.689999,39.259998,1925600,35.821768
2006-06-12,39.220001,39.459999,36.849998,37.029999,3029700,33.787063
2006-06-13,37.029999,37.029999,35.119999,35.59,3920600,32.473173
2006-06-14,36.049999,36.650002,35.490002,36.5,2165200,33.303479
2006-06-15,37.34,39.5,37.32,39.130001,4057700,35.703156
2006-06-16,39.200001,39.200001,37.75,38.939999,2451600,35.529793
2006-06-19,39.0,39.0,36.549999,37.0,2099200,33.759691
2006-06-20,37.220001,37.619999,36.25,36.369999,2616600,33.184863
2006-06-21,36.599998,38.299999,36.560001,37.709999,1916000,34.407512
2006-06-22,38.400002,38.470001,37.57,38.310001,2087600,34.954968
2006-06-23,40.330002,43.169998,40.150002,42.810001,5875500,39.060876
2006-06-26,42.810001,44.720001,42.029999,44.509998,7107500,40.611995
2006-06-27,44.25,44.720001,43.919998,44.5,29128300,40.602872
2006-06-28,44.5,45.5,44.27,44.950001,4556500,41.013463
2006-06-29,45.16,46.110001,44.540001,46.049999,4362000,42.017129
2006-06-30,46.099998,47.189999,45.610001,46.720001,2957300,42.628454
2006-07-03,47.049999,47.34,46.68,47.099998,1208500,42.975173
2006-07-05,47.0,48.639999,46.119999,47.75,4872900,43.56825
2006-07-06,48.200001,48.900002,47.150002,47.560001,3632400,43.394891
2006-07-07,46.75,46.869999,44.900002,45.240002,5378500,41.278067
2006-07-10,45.240002,45.77,44.529999,44.830002,2286500,40.903974
2006-07-11,45.0,45.529999,44.099998,45.380001,2966400,41.405806
2006-07-12,45.5,46.119999,44.880001,45.5,2693700,41.515296
2006-07-13,45.75,45.75,43.5,43.599998,3282000,39.781689
2006-07-14,43.849998,44.389999,42.470001,43.57,2990400,39.754317
2006-07-17,42.990002,43.700001,41.509998,42.009998,3259100,38.330934
2006-07-18,42.5,43.049999,41.41,42.150002,3017300,38.458677
2006-07-19,41.73,43.59,41.73,43.040001,3088300,39.270734
2006-07-20,41.650002,41.900002,39.540001,39.900002,4740200,36.405722
2006-07-21,40.02,40.119999,37.57,37.91,3558300,34.589997
2006-07-24,37.950001,39.0,37.700001,38.889999,3391300,35.484172
2006-07-25,39.299999,40.650002,39.189999,40.310001,2235800,36.779816
2006-07-26,39.68,39.84,38.18,39.540001,3280400,36.077249
2006-07-27,39.040001,39.5,37.200001,37.259998,4247400,33.99692
2006-07-28,36.450001,38.669998,36.310001,38.240002,3250800,34.891099
2006-07-31,38.25,42.650002,38.25,41.16,4830100,37.555375
2006-08-01,41.5,42.200001,40.299999,41.119999,3256600,37.518878
2006-08-02,42.25,43.189999,41.740002,42.16,2816300,38.467799
2006-08-03,42.0,42.259998,41.060001,41.75,1984800,38.093706
2006-08-04,42.299999,42.52,39.93,40.049999,1911500,36.542584
2006-08-07,40.080002,40.639999,39.5,39.970001,1959900,36.469592
2006-08-08,39.900002,39.900002,38.209999,38.369999,1954300,35.071132
2006-08-09,39.099998,40.099998,38.389999,39.509998,2791400,36.113119
2006-08-10,39.0,39.259998,38.130001,38.82,1913400,35.482444
2006-08-11,38.82,39.099998,37.84,37.939999,2008700,34.678101
2006-08-14,37.939999,38.0,37.040001,37.240002,1531000,34.038286
2006-08-15,37.490002,37.889999,37.029999,37.470001,1773900,34.248511
2006-08-16,38.5,39.299999,38.25,39.099998,2525100,35.738369
2006-08-17,39.049999,39.5,37.889999,38.389999,1610600,35.089413
2006-08-18,38.57,39.259998,38.439999,39.259998,1151100,35.884613
2006-08-21,39.400002,39.790001,39.060001,39.360001,1037100,35.976018
2006-08-22,39.369999,39.450001,38.610001,38.91,1175800,35.564706
2006-08-23,38.900002,39.310001,38.099998,38.490002,1098600,35.180817
2006-08-24,38.5,38.790001,37.759998,38.290001,813200,34.998012
2006-08-25,38.43,39.689999,38.349998,38.959999,1076900,35.610407
2006-08-28,38.299999,38.75,37.950001,38.27,921000,34.979731
2006-08-29,38.279999,38.279999,36.75,37.240002,2113400,34.038286
2006-08-30,37.400002,37.5,36.169998,36.470001,2229400,33.334487
2006-08-31,36.470001,36.799999,36.049999,36.470001,1747100,33.334487
2006-09-01,36.349998,37.48,36.099998,37.07,1404700,33.8829
2006-09-05,36.860001,36.860001,36.080002,36.389999,2194200,33.261363
2006-09-06,36.0,36.080002,34.779999,35.07,2926200,32.054851
2006-09-07,34.5,34.799999,34.049999,34.279999,3634300,31.33277
2006-09-08,34.349998,34.630001,33.02,33.200001,2669800,30.345625
2006-09-11,32.369999,32.740002,31.35,31.809999,4442800,29.075129
2006-09-12,31.559999,32.509998,31.25,31.65,2551700,28.928886
