Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,27.0,27.07,25.5,25.969999,268900,20.038593
2006-01-04,26.1,27.1,26.1,27.1,185800,20.910508
2006-01-05,27.0,27.0,26.15,26.5,158800,20.447544
2006-01-06,25.700001,26.0,24.799999,25.18,529000,19.429025
2006-01-09,25.1,25.1,24.6,24.6,306800,18.981494
2006-01-10,23.4,24.25,23.379999,24.15,548700,18.634271
2006-01-11,24.1,24.15,23.709999,24.01,272300,18.526247
2006-01-12,23.959999,23.959999,23.200001,23.450001,454200,18.094148
2006-01-13,23.5,24.700001,23.5,24.459999,270500,18.873468
2006-01-17,23.6,24.1,23.4,23.610001,290400,18.217605
2006-01-18,22.9,23.5,22.6,22.85,324300,17.631184
2006-01-19,23.82,24.110001,23.120001,23.84,260600,18.395074
2006-01-20,24.0,24.200001,23.030001,23.32,497300,17.993838
2006-01-23,23.17,23.85,23.02,23.25,206000,17.939826
2006-01-24,23.58,23.620001,22.049999,22.389999,555800,17.276245
2006-01-25,22.290001,23.08,21.799999,22.200001,233500,17.129641
2006-01-26,23.040001,23.25,22.4,22.5,253000,17.361122
2006-01-27,22.51,23.950001,22.51,23.940001,329900,18.472234
2006-01-30,23.809999,24.200001,23.549999,24.16,301800,18.641987
2006-01-31,23.959999,24.15,23.809999,24.0,138700,18.51853
2006-02-01,24.0,24.15,23.75,23.75,265300,18.325629
2006-02-02,23.75,24.0,22.549999,22.549999,95600,17.399702
2006-02-03,22.32,22.6,22.0,22.01,169200,16.983036
2006-02-06,22.700001,22.700001,22.08,22.450001,78300,17.322543
2006-02-07,22.700001,22.700001,21.559999,21.639999,118500,16.697541
2006-02-08,21.5,21.709999,20.700001,20.940001,319300,16.157418
2006-02-09,21.25,21.620001,21.209999,21.6,374100,16.666678
2006-02-10,21.5,21.6,21.25,21.25,23000,16.396615
2006-02-13,21.32,21.32,20.700001,20.950001,44000,16.165134
2006-02-14,20.93,21.030001,20.4,20.9,255600,16.126553
2006-02-15,20.85,21.200001,20.74,21.0,175200,16.203714
2006-02-16,21.049999,21.25,20.950001,21.15,85800,16.319455
2006-02-17,21.0,22.0,21.0,21.83,145400,16.844147
2006-02-21,21.75,22.08,21.719999,22.02,87900,16.990752
2006-02-22,22.0,23.49,22.0,23.379999,136400,18.040134
2006-02-23,23.5,24.139999,23.4,23.6,144000,18.209888
2006-02-24,23.65,23.799999,23.290001,23.41,39000,18.063283
2006-02-27,23.219999,23.67,23.219999,23.67,65400,18.263901
2006-02-28,23.75,23.889999,23.049999,23.049999,42500,17.785505
2006-03-01,23.1,23.15,22.67,23.0,92600,17.746925
2006-03-02,23.0,23.02,22.35,22.35,180600,17.245382
2006-03-03,22.280001,22.299999,22.15,22.299999,192300,17.206801
2006-03-06,22.200001,22.4,22.200001,22.299999,173000,17.206801
2006-03-07,22.35,22.450001,22.02,22.299999,132000,17.206801
2006-03-08,22.35,22.42,22.049999,22.200001,183700,17.129641
2006-03-09,22.15,22.15,21.68,21.68,322300,16.728406
2006-03-10,21.799999,22.23,21.799999,22.15,275100,17.09106
2006-03-13,22.09,22.26,21.959999,22.15,186300,17.09106
2006-03-14,22.08,22.24,22.0,22.15,112300,17.09106
2006-03-15,22.08,22.08,21.76,21.799999,66000,16.820998
2006-03-16,21.709999,22.08,21.549999,21.799999,50400,16.820998
2006-03-17,21.85,22.030001,21.85,22.0,87600,16.97532
2006-03-20,22.0,22.700001,21.950001,22.629999,162700,17.46143
2006-03-21,22.75,23.790001,22.75,23.200001,184800,17.901247
2006-03-22,23.15,23.200001,22.6,22.610001,87800,17.445999
2006-03-23,22.6,22.65,22.26,22.299999,161800,17.206801
2006-03-24,22.35,22.4,22.120001,22.15,38700,17.09106
2006-03-27,22.1,22.209999,21.559999,21.799999,213400,16.820998
2006-03-28,21.85,21.85,20.309999,21.1,350900,16.280875
2006-03-29,21.25,21.75,21.25,21.52,113400,16.604949
2006-03-30,23.0,23.389999,21.780001,22.450001,630600,17.322543
2006-03-31,22.450001,23.120001,22.450001,22.85,124500,17.631184
2006-04-03,22.92,23.34,22.799999,23.129999,124200,17.847233
2006-04-04,23.1,23.24,22.969999,23.0,108300,17.746925
2006-04-05,23.0,23.0,22.75,22.809999,33900,17.600319
2006-04-06,22.9,22.91,22.559999,22.799999,96900,17.592603
2006-04-07,22.75,22.889999,22.42,22.65,72900,17.476863
2006-04-10,22.549999,22.6,22.15,22.35,89500,17.245382
2006-04-11,22.450001,22.450001,22.1,22.33,81200,17.229949
2006-04-12,22.549999,22.6,21.200001,21.200001,305800,16.358036
2006-04-13,21.23,22.1,21.209999,21.85,105700,16.859579
2006-04-17,21.9,22.110001,21.6,22.1,71600,17.05248
2006-04-18,22.08,22.33,21.9,22.120001,67900,17.067913
2006-04-19,22.139999,22.4,22.139999,22.280001,51300,17.19137
2006-04-20,22.200001,22.280001,21.950001,22.0,104300,16.97532
2006-04-21,21.950001,22.299999,21.950001,22.16,102800,17.098776
2006-04-24,22.200001,22.35,22.059999,22.200001,35900,17.129641
2006-04-25,22.299999,22.49,22.190001,22.280001,188600,17.19137
2006-04-26,22.450001,23.1,22.4,22.780001,216100,17.577172
2006-04-27,22.85,22.85,22.35,22.35,21300,17.245382
2006-04-28,22.620001,22.65,22.290001,22.35,40600,17.245382
2006-05-01,22.15,22.450001,22.15,22.33,206500,17.229949
2006-05-02,22.15,22.4,22.040001,22.299999,139300,17.206801
2006-05-03,22.27,22.32,22.02,22.299999,163200,17.206801
2006-05-04,22.35,22.379999,22.17,22.25,53200,17.168221
2006-05-05,22.299999,22.33,22.15,22.200001,52600,17.129641
2006-05-08,22.200001,22.4,22.16,22.280001,51000,17.19137
2006-05-09,22.209999,22.450001,22.1,22.15,76200,17.09106
2006-05-10,22.049999,22.15,22.040001,22.110001,17200,17.060197
2006-05-11,22.200001,22.280001,21.08,21.360001,56300,16.481492
2006-05-12,21.549999,21.629999,21.200001,21.35,60900,16.473776
2006-05-15,21.35,21.549999,21.15,21.15,40600,16.319455
2006-05-16,21.15,21.360001,20.950001,21.35,69000,16.473776
2006-05-17,22.67,23.5,21.4,21.66,503700,16.712974
2006-05-18,22.25,23.35,22.25,22.879999,730600,17.654332
2006-05-19,23.0,23.34,22.73,22.92,110000,17.685197
2006-05-22,23.15,23.200001,22.370001,22.450001,407500,17.322543
2006-05-23,22.799999,24.040001,22.799999,23.02,306300,17.762357
2006-05-24,23.07,23.799999,22.75,23.0,412700,17.746925
2006-05-25,23.25,23.719999,23.18,23.530001,279400,18.155876
2006-05-26,23.49,23.85,23.4,23.65,51900,18.39702
2006-05-30,23.799999,24.0,22.99,23.58,209200,18.342568
2006-05-31,23.65,23.91,23.58,23.799999,48900,18.513703
2006-06-01,23.799999,24.25,23.75,24.25,92000,18.863752
2006-06-02,24.1,24.18,23.799999,23.9,80800,18.591492
2006-06-05,24.15,24.209999,23.9,24.09,81900,18.73929
