Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,59.25,60.189999,58.540001,60.040001,473200,28.857549
2006-01-04,59.939999,60.360001,59.599998,60.259998,539600,28.963288
2006-01-05,60.5,60.799999,59.91,60.150002,358800,28.910419
2006-01-06,60.400002,60.77,60.119999,60.709999,266400,29.179576
2006-01-09,60.68,63.0,60.68,62.810001,398000,30.188918
2006-01-10,62.0,63.299999,61.939999,62.200001,396600,29.895728
2006-01-11,62.279999,62.389999,61.240002,61.400002,328200,29.511218
2006-01-12,61.150002,61.779999,60.959999,61.080002,119000,29.357413
2006-01-13,60.970001,61.810001,60.970001,61.810001,173600,29.708279
2006-01-17,61.310001,61.310001,59.130001,60.34,538800,29.00174
2006-01-18,59.950001,60.650002,59.419998,59.529999,514800,28.612422
2006-01-19,59.5,59.639999,59.040001,59.549999,304600,28.622035
2006-01-20,60.549999,63.049999,59.84,62.240002,845600,29.914954
2006-01-23,63.240002,68.519997,63.200001,67.699997,2007800,32.539239
2006-01-24,66.5,67.5,66.050003,66.209999,1471400,31.823089
2006-01-25,67.0,67.089996,64.800003,66.620003,984000,32.020152
2006-01-26,67.199997,69.669998,67.199997,69.559998,1213000,33.433228
2006-01-27,69.559998,69.559998,67.739998,68.0,513200,32.683432
2006-01-30,68.129997,68.230003,67.489998,68.059998,591600,32.71227
2006-01-31,68.199997,69.040001,67.18,67.989998,876800,32.678625
2006-02-01,67.989998,68.410004,65.080002,66.519997,1204600,31.972086
2006-02-02,66.019997,66.720001,64.699997,66.199997,815600,31.818281
2006-02-03,66.190002,66.550003,65.75,66.099998,417200,31.770218
2006-02-06,65.849998,66.550003,65.480003,66.199997,601200,31.818281
2006-02-07,65.699997,66.599998,65.220001,65.260002,836600,31.366483
2006-02-08,64.82,65.870003,64.480003,65.800003,406600,31.626029
2006-02-09,65.699997,67.209999,65.68,66.209999,493200,31.823089
2006-02-10,66.110001,66.110001,64.629997,65.150002,599800,31.313613
2006-02-13,65.010002,65.160004,64.410004,64.889999,289000,31.188646
2006-02-14,64.949997,68.720001,64.949997,68.25,970200,32.803592
2006-02-15,67.5,69.050003,67.480003,69.019997,376200,33.173682
2006-02-16,69.269997,69.57,67.599998,68.629997,333000,32.986234
2006-02-17,68.529999,68.529999,67.400002,67.800003,262000,32.587306
2006-02-21,68.010002,68.129997,66.400002,66.400002,341200,31.914411
2006-02-22,64.5,66.300003,62.25,63.650002,1524400,30.592655
2006-02-23,63.68,64.440002,62.139999,62.400002,974600,29.991856
2006-02-24,62.150002,63.25,62.009998,62.919998,460800,30.241787
2006-02-27,62.849998,63.84,62.790001,63.700001,395000,30.616686
2006-02-28,63.450001,64.0,63.259998,63.990002,376200,30.756072
2006-03-01,65.989998,66.239998,64.910004,66.150002,520600,31.794252
2006-03-02,66.25,66.760002,65.769997,66.010002,343400,31.726962
2006-03-03,66.019997,66.699997,65.400002,65.919998,340400,31.683703
2006-03-06,63.970001,66.099998,63.970001,65.720001,374600,31.587577
2006-03-07,65.400002,65.970001,65.160004,65.5,371400,31.481836
2006-03-08,64.900002,65.82,64.900002,65.550003,288000,31.505869
2006-03-09,65.349998,66.349998,65.309998,66.099998,267000,31.770218
2006-03-10,65.75,67.800003,65.699997,66.949997,428600,32.17876
2006-03-13,66.699997,67.580002,66.629997,67.099998,268000,32.250857
2006-03-14,66.849998,68.029999,66.830002,68.0,216200,32.683432
2006-03-15,67.75,69.400002,67.550003,69.040001,398800,33.183297
2006-03-16,69.0,70.480003,68.889999,70.220001,447600,33.750451
2006-03-17,70.220001,70.220001,68.75,68.82,520000,33.077556
2006-03-20,68.75,69.800003,68.580002,69.489998,154000,33.399583
2006-03-21,69.290001,70.349998,68.010002,68.089996,300200,32.726688
2006-03-22,67.910004,69.0,67.699997,68.610001,236600,32.976622
2006-03-23,68.510002,69.279999,68.190002,68.400002,164000,32.875689
2006-03-24,68.360001,68.809998,67.699997,67.839996,267000,32.606529
2006-03-27,68.5,69.5,68.400002,69.349998,445200,33.332294
2006-03-28,69.099998,70.120003,69.080002,69.959999,453000,33.625484
2006-03-29,68.300003,68.919998,67.599998,67.959999,601400,32.664206
2006-03-30,67.949997,68.389999,67.379997,67.400002,246200,32.39505
2006-03-31,67.650002,67.809998,66.510002,67.489998,435800,32.438306
2006-04-03,67.489998,68.260002,67.199997,67.849998,426400,32.611336
2006-04-04,67.849998,68.0,67.019997,67.43,315600,32.409469
2006-04-05,67.330002,67.589996,66.839996,66.970001,175200,32.188375
2006-04-06,66.720001,67.300003,66.720001,67.279999,248200,32.337372
2006-04-07,67.529999,68.300003,65.910004,66.239998,297200,31.837507
2006-04-10,66.25,66.839996,65.760002,66.190002,488000,31.813478
