Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,71.300003,72.150002,69.949997,72.010002,492600,29.577493
2006-01-04,71.800003,73.43,71.529999,72.940002,395000,29.959482
2006-01-05,72.449997,73.199997,72.089996,73.0,1127800,29.984126
2006-01-06,73.599998,75.029999,73.449997,73.949997,444800,30.374329
2006-01-09,73.949997,75.82,73.800003,75.720001,479200,31.101343
2006-01-10,74.900002,76.300003,74.0,76.0,474600,31.21635
2006-01-11,76.279999,76.739998,75.629997,75.970001,389000,31.204028
2006-01-12,75.900002,76.57,75.040001,75.309998,324400,30.932937
2006-01-13,75.150002,76.529999,75.150002,76.139999,241600,31.273854
2006-01-17,76.099998,77.139999,76.099998,76.269997,521800,31.327249
2006-01-18,75.940002,76.279999,73.559998,73.919998,933000,30.362007
2006-01-19,74.300003,75.940002,74.300003,75.68,548000,31.084913
2006-01-20,76.349998,77.0,74.339996,75.050003,683600,30.826147
2006-01-23,75.93,77.480003,75.400002,77.220001,852400,31.717455
2006-01-24,77.599998,81.360001,77.57,81.25,1051400,33.372743
2006-01-25,81.900002,82.940002,80.900002,81.910004,1211400,33.643834
2006-01-26,82.349998,83.169998,81.68,82.580002,805200,33.91903
2006-01-27,83.650002,86.220001,83.440002,85.040001,601600,34.929453
2006-01-30,85.290001,87.050003,84.779999,85.349998,472200,35.056782
2006-01-31,84.440002,91.449997,84.400002,90.559998,2080600,37.196745
2006-02-01,90.470001,90.5,89.099998,89.5,962200,36.76136
2006-02-02,89.75,91.330002,86.790001,88.139999,849000,36.202751
2006-02-03,87.400002,89.980003,87.32,87.830002,617200,36.136921
2006-02-06,85.150002,86.839996,84.639999,86.5,1490200,35.589703
2006-02-07,86.25,86.25,82.099998,82.870003,951200,34.096171
2006-02-08,82.889999,84.190002,80.360001,83.440002,730600,34.330693
2006-02-09,83.769997,84.769997,80.449997,81.010002,810400,33.330889
2006-02-10,80.769997,82.190002,78.900002,81.029999,692000,33.339117
2006-02-13,80.629997,80.68,77.529999,77.68,783600,31.960788
2006-02-14,78.029999,81.279999,77.970001,80.360001,808800,33.063452
2006-02-15,80.199997,81.75,78.5,79.949997,861400,32.894759
2006-02-16,79.980003,80.760002,79.18,80.410004,598800,33.084025
2006-02-17,80.510002,80.860001,79.510002,80.120003,411400,32.964706
2006-02-21,80.050003,81.650002,79.839996,81.089996,558800,33.363802
2006-02-22,81.099998,83.510002,79.889999,83.459999,630000,34.33892
2006-02-23,84.150002,84.410004,82.220001,84.18,843800,34.635159
2006-02-24,84.18,86.480003,83.32,86.400002,740000,35.54856
2006-02-27,86.489998,87.25,84.830002,85.059998,603000,34.997226
2006-02-28,84.949997,85.18,82.800003,83.589996,528000,34.392406
2006-03-01,83.839996,86.510002,83.839996,85.75,403000,35.281122
2006-03-02,85.599998,87.389999,84.099998,87.279999,536200,35.910627
2006-03-03,88.040001,89.419998,86.849998,88.160004,795000,36.272698
2006-03-06,86.209999,89.25,85.349998,87.019997,665400,35.803651
2006-03-07,86.199997,86.199997,84.230003,85.410004,899400,35.141233
2006-03-08,84.309998,85.239998,82.699997,84.349998,951600,34.705103
2006-03-09,85.099998,85.800003,82.790001,83.940002,621000,34.536413
2006-03-10,85.0,87.330002,83.800003,87.050003,563400,35.815997
2006-03-13,87.150002,88.099998,85.82,87.400002,559200,35.960001
2006-03-14,87.650002,90.800003,86.800003,90.300003,717200,37.153183
2006-03-15,90.199997,91.949997,89.43,91.809998,535200,37.774457
2006-03-16,91.349998,93.199997,90.650002,91.019997,615000,37.449418
2006-03-17,91.480003,93.699997,90.699997,92.139999,860800,37.910234
2006-03-20,92.0,92.5,90.349998,91.190002,590800,37.519365
2006-03-21,91.300003,91.900002,88.800003,88.989998,388200,36.614192
2006-03-22,88.980003,91.970001,88.980003,91.379997,316400,37.597537
2006-03-23,91.599998,93.0,90.5,92.989998,418000,38.259959
2006-03-24,92.739998,94.440002,91.82,93.660004,391600,38.535627
2006-03-27,93.760002,95.300003,93.190002,95.139999,308000,39.144559
2006-03-28,94.900002,96.480003,92.800003,93.260002,448600,38.37105
2006-03-29,94.260002,98.120003,94.260002,97.82,492400,40.247222
2006-03-30,98.059998,99.360001,96.260002,97.589996,519200,40.15259
2006-03-31,97.400002,97.449997,93.709999,94.519997,664600,38.889464
2006-04-03,95.519997,98.75,95.519997,96.019997,704800,39.506626
2006-04-04,96.75,98.970001,96.489998,98.0,587600,40.321282
2006-04-05,98.599998,103.260002,98.540001,103.050003,969400,42.399064
2006-04-06,104.0,106.550003,103.559998,106.489998,1362000,43.814421
2006-04-07,105.5,106.150002,102.699997,103.949997,873600,42.769359
2006-04-10,104.900002,105.0,102.150002,102.779999,600600,42.287973
2006-04-11,104.0,104.550003,100.5,101.199997,636600,41.637894
2006-04-12,99.989998,103.709999,99.989998,103.489998,495200,42.580096
2006-04-13,102.0,104.400002,101.650002,103.580002,398000,42.617127
2006-04-17,105.0,108.709999,105.0,108.599998,913200,44.682563
2006-04-18,109.349998,111.25,109.349998,111.099998,581600,45.711167
2006-04-19,110.989998,113.129997,109.959999,112.150002,892200,46.143182
2006-04-20,111.699997,112.0,107.089996,108.470001,784200,44.629077
2006-04-21,107.489998,112.589996,107.489998,111.019997,714600,45.678251
2006-04-24,119.209999,125.639999,118.75,123.550003,3096200,50.833618
2006-04-25,123.699997,130.5,123.699997,126.25,2457200,51.944509
2006-04-26,127.800003,128.910004,126.510002,127.209999,1063600,52.339492
2006-04-27,122.5,125.199997,117.029999,117.529999,1862200,48.356737
2006-04-28,117.529999,120.269997,116.519997,118.949997,1700600,48.940983
2006-05-01,122.0,126.959999,121.93,125.230003,1329000,51.52484
2006-05-02,126.599998,128.830002,124.5,128.240005,843200,52.76328
2006-05-03,127.75,127.75,124.07,126.949997,893800,52.232517
2006-05-04,128.009995,134.110001,127.400002,133.820007,1624000,55.059125
2006-05-05,134.669998,136.600006,133.630005,135.710007,1192400,55.899411
2006-05-08,136.0,138.0,135.339996,135.830002,957000,55.948837
2006-05-09,137.25,139.830002,136.5,138.5,863800,57.048618
2006-05-10,138.899994,140.149994,136.970001,139.75,858400,57.563498
2006-05-11,140.399994,142.110001,134.740005,135.199997,1229000,55.689336
2006-05-12,134.330002,134.479996,125.769997,126.150002,1808000,51.961612
2006-05-15,124.0,124.059998,116.230003,120.160004,2226200,49.494312
2006-05-16,120.75,124.779999,116.269997,120.25,1877800,49.531382
2006-05-17,120.449997,122.300003,111.370003,113.099998,1992400,46.586272
2006-05-18,115.339996,117.269997,111.059998,112.07,1532000,46.162012
2006-05-19,110.5,115.57,106.699997,115.25,2703400,47.471865
2006-05-22,106.839996,111.449997,105.0,109.110001,3043600,44.942778
2006-05-23,115.449997,115.519997,110.5,110.940002,1667200,45.696562
2006-05-24,109.940002,118.0,105.620003,110.300003,2021600,45.432944
2006-05-25,112.0,116.580002,111.220001,116.580002,1434000,48.019697
2006-05-26,117.25,119.639999,114.010002,118.800003,1059800,48.934123
2006-05-30,117.349998,117.730003,111.440002,112.139999,1058200,46.190845
2006-05-31,113.599998,115.040001,109.650002,111.800003,1940600,46.050799
2006-06-01,111.0,118.019997,109.900002,117.82,1635800,48.530456
2006-06-02,119.440002,121.510002,117.089996,121.400002,1562200,50.005071
2006-06-05,121.150002,121.900002,113.519997,113.919998,1545600,46.924032
2006-06-06,113.919998,114.660004,107.510002,111.209999,2058600,45.807775
2006-06-07,111.349998,113.279999,105.699997,106.029999,1727600,43.674115
2006-06-08,103.589996,106.5,98.57,106.199997,2537000,43.744138
2006-06-09,107.25,109.139999,102.230003,103.349998,1423400,42.570214
2006-06-12,104.349998,104.769997,97.779999,97.970001,1477200,40.354175
2006-06-13,97.0,100.360001,93.720001,95.18,2422800,39.204964
2006-06-14,96.18,100.0,95.260002,99.370003,2470400,40.93084
2006-06-15,100.57,104.900002,97.980003,103.75,3090000,42.734976
2006-06-16,103.5,103.5,100.0,102.550003,2259200,42.240693
2006-06-19,103.5,104.120003,99.349998,100.470001,1959400,41.383933
2006-06-20,101.470001,104.470001,99.75,100.75,2289600,41.499266
2006-06-21,101.0,105.93,101.0,104.699997,1502200,43.126283
2006-06-22,103.800003,104.360001,100.699997,103.040001,1617200,42.442525
2006-06-23,102.349998,105.330002,101.440002,104.790001,1605400,43.163356
2006-06-26,106.580002,107.349998,104.110001,105.389999,1022400,43.410497
2006-06-27,105.0,106.720001,102.879997,103.269997,949800,42.537261
2006-06-28,104.050003,105.470001,102.949997,105.470001,972600,43.44345
2006-06-29,105.800003,111.309998,105.440002,111.309998,1182400,45.848964
2006-06-30,112.209999,115.5,109.57,115.5,3717000,47.574841
2006-07-03,115.5,119.400002,115.440002,119.370003,1428000,49.168908
2006-07-05,119.0,119.699997,115.550003,118.160004,2146200,48.670505
2006-07-06,119.160004,121.559998,117.889999,120.150002,1624600,49.490192
2006-07-07,119.900002,122.559998,117.989998,118.730003,2047200,48.90529
2006-07-10,119.599998,121.209999,118.360001,119.949997,1296800,49.407809
2006-07-11,119.550003,120.209999,116.089996,119.660004,1749800,49.28836
2006-07-12,119.809998,122.440002,117.75,119.300003,1379200,49.140075
2006-07-13,117.25,117.610001,109.480003,109.669998,2418000,45.173443
2006-07-14,109.300003,109.75,104.300003,107.519997,2755800,44.28785
2006-07-17,105.419998,106.169998,102.989998,103.550003,1663800,42.652596
2006-07-18,104.349998,105.709999,102.239998,104.760002,1342400,43.150999
2006-07-19,105.0,110.699997,104.940002,110.419998,1626000,45.482371
2006-07-20,111.75,113.699997,104.080002,104.489998,1794800,43.039783
2006-07-21,104.75,105.43,101.290001,102.75,1531400,42.323072
2006-07-24,104.449997,105.230003,101.019997,104.489998,1308200,43.039783
2006-07-25,105.970001,108.300003,102.919998,107.870003,1608600,44.432019
2006-07-26,99.529999,100.989998,90.510002,90.669998,7285200,37.347279
2006-07-27,90.419998,92.849998,90.110001,90.900002,2460800,37.442018
2006-07-28,91.150002,94.589996,91.089996,93.480003,1672600,38.504729
2006-07-31,95.949997,98.75,94.610001,98.400002,2365400,40.531293
2006-08-01,99.5,99.5,94.220001,97.0,1717800,39.954628
2006-08-02,98.0,101.690002,97.949997,99.769997,1847200,41.095599
2006-08-03,98.059998,101.419998,96.940002,100.790001,1575200,41.515742
2006-08-04,102.25,103.480003,96.839996,97.900002,1757600,40.325342
2006-08-07,97.0,99.57,96.150002,97.699997,1479400,40.242959
2006-08-08,97.800003,98.910004,95.669998,96.529999,1307600,39.761033
2006-08-09,98.0,99.790001,95.610001,96.669998,1359600,39.818699
2006-08-10,96.0,96.110001,93.650002,94.900002,1640200,39.089632
2006-08-11,95.300003,95.639999,92.919998,93.449997,1167200,38.49237
2006-08-14,94.150002,94.550003,91.580002,91.800003,1259400,37.812732
2006-08-15,92.300003,94.959999,90.879997,93.550003,1981800,38.533563
2006-08-16,94.0,98.959999,93.800003,98.760002,1604000,40.679579
2006-08-17,98.559998,98.730003,95.589996,96.830002,1157800,39.884605
2006-08-18,96.980003,98.989998,96.75,98.849998,763800,40.716649
2006-08-21,98.599998,99.800003,96.830002,97.220001,758600,40.045247
2006-08-22,97.0,97.5,95.5,96.339996,688400,39.68277
2006-08-23,96.75,97.5,93.449997,94.150002,735000,38.780704
2006-08-24,95.199997,95.480003,92.620003,93.82,817200,38.644775
2006-08-25,93.849998,95.690002,93.75,94.739998,597800,39.023725
2006-08-28,94.400002,95.360001,93.099998,94.470001,661800,38.912513
2006-08-29,95.470001,97.269997,93.550003,97.199997,1262200,40.037007
2006-08-30,98.599998,98.599998,96.349998,96.949997,1045000,39.934032
2006-08-31,96.489998,97.470001,95.010002,95.839996,635600,39.568647
2006-09-01,95.790001,100.599998,95.769997,99.779999,1006800,41.195323
2006-09-05,101.099998,103.739998,98.779999,103.519997,1567600,42.739424
2006-09-06,102.529999,102.790001,99.849998,99.849998,1032600,41.224223
2006-09-07,99.720001,100.739998,97.879997,99.709999,923000,41.166422
2006-09-08,99.959999,101.099998,98.849998,99.239998,992800,40.972377
2006-09-11,98.5,98.5,93.800003,94.089996,1637800,38.846139
2006-09-12,95.089996,97.169998,94.25,95.5,1370600,39.428276
2006-09-13,96.199997,99.0,95.379997,98.160004,1068200,40.526489
2006-09-14,97.0,100.150002,97.0,98.220001,1866800,40.55126
2006-09-15,98.099998,100.110001,97.739998,99.68,1485600,41.154037
2006-09-18,100.5,103.730003,98.260002,103.519997,2177800,42.739424
2006-09-19,102.5,104.639999,101.889999,103.519997,2039600,42.739424
2006-09-20,104.010002,106.360001,103.860001,105.650002,1753200,43.618821
2006-09-21,107.540001,108.470001,105.120003,106.110001,1812200,43.808737
2006-09-22,105.68,106.400002,103.199997,104.260002,1310800,43.044944
2006-09-25,103.5,105.309998,100.800003,105.089996,1359600,43.387616
2006-09-26,105.260002,111.57,105.260002,111.260002,1815400,45.934974
2006-09-27,110.900002,112.0,108.519997,109.290001,1419200,45.121637
2006-09-28,108.790001,109.519997,106.779999,107.449997,1242400,44.36197
2006-09-29,109.139999,109.139999,106.0,107.510002,1126600,44.386744
2006-10-02,107.309998,107.43,104.449997,105.279999,1304600,43.466061
2006-10-03,103.5,104.459999,101.559998,101.860001,1171600,42.054075
2006-10-04,102.43,104.760002,101.550003,103.550003,1313600,42.751812
2006-10-05,104.550003,108.300003,104.5,107.849998,1350400,44.527115
2006-10-06,107.0,107.910004,105.839996,107.080002,781000,44.209213
2006-10-09,107.080002,110.459999,107.080002,107.620003,1297600,44.432159
2006-10-10,107.370003,109.57,106.620003,109.309998,1785600,45.129892
2006-10-11,108.449997,110.650002,107.43,108.68,1563000,44.869791
2006-10-12,109.0,112.379997,109.0,112.110001,1298800,46.285906
2006-10-13,111.860001,114.050003,111.18,111.449997,1148800,46.013416
2006-10-16,112.75,115.0,112.620003,113.800003,1109200,46.983643
2006-10-17,111.949997,114.0,111.620003,113.589996,787600,46.896939
2006-10-18,113.75,114.529999,109.230003,109.580002,1086600,45.241367
2006-10-19,108.849998,112.190002,108.0,111.269997,1348400,45.939101
2006-10-20,110.779999,111.019997,109.709999,110.290001,526200,45.534498
2006-10-23,109.699997,112.330002,109.639999,110.620003,565600,45.670743
2006-10-24,110.150002,115.639999,110.150002,115.190002,981000,47.55752
2006-10-25,115.190002,119.120003,113.68,119.089996,1569200,49.167678
2006-10-26,107.610001,107.959999,101.870003,105.5,5004600,43.556891
2006-10-27,104.400002,105.879997,101.190002,104.300003,2271000,43.153491
2006-10-30,108.25,109.07,106.199997,107.739998,2947400,44.576768
2006-10-31,107.349998,108.709999,106.040001,106.989998,1476600,44.26646
2006-11-01,106.050003,107.099998,103.489998,103.730003,1147000,42.917658
2006-11-02,103.0,103.900002,102.019997,103.18,1307200,42.690097
2006-11-03,101.5,104.230003,101.489998,102.860001,815200,42.557699
2006-11-06,103.279999,105.519997,102.360001,104.5,1262800,43.236239
2006-11-07,104.0,105.32,102.800003,104.150002,998400,43.091429
2006-11-08,103.360001,105.489998,102.410004,103.93,1276000,43.000405
2006-11-09,104.169998,105.5,102.709999,102.959999,1772000,42.599073
2006-11-10,101.230003,102.669998,98.879997,100.050003,1791600,41.39508
2006-11-13,98.330002,100.940002,97.669998,100.769997,1535800,41.692973
2006-11-14,99.769997,100.550003,98.790001,100.209999,707200,41.461277
2006-11-15,99.5,101.68,98.889999,100.339996,926200,41.515063
2006-11-16,99.709999,100.669998,97.910004,97.910004,982800,40.509668
2006-11-17,97.699997,101.300003,97.699997,99.650002,1337800,41.229582
2006-11-20,101.589996,104.5,101.339996,102.489998,1988200,42.404613
2006-11-21,103.5,104.980003,103.290001,104.400002,899000,43.194865
2006-11-22,104.25,105.160004,102.889999,104.900002,592400,43.401737
2006-11-24,104.400002,105.089996,103.949997,104.900002,104200,43.401737
2006-11-27,104.650002,105.400002,102.290001,102.620003,1055600,42.458402
2006-11-28,102.400002,102.839996,100.790001,102.779999,949800,42.524599
2006-11-29,103.099998,106.720001,103.099998,106.160004,1107800,43.923055
2006-11-30,105.800003,107.739998,105.68,106.809998,1188800,44.191986
2006-12-01,107.040001,108.129997,105.760002,107.510002,1341800,44.481609
2006-12-04,107.360001,111.470001,107.360001,110.510002,1552600,45.722841
2006-12-05,110.510002,111.230003,108.300003,110.059998,901400,45.536654
2006-12-06,109.489998,112.019997,108.940002,110.57,570200,45.747664
2006-12-07,110.32,113.5,110.059998,113.150002,1175200,46.815124
2006-12-08,113.0,113.309998,110.970001,111.839996,744600,46.273118
2006-12-11,111.599998,112.699997,111.029999,111.300003,551800,46.049699
2006-12-12,108.449997,108.730003,105.169998,105.800003,1575400,43.774107
2006-12-13,106.099998,109.230003,106.040001,108.68,1128000,44.965689
2006-12-14,109.25,110.0,107.839996,108.709999,802200,44.9781
2006-12-15,108.690002,109.949997,107.93,109.639999,662400,45.362882
2006-12-18,109.959999,109.959999,107.0,107.209999,845600,44.357485
2006-12-19,106.0,107.139999,104.699997,106.260002,1175200,43.964429
2006-12-20,107.5,107.620003,103.93,104.0,1015200,43.029367
2006-12-21,104.0,104.099998,101.389999,101.690002,1104200,42.07362
2006-12-22,101.849998,101.889999,100.529999,101.0,934200,41.788135
2006-12-26,101.220001,101.989998,100.150002,100.449997,762600,41.560575
2006-12-27,100.900002,102.610001,100.900002,102.279999,1049600,42.317727
2006-12-28,102.260002,103.470001,101.419998,103.300003,754600,42.739747
2006-12-29,102.690002,103.360001,102.0,102.519997,650400,42.417025
2007-01-03,102.0,102.559998,99.269997,100.290001,999000,41.494377
2007-01-04,99.690002,100.239998,97.75,99.059998,760400,40.985471
2007-01-05,98.0,99.5,96.519997,97.290001,1411200,40.253146
2007-01-08,97.849998,99.339996,96.379997,98.860001,1185000,40.902724
2007-01-09,99.040001,99.050003,96.459999,97.5,1278600,40.340032
2007-01-10,97.400002,100.510002,97.32,100.120003,708800,41.424042
2007-01-11,100.199997,103.0,98.620003,102.449997,962000,42.388063
2007-01-12,102.900002,105.209999,102.75,104.410004,781400,43.199003
2007-01-16,105.400002,105.68,103.910004,104.650002,811000,43.298301
2007-01-17,104.589996,106.610001,104.589996,105.860001,561400,43.798931
2007-01-18,106.599998,107.669998,103.879997,104.330002,1004400,43.165903
2007-01-19,104.68,107.239998,104.260002,106.309998,901200,43.985114
2007-01-22,107.470001,107.790001,105.07,105.699997,770400,43.73273
2007-01-23,104.5,108.160004,104.5,108.0,963000,44.684343
2007-01-24,107.300003,108.410004,107.029999,108.029999,1265600,44.696754
2007-01-25,108.75,110.660004,107.32,107.93,1425800,44.655381
2007-01-26,107.0,114.5,106.0,112.489998,2856200,46.542052
2007-01-29,113.150002,115.5,112.900002,113.669998,2912000,47.03027
2007-01-30,113.68,116.669998,113.68,115.660004,1945200,47.853623
2007-01-31,115.75,117.720001,115.050003,117.099998,1931400,48.449412
2007-02-01,117.510002,119.489998,116.970001,119.419998,1853200,49.409297
2007-02-02,117.949997,118.410004,117.010002,117.5,1137600,48.706681
2007-02-05,117.800003,118.269997,116.25,117.400002,1278200,48.665229
2007-02-06,117.699997,119.18,117.18,118.93,910200,49.299452
2007-02-07,119.0,120.519997,116.900002,117.459999,643800,48.690099
2007-02-08,117.489998,118.510002,116.099998,118.290001,600200,49.034156
2007-02-09,118.099998,118.099998,114.849998,115.889999,855600,48.039295
2007-02-12,115.849998,117.800003,115.0,116.290001,603000,48.205106
2007-02-13,117.75,119.449997,117.099998,118.949997,565400,49.307741
2007-02-14,119.400002,121.080002,117.800003,119.440002,806800,49.51086
2007-02-15,119.300003,121.230003,118.879997,120.07,534800,49.77201
2007-02-16,119.849998,120.949997,119.230003,120.57,497400,49.979272
2007-02-20,120.0,122.510002,119.040001,122.300003,1001600,50.696402
2007-02-21,121.980003,125.559998,121.5,125.160004,1132800,51.881943
2007-02-22,125.199997,125.650002,122.290001,123.269997,542600,51.098488
2007-02-23,123.5,124.550003,121.940002,123.269997,645400,51.098488
2007-02-26,123.75,124.639999,122.459999,122.830002,814600,50.916099
2007-02-27,118.0,118.879997,113.279999,115.419998,1672400,47.844468
