Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,6.65,7.0,6.65,6.92,527600,6.92
2006-01-04,6.96,7.12,6.92,7.07,518200,7.07
2006-01-05,7.11,7.25,7.06,7.23,378300,7.23
2006-01-06,7.24,7.32,7.17,7.25,636500,7.25
2006-01-09,7.31,7.58,7.28,7.55,1058000,7.55
2006-01-10,7.6,7.65,7.47,7.59,536400,7.59
2006-01-11,7.6,7.85,7.5,7.84,861600,7.84
2006-01-12,7.89,8.76,7.83,8.21,3299200,8.21
2006-01-13,8.16,8.34,7.83,7.98,1084000,7.98
2006-01-17,7.98,8.18,7.93,7.98,755600,7.98
2006-01-18,7.83,8.35,7.78,8.32,1167100,8.32
2006-01-19,8.4,8.45,8.29,8.34,924200,8.34
2006-01-20,8.4,8.4,8.03,8.11,1297800,8.11
2006-01-23,8.09,8.2,7.94,7.99,663400,7.99
2006-01-24,7.95,8.29,7.95,8.13,837000,8.13
2006-01-25,8.15,8.19,7.91,8.05,1215100,8.05
2006-01-26,7.7,8.3,7.53,8.28,1862400,8.28
2006-01-27,8.25,8.5,8.23,8.26,1083900,8.26
2006-01-30,8.27,8.39,8.15,8.15,1027300,8.15
2006-01-31,8.11,8.52,8.1,8.47,1062300,8.47
2006-02-01,8.4,8.5,8.22,8.49,736400,8.49
2006-02-02,8.43,8.5,8.28,8.33,1065400,8.33
2006-02-03,8.29,8.5,8.18,8.31,558600,8.31
2006-02-06,8.27,8.38,8.12,8.28,624400,8.28
2006-02-07,8.26,8.34,8.05,8.08,634900,8.08
2006-02-08,8.08,8.48,7.99,8.29,560500,8.29
2006-02-09,8.27,8.75,8.24,8.43,1664600,8.43
2006-02-10,8.4,8.42,8.05,8.22,880400,8.22
2006-02-13,8.14,8.28,7.93,8.03,651800,8.03
2006-02-14,8.09,8.25,8.04,8.14,545800,8.14
2006-02-15,8.18,8.3,7.9,8.25,735400,8.25
2006-02-16,8.3,8.41,8.17,8.37,514700,8.37
2006-02-17,8.3,8.49,8.28,8.39,752900,8.39
2006-02-21,8.39,8.4,7.85,7.99,827800,7.99
2006-02-22,7.99,8.07,7.86,8.04,552400,8.04
2006-02-23,7.97,7.99,7.77,7.8,430000,7.8
2006-02-24,7.77,7.82,7.58,7.73,513200,7.73
2006-02-27,7.71,7.85,7.63,7.79,806700,7.79
2006-02-28,7.79,7.8,7.56,7.59,734000,7.59
2006-03-01,7.65,8.15,7.62,8.06,644100,8.06
2006-03-02,8.01,8.36,7.91,8.26,990700,8.26
2006-03-03,8.22,8.36,8.13,8.26,802100,8.26
2006-03-06,8.24,8.32,7.84,7.88,657100,7.88
2006-03-07,7.84,7.9,7.52,7.62,415400,7.62
2006-03-08,7.54,8.01,7.32,7.74,932000,7.74
2006-03-09,7.79,8.0,7.64,7.71,504300,7.71
2006-03-10,7.69,7.91,7.53,7.66,459300,7.66
2006-03-13,7.68,7.9,7.66,7.7,729700,7.7
2006-03-14,7.65,8.0,7.65,7.93,536400,7.93
2006-03-15,7.97,7.99,7.79,7.85,310500,7.85
2006-03-16,7.92,8.06,7.75,7.9,677400,7.9
2006-03-17,7.95,7.97,7.78,7.83,991300,7.83
2006-03-20,7.8,7.86,7.65,7.72,438600,7.72
2006-03-21,7.82,8.05,7.7,7.82,639400,7.82
2006-03-22,7.82,8.17,7.8,8.07,594700,8.07
2006-03-23,8.09,8.48,8.06,8.44,899900,8.44
2006-03-24,8.44,8.61,8.3,8.61,941800,8.61
2006-03-27,8.58,8.64,8.38,8.4,485500,8.4
2006-03-28,8.35,8.48,8.06,8.1,572000,8.1
