Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,17.209999,17.49,17.18,17.450001,55426000,14.677761
2006-01-04,17.48,17.93,17.459999,17.85,80408900,15.014214
2006-01-05,17.940001,18.48,17.93,18.35,118575500,15.43478
2006-01-06,18.51,18.879999,18.469999,18.77,122446000,15.788056
2006-01-09,18.969999,19.110001,18.92,19.059999,78592600,16.031983
2006-01-10,18.870001,19.15,18.780001,18.969999,73828200,15.956281
2006-01-11,18.98,19.43,18.940001,19.4,73933100,16.317968
2006-01-12,19.27,19.35,19.08,19.200001,59581300,16.149743
2006-01-13,19.129999,19.33,18.889999,18.92,52349600,15.914225
2006-01-17,18.700001,18.780001,18.469999,18.68,53125200,15.712354
2006-01-18,18.4,18.85,18.370001,18.73,69475200,15.75441
2006-01-19,18.85,19.120001,18.82,19.02,54516900,15.998339
2006-01-20,18.91,18.93,18.24,18.51,77815100,15.569361
2006-01-23,18.540001,18.559999,18.129999,18.16,54554200,15.274964
2006-01-24,18.17,18.469999,18.15,18.33,50574700,15.417957
2006-01-25,18.35,18.610001,18.26,18.57,51610600,15.619828
2006-01-26,18.57,18.690001,18.25,18.58,64896300,15.62824
2006-01-27,18.58,18.950001,18.559999,18.780001,48720700,15.796467
2006-01-30,18.690001,18.950001,18.67,18.889999,43844300,15.888991
2006-01-31,18.700001,18.74,18.32,18.57,64719200,15.619828
2006-02-01,18.4,18.620001,18.35,18.58,53734600,15.62824
2006-02-02,18.459999,18.75,18.299999,18.370001,40284100,15.451603
2006-02-03,18.290001,18.33,17.950001,18.15,71696800,15.266553
2006-02-06,18.030001,18.1,17.83,17.83,51811100,14.997391
2006-02-07,17.84,18.200001,17.82,18.09,78522100,15.216085
2006-02-08,19.27,19.5,19.110001,19.4,200671700,16.317968
2006-02-09,19.52,19.98,19.469999,19.549999,119726500,16.444138
2006-02-10,19.610001,19.879999,19.6,19.76,73782500,16.620776
2006-02-13,19.620001,19.85,19.32,19.549999,58621900,16.444138
2006-02-14,19.639999,19.860001,19.58,19.700001,55792800,16.570309
2006-02-15,19.6,19.959999,19.6,19.940001,65024300,16.772181
2006-02-16,19.91,20.0,19.83,19.98,46990700,16.805825
2006-02-17,19.940001,19.99,19.83,19.860001,35965900,16.70489
2006-02-21,19.709999,19.9,19.450001,19.58,47666600,16.469372
2006-02-22,19.57,19.93,19.57,19.67,57719700,16.545074
2006-02-23,19.620001,19.85,19.559999,19.719999,48143700,16.58713
2006-02-24,19.700001,19.91,19.68,19.85,37444900,16.696479
2006-02-27,19.85,20.0,19.83,19.969999,55854400,16.797413
2006-02-28,19.959999,20.4,19.860001,20.24,137099800,17.02452
2006-03-01,20.379999,21.120001,20.34,21.059999,160237700,17.714248
2006-03-02,20.93,21.059999,20.700001,20.879999,69236400,17.562844
2006-03-03,20.700001,21.33,20.66,21.040001,76428600,17.697427
2006-03-06,20.969999,21.48,20.879999,21.049999,85155100,17.705836
2006-03-07,20.93,20.98,20.68,20.870001,47523100,17.554434
2006-03-08,20.709999,20.99,20.68,20.860001,54435200,17.546022
2006-03-09,20.9,20.91,20.440001,20.440001,45597800,17.192747
2006-03-10,20.530001,20.879999,20.32,20.82,48463600,17.512376
2006-03-13,20.870001,21.15,20.809999,20.860001,46526400,17.546022
2006-03-14,20.82,21.25,20.77,21.25,54956400,17.874064
2006-03-15,21.190001,21.5,21.16,21.440001,48514600,18.033879
2006-03-16,21.49,21.690001,21.24,21.25,55426200,17.874064
