Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,15.48,15.81,15.15,15.73,890500,11.852715
2006-01-04,15.71,15.94,15.52,15.89,641700,11.973277
2006-01-05,15.83,15.86,15.64,15.7,456000,11.83011
2006-01-06,15.71,15.87,15.45,15.75,504600,11.867785
2006-01-09,15.75,16.1,15.72,16.02,452200,12.071233
2006-01-10,15.88,16.1,15.61,15.88,643500,11.965742
2006-01-11,15.94,16.15,15.71,16.1,604600,12.131514
2006-01-12,16.120001,16.219999,15.76,16.08,961700,12.116444
2006-01-13,16.15,16.299999,15.97,16.129999,717600,12.154119
2006-01-17,15.96,16.09,15.76,16.09,577900,12.123979
2006-01-18,15.94,16.34,15.94,16.18,676900,12.191795
2006-01-19,16.18,16.35,16.02,16.290001,467600,12.274681
2006-01-20,16.370001,16.389999,15.91,16.25,853700,12.24454
2006-01-23,16.25,16.48,16.16,16.469999,598700,12.410312
2006-01-24,16.469999,16.5,16.02,16.389999,508300,12.350031
2006-01-25,16.48,16.540001,16.25,16.42,385300,12.372637
2006-01-26,16.549999,16.58,16.09,16.18,604700,12.191795
2006-01-27,16.25,16.450001,16.049999,16.41,489500,12.365102
2006-01-30,16.34,16.360001,16.09,16.290001,429500,12.274681
2006-01-31,15.9,16.0,14.91,14.99,2336200,11.295117
2006-02-01,14.9,14.97,14.58,14.79,1265300,11.144415
2006-02-02,14.82,14.9,14.45,14.82,896700,11.167021
2006-02-03,14.82,14.99,14.6,14.64,613800,11.031389
2006-02-06,14.64,14.82,14.48,14.53,1004100,10.948503
2006-02-07,14.56,14.88,14.37,14.4,642500,10.850546
2006-02-08,14.39,14.5,14.2,14.25,390100,10.73752
2006-02-09,14.3,14.58,14.2,14.51,578500,10.933433
2006-02-10,14.51,14.6,14.25,14.37,413800,10.827941
2006-02-13,14.32,14.5,14.05,14.24,388200,10.729985
2006-02-14,14.17,14.69,14.1,14.57,768600,10.978643
2006-02-15,14.52,14.77,14.4,14.77,439300,11.129346
2006-02-16,14.75,14.89,14.35,14.58,852100,10.986178
2006-02-17,14.67,14.89,14.6,14.66,996200,11.046459
2006-02-21,14.65,15.05,14.61,14.68,672400,11.06153
2006-02-22,14.75,14.88,14.6,14.81,266900,11.159486
2006-02-23,14.73,14.96,14.67,14.86,457000,11.197161
2006-02-24,14.83,14.88,14.66,14.82,368700,11.167021
2006-02-27,14.79,15.27,14.77,15.1,640200,11.378004
2006-02-28,15.14,15.18,14.83,14.9,453300,11.227301
2006-03-01,14.38,15.36,14.38,15.35,1482200,11.648468
2006-03-02,15.22,15.33,14.81,14.81,2176700,11.238685
2006-03-03,14.83,14.99,14.5,14.75,1422600,11.193153
2006-03-06,14.45,14.54,14.0,14.46,1491000,10.973084
2006-03-07,14.25,14.25,13.87,13.99,1275000,10.616421
2006-03-08,14.0,14.08,13.86,13.99,625700,10.616421
2006-03-09,14.17,14.3,14.02,14.2,795000,10.775781
2006-03-10,14.32,14.44,13.95,14.28,454500,10.83649
2006-03-13,14.25,14.75,14.11,14.18,531300,10.760604
2006-03-14,14.13,14.54,14.01,14.39,761800,10.919965
2006-03-15,14.34,14.82,14.26,14.81,721400,11.238685
