Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,14.85,14.94,14.61,14.7,720200,10.288834
2006-01-04,14.75,15.51,14.75,15.4,1180100,10.778779
2006-01-05,15.38,15.9,15.3,15.9,1001400,11.128739
2006-01-06,16.0,16.200001,15.84,16.049999,1381700,11.233727
2006-01-09,16.040001,16.17,16.0,16.049999,936300,11.233727
2006-01-10,16.049999,16.309999,16.02,16.299999,253600,11.408707
2006-01-11,16.25,16.32,16.0,16.299999,501300,11.408707
2006-01-12,16.25,16.290001,16.1,16.200001,358300,11.338716
2006-01-13,16.209999,16.559999,16.200001,16.5,701200,11.548692
2006-01-17,16.48,16.48,15.75,16.27,429200,11.38771
2006-01-18,16.200001,16.440001,16.1,16.35,374600,11.443704
2006-01-19,16.4,16.870001,16.219999,16.58,286000,11.604685
2006-01-20,16.940001,16.940001,16.07,16.120001,660600,11.282722
2006-01-23,16.200001,16.370001,16.02,16.219999,272700,11.352713
2006-01-24,16.209999,16.469999,16.190001,16.469999,614800,11.527694
2006-01-25,16.43,16.459999,16.280001,16.389999,530000,11.4717
2006-01-26,16.65,16.66,16.309999,16.6,608900,11.618684
2006-01-27,16.67,16.92,16.6,16.719999,321000,11.702674
2006-01-30,16.65,16.65,16.030001,16.120001,428500,11.282722
2006-01-31,16.200001,17.469999,16.200001,17.299999,1299900,12.108628
2006-02-01,17.290001,17.290001,16.9,16.98,833900,11.884653
2006-02-02,17.08,17.08,16.42,16.540001,353000,11.576689
2006-02-03,16.5,16.73,16.290001,16.34,310200,11.436705
2006-02-06,16.299999,16.49,15.5,16.17,562800,11.317718
2006-02-07,16.15,16.219999,15.54,15.74,477700,11.016752
2006-02-08,15.78,15.85,15.26,15.76,1010100,11.030751
2006-02-09,16.0,16.5,16.0,16.190001,746400,11.331717
2006-02-10,16.1,17.01,15.86,16.799999,983900,11.758667
2006-02-13,16.799999,17.0,16.280001,16.51,344400,11.555691
2006-02-14,16.6,17.23,16.4,17.08,520100,11.954646
2006-02-15,17.049999,17.58,16.99,17.43,539300,12.199618
2006-02-16,17.450001,17.59,17.01,17.379999,479900,12.164621
2006-02-17,17.5,17.530001,17.200001,17.51,458400,12.255612
2006-02-21,17.5,17.549999,16.969999,17.190001,484200,12.031637
2006-02-22,17.299999,17.77,17.200001,17.620001,319700,12.332604
2006-02-23,17.65,17.870001,17.15,17.35,771900,12.143625
2006-02-24,17.35,18.15,17.059999,18.08,835900,12.654566
2006-02-27,18.049999,18.08,17.719999,17.98,286600,12.584574
2006-02-28,17.9,17.9,16.940001,17.35,1480800,12.143625
2006-03-01,17.6,17.6,16.85,16.99,1247500,11.891653
