Date,Open,High,Low,Close,Volume,Adj Close
2006-09-22,16.0,17.139999,14.74,17.0,8587700,17.0
2006-09-25,16.950001,16.950001,16.200001,16.5,1085800,16.5
2006-09-26,16.35,16.75,15.55,16.25,707900,16.25
2006-09-27,15.88,16.65,15.88,16.25,305400,16.25
2006-09-28,16.49,17.25,15.96,16.799999,354100,16.799999
2006-09-29,17.209999,18.15,16.700001,18.0,598000,18.0
2006-10-02,18.25,18.25,17.309999,17.83,232200,17.83
2006-10-03,17.41,18.0,17.23,17.75,164300,17.75
2006-10-04,17.16,18.200001,17.16,18.0,205900,18.0
2006-10-05,17.940001,17.969999,17.5,17.610001,59900,17.610001
2006-10-06,17.6,17.799999,17.5,17.639999,106000,17.639999
2006-10-09,17.700001,18.9,17.58,18.469999,196700,18.469999
2006-10-10,18.5,19.34,18.08,19.0,619600,19.0
2006-10-11,18.91,19.389999,18.68,18.84,161900,18.84
2006-10-12,18.52,19.120001,18.52,18.85,325000,18.85
2006-10-13,18.85,18.959999,18.5,18.59,234500,18.59
2006-10-16,18.719999,19.440001,18.6,19.23,337800,19.23
2006-10-17,19.15,19.290001,18.700001,19.25,100300,19.25
2006-10-18,19.35,19.959999,19.35,19.75,121000,19.75
2006-10-19,19.75,19.950001,19.370001,19.459999,95900,19.459999
2006-10-20,19.25,19.639999,18.9,19.17,45100,19.17
2006-10-23,18.860001,19.0,18.360001,18.58,120700,18.58
2006-10-24,18.58,18.58,17.75,18.059999,111500,18.059999
2006-10-25,17.92,18.18,17.299999,17.299999,305700,17.299999
2006-10-26,17.48,18.5,17.33,18.02,373000,18.02
2006-10-27,18.0,18.139999,17.6,17.76,144600,17.76
2006-10-30,17.559999,17.719999,17.190001,17.35,143000,17.35
2006-10-31,17.41,17.870001,16.25,17.870001,584800,17.870001
2006-11-01,18.709999,19.219999,17.870001,18.24,616600,18.24
2006-11-02,17.530001,18.549999,17.4,18.35,100900,18.35
2006-11-03,18.35,18.870001,18.15,18.75,168400,18.75
2006-11-06,18.98,19.23,18.67,19.059999,131600,19.059999
2006-11-07,19.75,19.75,18.129999,18.27,409200,18.27
2006-11-08,18.25,18.26,17.82,17.9,224400,17.9
2006-11-09,18.0,18.040001,17.559999,17.799999,121700,17.799999
2006-11-10,18.0,18.059999,17.5,17.59,51200,17.59
2006-11-13,17.540001,18.049999,17.51,17.6,96800,17.6
2006-11-14,17.6,17.809999,17.280001,17.4,178700,17.4
2006-11-15,17.32,17.959999,17.25,17.5,169600,17.5
2006-11-16,17.540001,18.15,17.389999,17.690001,278700,17.690001
2006-11-17,18.0,18.0,17.76,17.85,82000,17.85
2006-11-20,17.610001,18.0,17.209999,17.450001,122400,17.450001
2006-11-21,17.59,17.59,17.1,17.219999,69100,17.219999
2006-11-22,18.450001,18.66,17.969999,18.530001,630700,18.530001
2006-11-24,18.469999,19.23,18.4,19.09,127600,19.09
2006-11-27,19.18,19.25,18.52,18.65,238500,18.65
2006-11-28,18.200001,18.5,18.18,18.379999,97300,18.379999
2006-11-29,18.65,19.360001,18.32,19.1,185400,19.1
2006-11-30,19.450001,20.74,18.5,19.959999,326400,19.959999
2006-12-01,19.959999,20.190001,19.459999,19.639999,204500,19.639999
2006-12-04,19.530001,19.74,19.16,19.559999,104200,19.559999
2006-12-05,19.75,20.469999,19.51,20.17,115700,20.17
2006-12-06,19.950001,20.09,19.83,20.049999,85700,20.049999
2006-12-07,20.0,20.16,19.75,20.0,115000,20.0
2006-12-08,19.82,20.299999,19.82,20.16,149700,20.16
2006-12-11,20.32,20.48,19.84,20.1,70500,20.1
2006-12-12,19.950001,20.15,19.65,19.950001,164600,19.950001
2006-12-13,19.91,20.190001,19.74,19.99,215800,19.99
