Date,Open,High,Low,Close,Volume,Adj Close
2007-09-04,10.7,10.99,10.55,10.95,380700,9.398228
2007-09-05,10.85,10.85,10.56,10.62,212800,9.114994
2007-09-06,10.53,10.6,10.0,10.35,492200,8.883257
2007-09-07,10.2,10.2,9.7,10.05,293600,8.625771
2007-09-10,10.1,10.41,10.05,10.2,675400,8.754514
2007-09-11,10.4,10.6,10.3,10.46,843900,8.977668
2007-09-12,10.5,10.8,10.5,10.68,640500,9.166491
2007-09-13,10.75,11.27,10.65,11.11,785000,9.535553
2007-09-14,10.98,11.35,10.75,11.3,1295500,9.698628
2007-09-17,11.48,11.48,10.7,11.19,438100,9.604216
2007-09-18,11.3,11.7,11.01,11.45,1126900,9.827371
2007-09-19,11.59,11.65,11.2,11.48,698900,9.853119
2007-09-20,11.5,11.83,11.47,11.64,1069800,9.990445
2007-09-21,11.69,12.3,11.69,12.25,1225500,10.513999
2007-09-24,12.39,12.7,12.2,12.4,1007600,10.642742
2007-09-25,12.34,12.4,12.05,12.11,1065300,10.393839
2007-09-26,12.3,12.8,12.25,12.57,1191900,10.788651
2007-09-27,12.62,13.0,12.55,12.93,1941000,11.097634
2007-09-28,12.98,13.3,12.75,12.9,1034600,11.071885
2007-10-01,13.0,13.38,12.85,13.28,890900,11.398033
2007-10-02,13.35,13.35,12.25,13.03,1079800,11.183462
2007-10-03,13.03,13.11,12.4,12.43,455100,10.668491
2007-10-04,12.6,13.09,12.6,12.95,852000,11.114799
2007-10-05,13.19,13.35,13.0,13.24,354000,11.363702
2007-10-08,13.2,13.2,12.88,13.1,184800,11.243543
2007-10-09,13.1,13.2,12.88,13.1,438300,11.243543
2007-10-10,12.95,13.1,12.75,12.96,456000,11.123382
2007-10-11,13.05,13.15,12.4,12.41,340600,10.651325
2007-10-12,12.4,12.54,12.15,12.28,333100,10.539748
2007-10-15,12.44,12.48,12.09,12.34,517400,10.591245
2007-10-16,12.16,12.34,10.86,12.2,498700,10.471085
2007-10-17,12.35,12.48,11.99,12.09,750200,10.376674
2007-10-18,12.18,12.34,11.9,12.24,404400,10.505416
2007-10-19,12.2,12.7,11.93,12.0,458700,10.299428
2007-10-22,11.72,12.11,11.5,12.0,501100,10.299428
2007-10-23,12.15,12.28,12.06,12.12,488800,10.402422
2007-10-24,12.12,12.25,12.0,12.19,590000,10.462502
2007-10-25,12.24,12.3,12.1,12.18,343900,10.45392
2007-10-26,12.2,12.4,12.2,12.39,461900,10.63416
2007-10-29,12.45,12.7,12.29,12.4,724300,10.642742
2007-10-30,12.34,12.58,12.31,12.49,163700,10.719988
2007-10-31,12.5,13.0,12.4,12.7,431600,10.900228
2007-11-01,12.75,12.75,12.3,12.61,358800,10.822982
2007-11-02,12.5,12.75,12.0,12.15,499700,10.428171
2007-11-05,12.2,12.35,11.75,11.85,510400,10.170685
2007-11-06,11.74,12.07,11.74,11.96,624600,10.265097
2007-11-07,11.98,12.0,11.48,11.53,506300,9.896033
2007-11-08,11.53,11.87,10.76,11.27,588000,9.67288
2007-11-09,11.2,11.2,9.53,11.04,545300,9.475474
2007-11-12,10.95,10.95,10.08,10.3,580900,8.840343
2007-11-13,10.1,11.08,10.1,10.8,1008700,9.269485
2007-11-14,10.73,11.29,10.73,11.01,1264700,9.449725
2007-11-15,10.95,10.97,10.48,10.62,107100,9.114994
2007-11-16,10.6,11.67,10.6,11.54,478800,9.904617
2007-11-19,11.4,11.4,10.83,10.92,655300,9.37248
2007-11-20,11.15,11.2,10.75,10.8,498100,9.269485
