Date,Open,High,Low,Close,Volume,Adj Close
2006-12-13,12.76,12.9,12.3,12.35,6331700,29.557045
2006-12-14,12.2,12.76,12.05,12.1,2810800,28.958724
2006-12-15,12.05,12.25,11.55,12.0,1188300,28.719395
2006-12-18,11.95,11.97,11.13,11.54,901300,27.618484
2006-12-19,11.4,11.56,11.25,11.45,782800,27.403089
2006-12-20,11.35,11.7,11.31,11.68,468300,28.3497
2006-12-21,11.5,11.75,11.42,11.58,350000,28.106979
2006-12-22,11.5,11.6,11.41,11.51,417800,27.937076
2006-12-26,11.41,11.58,11.35,11.56,191700,28.058437
2006-12-27,11.51,11.74,11.5,11.7,244800,28.398243
2006-12-28,11.55,11.68,11.52,11.65,252500,28.276883
2006-12-29,11.57,11.8,11.57,11.8,293300,28.640964
2007-01-03,11.3,11.8,11.3,11.8,736700,28.640964
2007-01-04,11.55,11.7,11.55,11.6,408200,28.155525
2007-01-05,11.6,11.63,11.4,11.5,384100,27.912804
2007-01-08,11.45,11.55,11.25,11.31,447000,27.451637
2007-01-09,11.4,11.44,11.19,11.38,373500,27.62154
2007-01-10,11.32,11.5,11.26,11.43,567600,27.7429
2007-01-11,11.48,11.54,11.41,11.46,500900,27.815716
2007-01-12,11.41,11.6,11.34,11.58,464000,28.106979
2007-01-16,11.4,11.58,11.37,11.51,451600,27.937076
2007-01-17,11.5,11.69,11.5,11.65,479500,28.276883
2007-01-18,11.65,11.88,11.59,11.83,564300,28.71378
2007-01-19,11.75,12.05,11.7,12.05,864500,29.247764
2007-01-22,12.05,12.05,11.63,11.7,379800,28.398243
2007-01-23,11.7,11.88,11.62,11.7,371300,28.398243
2007-01-24,11.68,11.83,11.66,11.8,282400,28.640964
2007-01-25,11.77,11.9,11.77,11.88,452400,28.83514
2007-01-26,11.82,11.88,11.72,11.75,262900,28.519604
2007-01-29,11.7,11.82,11.65,11.77,318000,28.568149
2007-01-30,11.77,11.82,11.73,11.78,484300,28.592419
2007-01-31,11.75,11.83,11.75,11.82,347600,28.689507
2007-02-01,11.81,11.87,11.78,11.8,290100,28.640964
2007-02-02,11.79,11.85,11.77,11.8,332300,28.640964
2007-02-05,11.75,11.84,11.4,11.66,368700,28.301155
2007-02-06,11.6,11.8,11.6,11.8,322900,28.640964
2007-02-07,11.73,12.03,11.73,11.97,1157500,29.053588
2007-02-08,11.9,11.99,11.77,11.9,323700,28.883683
2007-02-09,11.87,12.0,11.58,11.75,429500,28.519604
2007-02-12,11.65,11.86,11.55,11.71,292800,28.422516
2007-02-13,11.6,11.89,11.6,11.86,285500,28.786595
2007-02-14,11.8,11.88,11.71,11.81,256100,28.665237
2007-02-15,11.76,11.95,11.72,11.9,279900,28.883683
2007-02-16,11.8,11.9,11.36,11.74,296500,28.495331
2007-02-20,11.52,11.82,11.52,11.8,229000,28.640964
2007-02-21,11.8,11.8,11.62,11.75,219500,28.519604
2007-02-22,11.77,11.95,11.75,11.8,306800,28.640964
2007-02-23,11.71,11.75,11.46,11.67,242600,28.325428
2007-02-26,11.67,11.8,11.59,11.63,172100,28.22834
2007-02-27,11.55,11.62,10.48,11.25,517500,27.306004
2007-02-28,11.2,11.35,11.15,11.31,197700,27.451637
2007-03-01,11.35,11.37,11.06,11.18,191500,27.1361
2007-03-02,11.4,11.42,11.09,11.21,196600,27.208916
2007-03-05,10.93,11.03,10.71,10.9,295100,26.456483
2007-03-06,10.82,11.17,10.82,11.08,234000,26.893379
2007-03-07,11.02,11.15,10.98,11.12,179600,26.990467
2007-03-08,10.95,11.44,10.9,11.37,229600,27.597267
2007-03-09,11.42,11.55,11.35,11.55,304700,28.034164
2007-03-12,11.45,11.5,11.34,11.49,153600,27.888531
2007-03-13,11.4,11.46,11.21,11.25,136200,27.306004
2007-03-14,11.17,11.46,11.0,11.46,300500,27.815716
2007-03-15,11.4,11.65,11.4,11.64,235000,28.252613
2007-03-16,11.55,12.0,11.5,11.99,1249400,29.102131
2007-03-19,11.9,11.95,11.7,11.8,289500,28.640964
2007-03-20,11.65,11.85,11.63,11.77,253400,28.568149
2007-03-21,11.6,11.91,11.6,11.88,489800,28.83514
2007-03-22,11.82,11.9,11.72,11.85,137300,28.762325
2007-03-23,11.8,11.91,11.64,11.83,282000,28.71378
2007-03-26,11.7,11.81,11.52,11.71,210100,28.422516
2007-03-27,11.63,11.75,11.59,11.63,216600,28.22834
2007-03-28,11.5,11.77,11.48,11.63,165000,28.22834
2007-03-29,11.65,11.83,11.65,11.83,287100,28.71378
2007-03-30,11.73,11.99,11.65,11.83,2801600,28.71378
2007-04-02,11.81,11.88,11.6,11.65,537300,28.276883
2007-04-03,11.52,11.75,11.45,11.59,444500,28.522982
2007-04-04,11.53,11.57,11.37,11.52,235900,28.350712
2007-04-05,11.39,11.52,11.37,11.46,151800,28.203052
2007-04-09,11.43,11.53,11.42,11.46,136600,28.203052
2007-04-10,11.45,11.57,11.43,11.44,198900,28.15383
2007-04-11,11.44,11.74,11.14,11.25,302800,27.686242
2007-04-12,11.16,11.24,11.11,11.24,193400,27.661631
2007-04-13,11.17,11.35,11.11,11.33,216700,27.883121
2007-04-16,11.37,11.55,11.35,11.49,534200,28.276881
2007-04-17,11.47,11.48,11.35,11.38,377700,28.006172
2007-04-18,11.28,11.33,11.24,11.31,247800,27.833903
