Date,Open,High,Low,Close,Volume,Adj Close
2009-05-14,23.0,25.0,21.139999,21.5,12200700,21.5
2009-05-15,21.860001,22.25,20.35,20.5,2039200,20.5
2009-05-18,20.91,21.200001,19.4,19.51,1400200,19.51
2009-05-19,19.809999,19.809999,17.75,18.25,4190600,18.25
2009-05-20,18.68,18.75,17.51,18.1,2309800,18.1
2009-05-21,17.969999,18.25,17.0,17.700001,1357300,17.700001
2009-05-22,17.940001,18.950001,17.700001,18.799999,908800,18.799999
2009-05-26,18.639999,19.450001,18.309999,18.75,1112200,18.75
2009-05-27,18.75,18.75,17.5,17.719999,783500,17.719999
2009-05-28,18.18,18.299999,17.52,17.75,408100,17.75
2009-05-29,17.75,18.75,17.700001,18.030001,307400,18.030001
2009-06-01,18.15,18.77,17.75,17.959999,432300,17.959999
2009-06-02,18.040001,18.25,17.76,17.889999,290500,17.889999
2009-06-03,17.76,18.059999,17.76,18.030001,208800,18.030001
2009-06-04,18.25,18.43,17.879999,17.940001,190400,17.940001
2009-06-05,18.0,18.299999,17.9,18.219999,236900,18.219999
2009-06-08,17.870001,18.200001,17.870001,18.190001,248500,18.190001
2009-06-09,18.120001,18.200001,17.799999,17.99,337000,17.99
2009-06-10,18.0,18.200001,17.91,18.1,197200,18.1
2009-06-11,18.15,18.190001,17.950001,18.01,153500,18.01
2009-06-12,18.0,18.129999,17.799999,18.129999,142100,18.129999
2009-06-15,18.040001,18.059999,17.700001,17.77,137500,17.77
2009-06-16,17.65,17.92,17.01,17.049999,537600,17.049999
2009-06-17,17.09,17.18,16.950001,16.99,188700,16.99
2009-06-18,17.139999,17.879999,17.0,17.629999,140400,17.629999
2009-06-19,17.83,18.08,17.639999,18.08,239000,18.08
2009-06-22,17.9,18.08,17.51,17.629999,186200,17.629999
2009-06-23,18.01,18.389999,17.559999,18.09,336800,18.09
2009-06-24,18.200001,18.75,18.09,18.620001,396900,18.620001
2009-06-25,18.620001,18.84,17.83,18.43,466200,18.43
2009-06-26,18.290001,19.219999,18.190001,19.139999,1793200,19.139999
2009-06-29,19.0,19.120001,18.58,19.120001,229100,19.120001
2009-06-30,19.120001,19.200001,18.559999,19.200001,155600,19.200001
2009-07-01,19.24,19.639999,18.969999,19.030001,275400,19.030001
2009-07-02,18.85,19.030001,18.1,18.15,281100,18.15
2009-07-06,18.450001,18.450001,17.91,18.07,119700,18.07
2009-07-07,18.02,18.219999,17.92,18.120001,66100,18.120001
2009-07-08,18.059999,18.15,17.76,18.049999,222100,18.049999
2009-07-09,18.200001,18.690001,17.1,17.309999,598600,17.309999
2009-07-10,17.25,17.49,17.120001,17.4,217500,17.4
2009-07-13,17.440001,17.92,17.299999,17.92,73600,17.92
2009-07-14,17.950001,18.120001,17.879999,18.120001,64700,18.120001
2009-07-15,18.33,18.719999,18.129999,18.719999,211400,18.719999
2009-07-16,18.51,18.870001,18.5,18.700001,170000,18.700001
2009-07-17,18.65,18.65,18.16,18.23,94300,18.23
2009-07-20,18.440001,18.530001,18.17,18.41,78000,18.41
2009-07-21,18.559999,18.559999,17.92,17.969999,188700,17.969999
2009-07-22,17.879999,18.280001,17.809999,17.969999,139600,17.969999
2009-07-23,17.860001,18.209999,17.51,18.02,237900,18.02
2009-07-24,17.780001,18.25,17.780001,17.98,100500,17.98
2009-07-27,17.860001,18.18,17.860001,18.0,109200,18.0
2009-07-28,17.98,18.049999,17.75,17.92,164100,17.92
2009-07-29,17.74,18.17,17.74,18.1,120800,18.1
