Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,16.98,17.200001,16.92,17.16,302300,14.799652
2006-01-04,17.26,18.290001,17.26,17.440001,334900,15.041139
2006-01-05,17.52,18.0,17.48,18.0,197400,15.524111
2006-01-06,17.9,18.07,17.67,17.77,128700,15.325748
2006-01-09,17.67,18.24,17.34,18.24,302600,15.731099
2006-01-10,18.15,19.49,18.15,19.35,552600,16.688419
2006-01-11,19.0,19.129999,18.6,18.700001,964100,16.127827
2006-01-12,18.68,18.700001,18.450001,18.59,484700,16.032957
2006-01-13,18.49,18.549999,18.200001,18.299999,183900,15.782845
2006-01-17,18.23,18.299999,18.200001,18.25,103700,15.739723
2006-01-18,18.18,18.18,17.969999,18.01,650000,15.532735
2006-01-19,18.059999,18.15,18.049999,18.1,187700,15.610356
2006-01-20,18.049999,18.15,18.049999,18.09,273000,15.601731
2006-01-23,18.35,18.35,18.139999,18.219999,88000,15.713849
2006-01-24,18.200001,18.25,18.129999,18.15,122200,15.653478
2006-01-25,18.15,18.25,18.1,18.15,360600,15.653478
2006-01-26,18.15,18.540001,18.129999,18.25,243600,15.739723
2006-01-27,18.950001,20.25,18.950001,19.0,2223600,16.386561
2006-01-30,19.0,20.120001,18.9,19.940001,880900,17.197265
2006-01-31,20.02,20.92,20.02,20.370001,374300,17.568119
2006-02-01,20.32,21.200001,20.16,20.6,485600,17.766483
2006-02-02,20.549999,20.59,19.85,20.25,128500,17.464625
2006-02-03,20.1,20.200001,19.83,19.85,126400,17.119645
2006-02-06,19.9,20.709999,19.9,20.379999,230700,17.576742
2006-02-07,20.4,20.68,20.299999,20.6,155200,17.766483
2006-02-08,20.85,20.860001,20.51,20.83,121900,17.964846
2006-02-09,20.700001,20.77,20.059999,20.219999,223800,17.438751
2006-02-10,20.200001,20.35,20.139999,20.35,66500,17.55087
2006-02-13,20.299999,20.74,20.07,20.139999,158300,17.369755
2006-02-14,20.139999,20.200001,19.940001,20.1,94900,17.335257
2006-02-15,20.049999,20.24,20.0,20.15,138200,17.378379
2006-02-16,20.0,20.42,20.0,20.290001,86700,17.499123
2006-02-17,20.200001,20.799999,20.1,20.65,106900,17.809605
2006-02-21,20.65,20.76,20.24,20.389999,133900,17.585367
2006-02-22,20.389999,20.389999,19.530001,20.24,230300,17.456
2006-02-23,20.049999,20.67,20.0,20.57,188300,17.740609
2006-02-24,20.5,20.92,20.4,20.68,188100,17.835479
2006-02-27,20.629999,20.98,20.389999,20.629999,134900,17.792355
2006-02-28,20.629999,20.84,20.280001,20.370001,138400,17.568119
2006-03-01,20.4,21.209999,20.4,21.1,450000,18.197708
2006-03-02,20.950001,21.5,20.700001,21.34,246400,18.404696
2006-03-03,21.25,21.82,21.24,21.280001,119400,18.352949
2006-03-06,21.139999,21.5,21.049999,21.4,96100,18.456443
2006-03-07,21.35,22.15,21.35,22.0,224500,18.973913
2006-03-08,21.950001,22.0,20.940001,20.969999,171800,18.085588
2006-03-09,20.9,21.049999,20.65,20.9,126300,18.025217
2006-03-10,20.85,21.1,20.4,20.67,174400,17.826854
2006-03-13,20.639999,21.200001,20.6,20.700001,97700,17.852728
2006-03-14,20.6,21.0,20.530001,20.709999,91100,17.861351
2006-03-15,20.690001,20.780001,20.51,20.58,48500,17.749233
2006-03-16,20.58,20.709999,20.440001,20.549999,76400,17.723359
2006-03-17,20.51,20.700001,20.440001,20.559999,130300,17.731984
2006-03-20,20.48,20.48,20.030001,20.290001,207700,17.499123
2006-03-21,20.25,20.74,20.0,20.65,257600,17.809605
2006-03-22,20.65,21.4,20.5,21.35,128800,18.413321
2006-03-23,21.35,21.35,20.370001,20.719999,69100,17.869976
2006-03-24,20.75,20.889999,20.549999,20.77,50700,17.913099
2006-03-27,20.700001,20.92,20.4,20.780001,65900,17.921724
