Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,66.959999,67.93,66.190002,67.699997,292600,57.037927
2006-01-04,67.699997,67.949997,67.480003,67.949997,417100,57.248555
2006-01-05,67.800003,68.43,67.529999,68.419998,317200,57.644536
2006-01-06,68.800003,70.5,68.589996,70.129997,576900,59.085227
2006-01-09,70.059998,70.370003,69.699997,70.059998,373600,59.026252
2006-01-10,72.5,73.849998,71.650002,72.580002,755100,61.149381
2006-01-11,72.580002,73.559998,72.129997,73.510002,306100,61.932915
2006-01-12,73.339996,74.290001,73.139999,73.449997,570100,61.88236
2006-01-13,73.339996,73.550003,72.970001,73.209999,262300,61.68016
2006-01-17,73.050003,73.650002,72.879997,73.529999,261300,61.949763
2006-01-18,73.5,73.669998,73.209999,73.5,306100,61.924488
2006-01-19,73.699997,73.709999,73.160004,73.199997,265600,61.671733
2006-01-20,72.949997,73.230003,72.040001,72.129997,613400,60.770247
2006-01-23,72.129997,73.25,71.75,72.900002,415400,61.418984
2006-01-24,72.910004,74.160004,72.779999,73.690002,498400,62.084567
2006-01-25,73.470001,73.82,71.93,72.489998,595600,61.073551
2006-01-26,72.489998,73.32,71.900002,72.43,725600,61.023003
2006-01-27,72.470001,72.760002,72.059998,72.18,324600,60.812375
2006-01-30,72.169998,72.699997,71.309998,71.919998,287600,60.593321
2006-01-31,71.75,72.760002,71.239998,72.279999,375000,60.896625
2006-02-01,72.0,72.809998,70.300003,70.580002,621500,59.46436
2006-02-02,70.699997,71.0,70.32,70.489998,515500,59.388531
2006-02-03,70.239998,73.519997,69.809998,71.660004,873400,60.374273
2006-02-06,71.510002,71.550003,70.279999,70.57,391000,59.455934
2006-02-07,70.470001,71.32,70.360001,71.029999,424900,59.843487
2006-02-08,71.0,71.5,70.849998,71.139999,226200,59.936164
2006-02-09,70.949997,71.849998,70.699997,71.269997,231700,60.045688
2006-02-10,71.269997,71.489998,70.57,71.330002,290000,60.096243
2006-02-13,71.330002,71.879997,71.199997,71.760002,199700,60.458523
2006-02-14,71.910004,71.949997,71.529999,71.739998,207900,60.441669
2006-02-15,71.639999,71.739998,71.370003,71.589996,208400,60.315291
2006-02-16,71.599998,72.07,71.5,72.050003,205200,60.702851
2006-02-17,71.580002,72.629997,71.269997,72.18,438200,60.812375
2006-02-21,72.080002,72.300003,71.75,72.0,187000,60.660723
2006-02-22,72.010002,72.25,71.889999,72.050003,275300,60.702851
2006-02-23,71.900002,72.510002,71.739998,72.309998,146400,60.921899
2006-02-24,72.269997,72.459999,71.75,72.459999,229100,61.048277
2006-02-27,72.209999,73.639999,72.18,73.419998,291500,61.857086
2006-02-28,73.25,73.32,72.529999,72.739998,263200,61.284179
2006-03-01,72.779999,73.989998,72.349998,73.760002,198900,62.143543
2006-03-02,73.510002,73.980003,73.209999,73.830002,202700,62.202518
2006-03-03,73.82,73.970001,73.550003,73.650002,347100,62.050866
2006-03-06,73.5,74.330002,73.300003,74.099998,358100,62.429993
2006-03-07,74.150002,74.150002,73.739998,74.0,264600,62.345743
2006-03-08,73.849998,74.550003,73.760002,74.5,170500,62.766998
2006-03-09,74.599998,74.610001,73.360001,73.400002,203200,61.840239
2006-03-10,72.75,74.779999,72.559998,74.550003,379800,62.809126
2006-03-13,74.75,75.0,74.550003,75.0,192700,63.188253
2006-03-14,75.0,75.489998,74.68,75.330002,227700,63.466283
2006-03-15,75.239998,75.360001,74.709999,75.300003,179800,63.441009
2006-03-16,75.199997,75.25,74.970001,75.25,278100,63.398881
2006-03-17,75.25,75.540001,75.0,75.540001,242700,63.64321
2006-03-20,75.720001,75.93,74.970001,75.690002,303200,63.769587
2006-03-21,75.440002,75.449997,73.699997,74.730003,460000,62.960778
2006-03-22,74.599998,75.589996,74.400002,75.5,177900,63.609508
2006-03-23,75.349998,75.349998,74.419998,74.57,292700,62.825974
2006-03-24,74.57,75.669998,74.57,75.650002,161000,63.735886
2006-03-27,75.699997,75.75,75.459999,75.57,134900,63.668484
2006-03-28,75.5,75.5,74.800003,75.120003,298200,63.289357
2006-03-29,74.900002,75.620003,74.900002,75.489998,293900,63.601081
2006-03-30,75.690002,75.75,75.220001,75.32,247000,63.457856
2006-03-31,75.260002,76.779999,75.260002,76.68,274600,64.60367
2006-04-03,76.580002,77.160004,76.339996,76.480003,244600,64.435171
2006-04-04,76.379997,76.989998,76.279999,76.589996,237900,64.527841
2006-04-05,76.440002,76.800003,75.849998,76.449997,190500,64.40989
2006-04-06,76.449997,76.550003,75.669998,76.0,352000,64.030763
2006-04-07,76.199997,76.800003,76.199997,76.410004,258900,64.376196
2006-04-10,76.449997,76.550003,76.0,76.300003,294600,64.283519
2006-04-11,76.300003,76.540001,75.75,76.18,233700,64.182415
2006-04-12,76.190002,76.389999,75.849998,76.0,208700,64.030763
2006-04-13,75.879997,76.529999,75.650002,75.980003,152900,64.013916
2006-04-17,75.849998,76.760002,75.580002,76.300003,238500,64.283519
2006-04-18,76.550003,78.849998,76.550003,78.18,575100,65.867436
2006-04-19,78.18,78.279999,77.720001,78.0,285800,65.715783
2006-04-20,77.919998,78.18,77.550003,77.550003,239000,65.336657
2006-04-21,77.75,78.089996,77.25,77.739998,275800,65.496729
2006-04-24,77.489998,77.489998,76.849998,77.209999,266200,65.0502
2006-04-25,77.110001,77.139999,76.440002,76.650002,415000,64.578396
2006-04-26,76.650002,77.190002,76.349998,76.449997,384500,64.40989
2006-04-27,76.199997,78.029999,76.199997,77.099998,490200,64.957523
2006-04-28,76.75,77.620003,76.699997,77.019997,343600,64.890121
2006-05-01,77.199997,77.879997,76.82,77.050003,457300,64.915402
2006-05-02,76.989998,77.050003,75.459999,75.459999,418800,63.575807
2006-05-03,75.559998,75.75,74.209999,74.209999,836900,62.52267
2006-05-04,74.459999,75.699997,74.199997,75.129997,490600,63.297777
2006-05-05,75.129997,76.300003,75.129997,76.199997,295400,64.199263
2006-05-08,76.099998,76.870003,76.099998,76.209999,244500,64.20769
2006-05-09,76.220001,76.839996,76.18,76.279999,366100,64.266665
2006-05-10,76.099998,76.510002,75.949997,76.300003,203400,64.283519
2006-05-11,76.150002,76.199997,75.32,75.769997,296300,63.836983
2006-05-12,75.650002,76.5,74.879997,74.900002,401000,63.104004
2006-05-15,74.699997,75.160004,74.360001,74.75,302300,62.977626
2006-05-16,74.550003,74.980003,74.360001,74.690002,173300,62.927077
2006-05-17,74.529999,74.970001,74.269997,74.5,306600,62.766998
2006-05-18,74.720001,75.040001,74.300003,74.32,266200,62.615346
2006-05-19,74.419998,74.699997,74.010002,74.18,323500,62.497395
2006-05-22,74.050003,74.120003,73.400002,73.559998,462000,61.975037
2006-05-23,73.68,74.0,73.199997,73.199997,479700,61.671733
2006-05-24,72.300003,73.25,71.620003,72.330002,566500,60.938753
2006-05-25,72.480003,73.459999,72.370003,73.459999,460700,61.890787
2006-05-26,73.419998,73.440002,72.940002,73.260002,228100,61.722288
2006-05-30,73.040001,73.099998,72.110001,72.220001,315400,60.846076
2006-05-31,72.25,73.269997,72.089996,72.870003,350100,61.393709
2006-06-01,72.860001,73.900002,72.739998,73.800003,323200,62.177244
2006-06-02,73.849998,74.089996,73.330002,73.370003,330400,61.814964
2006-06-05,73.199997,73.529999,71.849998,72.059998,465700,60.711272
2006-06-06,72.160004,72.370003,71.449997,71.889999,280300,60.568047
2006-06-07,71.919998,72.629997,71.410004,71.510002,480100,60.247895
2006-06-08,70.910004,71.480003,70.370003,70.949997,496300,59.776085
2006-06-09,70.860001,71.529999,70.599998,70.940002,392600,59.767665
2006-06-12,71.139999,71.300003,69.599998,69.779999,486100,58.79035
2006-06-13,69.690002,70.480003,68.970001,69.139999,439300,58.251144
2006-06-14,68.919998,69.269997,68.349998,68.860001,346000,58.015242
2006-06-15,69.050003,69.559998,68.860001,69.360001,439300,58.436497
2006-06-16,69.370003,69.519997,68.900002,68.910004,756100,58.05737
2006-06-19,69.099998,69.099998,68.480003,68.480003,621900,57.695091
2006-06-20,68.449997,68.610001,68.0,68.07,505100,57.349658
2006-06-21,68.120003,68.830002,68.120003,68.480003,911400,57.695091
2006-06-22,68.489998,68.599998,67.870003,68.190002,653500,57.450762
2006-06-23,67.949997,68.400002,67.349998,68.269997,483700,57.518158
2006-06-26,68.300003,68.629997,68.050003,68.18,352200,57.442335
2006-06-27,68.239998,68.339996,67.959999,67.959999,460500,57.256982
2006-06-28,68.089996,68.519997,67.830002,68.120003,419600,57.391787
2006-06-29,68.349998,69.910004,68.349998,69.699997,427500,58.722948
2006-06-30,69.849998,70.129997,69.650002,69.68,441400,58.7061
2006-07-03,69.779999,69.860001,69.43,69.690002,128300,58.714527
2006-07-05,69.349998,69.43,68.459999,68.949997,415400,58.091065
2006-07-06,68.959999,69.370003,68.559998,68.889999,227500,58.040516
2006-07-07,68.75,69.010002,68.120003,68.260002,160400,57.509737
2006-07-10,68.300003,68.580002,68.110001,68.190002,255400,57.450762
2006-07-11,68.110001,68.290001,68.0,68.25,258900,57.501311
2006-07-12,68.089996,68.220001,67.989998,68.050003,255500,57.332811
2006-07-13,67.900002,67.959999,67.150002,67.150002,373500,56.574551
2006-07-14,66.660004,66.720001,65.5,65.68,349000,55.33606
2006-07-17,65.029999,65.989998,65.029999,65.809998,343500,55.445584
2006-07-18,65.970001,66.220001,65.379997,65.910004,263800,55.52984
2006-07-19,65.889999,67.0,65.82,66.900002,221100,56.363923
2006-07-20,66.830002,66.860001,65.949997,65.949997,238200,55.563535
2006-07-21,65.949997,65.959999,65.230003,65.5,182200,55.184408
2006-07-24,65.699997,66.0,65.470001,65.980003,183500,55.588816
2006-07-25,65.879997,66.43,65.599998,66.160004,183000,55.740468
2006-07-26,66.160004,66.559998,65.739998,66.209999,212400,55.782589
2006-07-27,66.349998,66.769997,65.18,65.599998,421800,55.268658
2006-07-28,65.849998,66.129997,65.580002,65.949997,303500,55.563535
2006-07-31,65.849998,66.900002,65.599998,66.720001,284200,56.212271
2006-08-01,66.5,66.529999,65.790001,66.07,301500,55.664638
2006-08-02,66.32,68.699997,66.279999,68.589996,493700,57.787761
2006-08-03,68.050003,68.059998,66.870003,67.389999,730500,56.776751
2006-08-04,68.5,68.779999,67.459999,67.730003,442900,57.063208
2006-08-07,67.699997,67.709999,66.110001,66.360001,465600,55.908967
2006-08-08,66.559998,67.379997,66.559998,66.839996,381900,56.313368
2006-08-09,67.089996,67.449997,66.629997,66.75,418300,56.237545
2006-08-10,66.75,68.25,66.75,68.110001,337500,57.38336
2006-08-11,68.190002,68.260002,67.5,67.919998,362700,57.223281
2006-08-14,68.099998,69.129997,68.050003,68.220001,192800,57.476036
2006-08-15,68.470001,69.129997,68.43,69.089996,203900,58.209016
2006-08-16,69.199997,69.410004,69.0,69.339996,118700,58.419643
2006-08-17,69.339996,69.739998,69.230003,69.699997,123200,58.722948
2006-08-18,69.68,69.769997,69.300003,69.57,108600,58.613424
2006-08-21,69.370003,69.75,69.050003,69.540001,134200,58.588149
2006-08-22,69.400002,70.459999,69.150002,70.440002,397700,59.34641
2006-08-23,70.440002,71.050003,69.059998,69.18,616200,58.284845
2006-08-24,69.400002,69.919998,69.169998,69.519997,198300,58.571295
2006-08-25,69.349998,69.699997,68.949997,69.220001,118100,58.318546
2006-08-28,69.050003,70.389999,69.050003,69.970001,263000,58.950429
2006-08-29,69.919998,70.519997,69.800003,70.339996,249900,59.262153
2006-08-30,70.099998,70.660004,69.93,70.449997,186300,59.35483
2006-08-31,70.449997,70.589996,70.099998,70.309998,242800,59.236879
2006-09-01,70.470001,71.07,70.410004,70.769997,148500,59.624433
2006-09-05,70.639999,71.940002,70.639999,71.849998,367800,60.534345
2006-09-06,71.599998,71.650002,70.459999,70.800003,239500,59.649714
2006-09-07,70.599998,70.889999,70.300003,70.300003,219900,59.228459
2006-09-08,70.279999,70.540001,69.940002,69.970001,475000,58.950429
2006-09-11,69.440002,70.459999,69.440002,70.18,228800,59.127355
2006-09-12,70.18,70.790001,69.980003,70.720001,213900,59.582311
2006-09-13,70.839996,71.870003,70.629997,71.870003,173200,60.551199
2006-09-14,71.870003,71.949997,71.279999,71.830002,165900,60.517498
2006-09-15,71.82,74.459999,71.790001,74.019997,789100,62.362591
2006-09-18,74.029999,75.07,74.029999,74.75,599100,62.977626
2006-09-19,74.599998,75.389999,74.559998,74.989998,335600,63.179826
2006-09-20,75.019997,75.470001,74.959999,75.190002,281300,63.348332
2006-09-21,75.18,75.279999,74.900002,75.0,436100,63.188253
2006-09-22,75.0,75.050003,74.5,74.980003,340100,63.171406
2006-09-25,74.779999,75.129997,74.419998,74.419998,473400,62.699596
2006-09-26,74.419998,74.739998,74.32,74.510002,705400,62.775425
2006-09-27,74.529999,75.139999,74.400002,74.93,187100,63.129278
2006-09-28,74.940002,75.160004,74.830002,75.0,225900,63.188253
2006-09-29,74.809998,75.220001,74.809998,74.989998,455800,63.179826
2006-10-02,75.050003,75.050003,74.32,74.410004,289800,62.691176
2006-10-03,74.209999,75.139999,74.18,74.660004,362400,62.901803
2006-10-04,74.620003,74.959999,74.410004,74.839996,314300,63.053449
2006-10-05,74.699997,75.150002,74.639999,75.0,299900,63.188253
2006-10-06,74.910004,74.910004,74.300003,74.510002,213700,62.775425
2006-10-09,74.449997,74.980003,73.860001,74.800003,195300,63.019754
2006-10-10,74.550003,74.809998,74.300003,74.480003,197800,62.750151
2006-10-11,74.300003,74.589996,74.07,74.279999,211400,62.581645
2006-10-12,74.379997,74.790001,74.379997,74.779999,132200,63.0029
2006-10-13,74.599998,75.099998,74.389999,74.93,197300,63.129278
2006-10-16,74.989998,75.139999,74.989998,74.989998,193500,63.179826
2006-10-17,74.900002,74.900002,74.239998,74.5,165700,62.766998
2006-10-18,74.75,75.150002,74.089996,74.43,353200,62.708023
2006-10-19,74.43,76.139999,74.43,76.110001,353700,64.12344
2006-10-20,76.080002,76.150002,75.43,75.68,146300,63.76116
2006-10-23,75.550003,76.279999,75.43,76.260002,122900,64.249818
2006-10-24,75.970001,76.050003,75.440002,75.769997,142400,63.836983
2006-10-25,75.550003,76.080002,75.410004,75.919998,226500,63.963361
2006-10-26,76.150002,76.300003,75.540001,76.169998,221100,64.173989
2006-10-27,76.160004,76.940002,76.059998,76.760002,403400,64.671073
2006-10-30,76.150002,77.019997,76.110001,77.0,177300,64.873273
2006-10-31,77.099998,77.739998,76.879997,77.239998,225600,65.075474
2006-11-01,77.449997,77.449997,76.660004,76.669998,211700,64.595244
2006-11-02,75.949997,76.889999,75.900002,76.290001,431500,64.275092
2006-11-03,74.0,76.230003,73.949997,75.900002,550200,63.946514
2006-11-06,75.800003,77.940002,75.800003,77.639999,385800,65.412479
2006-11-07,77.739998,79.120003,77.559998,78.660004,421300,66.271843
2006-11-08,78.300003,79.870003,78.260002,79.449997,280900,66.93742
2006-11-09,79.080002,79.389999,78.910004,79.160004,324200,66.693098
2006-11-10,78.510002,79.989998,78.510002,79.940002,280600,67.350255
2006-11-13,79.599998,79.75,79.010002,79.449997,482800,66.93742
2006-11-14,79.309998,80.910004,79.309998,80.830002,484100,68.100088
2006-11-15,80.830002,81.790001,80.589996,81.5,423000,68.664569
2006-11-16,81.589996,82.599998,81.339996,82.0,398800,69.085824
2006-11-17,81.75,83.019997,81.639999,83.019997,355300,69.945181
2006-11-20,82.68,82.889999,82.32,82.419998,365300,69.439676
2006-11-21,82.379997,83.419998,82.379997,83.379997,542100,70.248485
2006-11-22,83.470001,83.470001,82.870003,83.190002,347900,70.088413
2006-11-24,82.949997,82.980003,82.610001,82.699997,116600,69.675578
2006-11-27,82.949997,82.970001,82.010002,82.010002,457800,69.094251
2006-11-28,81.809998,82.57,81.57,82.360001,374000,69.389128
2006-11-29,82.449997,82.75,82.25,82.730003,395300,69.700859
2006-11-30,82.650002,82.910004,82.18,82.220001,400700,69.271177
2006-12-01,82.129997,82.709999,81.699997,82.599998,370400,69.591328
2006-12-04,82.5,83.5,82.5,83.379997,262100,70.248485
2006-12-05,83.260002,83.459999,83.0,83.32,214700,70.197937
2006-12-06,83.150002,83.260002,82.93,83.019997,259100,69.945181
2006-12-07,83.0,83.169998,82.68,83.050003,251300,69.970462
2006-12-08,83.050003,83.290001,82.760002,83.07,265100,69.987309
2006-12-11,83.0,83.290001,82.589996,83.290001,209600,70.172662
2006-12-12,83.239998,83.330002,82.779999,83.150002,202600,70.054711
2006-12-13,83.25,83.459999,83.019997,83.150002,253100,70.054711
2006-12-14,83.160004,84.25,83.160004,83.269997,331500,70.155809
2006-12-15,83.309998,84.980003,83.279999,84.25,528500,70.981471
2006-12-18,84.099998,84.650002,83.199997,83.75,275100,70.560216
2006-12-19,83.599998,83.75,82.68,83.639999,271600,70.46754
2006-12-20,83.5,83.699997,82.849998,82.870003,274300,69.81881
2006-12-21,82.870003,83.760002,82.669998,83.199997,164500,70.096833
2006-12-22,83.050003,83.199997,82.599998,82.779999,84700,69.74298
2006-12-26,82.839996,83.489998,82.580002,83.410004,82600,70.273766
2006-12-27,83.660004,84.050003,83.580002,83.980003,73100,70.753996
2006-12-28,83.989998,84.0,83.150002,83.160004,133000,70.063138
2006-12-29,83.0,83.309998,82.599998,82.790001,151400,69.751407
2007-01-03,83.099998,83.730003,81.68,82.279999,361200,69.321725
2007-01-04,81.68,82.68,81.5,82.559998,266500,69.557627
2007-01-05,82.43,82.889999,81.910004,82.690002,172200,69.667158
2007-01-08,82.690002,82.93,82.150002,82.790001,145800,69.751407
2007-01-09,82.900002,84.099998,82.550003,84.0,450200,70.770844
2007-01-10,83.779999,84.169998,83.0,83.269997,323300,70.155809
2007-01-11,83.489998,84.730003,83.32,84.620003,340900,71.293202
2007-01-12,84.459999,85.07,84.230003,85.0,203300,71.613354
2007-01-16,85.099998,85.370003,84.160004,84.400002,219800,71.107849
2007-01-17,84.099998,84.790001,83.839996,84.400002,287500,71.107849
2007-01-18,84.400002,85.089996,84.080002,84.370003,323100,71.082575
2007-01-19,84.150002,84.800003,83.610001,84.800003,368500,71.444854
2007-01-22,84.959999,85.300003,83.959999,84.43,171100,71.133123
2007-01-23,84.43,85.199997,84.43,84.75,180500,71.402726
2007-01-24,84.5,85.129997,84.209999,84.57,213000,71.251074
2007-01-25,84.650002,84.650002,83.730003,83.970001,189900,70.745569
2007-01-26,84.150002,84.150002,82.980003,83.550003,241700,70.391717
2007-01-29,83.550003,83.669998,83.190002,83.5,218500,70.349589
2007-01-30,83.650002,84.019997,83.260002,83.800003,172700,70.602344
2007-01-31,83.800003,85.620003,83.559998,85.0,241000,71.613354
2007-02-01,84.25,86.029999,84.25,86.029999,293100,72.481138
2007-02-02,86.0,86.0,82.75,84.529999,592500,71.217373
2007-02-05,84.540001,85.379997,84.540001,85.300003,309100,71.866109
2007-02-06,85.300003,85.730003,84.940002,85.699997,192200,72.203108
2007-02-07,85.699997,87.970001,85.599998,87.660004,555700,73.854434
2007-02-08,87.699997,88.510002,87.57,88.139999,225900,74.258835
2007-02-09,88.25,88.559998,87.07,87.599998,276600,73.803879
2007-02-12,87.800003,88.300003,87.75,88.260002,205000,74.359938
2007-02-13,88.449997,88.839996,88.25,88.699997,177600,74.730638
2007-02-14,88.699997,89.68,88.699997,89.400002,213100,75.320399
