Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,12.0,12.05,11.8,11.98,88800,7.929357
2006-01-04,11.94,12.01,11.85,11.97,71900,7.922739
2006-01-05,11.97,11.97,11.68,11.85,101900,7.843313
2006-01-06,11.9,12.09,11.7,12.0,210000,7.942595
2006-01-09,12.06,12.1,11.8,11.96,63700,7.91612
2006-01-10,11.91,12.2,11.83,12.18,218600,8.061734
2006-01-11,12.18,12.29,12.0,12.26,229600,8.114685
2006-01-12,12.27,12.3,12.02,12.18,187400,8.061734
2006-01-13,12.11,12.17,12.04,12.13,151900,8.02864
2006-01-17,12.6,12.67,12.09,12.17,187800,8.055115
2006-01-18,12.23,12.48,12.2,12.4,147200,8.207348
2006-01-19,12.48,12.71,12.39,12.54,125600,8.300012
2006-01-20,12.56,12.58,12.2,12.5,322100,8.273537
2006-01-23,12.5,12.6,12.37,12.56,126300,8.31325
2006-01-24,12.56,12.6,12.38,12.5,127200,8.273537
2006-01-25,12.5,12.6,12.48,12.59,114300,8.333106
2006-01-26,12.58,12.59,12.48,12.56,121600,8.31325
2006-01-27,12.56,12.72,12.45,12.58,102500,8.326487
2006-01-30,12.52,12.75,12.41,12.74,161900,8.432388
2006-01-31,12.74,13.05,12.74,13.0,201500,8.604478
2006-02-01,12.9,12.96,12.8,12.94,87500,8.564765
2006-02-02,12.88,12.91,12.53,12.68,70100,8.392676
2006-02-03,12.6,12.72,12.29,12.56,52700,8.31325
2006-02-06,12.63,12.64,12.47,12.63,66400,8.359582
2006-02-07,12.57,12.72,12.5,12.7,60200,8.405913
2006-02-08,12.63,12.69,12.52,12.59,49200,8.333106
2006-02-09,12.56,12.69,12.44,12.6,287000,8.339725
2006-02-10,12.55,12.73,12.43,12.65,158400,8.372819
2006-02-13,12.59,12.7,12.5,12.65,65200,8.372819
2006-02-14,12.67,12.67,12.34,12.49,116400,8.266918
2006-02-15,12.49,12.73,12.44,12.7,62100,8.405913
2006-02-16,12.73,12.77,12.63,12.75,248800,8.439007
2006-02-17,12.75,12.85,12.68,12.8,117900,8.472102
2006-02-21,12.79,12.8,12.5,12.7,33700,8.405913
2006-02-22,12.75,12.75,12.6,12.75,190000,8.439007
2006-02-23,12.8,12.81,12.68,12.75,83600,8.439007
2006-02-24,12.74,12.85,12.66,12.72,184800,8.419151
2006-02-27,12.7,12.81,12.7,12.81,95100,8.478721
2006-02-28,12.75,12.9,12.65,12.83,125700,8.491958
2006-03-01,12.88,12.96,12.75,12.96,343700,8.578003
2006-03-02,13.0,13.27,12.98,13.11,122200,8.677285
2006-03-03,13.11,13.56,13.11,13.52,138800,8.948658
2006-03-06,13.58,13.58,13.32,13.4,157300,8.869231
2006-03-07,13.43,13.43,13.13,13.21,330400,8.743474
2006-03-08,13.05,13.05,12.7,13.02,206100,8.617716
2006-03-09,13.0,13.0,12.64,12.65,100800,8.372819
2006-03-10,12.65,12.84,12.65,12.84,78100,8.498577
2006-03-13,12.8,13.0,12.46,12.46,85300,8.247061
2006-03-14,12.47,12.59,12.26,12.57,157300,8.319868
2006-03-15,12.62,12.65,12.49,12.58,90600,8.326487
2006-03-16,12.6,12.72,12.58,12.7,119800,8.405913
2006-03-17,12.83,13.14,12.69,13.02,293400,8.617716
2006-03-20,12.97,13.09,12.85,13.08,91800,8.657429
2006-03-21,13.02,13.07,12.7,12.86,233400,8.511814
2006-03-22,12.77,12.77,12.58,12.66,122500,8.498389
2006-03-23,12.6,12.69,12.43,12.68,210400,8.511815
2006-03-24,12.6,12.97,12.6,12.97,201100,8.706486
2006-03-27,13.0,13.1,12.74,12.99,138600,8.719911
2006-03-28,13.03,13.03,12.91,12.95,51000,8.69306
2006-03-29,12.93,13.24,12.87,13.04,229000,8.753475
2006-03-30,13.24,13.79,13.2,13.72,3294000,9.209945
2006-03-31,13.57,13.81,13.55,13.81,781700,9.27036
2006-04-03,13.75,13.83,13.6,13.67,380700,9.176381
2006-04-04,13.68,13.87,13.55,13.59,403000,9.122679
2006-04-05,13.59,13.65,13.38,13.58,413000,9.115966
2006-04-06,13.53,13.71,13.52,13.65,181000,9.162955
2006-04-07,13.62,13.67,13.48,13.55,441500,9.095828
2006-04-10,13.65,13.79,13.59,13.73,304800,9.216657
2006-04-11,13.72,13.78,13.51,13.52,280400,9.075689
2006-04-12,13.46,13.75,13.45,13.6,141900,9.129392
2006-04-13,13.5,13.63,13.46,13.6,381300,9.129392
2006-04-17,13.6,13.8,13.5,13.6,658500,9.129392
2006-04-18,13.65,13.84,13.56,13.75,219200,9.230083
2006-04-19,13.68,14.0,13.62,13.99,361000,9.39119
2006-04-20,14.05,14.08,13.72,13.8,245700,9.263647
2006-04-21,13.9,14.03,13.82,14.03,158700,9.418041
2006-04-24,14.0,14.0,13.65,13.89,137600,9.324062
2006-04-25,13.89,13.89,13.71,13.85,409900,9.297211
2006-04-26,13.82,13.86,13.7,13.83,217100,9.283785
2006-04-27,13.76,14.78,13.75,14.24,308300,9.55901
