Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,26.4,26.5,25.4,25.75,443600,10.580175
2006-01-04,25.700001,26.4,25.18,26.4,371000,10.847247
2006-01-05,26.299999,26.92,25.860001,26.450001,742400,10.867791
2006-01-06,26.65,26.790001,26.309999,26.780001,344800,11.003382
2006-01-09,26.709999,26.879999,26.51,26.82,307000,11.019817
2006-01-10,26.75,27.07,26.68,27.02,164600,11.101993
2006-01-11,27.1,28.0,26.9,27.18,489800,11.167734
2006-01-12,27.1,27.15,26.74,27.040001,293400,11.110211
2006-01-13,27.040001,27.200001,26.65,26.790001,103600,11.007491
2006-01-17,26.700001,26.700001,26.02,26.15,131200,10.744527
2006-01-18,26.049999,26.48,25.6,25.870001,206200,10.629481
2006-01-19,25.91,26.549999,25.540001,26.51,255800,10.892444
2006-01-20,26.6,26.6,25.9,26.389999,324600,10.843138
2006-01-23,26.49,27.0,26.25,27.0,206600,11.093775
2006-01-24,27.0,27.49,26.879999,27.43,654000,11.270454
2006-01-25,27.75,27.950001,27.459999,27.700001,344600,11.381392
2006-01-26,27.85,28.1,27.26,27.549999,242200,11.319759
2006-01-27,27.549999,27.559999,26.83,27.0,319600,11.093775
2006-01-30,26.9,27.139999,26.77,27.040001,230400,11.110211
2006-01-31,27.0,27.0,26.32,26.73,247800,10.982837
2006-02-01,26.719999,27.559999,26.719999,27.549999,470600,11.319759
2006-02-02,29.4,29.4,28.290001,28.6,1308000,11.751184
2006-02-03,28.4,28.780001,28.299999,28.370001,539200,11.656682
2006-02-06,28.6,28.66,28.299999,28.57,367800,11.738858
2006-02-07,28.299999,28.620001,26.83,27.1,365600,11.134863
2006-02-08,27.27,27.58,26.9,27.4,210600,11.258127
2006-02-09,27.57,27.57,27.040001,27.120001,197000,11.143081
2006-02-10,27.26,27.860001,26.58,27.799999,203400,11.422479
2006-02-13,27.75,27.82,26.98,27.120001,139000,11.143081
2006-02-14,27.09,27.75,26.83,27.58,241600,11.332086
2006-02-15,27.42,28.290001,27.049999,28.040001,298800,11.521091
2006-02-16,28.1,28.370001,27.879999,28.030001,210800,11.516983
2006-02-17,28.1,28.25,27.690001,28.219999,112200,11.595049
2006-02-21,28.110001,28.209999,27.879999,28.17,209200,11.574506
2006-02-22,28.32,28.75,28.15,28.620001,229800,11.759402
2006-02-23,28.4,28.620001,27.809999,28.030001,447200,11.516983
2006-02-24,27.950001,28.129999,27.6,27.959999,156600,11.48822
2006-02-27,28.120001,28.549999,27.950001,28.440001,305400,11.685444
2006-02-28,28.4,28.58,28.16,28.58,203000,11.742967
2006-03-01,28.58,30.200001,28.58,29.76,314000,12.227806
