Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,18.5,19.58,18.5,19.450001,1176500,17.939283
2006-01-04,19.5,19.73,19.379999,19.530001,673800,18.013069
2006-01-05,19.530001,19.65,19.379999,19.5,359600,17.985398
2006-01-06,19.549999,19.77,19.459999,19.68,430100,18.151418
2006-01-09,19.67,19.84,19.280001,19.299999,441200,17.800932
2006-01-10,19.280001,19.5,19.17,19.370001,275900,17.865496
2006-01-11,19.440001,19.59,18.98,19.57,476200,18.049961
2006-01-12,19.42,19.450001,19.1,19.25,220800,17.754816
2006-01-13,19.799999,19.799999,19.08,19.16,287700,17.671807
2006-01-17,18.99,19.09,18.75,18.959999,255000,17.48734
2006-01-18,18.91,19.17,18.91,19.120001,318100,17.634914
2006-01-19,19.450001,19.940001,19.299999,19.92,600700,18.372776
2006-01-20,19.99,19.99,19.23,19.309999,469000,17.810155
2006-01-23,19.299999,19.299999,18.629999,18.75,442500,17.293652
2006-01-24,18.860001,19.610001,18.860001,19.559999,280700,18.040737
2006-01-25,19.52,20.52,19.299999,19.799999,886300,18.262096
2006-01-26,19.9,21.049999,19.9,20.76,525400,19.147532
2006-01-27,22.0,24.290001,21.5,23.610001,2219200,21.776167
2006-01-30,23.450001,23.82,23.190001,23.290001,1705100,21.481023
2006-01-31,23.24,23.5,22.809999,22.99,533100,21.204323
2006-02-01,23.0,23.469999,22.940001,23.25,639500,21.444129
2006-02-02,23.15,23.360001,22.700001,22.85,463800,21.075198
2006-02-03,22.85,23.24,22.73,22.73,529200,20.964518
2006-02-06,22.77,22.860001,22.51,22.77,385200,21.001412
2006-02-07,22.860001,23.440001,22.85,23.299999,558100,21.490244
2006-02-08,23.299999,23.48,23.040001,23.25,409200,21.444129
2006-02-09,23.200001,23.32,22.98,23.1,314200,21.30578
2006-02-10,23.139999,23.25,22.83,23.1,280200,21.30578
2006-02-13,23.049999,23.1,22.73,22.84,288600,21.065974
2006-02-14,22.9,23.15,22.66,22.9,262800,21.121313
2006-02-15,22.799999,23.0,22.530001,22.92,338700,21.13976
2006-02-16,23.040001,23.1,22.75,22.959999,139000,21.176653
2006-02-17,23.049999,23.049999,22.700001,22.780001,193200,21.010635
2006-02-21,22.75,22.959999,22.629999,22.870001,549800,21.093645
2006-02-22,22.98,23.379999,22.940001,23.190001,227900,21.388789
2006-02-23,23.6,24.190001,23.6,23.959999,512200,22.098981
2006-02-24,23.9,24.299999,23.73,24.27,472800,22.384904
2006-02-27,24.290001,24.68,24.200001,24.49,655500,22.587815
2006-02-28,23.75,23.75,23.24,23.48,1087100,21.656264
2006-03-01,23.48,24.08,23.440001,23.99,632100,22.126651
2006-03-02,23.940001,23.950001,23.5,23.59,378000,21.75772
2006-03-03,23.34,24.059999,23.120001,23.709999,773000,21.868399
2006-03-06,22.950001,24.17,22.950001,23.620001,1002300,21.785391
2006-03-07,23.4,24.0,23.200001,23.49,526700,21.665487
2006-03-08,23.49,23.719999,23.120001,23.48,214200,21.656264
2006-03-09,23.58,24.09,23.5,23.85,317900,21.997526
2006-03-10,23.85,24.26,23.73,24.209999,633100,22.329563
2006-03-13,24.110001,24.190001,23.370001,23.440001,456400,21.619371
2006-03-14,23.43,23.43,23.030001,23.200001,957900,21.398013
2006-03-15,23.200001,23.25,23.07,23.18,536600,21.379566
2006-03-16,23.25,23.299999,23.07,23.17,1756800,21.370342
2006-03-17,23.08,23.209999,23.01,23.110001,977600,21.315003
2006-03-20,23.17,23.18,22.639999,22.799999,1185800,21.02908
2006-03-21,22.799999,22.799999,21.969999,22.0,746100,20.291219
2006-03-22,22.08,22.219999,21.709999,22.129999,719700,20.41112
2006-03-23,22.049999,22.559999,21.82,22.379999,1249600,20.641702
2006-03-24,22.42,22.42,22.08,22.309999,242700,20.57714
2006-03-27,22.4,22.65,22.299999,22.49,283800,20.743159
2006-03-28,22.52,22.6,22.35,22.49,396000,20.743159
2006-03-29,22.58,22.58,22.35,22.469999,430800,20.724712
2006-03-30,22.4,22.549999,22.309999,22.450001,226300,20.706267
2006-03-31,22.58,22.799999,22.370001,22.77,411600,21.001412
2006-04-03,22.780001,22.780001,21.969999,22.26,400800,20.531024
2006-04-04,22.379999,22.469999,22.17,22.290001,383100,20.558695
2006-04-05,22.389999,22.540001,22.110001,22.41,283100,20.669373
2006-04-06,22.35,22.389999,21.959999,22.280001,576100,20.549471
2006-04-07,22.4,22.51,21.9,21.950001,760800,20.245103
2006-04-10,21.950001,22.35,21.91,22.0,410400,20.291219
2006-04-11,22.4,22.4,21.790001,21.85,229800,20.15287
2006-04-12,21.85,22.190001,21.83,22.02,126600,20.309666
2006-04-13,22.02,22.02,21.52,21.68,283200,19.996074
2006-04-17,21.26,21.790001,21.25,21.68,238100,19.996074
2006-04-18,21.75,22.549999,21.75,22.459999,480200,20.715489
2006-04-19,22.469999,22.67,22.209999,22.49,744700,20.743159
2006-04-20,22.42,22.5,22.08,22.450001,280700,20.706267
2006-04-21,22.67,22.67,21.84,22.08,238200,20.365005
2006-04-24,22.08,22.110001,21.67,22.02,277300,20.309666
2006-04-25,22.1,22.16,21.620001,21.790001,335100,20.09753
2006-04-26,24.5,27.75,23.4,25.950001,4326800,23.934415
2006-04-27,25.51,26.309999,25.51,25.59,1457100,23.602377
2006-04-28,25.59,26.370001,25.4,25.860001,904100,23.851406
2006-05-01,25.889999,25.940001,25.610001,25.67,656400,23.676163
2006-05-02,25.67,25.790001,25.48,25.66,818500,23.666939
2006-05-03,25.610001,25.66,24.93,25.059999,448900,23.113542
2006-05-04,24.950001,25.07,24.799999,24.92,321900,22.984417
2006-05-05,24.950001,25.0,24.76,24.82,470000,22.892184
2006-05-08,25.0,25.370001,24.940001,25.17,705500,23.214999
2006-05-09,25.049999,25.33,24.92,25.23,387400,23.270338
2006-05-10,25.200001,25.34,24.82,24.9,789000,22.96597
2006-05-11,24.9,25.040001,24.360001,24.540001,602300,22.633933
2006-05-12,24.040001,24.68,24.01,24.5,1148100,22.597039
2006-05-15,24.4,24.440001,24.059999,24.42,541800,22.523253
2006-05-16,24.35,24.6,24.35,24.379999,340900,22.486359
2006-05-17,24.129999,24.51,23.879999,24.25,579500,22.366457
2006-05-18,24.24,24.67,24.09,24.18,644600,22.301894
2006-05-19,24.08,24.559999,24.0,24.219999,556100,22.338786
2006-05-22,24.030001,24.799999,24.01,24.43,559200,22.532476
2006-05-23,24.370001,24.700001,24.25,24.290001,663100,22.403351
2006-05-24,24.35,24.799999,24.1,24.639999,624500,22.726164
2006-05-25,24.700001,24.809999,24.0,24.389999,371400,22.495582
2006-05-26,24.43,24.700001,24.33,24.41,137500,22.514029
2006-05-30,24.25,24.26,23.93,24.17,436200,22.292671
2006-05-31,24.190001,24.67,24.059999,24.5,322300,22.597039
2006-06-01,24.629999,24.73,24.280001,24.66,241000,22.744611
2006-06-02,24.66,24.709999,24.200001,24.540001,225200,22.633933
2006-06-05,24.440001,24.48,23.9,23.940001,422500,22.080536
2006-06-06,23.940001,24.43,23.67,23.889999,356100,22.034418
2006-06-07,23.91,24.299999,23.65,23.799999,365900,21.951408
2006-06-08,24.1,24.48,23.34,24.360001,662900,22.467913
2006-06-09,24.34,24.34,24.02,24.07,396100,22.200437
2006-06-12,24.0,24.0,23.610001,23.77,437300,21.92374
2006-06-13,23.620001,24.120001,23.530001,23.719999,955900,21.877622
2006-06-14,23.690001,23.74,23.02,23.33,257300,21.517915
2006-06-15,23.4,23.85,23.299999,23.82,306600,21.969855
2006-06-16,23.790001,23.799999,22.91,23.389999,1084800,21.573254
2006-06-19,23.32,23.33,22.65,22.83,334200,21.056751
2006-06-20,22.73,22.790001,22.370001,22.450001,276200,20.706267
2006-06-21,22.389999,22.9,22.35,22.83,351100,21.056751
2006-06-22,22.719999,23.08,22.719999,23.01,851800,21.22277
2006-06-23,22.860001,23.41,22.809999,22.950001,705600,21.167431
2006-06-26,23.0,23.200001,22.77,22.84,492800,21.065974
2006-06-27,22.84,22.9,22.200001,22.24,250400,20.512577
2006-06-28,22.16,22.17,21.780001,21.959999,416300,20.254325
2006-06-29,22.049999,22.49,21.860001,22.27,1229300,20.540248
2006-06-30,22.41,22.450001,21.9,21.969999,460600,20.263548
2006-07-03,22.0,22.09,21.85,22.08,226500,20.365005
2006-07-05,22.049999,22.049999,21.370001,21.450001,414900,19.783939
2006-07-06,21.43,21.549999,21.219999,21.370001,467500,19.710153
2006-07-07,21.42,21.42,20.950001,21.040001,340100,19.405784
2006-07-10,21.09,21.09,20.620001,20.690001,430300,19.082969
2006-07-11,20.549999,21.07,20.469999,21.02,452300,19.387337
2006-07-12,20.91,20.950001,20.27,20.309999,446000,18.732484
2006-07-13,20.15,20.639999,20.120001,20.17,467100,18.603358
2006-07-14,20.23,20.23,19.75,19.9,355400,18.354329
2006-07-17,19.85,20.219999,19.85,20.1,718200,18.538795
2006-07-18,20.200001,20.32,19.950001,20.24,305100,18.667921
2006-07-19,20.27,21.219999,20.18,21.190001,483100,19.544133
2006-07-20,21.18,21.4,20.5,20.559999,360000,18.963066
2006-07-21,20.549999,20.9,20.360001,20.66,380200,19.055299
2006-07-24,20.91,21.18,20.74,20.969999,295100,19.34122
2006-07-25,20.92,21.42,20.719999,21.290001,239000,19.636366
2006-07-26,21.17,21.290001,20.709999,21.02,290400,19.387337
2006-07-27,21.059999,21.389999,20.610001,20.639999,295500,19.036852
2006-07-28,20.799999,21.389999,20.790001,21.190001,228600,19.544133
2006-07-31,21.280001,21.290001,20.879999,21.1,245000,19.461124
2006-08-01,21.0,21.07,20.610001,20.73,188600,19.119861
2006-08-02,20.9,21.49,20.860001,21.17,322300,19.525686
2006-08-03,21.07,21.48,20.92,21.309999,139000,19.654812
2006-08-04,21.450001,21.530001,20.450001,20.709999,387100,19.101414
2006-08-07,21.5,23.040001,21.450001,22.379999,916000,20.641702
2006-08-08,22.34,22.360001,21.559999,21.66,415700,19.977627
2006-08-09,21.790001,21.99,21.33,21.379999,312800,19.719374
2006-08-10,21.190001,21.73,21.01,21.57,227900,19.894617
2006-08-11,21.48,21.48,21.02,21.129999,199300,19.488792
2006-08-14,21.34,22.129999,21.030001,21.65,336900,19.968403
2006-08-15,21.9,22.290001,21.709999,22.15,491100,20.429567
2006-08-16,22.15,22.370001,21.98,22.209999,217000,20.484907
2006-08-17,22.15,23.620001,22.0,23.299999,653500,21.490244
2006-08-18,22.799999,22.84,20.139999,20.65,1927800,19.046075
2006-08-21,20.66,21.49,20.299999,21.379999,1239400,19.719374
2006-08-22,22.200001,22.48,21.629999,21.85,739300,20.15287
2006-08-23,22.01,22.370001,21.959999,22.299999,525700,20.567916
2006-08-24,22.4,22.440001,21.82,22.219999,609600,20.49413
2006-08-25,22.25,22.559999,22.16,22.52,382200,20.77083
2006-08-28,22.48,22.84,22.299999,22.4,681600,20.660149
2006-08-29,22.379999,22.629999,21.76,22.629999,437900,20.872284
2006-08-30,22.700001,22.700001,22.25,22.27,569900,20.540248
2006-08-31,21.9,22.58,21.9,22.35,352000,20.614034
2006-09-01,22.450001,22.719999,22.200001,22.459999,228500,20.715489
2006-09-05,22.360001,22.559999,22.110001,22.25,562600,20.521801
2006-09-06,22.15,22.33,22.0,22.18,257600,20.457238
2006-09-07,22.030001,22.030001,21.43,21.49,259500,19.820831
2006-09-08,21.52,21.700001,21.35,21.57,278500,19.894617
2006-09-11,21.469999,22.08,21.33,21.82,225100,20.125199
2006-09-12,21.889999,22.6,21.690001,22.5,291200,20.752383
2006-09-13,22.530001,22.809999,22.469999,22.67,212300,20.909178
