Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,26.67,27.82,26.639999,27.700001,1419800,27.700001
2006-01-04,27.719999,28.799999,27.719999,28.59,876300,28.59
2006-01-05,28.65,28.879999,28.290001,28.76,1278700,28.76
2006-01-06,28.9,29.360001,28.700001,28.99,1224700,28.99
2006-01-09,28.809999,29.15,28.77,29.049999,694700,29.049999
2006-01-10,28.889999,29.129999,28.700001,29.09,794600,29.09
2006-01-11,29.049999,29.1,28.57,28.700001,589600,28.700001
2006-01-12,28.59,28.82,28.25,28.27,365900,28.27
2006-01-13,28.25,28.559999,28.1,28.49,271300,28.49
2006-01-17,28.280001,28.49,27.940001,28.35,196400,28.35
2006-01-18,28.15,28.58,28.1,28.32,223100,28.32
2006-01-19,28.5,28.99,28.02,28.200001,495800,28.200001
2006-01-20,28.25,28.290001,27.74,27.889999,851700,27.889999
2006-01-23,27.9,28.18,27.700001,27.77,479500,27.77
2006-01-24,27.91,28.0,27.57,27.709999,341100,27.709999
2006-01-25,27.67,27.98,27.049999,27.219999,447600,27.219999
2006-01-26,27.309999,27.35,26.75,27.16,736600,27.16
2006-01-27,27.299999,27.629999,26.99,27.299999,373100,27.299999
2006-01-30,27.389999,27.75,27.16,27.32,369600,27.32
2006-01-31,27.23,28.25,27.16,27.65,1152600,27.65
2006-02-01,26.74,29.41,26.18,28.6,2471100,28.6
2006-02-02,27.889999,28.469999,27.870001,28.139999,1124800,28.139999
2006-02-03,28.02,28.389999,27.68,27.76,547000,27.76
2006-02-06,27.65,28.25,27.620001,28.059999,418600,28.059999
2006-02-07,27.99,28.25,27.68,28.17,574200,28.17
2006-02-08,28.0,28.01,27.059999,27.5,622300,27.5
2006-02-09,27.73,27.93,27.4,27.51,424100,27.51
2006-02-10,27.4,27.92,27.219999,27.73,282400,27.73
2006-02-13,27.43,27.549999,25.889999,26.360001,1053500,26.360001
2006-02-14,26.389999,26.93,26.360001,26.73,361300,26.73
2006-02-15,26.65,27.120001,26.360001,26.639999,226300,26.639999
2006-02-16,26.709999,26.99,26.66,26.93,432500,26.93
2006-02-17,27.0,27.0,26.18,26.26,688000,26.26
2006-02-21,26.26,26.459999,25.780001,25.959999,390400,25.959999
2006-02-22,26.1,26.1,25.57,25.719999,592000,25.719999
2006-02-23,25.57,26.540001,25.389999,26.32,598200,26.32
2006-02-24,26.32,26.57,26.16,26.27,244000,26.27
2006-02-27,26.33,27.049999,26.200001,26.809999,467500,26.809999
2006-02-28,26.690001,26.92,26.690001,26.82,465000,26.82
2006-03-01,27.01,28.15,26.77,27.889999,782000,27.889999
2006-03-02,27.389999,27.940001,27.23,27.52,446100,27.52
2006-03-03,27.5,28.17,27.379999,27.92,554600,27.92
2006-03-06,27.940001,28.030001,27.0,27.43,320100,27.43
2006-03-07,27.290001,27.450001,26.370001,26.629999,320600,26.629999
2006-03-08,26.59,27.209999,26.120001,27.15,321000,27.15
2006-03-09,27.209999,27.280001,26.51,26.639999,329900,26.639999
2006-03-10,26.540001,26.9,25.84,26.57,329700,26.57
2006-03-13,26.49,26.67,26.280001,26.51,235200,26.51
2006-03-14,26.540001,26.93,26.26,26.889999,151800,26.889999
2006-03-15,26.84,26.99,26.32,26.9,309400,26.9
2006-03-16,26.9,27.08,26.549999,26.639999,307400,26.639999
2006-03-17,26.77,27.209999,26.4,26.93,606100,26.93
2006-03-20,26.889999,27.049999,26.65,26.83,241000,26.83
2006-03-21,26.5,27.15,26.440001,26.5,263800,26.5
2006-03-22,26.379999,27.32,26.290001,27.25,437600,27.25
2006-03-23,27.139999,27.68,27.139999,27.620001,399500,27.620001
2006-03-24,27.690001,28.1,27.299999,27.98,438900,27.98
2006-03-27,27.860001,28.24,27.67,28.209999,374000,28.209999
2006-03-28,27.99,28.34,27.91,28.059999,369400,28.059999
2006-03-29,28.049999,28.799999,28.049999,28.66,341000,28.66
2006-03-30,29.0,29.0,28.02,28.48,238800,28.48
2006-03-31,28.379999,28.49,27.93,27.969999,371400,27.969999
2006-04-03,28.18,28.41,27.51,27.639999,356700,27.639999
2006-04-04,27.610001,28.0,27.370001,27.639999,408500,27.639999
2006-04-05,27.6,28.35,27.51,28.27,543500,28.27
2006-04-06,28.35,28.4,27.75,28.0,372000,28.0
2006-04-07,28.1,28.35,27.4,27.639999,320400,27.639999
2006-04-10,27.559999,28.059999,27.450001,27.5,422200,27.5
2006-04-11,27.459999,27.809999,26.93,27.16,222400,27.16
2006-04-12,27.049999,27.700001,26.870001,27.67,222200,27.67
2006-04-13,27.639999,28.5,27.309999,28.25,457100,28.25
2006-04-17,28.299999,28.469999,27.98,28.360001,422300,28.360001
2006-04-18,28.32,28.889999,28.16,28.879999,659500,28.879999
2006-04-19,29.02,29.85,29.01,29.18,737100,29.18
2006-04-20,29.129999,29.33,28.440001,29.059999,438600,29.059999
2006-04-21,28.0,28.469999,27.6,28.139999,938300,28.139999
2006-04-24,28.059999,28.25,27.5,27.5,555400,27.5
2006-04-25,27.52,28.25,27.25,28.129999,735600,28.129999
2006-04-26,28.030001,28.110001,27.120001,27.360001,507400,27.360001
2006-04-27,27.16,27.99,26.9,27.23,332200,27.23
2006-04-28,27.219999,27.690001,27.129999,27.459999,402400,27.459999
2006-05-01,27.530001,27.549999,26.66,26.790001,358900,26.790001
2006-05-02,26.9,27.52,26.83,27.33,285000,27.33
2006-05-03,27.379999,27.540001,26.809999,27.32,399100,27.32
2006-05-04,27.27,28.389999,27.27,28.24,735800,28.24
2006-05-05,28.26,28.360001,27.889999,27.889999,289200,27.889999
2006-05-08,27.83,27.950001,26.969999,27.139999,413800,27.139999
2006-05-09,27.040001,27.459999,26.809999,27.25,263500,27.25
2006-05-10,27.1,27.25,26.65,27.0,210800,27.0
2006-05-11,27.08,27.17,25.940001,26.0,362900,26.0
2006-05-12,26.0,26.299999,25.6,26.02,620900,26.02
2006-05-15,25.91,26.4,25.74,26.0,405800,26.0
2006-05-16,26.25,26.43,25.99,26.030001,363400,26.030001
2006-05-17,25.84,25.950001,24.950001,25.26,382000,25.26
2006-05-18,25.41,26.01,25.25,25.57,462800,25.57
2006-05-19,25.469999,25.799999,24.629999,25.57,433700,25.57
2006-05-22,25.379999,25.65,24.02,24.6,1001900,24.6
2006-05-23,24.709999,24.98,23.940001,23.959999,752500,23.959999
2006-05-24,23.9,24.07,23.43,23.790001,1006800,23.790001
2006-05-25,23.969999,24.5,23.67,24.469999,272300,24.469999
2006-05-26,24.540001,24.860001,24.040001,24.58,322000,24.58
2006-05-30,24.5,24.940001,23.9,24.0,457900,24.0
2006-05-31,24.16,24.16,23.129999,23.450001,736200,23.450001
2006-06-01,23.34,23.59,23.25,23.379999,886900,23.379999
2006-06-02,23.620001,24.01,22.780001,22.92,1113300,22.92
2006-06-05,22.780001,22.950001,22.190001,22.25,946500,22.25
2006-06-06,22.370001,22.48,21.799999,22.17,1007500,22.17
2006-06-07,22.200001,22.5,21.9,22.17,1270500,22.17
2006-06-08,22.0,22.23,21.379999,21.67,1043100,21.67
2006-06-09,21.790001,22.129999,21.389999,21.459999,660400,21.459999
2006-06-12,21.889999,22.0,20.74,20.93,676100,20.93
2006-06-13,20.790001,21.879999,20.15,20.209999,1227100,20.209999
2006-06-14,20.25,21.049999,20.17,20.969999,1364500,20.969999
2006-06-15,21.0,21.6,20.950001,21.51,1066400,21.51
2006-06-16,21.469999,21.700001,21.110001,21.549999,1193000,21.549999
2006-06-19,21.48,21.68,20.93,20.940001,419500,20.940001
2006-06-20,20.870001,21.01,20.620001,20.85,539900,20.85
2006-06-21,20.85,21.620001,20.83,21.48,703400,21.48
2006-06-22,21.32,21.43,20.65,20.719999,685700,20.719999
2006-06-23,20.690001,20.780001,20.4,20.49,895200,20.49
2006-06-26,20.6,20.68,20.200001,20.43,686800,20.43
2006-06-27,20.379999,20.790001,20.309999,20.370001,465300,20.370001
2006-06-28,20.51,20.51,19.85,20.1,343800,20.1
2006-06-29,20.190001,20.58,20.16,20.35,538200,20.35
2006-06-30,20.450001,21.120001,20.370001,20.879999,936500,20.879999
2006-07-03,20.809999,20.879999,20.530001,20.84,147200,20.84
2006-07-05,20.73,20.879999,20.200001,20.299999,631200,20.299999
2006-07-06,20.42,20.780001,20.299999,20.629999,376200,20.629999
2006-07-07,20.6,20.76,19.879999,20.01,399600,20.01
2006-07-10,20.059999,20.24,19.92,20.07,388400,20.07
2006-07-11,19.969999,20.379999,19.92,20.209999,329100,20.209999
2006-07-12,20.1,20.35,19.969999,20.059999,542600,20.059999
2006-07-13,19.99,20.23,19.75,19.9,412200,19.9
2006-07-14,19.91,20.040001,19.809999,19.83,608500,19.83
2006-07-17,20.709999,21.49,20.6,21.030001,1427200,21.030001
2006-07-18,21.24,21.549999,20.58,20.870001,862800,20.870001
2006-07-19,20.9,21.23,20.85,21.15,751700,21.15
2006-07-20,20.0,20.4,19.25,19.540001,3520900,19.540001
2006-07-21,19.42,19.530001,19.110001,19.129999,949600,19.129999
2006-07-24,19.24,19.709999,19.15,19.49,419900,19.49
2006-07-25,19.58,19.9,19.540001,19.73,496800,19.73
2006-07-26,19.629999,19.959999,19.5,19.639999,386700,19.639999
2006-07-27,19.83,20.049999,19.17,19.559999,759700,19.559999
2006-07-28,19.719999,20.370001,19.469999,20.360001,840300,20.360001
2006-07-31,20.280001,20.370001,19.98,20.18,695600,20.18
2006-08-01,19.950001,20.0,19.67,19.84,567100,19.84
2006-08-02,19.93,20.610001,19.889999,20.58,492000,20.58
2006-08-03,20.35,21.23,20.27,21.200001,573300,21.200001
2006-08-04,21.370001,21.709999,21.190001,21.299999,620100,21.299999
2006-08-07,21.219999,21.559999,20.940001,21.299999,580400,21.299999
2006-08-08,21.450001,21.610001,21.16,21.190001,586200,21.190001
2006-08-09,21.459999,21.709999,21.23,21.299999,473400,21.299999
2006-08-10,21.299999,21.74,21.200001,21.65,369500,21.65
2006-08-11,21.5,21.65,21.35,21.610001,389900,21.610001
2006-08-14,21.75,21.870001,21.4,21.440001,258700,21.440001
2006-08-15,21.799999,22.209999,21.48,22.17,384000,22.17
2006-08-16,22.280001,23.059999,22.16,23.01,841400,23.01
2006-08-17,22.889999,23.66,22.879999,23.51,873600,23.51
2006-08-18,23.629999,23.629999,23.030001,23.370001,433700,23.370001
2006-08-21,23.219999,23.23,22.91,23.1,282200,23.1
2006-08-22,23.15,23.440001,23.09,23.309999,314300,23.309999
2006-08-23,23.440001,23.450001,22.889999,23.08,216200,23.08
2006-08-24,23.209999,23.219999,22.790001,22.9,296100,22.9
2006-08-25,22.780001,23.18,22.6,22.870001,258200,22.870001
2006-08-28,22.84,23.15,22.73,23.15,277600,23.15
2006-08-29,23.15,23.219999,22.780001,23.190001,315600,23.190001
2006-08-30,23.25,23.48,22.93,23.17,504600,23.17
2006-08-31,23.26,23.309999,23.030001,23.040001,279600,23.040001
2006-09-01,23.120001,23.41,22.91,23.209999,191500,23.209999
2006-09-05,23.139999,23.73,23.07,23.6,310400,23.6
2006-09-06,23.559999,23.559999,22.93,23.200001,319400,23.200001
2006-09-07,23.02,23.389999,22.799999,23.049999,369700,23.049999
