Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,36.82,37.77,36.790001,37.630001,537300,32.613318
2006-01-04,37.490002,38.240002,37.369999,38.099998,807500,33.020658
2006-01-05,38.200001,38.310001,37.66,38.049999,715100,32.977324
2006-01-06,38.349998,38.540001,37.98,38.540001,743500,33.402001
2006-01-09,38.700001,38.950001,38.150002,38.349998,942000,33.237329
2006-01-10,38.25,38.91,38.119999,38.880001,505100,33.696673
2006-01-11,38.82,39.02,38.57,38.970001,631000,33.774675
2006-01-12,38.84,38.900002,38.18,38.23,584300,33.133327
2006-01-13,38.169998,38.619999,38.16,38.43,321800,33.306665
2006-01-17,38.360001,38.75,38.299999,38.73,471600,33.566669
2006-01-18,38.25,38.639999,38.0,38.200001,652800,33.107328
2006-01-19,38.299999,38.299999,37.880001,38.150002,712100,33.063994
2006-01-20,38.200001,38.630001,38.200001,38.299999,591600,33.193995
2006-01-23,38.450001,38.470001,37.799999,37.93,478400,32.873323
2006-01-24,37.860001,38.139999,37.599998,38.09,513700,33.011992
2006-01-25,38.080002,38.080002,37.549999,37.810001,722900,32.769322
2006-01-26,37.810001,37.810001,35.82,36.200001,1852400,31.37396
2006-01-27,36.25,37.02,36.060001,36.73,1145300,31.833301
2006-01-30,36.720001,36.939999,36.400002,36.700001,826400,31.807302
2006-01-31,36.700001,37.049999,36.540001,36.900002,1227800,31.980639
2006-02-01,36.849998,37.189999,36.490002,36.529999,653600,31.659964
2006-02-02,36.299999,36.66,36.150002,36.470001,689600,31.607965
2006-02-03,36.299999,36.560001,36.27,36.439999,479100,31.581962
2006-02-06,36.400002,36.75,36.299999,36.32,801200,31.477961
2006-02-07,36.369999,36.369999,35.830002,35.860001,702300,31.079287
2006-02-08,36.099998,36.099998,35.290001,35.330002,1206300,30.800315
2006-02-09,35.27,35.68,35.029999,35.029999,689900,30.538775
2006-02-10,34.98,35.18,34.66,34.740002,653000,30.285959
2006-02-13,34.639999,35.029999,34.52,34.93,548700,30.451598
2006-02-14,34.720001,34.75,34.049999,34.27,919700,29.876217
2006-02-15,34.220001,34.68,34.18,34.279999,676300,29.884933
2006-02-16,34.349998,34.849998,34.23,34.849998,676900,30.381853
2006-02-17,34.849998,35.380001,34.75,35.080002,562300,30.582367
2006-02-21,35.09,35.48,35.02,35.130001,375900,30.625956
