Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,36.5,37.330002,36.43,37.099998,321900,31.397198
2006-01-04,37.240002,37.57,36.900002,37.080002,311200,31.380275
2006-01-05,37.0,37.060001,36.790001,36.950001,108600,31.270257
2006-01-06,37.09,37.470001,36.66,36.830002,199400,31.168704
2006-01-09,36.919998,36.990002,36.700001,36.900002,236300,31.227944
2006-01-10,36.849998,37.400002,36.849998,37.400002,178700,31.651087
2006-01-11,37.419998,37.68,37.169998,37.389999,162300,31.642622
2006-01-12,37.32,37.450001,36.560001,36.740002,171400,31.092538
2006-01-13,37.27,37.77,37.130001,37.23,487400,31.507216
2006-01-17,37.299999,37.299999,36.700001,36.77,283900,31.117926
2006-01-18,36.549999,37.040001,36.310001,36.700001,130500,31.058686
2006-01-19,36.669998,36.860001,36.259998,36.330002,207300,30.745561
2006-01-20,36.450001,36.459999,35.950001,35.959999,232000,30.432433
2006-01-23,36.169998,36.169998,35.68,35.810001,175300,30.305492
2006-01-24,35.75,36.130001,35.740002,36.029999,170100,30.491673
2006-01-25,36.240002,36.400002,35.830002,36.209999,372900,30.644004
2006-01-26,36.18,37.130001,36.110001,36.98,444000,31.295645
2006-01-27,36.880001,38.310001,36.830002,37.580002,493000,31.803418
2006-01-30,37.66,38.099998,36.950001,37.119999,254100,31.414124
2006-01-31,36.900002,37.23,36.16,36.91,305200,31.236405
2006-02-01,36.869999,37.259998,36.759998,36.790001,239900,31.134852
2006-02-02,36.57,36.919998,36.119999,36.34,98600,30.754022
2006-02-03,36.18,36.349998,36.060001,36.330002,164400,30.745561
2006-02-06,36.09,36.880001,35.110001,35.130001,328000,29.770991
2006-02-07,35.23,35.59,34.830002,35.509998,272100,30.093021
2006-02-08,35.470001,35.75,35.169998,35.419998,228000,30.01675
2006-02-09,35.5,35.619999,35.099998,35.299999,239900,29.915057
2006-02-10,35.43,35.669998,35.150002,35.669998,128700,30.228613
2006-02-13,35.5,35.77,35.09,35.259998,193000,29.881158
2006-02-14,35.349998,35.5,35.25,35.470001,119300,30.059125
2006-02-15,35.299999,35.759998,35.27,35.75,100400,30.296411
2006-02-16,35.650002,35.98,35.639999,35.669998,85600,30.228613
2006-02-17,35.599998,35.66,35.310001,35.5,116500,30.084548
2006-02-21,35.439999,35.77,35.389999,35.73,161700,30.279461
2006-02-22,35.790001,36.740002,35.790001,36.560001,194400,30.982848
2006-02-23,36.650002,37.220001,36.439999,36.5,181500,30.932
2006-02-24,36.619999,37.169998,36.310001,37.02,312100,31.372675
2006-02-27,37.0,37.52,37.0,37.43,198700,31.72013
2006-02-28,37.34,38.25,37.27,37.689999,347900,31.940466
2006-03-01,37.810001,37.82,37.25,37.610001,271500,31.872672
2006-03-02,37.509998,37.860001,37.509998,37.849998,131800,32.076059
2006-03-03,37.709999,37.810001,36.759998,36.869999,231400,31.245556
2006-03-06,36.830002,36.830002,36.419998,36.52,101900,30.948949
2006-03-07,36.509998,36.669998,36.349998,36.66,103500,31.067592
2006-03-08,36.400002,36.759998,36.400002,36.580002,101700,30.999797
2006-03-09,36.650002,36.759998,36.099998,36.130001,110300,30.618443
2006-03-10,36.389999,37.099998,36.18,37.02,138800,31.372675
2006-03-13,37.189999,37.700001,37.18,37.470001,233200,31.754029
2006-03-14,37.599998,37.849998,37.279999,37.720001,221800,31.965892
2006-03-15,37.720001,37.720001,37.259998,37.650002,153800,31.906571
2006-03-16,37.82,37.93,37.43,37.759998,184000,31.999788
2006-03-17,37.880001,38.25,37.610001,38.240002,261500,32.406568
2006-03-20,38.150002,39.59,38.150002,39.509998,750700,33.482829
2006-03-21,39.220001,39.59,39.060001,39.220001,816000,33.23707
2006-03-22,39.25,39.380001,38.779999,39.200001,516800,33.220121
2006-03-23,39.200001,39.200001,38.439999,38.66,210200,32.762496
2006-03-24,38.450001,38.720001,38.290001,38.669998,177000,32.770969
2006-03-27,38.57,38.610001,38.259998,38.560001,92000,32.677752
2006-03-28,38.66,39.23,38.25,38.900002,263500,32.965886
2006-03-29,38.799999,39.200001,38.720001,39.200001,136000,33.220121
2006-03-30,39.080002,39.23,38.700001,38.799999,163900,32.881139
2006-03-31,38.700001,39.200001,38.400002,38.549999,287800,32.669276
2006-04-03,38.119999,38.34,37.049999,37.099998,497000,31.44047
