Date,Open,High,Low,Close,Volume,Adj Close
2010-05-28,19.299999,19.57,18.99,19.42,780200,16.478545
2010-06-01,19.379999,19.48,18.74,18.74,654900,15.901541
2010-06-02,15.05,15.74,13.84,14.48,3494500,12.286783
2010-06-03,14.52,14.64,13.78,13.83,1937700,11.735236
2010-06-04,13.82,13.88,13.21,13.73,1646000,11.650382
2010-06-07,13.8,13.94,13.48,13.57,1138600,11.514616
2010-06-08,13.6,13.75,13.25,13.51,1763500,11.463705
2010-06-09,13.6,13.65,12.94,12.99,1753500,11.022466
2010-06-10,12.9,13.1,12.03,12.31,3345500,10.445463
2010-06-11,12.27,13.25,12.15,13.11,1745200,11.12429
2010-06-14,13.33,13.68,13.16,13.33,1590400,11.310968
2010-06-15,13.32,13.6,13.13,13.21,1301900,11.209144
2010-06-16,13.04,13.51,12.77,13.42,1247500,11.387337
2010-06-17,13.59,13.59,13.27,13.49,677500,11.446734
2010-06-18,13.51,13.7,13.34,13.48,1572400,11.438248
2010-06-21,13.6,13.62,13.28,13.29,1053600,11.277027
2010-06-22,13.2,13.62,12.97,13.43,875000,11.395822
2010-06-23,13.13,13.6,12.86,13.39,1170700,11.361881
2010-06-24,13.2,13.44,13.08,13.26,1104500,11.251571
2010-06-25,13.27,13.71,13.02,13.67,5082800,11.59947
2010-06-28,13.54,13.54,13.16,13.38,261200,11.403447
2010-06-29,13.32,13.32,12.63,12.68,999300,10.806854
2010-06-30,12.61,13.14,12.61,12.68,1168700,10.806854
2010-07-01,12.63,12.7,11.9,12.65,1007100,10.781285
2010-07-02,12.76,13.14,12.4,12.98,977200,11.062536
2010-07-06,13.21,13.49,12.98,13.06,1363900,11.130719
2010-07-07,13.12,13.6,13.12,13.57,937000,11.565379
2010-07-08,13.83,13.83,13.34,13.58,743800,11.573902
2010-07-09,13.54,13.9,13.45,13.88,431900,11.829585
2010-07-12,13.78,13.86,13.6,13.84,361900,11.795494
2010-07-13,13.99,14.35,13.91,14.24,1035000,12.136404
2010-07-14,14.16,14.16,13.38,13.61,242400,11.59947
2010-07-15,13.77,13.77,12.75,13.5,882800,11.50572
2010-07-16,13.4,13.46,12.76,12.82,978900,10.926172
2010-07-19,12.8,13.06,12.36,13.03,764000,11.10515
2010-07-20,12.9,13.59,12.41,13.59,1203700,11.582425
2010-07-21,13.71,14.03,13.16,13.58,917200,11.573902
2010-07-22,13.79,14.57,13.78,14.53,1118200,12.383564
2010-07-23,14.52,14.86,14.29,14.79,640000,12.605155
2010-07-26,14.79,15.0,14.7,14.89,613800,12.690383
2010-07-27,14.96,15.12,14.87,14.94,462300,12.732996
2010-07-28,14.94,15.0,14.75,14.82,465200,12.630723
2010-07-29,14.9,15.0,14.75,14.82,628100,12.630723
2010-07-30,14.64,15.15,14.34,14.75,411800,12.571064
2010-08-02,15.13,15.13,14.7,14.88,639300,12.68186
2010-08-03,15.0,15.07,14.85,14.89,688400,12.690383
2010-08-04,15.0,15.04,14.89,14.94,605500,12.732996
2010-08-05,14.79,14.98,14.69,14.83,543200,12.639246
2010-08-06,14.66,14.99,14.51,14.85,485100,12.656292
2010-08-09,14.9,15.15,14.88,15.08,746400,12.852315
2010-08-10,14.93,14.93,14.31,14.43,447800,12.298336
2010-08-11,14.06,14.06,13.33,13.64,781300,11.625039
2010-08-12,13.36,13.7,13.27,13.6,698700,11.590948
2010-08-13,13.52,13.84,13.37,13.57,400100,11.565379
2010-08-16,13.46,14.07,13.36,14.03,534000,11.957426
2010-08-17,14.16,14.38,14.1,14.19,562000,12.09379
2010-08-18,14.2,14.23,13.98,14.16,911700,12.068222
2010-08-19,14.1,14.15,13.81,13.96,696400,11.897767
2010-08-20,13.93,14.11,13.68,14.04,653300,11.965949
2010-08-23,14.05,14.35,13.87,13.89,329800,11.838108
2010-08-24,13.69,14.01,13.56,13.7,364200,11.676175
2010-08-25,13.49,14.25,13.19,14.2,390600,12.102313
2010-08-26,14.32,14.32,13.65,13.66,382000,11.642084
2010-08-27,13.78,14.45,13.66,14.43,564200,12.298336
2010-08-30,14.33,14.79,14.31,14.58,387300,12.426177
2010-08-31,14.6,14.96,14.42,14.83,513600,12.639246
2010-09-01,15.01,15.59,14.85,15.55,735100,13.252885
2010-09-02,15.6,15.9,15.41,15.66,666400,13.346635
2010-09-03,15.91,15.95,15.43,15.54,740300,13.244362
2010-09-07,15.5,15.5,14.66,14.7,785100,12.52845
2010-09-08,14.66,14.81,14.56,14.71,611200,12.536973
2010-09-09,14.87,15.07,14.55,14.62,466800,12.460268
2010-09-10,14.62,14.9,14.31,14.47,523200,12.332427
2010-09-13,14.65,15.05,14.63,15.0,808100,12.784133
2010-09-14,15.03,15.13,14.71,14.8,950700,12.613678
2010-09-15,14.79,15.07,14.57,15.06,591900,12.83527
2010-09-16,15.0,15.12,14.59,14.78,719000,12.596632
2010-09-17,14.97,15.0,14.35,14.43,676600,12.298336
2010-09-20,14.43,14.78,14.12,14.75,608500,12.571064
2010-09-21,14.77,14.84,14.47,14.57,432300,12.417655
2010-09-22,14.49,14.78,14.32,14.63,261000,12.468791
2010-09-23,14.48,14.77,14.39,14.45,329200,12.315382
2010-09-24,14.68,14.91,14.57,14.85,438600,12.656292
2010-09-27,14.81,15.03,14.68,14.76,316500,12.579587
2010-09-28,14.78,15.17,14.46,15.08,420200,12.904773
2010-09-29,15.06,15.15,14.58,14.78,417500,12.648047
2010-09-30,14.89,15.45,14.86,14.94,526300,12.784967
2010-10-01,15.11,15.13,13.96,14.48,798100,12.39132
2010-10-04,14.39,14.61,13.93,13.95,834000,11.937771
2010-10-05,14.15,14.15,13.89,13.9,1054500,11.894983
2010-10-06,13.91,14.2,13.88,14.15,789900,12.108922
2010-10-07,14.26,14.53,14.11,14.17,507200,12.126037
2010-10-08,14.13,14.18,13.95,14.12,630900,12.083249
2010-10-11,14.09,14.34,13.96,14.21,311700,12.160267
2010-10-12,14.27,14.61,14.21,14.55,400600,12.451224
2010-10-13,14.59,15.11,14.56,14.91,503700,12.759295
2010-10-14,14.85,15.08,14.47,14.61,419100,12.502569
2010-10-15,14.75,15.07,14.39,14.46,708200,12.374206
2010-10-18,14.42,14.75,14.26,14.73,470700,12.605259
2010-10-19,14.49,14.91,14.34,14.49,361300,12.399878
2010-10-20,14.53,15.11,14.53,14.97,501500,12.810641
2010-10-21,14.93,14.93,14.06,14.34,849300,12.271515
2010-10-22,14.4,14.44,14.04,14.27,349000,12.211613
2010-10-25,14.33,14.77,14.33,14.58,312200,12.476896
2010-10-26,14.48,14.57,14.27,14.41,384900,12.331418
2010-10-27,14.27,14.29,13.86,14.17,558200,12.126037
2010-10-28,14.32,14.34,13.75,13.92,990000,11.912098
2010-10-29,13.93,14.22,13.93,14.04,773500,12.014789
2010-11-01,14.14,14.31,14.04,14.24,584500,12.18594
2010-11-02,14.42,14.45,14.19,14.44,463600,12.35709
2010-11-03,14.42,14.5,14.06,14.32,368800,12.2544
2010-11-04,14.48,14.59,14.35,14.54,805200,12.442666
2010-11-05,14.57,14.71,14.28,14.6,552900,12.494012
2010-11-08,14.52,14.53,14.19,14.35,1844600,12.280073
2010-11-09,14.33,14.33,13.95,13.99,426400,11.972001
2010-11-10,14.03,14.25,13.76,14.25,727700,12.194497
2010-11-11,14.08,14.28,14.07,14.17,256700,12.126037
2010-11-12,14.05,14.24,13.97,14.1,192700,12.066134
2010-11-15,14.14,14.22,13.87,13.9,408800,11.894983
2010-11-16,13.76,13.88,13.56,13.62,475900,11.655372
2010-11-17,13.66,13.79,13.6,13.75,244500,11.76662
2010-11-18,13.88,14.5,13.82,14.23,588000,12.177382
2010-11-19,14.19,14.33,14.09,14.25,496600,12.194497
2010-11-22,14.15,14.15,13.76,13.94,511200,11.929213
2010-11-23,13.74,13.9,13.51,13.7,372100,11.723832
2010-11-24,13.8,14.33,13.71,14.33,455900,12.262958
2010-11-26,14.19,14.37,14.18,14.28,163600,12.22017
2010-11-29,14.16,14.35,13.99,14.31,271300,12.245843
2010-11-30,14.12,14.32,14.09,14.17,791400,12.126037
2010-12-01,14.41,14.97,14.38,14.92,563700,12.767853
2010-12-02,14.98,15.05,14.74,15.0,432700,12.836313
2010-12-03,14.95,15.0,14.72,14.93,277000,12.77641
2010-12-06,14.84,14.98,14.41,14.73,294500,12.605259
2010-12-07,14.86,14.96,14.78,14.87,457200,12.725065
2010-12-08,14.96,15.15,14.75,14.82,391500,12.682277
2010-12-09,14.98,15.04,14.9,14.98,317900,12.819197
2010-12-10,14.98,15.1,14.74,14.93,353000,12.77641
2010-12-13,15.07,15.12,14.92,14.96,540900,12.802083
2010-12-14,15.02,15.13,14.94,14.97,638200,12.810641
2010-12-15,14.91,15.15,14.84,14.85,658800,12.70795
2010-12-16,14.84,15.12,14.84,14.96,451700,12.802083
2010-12-17,14.99,15.02,14.92,14.99,2036600,12.827755
2010-12-20,14.99,15.04,14.92,14.97,354400,12.810641
2010-12-21,15.05,15.13,14.95,15.04,393100,12.870543
2010-12-22,15.05,15.25,14.97,15.17,409500,12.981791
2010-12-23,15.17,15.19,14.97,15.06,276900,12.887659
2010-12-27,15.02,15.2,14.96,15.07,199700,12.896215
2010-12-28,15.11,15.11,14.93,14.98,269200,12.819197
2010-12-29,14.98,15.06,14.93,14.97,179800,12.862158
2010-12-30,14.95,15.07,14.91,14.94,296700,12.836382
2010-12-31,14.89,15.07,14.89,14.94,400600,12.836382
