Date,Open,High,Low,Close,Volume,Adj Close
2013-08-09,27.25,28.6,25.76,26.360001,9912400,23.896452
2013-08-12,26.290001,26.75,26.200001,26.5,1483800,24.023368
2013-08-13,26.5,26.5,26.09,26.09,1267000,23.651686
2013-08-14,25.940001,26.5,25.940001,26.1,973200,23.660751
2013-08-15,26.0,26.5,25.799999,26.379999,1306300,23.914582
2013-08-16,26.469999,26.969999,26.33,26.75,502100,24.250003
2013-08-19,26.6,26.709999,26.33,26.5,229400,24.023368
2013-08-20,26.68,28.02,26.5,27.870001,811600,25.265331
2013-08-21,27.799999,28.08,27.43,27.77,452800,25.174677
2013-08-22,27.709999,28.0,27.620001,27.969999,167400,25.355984
2013-08-23,28.09,28.17,27.559999,27.82,132800,25.220003
2013-08-26,27.690001,28.08,27.67,27.790001,415000,25.192808
2013-08-27,27.6,27.709999,27.26,27.43,318000,24.866452
2013-08-28,27.24,28.030001,26.9,27.65,394300,25.065891
2013-08-29,27.700001,28.09,27.440001,27.59,610600,25.011499
2013-08-30,27.58,27.969999,27.4,27.709999,72300,25.120283
2013-09-03,27.91,27.92,26.85,27.620001,283100,25.038696
2013-09-04,27.799999,27.799999,27.040001,27.5,1119100,24.92991
2013-09-05,27.549999,28.42,27.549999,28.129999,219700,25.501031
2013-09-06,28.610001,28.75,28.049999,28.1,168800,25.473836
2013-09-09,28.389999,28.68,28.15,28.629999,396300,25.954302
2013-09-10,28.719999,28.9,28.25,28.48,537200,25.818321
2013-09-11,28.6,28.6,28.190001,28.379999,252500,25.727666
2013-09-12,28.290001,28.32,27.620001,28.24,508000,25.600751
2013-09-13,28.27,28.280001,27.790001,28.17,453800,25.537293
2013-09-16,28.35,28.68,27.879999,28.23,622100,25.591685
2013-09-17,28.290001,28.34,27.85,28.1,425300,25.473836
2013-09-18,28.5,29.49,28.5,28.790001,1190700,26.09935
2013-09-19,29.9,30.0,29.0,29.709999,985400,26.933367
2013-09-20,30.0,30.190001,29.4,29.549999,904300,26.788321
2013-09-23,29.559999,29.799999,29.34,29.610001,459800,26.842715
2013-09-24,29.709999,29.709999,29.0,29.25,281500,26.516359
2013-09-25,29.32,29.73,29.32,29.59,141300,26.824583
2013-09-26,29.559999,30.190001,29.559999,30.15,636400,27.332246
