Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,44.110001,45.549999,44.099998,45.27,629400,44.114007
2006-01-04,45.23,46.650002,45.189999,46.16,781300,44.98128
2006-01-05,45.849998,46.240002,45.849998,46.150002,376000,44.971537
2006-01-06,46.150002,46.639999,46.0,46.459999,335200,45.273619
2006-01-09,46.200001,47.259998,46.200001,46.900002,601600,45.702385
2006-01-10,46.700001,46.990002,46.560001,46.98,248100,45.780341
2006-01-11,46.970001,47.889999,46.869999,47.77,663300,46.550168
2006-01-12,47.759998,47.790001,46.990002,47.009998,682200,45.809573
2006-01-13,46.91,46.98,46.560001,46.689999,207700,45.497745
2006-01-17,46.509998,46.650002,46.349998,46.419998,453000,45.234639
2006-01-18,46.200001,46.5,46.049999,46.209999,390500,45.030003
2006-01-19,46.259998,46.700001,46.029999,46.369999,470000,45.185917
2006-01-20,46.299999,46.439999,45.75,45.75,241100,44.58175
2006-01-23,45.700001,45.860001,45.610001,45.650002,390400,44.484305
2006-01-24,45.650002,46.02,45.369999,45.400002,366100,44.240689
2006-01-25,45.400002,45.720001,44.900002,45.200001,650700,44.045795
2006-01-26,45.75,46.23,44.490002,44.5,845100,43.363669
2006-01-27,44.529999,45.029999,44.450001,44.830002,702900,43.685244
2006-01-30,45.0,45.150002,43.869999,44.119999,714500,42.993372
2006-01-31,44.07,44.330002,43.689999,44.32,433900,43.188265
2006-02-01,44.259998,44.619999,44.209999,44.48,372300,43.344179
2006-02-02,44.439999,44.470001,43.869999,44.290001,668300,43.159033
2006-02-03,43.84,44.5,43.799999,44.139999,662500,43.012861
2006-02-06,44.34,44.82,44.259998,44.66,671300,43.519583
2006-02-07,44.66,44.66,44.25,44.490002,638000,43.353926
2006-02-08,44.650002,44.650002,44.240002,44.43,375200,43.295457
2006-02-09,44.439999,44.68,44.299999,44.400002,457100,43.266224
2006-02-10,44.400002,44.57,44.02,44.400002,259500,43.266224
2006-02-13,44.299999,44.450001,44.009998,44.080002,183400,42.954396
2006-02-14,44.139999,44.509998,43.82,44.310001,404200,43.178522
2006-02-15,44.32,44.380001,43.790001,44.330002,235900,43.217517
2006-02-16,44.32,44.349998,44.0,44.330002,261500,43.217517
2006-02-17,44.34,44.450001,43.990002,44.330002,441800,43.217517
2006-02-21,44.279999,44.290001,43.439999,44.060001,506400,42.954293
2006-02-22,44.029999,44.209999,43.610001,44.09,362900,42.983539
2006-02-23,43.900002,43.939999,43.48,43.529999,279800,42.437591
2006-02-24,43.52,43.580002,43.119999,43.25,380100,42.164619
2006-02-27,43.23,43.419998,43.040001,43.25,486600,42.164619
2006-02-28,43.099998,43.290001,42.549999,42.619999,562800,41.550428
2006-03-01,42.669998,44.02,42.669998,43.73,493400,42.632572
2006-03-02,43.650002,44.07,43.5,43.959999,301300,42.8568
2006-03-03,43.860001,44.080002,43.5,43.509998,149000,42.418092
2006-03-06,43.5,43.610001,42.98,43.009998,303800,41.93064
2006-03-07,43.009998,43.080002,42.700001,42.799999,712300,41.725911
2006-03-08,42.700001,43.02,42.560001,42.849998,427900,41.774655
2006-03-09,42.84,42.84,42.200001,42.459999,257700,41.394443
2006-03-10,42.459999,42.66,42.099998,42.540001,551800,41.472437
2006-03-13,42.610001,42.740002,42.049999,42.16,238900,41.101973
2006-03-14,42.040001,42.040001,37.799999,39.369999,4664100,38.381988
2006-03-15,39.200001,39.25,36.360001,39.02,5442800,38.040773
2006-03-16,38.970001,40.040001,38.799999,38.919998,1894000,37.94328
2006-03-17,39.150002,40.299999,39.0,39.939999,1277300,38.937683
2006-03-20,39.950001,40.34,39.720001,39.91,804700,38.908438
2006-03-21,39.84,40.0,39.25,39.529999,743500,38.537973
2006-03-22,39.400002,39.689999,38.810001,39.459999,1080500,38.46973
2006-03-23,39.360001,39.529999,39.080002,39.299999,331400,38.313745
2006-03-24,39.279999,39.380001,39.119999,39.27,430700,38.284499
2006-03-27,39.299999,39.299999,38.299999,38.77,967600,37.797047
2006-03-28,39.75,39.990002,38.869999,39.099998,1473800,38.118764
2006-03-29,38.98,39.27,38.759998,38.849998,933100,37.875037
2006-03-30,38.900002,39.0,38.68,38.799999,570100,37.826293
2006-03-31,38.950001,39.84,38.77,39.619999,666200,38.625714
2006-04-03,39.900002,40.040001,39.68,39.919998,690900,38.918185
2006-04-04,39.98,40.349998,39.689999,40.189999,654300,39.18141
2006-04-05,40.049999,40.209999,39.669998,39.91,340300,38.908438
2006-04-06,39.91,39.959999,39.529999,39.91,421800,38.908438
2006-04-07,39.900002,40.32,39.849998,39.91,427600,38.908438
2006-04-10,39.91,40.259998,39.759998,39.799999,414700,38.801197
2006-04-11,39.900002,40.299999,39.900002,40.18,838100,39.171662
2006-04-12,40.23,40.939999,40.23,40.82,483500,39.7956
2006-04-13,40.82,40.900002,40.5,40.75,272800,39.727357
2006-04-17,40.73,41.119999,40.509998,40.810001,282000,39.785853
2006-04-18,40.75,41.060001,40.650002,40.93,392300,39.902841
2006-04-19,40.919998,41.040001,40.400002,40.759998,980700,39.737105
2006-04-20,40.790001,41.240002,40.700001,41.099998,380500,40.068573
2006-04-21,41.139999,41.290001,40.849998,41.110001,599000,40.078324
2006-04-24,41.099998,41.110001,40.580002,40.84,282500,39.815099
2006-04-25,40.869999,41.099998,40.5,40.639999,420400,39.620117
2006-04-26,40.790001,40.990002,40.200001,40.400002,493900,39.386142
2006-04-27,38.5,38.5,36.52,37.32,3488600,36.383435
2006-04-28,37.119999,37.560001,36.869999,37.110001,1130300,36.178706
2006-05-01,37.25,37.310001,36.740002,36.830002,636800,35.905734
2006-05-02,36.830002,37.32,36.740002,37.040001,624500,36.110463
2006-05-03,37.060001,37.66,37.0,37.360001,993700,36.422432
2006-05-04,37.360001,37.720001,37.220001,37.299999,857200,36.363936
2006-05-05,37.299999,38.459999,37.099998,38.189999,1058200,37.231601
2006-05-08,38.189999,38.73,38.189999,38.470001,781800,37.504576
2006-05-09,38.5,38.709999,38.02,38.259998,1419900,37.299844
2006-05-10,38.099998,38.919998,38.080002,38.369999,854500,37.407084
2006-05-11,38.380001,38.41,37.799999,38.0,1063400,37.06569
2006-05-12,37.900002,38.470001,37.549999,38.02,793300,37.085199
2006-05-15,37.259998,38.330002,37.259998,38.049999,616400,37.11446
2006-05-16,37.990002,38.48,37.709999,38.099998,766900,37.16323
2006-05-17,37.900002,38.080002,36.77,36.810001,1131700,35.90495
2006-05-18,36.919998,37.0,36.400002,36.43,971800,35.534292
2006-05-19,36.650002,37.400002,36.650002,37.009998,624100,36.10003
2006-05-22,36.919998,36.93,36.130001,36.599998,702700,35.700111
2006-05-23,36.59,36.66,35.540001,35.610001,1046100,34.734454
2006-05-24,35.509998,35.709999,34.810001,35.400002,1306400,34.529618
2006-05-25,35.52,36.110001,35.5,36.049999,442300,35.163634
2006-05-26,36.0,36.25,35.790001,36.099998,252900,35.212404
2006-05-30,36.110001,36.169998,35.400002,35.77,602600,34.89052
2006-05-31,35.869999,36.240002,35.490002,35.57,903900,34.695437
2006-06-01,35.560001,36.66,35.419998,36.5,691900,35.602571
