Date,Open,High,Low,Close,Volume,Adj Close
2006-01-03,17.360001,17.690001,17.129999,17.5,191300,9.8855
2006-01-04,17.549999,17.66,17.440001,17.559999,134100,9.919393
2006-01-05,17.559999,17.610001,17.440001,17.440001,74100,9.851608
2006-01-06,17.58,17.700001,17.280001,17.459999,114300,9.862904
2006-01-09,17.4,17.639999,17.370001,17.559999,102000,9.919393
2006-01-10,17.5,17.620001,17.42,17.559999,99200,9.919393
2006-01-11,17.559999,17.559999,17.139999,17.33,120100,9.78947
2006-01-12,17.24,17.360001,17.049999,17.110001,77200,9.665195
2006-01-13,17.16,17.26,17.049999,17.1,82400,9.659546
2006-01-17,17.1,17.110001,16.9,17.040001,127500,9.625653
2006-01-18,17.049999,17.17,16.91,16.99,113800,9.597409
2006-01-19,17.049999,17.25,16.940001,17.190001,100600,9.710386
2006-01-20,17.299999,17.299999,16.700001,16.75,131800,9.461836
2006-01-23,16.73,17.049999,16.73,16.950001,119500,9.574814
2006-01-24,17.26,17.27,17.0,17.15,219200,9.68779
2006-01-25,17.15,17.26,16.889999,17.1,378500,9.659546
2006-01-26,17.15,17.26,17.110001,17.25,159000,9.744279
2006-01-27,17.15,17.309999,17.120001,17.299999,145400,9.772523
2006-01-30,17.299999,17.299999,16.799999,16.83,132600,9.507027
2006-01-31,16.799999,16.92,16.57,16.84,193300,9.512676
2006-02-01,16.84,17.09,16.690001,16.709999,166100,9.43924
2006-02-02,16.709999,16.75,16.17,16.26,239900,9.185042
2006-02-03,16.280001,16.5,16.15,16.190001,172700,9.1455
2006-02-06,16.17,16.190001,15.93,16.16,120100,9.128553
2006-02-07,16.120001,16.450001,16.120001,16.219999,149700,9.162446
2006-02-08,16.33,16.42,16.24,16.290001,224700,9.201989
2006-02-09,16.35,16.450001,16.23,16.299999,157400,9.207637
2006-02-10,16.25,16.5,16.16,16.309999,122900,9.213286
2006-02-13,16.35,16.459999,16.219999,16.33,247200,9.224584
2006-02-14,16.32,16.65,16.26,16.549999,148500,9.348858
2006-02-15,16.58,16.66,16.42,16.6,95200,9.377103
2006-02-16,16.67,16.700001,16.459999,16.59,95000,9.371454
2006-02-17,16.620001,16.620001,16.42,16.42,92500,9.275424
2006-02-21,16.4,16.5,16.18,16.33,148100,9.224584
2006-02-22,16.35,16.73,16.35,16.73,86800,9.450538
2006-02-23,16.700001,16.879999,16.540001,16.610001,110400,9.382752
2006-02-24,16.57,16.74,16.5,16.559999,97100,9.354507
2006-02-27,16.620001,16.809999,16.620001,16.780001,66300,9.478783
2006-02-28,16.58,16.700001,16.440001,16.49,161600,9.314966
2006-03-01,16.26,16.58,16.26,16.58,167800,9.501207
2006-03-02,16.58,16.58,16.309999,16.540001,229600,9.478285
2006-03-03,16.4,16.870001,16.4,16.690001,294300,9.564243
2006-03-06,15.74,16.700001,15.74,16.360001,220300,9.375136
2006-03-07,16.25,16.469999,16.0,16.42,176300,9.409519
2006-03-08,16.42,16.549999,16.280001,16.379999,195600,9.386596
2006-03-09,16.4,16.549999,16.25,16.299999,141000,9.340752
2006-03-10,16.4,16.67,16.290001,16.67,93900,9.552782
2006-03-13,16.639999,16.75,16.51,16.639999,129300,9.53559
2006-03-14,16.65,16.790001,16.42,16.76,152800,9.604356
2006-03-15,16.799999,16.870001,16.559999,16.84,157400,9.650201
2006-03-16,16.92,16.940001,16.690001,16.73,166300,9.587165
2006-03-17,16.75,16.85,16.68,16.84,448000,9.650201
2006-03-20,16.82,16.860001,16.620001,16.76,210600,9.604356
2006-03-21,16.73,16.85,16.65,16.68,126000,9.558512
2006-03-22,16.68,17.049999,16.610001,17.049999,116400,9.770541
2006-03-23,17.0,17.07,16.799999,16.950001,187600,9.713237
2006-03-24,17.02,17.02,16.780001,17.02,410700,9.75335
2006-03-27,16.98,17.049999,16.790001,16.969999,390700,9.724697
2006-03-28,16.969999,17.219999,16.9,17.07,150200,9.782002
2006-03-29,17.01,17.15,16.98,17.15,112000,9.827847
2006-03-30,17.200001,17.200001,16.84,17.0,113800,9.741889
2006-03-31,16.92,17.110001,16.870001,17.1,129800,9.799194
2006-04-03,17.1,17.110001,16.860001,17.049999,138400,9.770541
2006-04-04,17.01,17.16,16.950001,17.02,111400,9.75335
2006-04-05,17.0,17.09,16.860001,17.0,95000,9.741889
2006-04-06,17.0,17.02,16.879999,16.950001,75400,9.713237
